Player,Game Week,Position,Team,League,Minutes,Rating
Liberato Cacace,J1,DF,Empoli,Italian Serie A,78.0,6.7
Sebastiano Luperto,J1,DF,Empoli,Italian Serie A,90.0,6.01
Ardian Ismajli,J1,DF,Empoli,Italian Serie A,90.0,6.03
Tyronne Ebuehi,J1,DF,Empoli,Italian Serie A,90.0,5.2
Josh Doig,J1,DF,Hellas Verona,Italian Serie A,87.0,5.56
Filippo Terracciano,J1,DF,Hellas Verona,Italian Serie A,90.0,7.41
Paweł Dawidowicz,J1,DF,Hellas Verona,Italian Serie A,90.0,7.13
Giangiacomo Magnani,J1,DF,Hellas Verona,Italian Serie A,90.0,6.04
Diego Coppola,J1,DF,Hellas Verona,Italian Serie A,90.0,7.16
Charalampos Lykogiannis,J1,DF,Bologna,Italian Serie A,86.0,5.79
Jhon Lucumí,J1,DF,Bologna,Italian Serie A,90.0,6.98
Sam Beukema,J1,DF,Bologna,Italian Serie A,90.0,7.4
Stefan Posch,J1,DF,Bologna,Italian Serie A,90.0,6.92
Theo Hernández,J1,DF,Milan,Italian Serie A,90.0,6.16
Fikayo Tomori,J1,DF,Milan,Italian Serie A,90.0,6.24
Malick Thiaw,J1,DF,Milan,Italian Serie A,87.0,7.14
Davide Calabria,J1,DF,Milan,Italian Serie A,72.0,6.58
Adam Marušić,J10,DF,Lazio,Italian Serie A,90.0,5.82
Alessio Romagnoli,J10,DF,Lazio,Italian Serie A,90.0,6.96
Patric,J10,DF,Lazio,Italian Serie A,90.0,7.19
Manuel Lazzari,J10,DF,Lazio,Italian Serie A,90.0,5.29
Cristiano Biraghi,J10,DF,Fiorentina,Italian Serie A,78.0,6.38
Nikola Milenković,J10,DF,Fiorentina,Italian Serie A,90.0,6.77
Lucas Martínez Quarta,J10,DF,Fiorentina,Italian Serie A,90.0,7.04
Fabiano Parisi,J10,DF,Fiorentina,Italian Serie A,90.0,7.47
Rico Henry,J1,DF,Brentford,English Premier League,90.0,7.26
Kristoffer Ajer,J1,DF,Brentford,English Premier League,83.0,5.91
Ethan Pinnock,J1,DF,Brentford,English Premier League,90.0,6.6
Nathan Collins,J1,DF,Brentford,English Premier League,90.0,6.71
Aaron Hickey,J1,DF,Brentford,English Premier League,71.0,6.38
Destiny Udogie,J1,DF,Tottenham,English Premier League,90.0,6.58
Micky van de Ven,J1,DF,Tottenham,English Premier League,90.0,6.94
Davinson Sánchez,J1,DF,Tottenham,English Premier League,77.0,6.54
Emerson,J1,DF,Tottenham,English Premier League,90.0,7.23
Ben Chilwell,J1,DF,Chelsea,English Premier League,89.0,6.07
Reece James,J1,DF,Chelsea,English Premier League,75.0,5.97
Levi Colwill,J1,DF,Chelsea,English Premier League,90.0,7.07
Thiago Silva,J1,DF,Chelsea,English Premier League,90.0,7.75
Axel Disasi,J1,DF,Chelsea,English Premier League,90.0,7.41
Andrew Robertson,J1,DF,Liverpool,English Premier League,90.0,7.75
Virgil van Dijk,J1,DF,Liverpool,English Premier League,90.0,6.9
Ibrahima Konaté,J1,DF,Liverpool,English Premier League,90.0,6.94
Trent Alexander-Arnold,J1,DF,Liverpool,English Premier League,90.0,6.41
Luke Shaw,J1,DF,Manchester Utd,English Premier League,90.0,7.58
Lisandro Martínez,J1,DF,Manchester Utd,English Premier League,45.0,6.22
Victor Lindelöf,J1,DF,Manchester Utd,English Premier League,45.0,5.11
Raphaël Varane,J1,DF,Manchester Utd,English Premier League,90.0,6.77
Aaron Wan-Bissaka,J1,DF,Manchester Utd,English Premier League,90.0,7.38
Rayan Aït-Nouri,J1,DF,Wolves,English Premier League,76.0,7.29
Max Kilman,J1,DF,Wolves,English Premier League,90.0,7.65
Craig Dawson,J1,DF,Wolves,English Premier League,90.0,7.67
Nélson Semedo,J1,DF,Wolves,English Premier League,90.0,7.74
Scott McKenna,J2,DF,Nott'ham Forest,English Premier League,90.0,7.73
Joe Worrall,J2,DF,Nott'ham Forest,English Premier League,90.0,7.18
Willy Boly,J2,DF,Nott'ham Forest,English Premier League,68.0,7.02
Max Lowe,J2,DF,Sheffield Utd,English Premier League,45.0,4.87
Yasser Larouci,J2,DF,Sheffield Utd,English Premier League,45.0,7.23
Ben Osborn,J2,DF,Sheffield Utd,English Premier League,90.0,6.69
Jack Robinson,J2,DF,Sheffield Utd,English Premier League,90.0,7.06
John Egan,J2,DF,Sheffield Utd,English Premier League,90.0,6.7
Anel Ahmedhodžić,J2,DF,Sheffield Utd,English Premier League,90.0,7.45
Rayan Aït-Nouri,J2,DF,Wolves,English Premier League,85.0,6.32
Max Kilman,J2,DF,Wolves,English Premier League,90.0,6.92
Craig Dawson,J2,DF,Wolves,English Premier League,70.0,6.42
Toti Gomes,J2,DF,Wolves,English Premier League,20.0,6.39
Nélson Semedo,J2,DF,Wolves,English Premier League,90.0,6.77
Pervis Estupiñán,J2,DF,Brighton,English Premier League,90.0,7.29
Lewis Dunk,J2,DF,Brighton,English Premier League,90.0,7.12
Adam Webster,J2,DF,Brighton,English Premier League,90.0,7.39
James Milner,J2,DF,Brighton,English Premier League,56.0,6.32
Joël Veltman,J2,DF,Brighton,English Premier League,34.0,6.97
Calvin Bassey,J2,DF,Fulham,English Premier League,24.0,6.38
Antonee Robinson,J2,DF,Fulham,English Premier League,90.0,5.7
Tim Ream,J2,DF,Fulham,English Premier League,63.0,6.55
Issa Diop,J2,DF,Fulham,English Premier League,90.0,6.55
Kenny Tete,J2,DF,Fulham,English Premier League,85.0,7.11
Rico Henry,J2,DF,Brentford,English Premier League,90.0,6.41
Ethan Pinnock,J2,DF,Brentford,English Premier League,90.0,7.2
Nathan Collins,J2,DF,Brentford,English Premier League,90.0,6.35
Aaron Hickey,J2,DF,Brentford,English Premier League,77.0,5.02
Andrew Robertson,J2,DF,Liverpool,English Premier League,90.0,7.53
Virgil van Dijk,J2,DF,Liverpool,English Premier League,90.0,6.69
Ibrahima Konaté,J2,DF,Liverpool,English Premier League,90.0,6.64
Trent Alexander-Arnold,J2,DF,Liverpool,English Premier League,74.0,6.68
Milos Kerkez,J2,DF,Bournemouth,English Premier League,90.0,7.69
Marcos Senesi,J2,DF,Bournemouth,English Premier League,83.0,7.62
Illia Zabarnyi,J2,DF,Bournemouth,English Premier League,90.0,6.59
Max Aarons,J2,DF,Bournemouth,English Premier League,90.0,7.16
Destiny Udogie,J2,DF,Tottenham,English Premier League,69.0,6.49
Ben Davies,J2,DF,Tottenham,English Premier League,21.0,6.81
Micky van de Ven,J2,DF,Tottenham,English Premier League,90.0,6.51
Cristian Romero,J2,DF,Tottenham,English Premier League,90.0,7.06
Pedro Porro,J2,DF,Tottenham,English Premier League,87.0,6.99
Luke Shaw,J2,DF,Manchester Utd,English Premier League,90.0,6.67
Lisandro Martínez,J2,DF,Manchester Utd,English Premier League,90.0,7.33
Raphaël Varane,J2,DF,Manchester Utd,English Premier League,90.0,6.86
Aaron Wan-Bissaka,J2,DF,Manchester Utd,English Premier League,65.0,6.12
Diogo Dalot,J2,DF,Manchester Utd,English Premier League,25.0,6.42
Joško Gvardiol,J2,DF,Manchester City,English Premier League,90.0,5.8
Rúben Dias,J2,DF,Manchester City,English Premier League,90.0,6.2
Manuel Akanji,J2,DF,Manchester City,English Premier League,90.0,6.8
Kyle Walker,J2,DF,Manchester City,English Premier League,90.0,5.45
Dan Burn,J2,DF,Newcastle Utd,English Premier League,90.0,6.4
Sven Botman,J2,DF,Newcastle Utd,English Premier League,90.0,6.69
Fabian Schär,J2,DF,Newcastle Utd,English Premier League,90.0,6.72
Kieran Trippier,J2,DF,Newcastle Utd,English Premier League,90.0,6.92
Diego Carlos,J2,DF,Aston Villa,English Premier League,27.0,7.56
Lucas Digne,J2,DF,Aston Villa,English Premier League,90.0,7.1
Pau Torres,J2,DF,Aston Villa,English Premier League,90.0,6.0
Ezri Konsa,J2,DF,Aston Villa,English Premier League,90.0,5.83
Matty Cash,J2,DF,Aston Villa,English Premier League,90.0,6.15
Ashley Young,J2,DF,Everton,English Premier League,90.0,6.31
James Tarkowski,J2,DF,Everton,English Premier League,90.0,5.87
Michael Keane,J2,DF,Everton,English Premier League,90.0,6.52
Nathan Patterson,J2,DF,Everton,English Premier League,90.0,6.14
Charalampos Lykogiannis,J11,DF,Bologna,Italian Serie A,79.0,6.64
Riccardo Calafiori,J11,DF,Bologna,Italian Serie A,90.0,7.43
Sam Beukema,J11,DF,Bologna,Italian Serie A,90.0,6.44
Stefan Posch,J11,DF,Bologna,Italian Serie A,90.0,5.94
Adam Marušić,J11,DF,Lazio,Italian Serie A,47.0,5.47
Luca Pellegrini,J11,DF,Lazio,Italian Serie A,43.0,6.38
Alessio Romagnoli,J11,DF,Lazio,Italian Serie A,90.0,7.3
Patric,J11,DF,Lazio,Italian Serie A,90.0,5.6
Manuel Lazzari,J11,DF,Lazio,Italian Serie A,90.0,6.51
Angelo Ogbonna,J2,DF,West Ham,English Premier League,22.0,4.63
Emerson Palmieri,J2,DF,West Ham,English Premier League,90.0,7.38
Nayef Aguerd,J2,DF,West Ham,English Premier League,66.0,6.88
Kurt Zouma,J2,DF,West Ham,English Premier League,90.0,5.86
Vladimír Coufal,J2,DF,West Ham,English Premier League,90.0,6.42
Mykhailo Mudryk,J2,DF,Chelsea,English Premier League,45.0,5.42
Ben Chilwell,J2,DF,Chelsea,English Premier League,60.0,6.06
Malo Gusto,J2,DF,Chelsea,English Premier League,82.0,6.77
Levi Colwill,J2,DF,Chelsea,English Premier League,90.0,6.04
Thiago Silva,J2,DF,Chelsea,English Premier League,90.0,6.75
Axel Disasi,J2,DF,Chelsea,English Premier League,90.0,6.88
Tyrick Mitchell,J2,DF,Crystal Palace,English Premier League,90.0,6.65
Marc Guéhi,J2,DF,Crystal Palace,English Premier League,90.0,7.1
Joachim Andersen,J2,DF,Crystal Palace,English Premier League,90.0,7.07
Joel Ward,J2,DF,Crystal Palace,English Premier League,82.0,5.74
Gabriel Magalhães,J2,DF,Arsenal,English Premier League,21.0,6.3
