Player,Game Week,Position,Team,League,Minutes,Rating
Elia Caprile,J1,GK,Empoli,Italian Serie A,90,6.41
Lorenzo Montipò,J1,GK,Hellas Verona,Italian Serie A,90,7.6
Łukasz Skorupski,J1,GK,Bologna,Italian Serie A,90,6.1
Mike Maignan,J1,GK,Milan,Italian Serie A,90,7.69
Ivan Provedel,J10,GK,Lazio,Italian Serie A,90,7.49
Pietro Terracciano,J10,GK,Fiorentina,Italian Serie A,90,6.9
Mark Flekken,J1,GK,Brentford,English Premier League,90,6.06
Guglielmo Vicario,J1,GK,Tottenham,English Premier League,90,6.34
Robert Sánchez,J1,GK,Chelsea,English Premier League,90,6.3
Alisson,J1,GK,Liverpool,English Premier League,90,6.66
André Onana,J1,GK,Manchester Utd,English Premier League,90,7.73
José Sá,J1,GK,Wolves,English Premier League,90,6.29
Matt Turner,J2,GK,Nott'ham Forest,English Premier League,90,6.88
Wes Foderingham,J2,GK,Sheffield Utd,English Premier League,90,6.49
José Sá,J2,GK,Wolves,English Premier League,90,5.69
Jason Steele,J2,GK,Brighton,English Premier League,90,7.04
Bernd Leno,J2,GK,Fulham,English Premier League,90,6.73
Mark Flekken,J2,GK,Brentford,English Premier League,90,7.06
Alisson,J2,GK,Liverpool,English Premier League,90,6.98
Neto,J2,GK,Bournemouth,English Premier League,90,6.78
Guglielmo Vicario,J2,GK,Tottenham,English Premier League,90,7.56
André Onana,J2,GK,Manchester Utd,English Premier League,90,6.34
Ederson,J2,GK,Manchester City,English Premier League,90,7.24
Nick Pope,J2,GK,Newcastle Utd,English Premier League,90,6.69
Emiliano Martínez,J2,GK,Aston Villa,English Premier League,90,7.34
Jordan Pickford,J2,GK,Everton,English Premier League,90,5.47
Łukasz Skorupski,J11,GK,Bologna,Italian Serie A,90,7.02
Ivan Provedel,J11,GK,Lazio,Italian Serie A,90,5.82
Alphonse Areola,J2,GK,West Ham,English Premier League,90,6.92
Robert Sánchez,J2,GK,Chelsea,English Premier League,90,5.66
Sam Johnstone,J2,GK,Crystal Palace,English Premier League,90,6.73
Aaron Ramsdale,J2,GK,Arsenal,English Premier League,90,7.32
Robert Sánchez,J3,GK,Chelsea,English Premier League,90,6.88
Thomas Kaminski,J3,GK,Luton Town,English Premier League,90,6.07
Neto,J3,GK,Bournemouth,English Premier League,90,6.76
Guglielmo Vicario,J3,GK,Tottenham,English Premier League,90,7.2
Jordan Pickford,J3,GK,Everton,English Premier League,90,6.59
José Sá,J3,GK,Wolves,English Premier League,90,8.02
André Onana,J3,GK,Manchester Utd,English Premier League,90,5.93
Matt Turner,J3,GK,Nott'ham Forest,English Premier League,90,6.86
Mark Flekken,J3,GK,Brentford,English Premier League,90,6.5
Sam Johnstone,J3,GK,Crystal Palace,English Premier League,90,6.06
Aaron Ramsdale,J3,GK,Arsenal,English Premier League,90,5.44
Bernd Leno,J3,GK,Fulham,English Premier League,90,6.61
Bart Verbruggen,J3,GK,Brighton,English Premier League,90,6.05
Alphonse Areola,J3,GK,West Ham,English Premier League,90,7.27
Wes Foderingham,J3,GK,Sheffield Utd,English Premier League,90,6.82
Ederson,J3,GK,Manchester City,English Premier League,90,5.76
Guillermo Ochoa,J11,GK,Salernitana,Italian Serie A,90,6.19
Alex Meret,J11,GK,Napoli,Italian Serie A,90,7.21
James Trafford,J3,GK,Burnley,English Premier League,90,6.49
Robin Olsen,J3,GK,Aston Villa,English Premier League,90,6.04
Nick Pope,J3,GK,Newcastle Utd,English Premier League,90,6.24
Alisson,J3,GK,Liverpool,English Premier League,90,6.68
Thomas Kaminski,J4,GK,Luton Town,English Premier League,90,5.9
Alphonse Areola,J4,GK,West Ham,English Premier League,90,6.18
Wes Foderingham,J4,GK,Sheffield Utd,English Premier League,90,6.93
Jordan Pickford,J4,GK,Everton,English Premier League,90,6.7
Mark Flekken,J4,GK,Brentford,English Premier League,90,6.34
Neto,J4,GK,Bournemouth,English Premier League,90,6.33
Ederson,J4,GK,Manchester City,English Premier League,90,6.84
Bernd Leno,J4,GK,Fulham,English Premier League,90,5.06
Robert Sánchez,J4,GK,Chelsea,English Premier League,90,6.34
Matt Turner,J4,GK,Nott'ham Forest,English Premier League,90,7.43
James Trafford,J4,GK,Burnley,English Premier League,90,6.05
Guglielmo Vicario,J4,GK,Tottenham,English Premier League,90,6.26
Bart Verbruggen,J4,GK,Brighton,English Premier League,90,5.99
Nick Pope,J4,GK,Newcastle Utd,English Premier League,90,5.54
Sam Johnstone,J4,GK,Crystal Palace,English Premier League,90,5.78
José Sá,J4,GK,Wolves,English Premier League,90,6.64
Juan Musso,J11,GK,Atalanta,Italian Serie A,90,6.17
Yann Sommer,J11,GK,Inter,Italian Serie A,90,6.26
Alisson,J4,GK,Liverpool,English Premier League,90,7.36
Emiliano Martínez,J4,GK,Aston Villa,English Premier League,90,5.5
Aaron Ramsdale,J4,GK,Arsenal,English Premier League,90,5.87
André Onana,J4,GK,Manchester Utd,English Premier League,90,5.47
José Sá,J5,GK,Wolves,English Premier League,90,5.72
Alisson,J5,GK,Liverpool,English Premier League,90,5.81
Guglielmo Vicario,J5,GK,Tottenham,English Premier League,90,6.93
Wes Foderingham,J5,GK,Sheffield Utd,English Premier League,90,6.76
Alphonse Areola,J5,GK,West Ham,English Premier League,90,6.68
Ederson,J5,GK,Manchester City,English Premier League,90,6.43
Emiliano Martínez,J5,GK,Aston Villa,English Premier League,90,6.15
Sam Johnstone,J5,GK,Crystal Palace,English Premier League,90,5.99
Bernd Leno,J5,GK,Fulham,English Premier League,90,7.26
Thomas Kaminski,J5,GK,Luton Town,English Premier League,90,6.42
André Onana,J5,GK,Manchester Utd,English Premier League,90,5.71
Jason Steele,J5,GK,Brighton,English Premier League,90,6.52
