Player,Game Week,Position,Team,League,Minutes,Rating
Mateo Kovačić,J1,MF,Manchester City,Premier League,90.0,7.43
Rico Lewis,J1,MF,Manchester City,Premier League,90.0,6.68
Joško Gvardiol,J1,DF,Manchester City,Premier League,90.0,7.18
Rúben Dias,J1,DF,Manchester City,Premier League,90.0,6.28
Manuel Akanji,J1,DF,Manchester City,Premier League,90.0,6.58
Jamie Vardy,J1,FW,Leicester City,Premier League,78.0,6.72
Bobby De Cordova-Reid,J1,MO,Leicester City,Premier League,85.0,5.62
Abdul Fatawu Issahaku,J1,MO,Leicester City,Premier League,90.0,6.87
Facundo Buonanotte,J1,MO,Leicester City,Premier League,78.0,6.21
Wilfred Ndidi,J1,MF,Leicester City,Premier League,90.0,5.86
Harry Winks,J1,MF,Leicester City,Premier League,90.0,6.76
Victor Bernth Kristiansen,J1,DF,Leicester City,Premier League,90.0,6.87
Wout Faes,J1,DF,Leicester City,Premier League,90.0,6.08
Jannik Vestergaard,J1,DF,Leicester City,Premier League,90.0,5.94
James Justin,J1,DF,Leicester City,Premier League,90.0,6.62
Dominic Solanke,J1,FW,Tottenham,Premier League,90.0,6.96
Son Heung-min,J1,MO,Tottenham,Premier League,89.0,6.92
Brennan Johnson,J1,MO,Tottenham,Premier League,77.0,6.43
James Maddison,J1,MO,Tottenham,Premier League,78.0,7.41
Rodrigo Bentancur,J1,MF,Tottenham,Premier League,77.0,6.84
Pape Matar Sarr,J1,MO,Tottenham,Premier League,77.0,6.13
Destiny Udogie,J1,DF,Tottenham,Premier League,90.0,6.86
Micky van de Ven,J1,DF,Tottenham,Premier League,90.0,6.54
Cristian Romero,J1,DF,Tottenham,Premier League,90.0,6.69
Pedro Porro,J1,DF,Tottenham,Premier League,89.0,5.87
Danny Welbeck,J2,FW,Brighton,Premier League,78.0,7.35
Kaoru Mitoma,J2,MO,Brighton,Premier League,89.0,6.31
Yankuba Minteh,J2,MO,Brighton,Premier League,89.0,6.81
João Pedro,J2,MO,Brighton,Premier League,90.0,7.66
Billy Gilmour,J2,MF,Brighton,Premier League,89.0,7.25
James Milner,J2,MF,Brighton,Premier League,72.0,6.3
Jack Hinshelwood,J2,DF,Brighton,Premier League,90.0,4.8
Lewis Dunk,J2,DF,Brighton,Premier League,90.0,6.51
Jan Paul van Hecke,J2,DF,Brighton,Premier League,90.0,7.71
Joël Veltman,J2,DF,Brighton,Premier League,90.0,7.01
Bruno Fernandes,J2,FW,Manchester Utd,Premier League,78.0,6.86
Marcus Rashford,J2,MO,Manchester Utd,Premier League,64.0,5.44
Alejandro Garnacho,J2,MO,Manchester Utd,Premier League,26.0,7.29
Amad Diallo,J2,MO,Manchester Utd,Premier League,89.0,7.51
Mason Mount,J2,MO,Manchester Utd,Premier League,45.0,6.17
Joshua Zirkzee,J2,FW,Manchester Utd,Premier League,45.0,5.82
Kobbie Mainoo,J2,MF,Manchester Utd,Premier League,90.0,6.67
Casemiro,J2,MF,Manchester Utd,Premier League,90.0,6.41
Diogo Dalot,J2,DF,Manchester Utd,Premier League,90.0,7.8
Lisandro Martínez,J2,DF,Manchester Utd,Premier League,90.0,6.72
Harry Maguire,J2,DF,Manchester Utd,Premier League,78.0,6.82
Noussair Mazraoui,J2,DF,Manchester Utd,Premier League,90.0,6.74
Erling Haaland,J2,FW,Manchester City,Premier League,89.0,7.9
Jeremy Doku,J2,MO,Manchester City,Premier League,70.0,6.56
İlkay Gündoğan,J2,MF,Manchester City,Premier League,20.0,6.05
Sávio,J2,MO,Manchester City,Premier League,70.0,7.01
Jack Grealish,J2,MO,Manchester City,Premier League,20.0,6.26
Kevin De Bruyne,J2,MF,Manchester City,Premier League,89.0,7.71
Bernardo Silva,J2,MF,Manchester City,Premier League,90.0,5.69
Mateo Kovačić,J2,MF,Manchester City,Premier League,49.0,6.72
John Stones,J2,MF,Manchester City,Premier League,41.0,6.47
Rico Lewis,J2,MF,Manchester City,Premier League,90.0,7.08
Joško Gvardiol,J2,DF,Manchester City,Premier League,90.0,6.53
Rúben Dias,J2,DF,Manchester City,Premier League,90.0,6.55
Manuel Akanji,J2,DF,Manchester City,Premier League,90.0,6.63
Liam Delap,J2,FW,Ipswich Town,Premier League,82.0,5.58
Sammie Szmodics,J2,MO,Ipswich Town,Premier League,71.0,6.06
Massimo Luongo,J2,MF,Ipswich Town,Premier League,71.0,5.39
Sam Morsy,J2,MF,Ipswich Town,Premier League,90.0,6.1
Omari Hutchinson,J2,MO,Ipswich Town,Premier League,88.0,5.41
Leif Davis,J2,DF,Ipswich Town,Premier League,90.0,6.52
Jacob Greaves,J2,DF,Ipswich Town,Premier League,90.0,5.34
Luke Woolfenden,J2,DF,Ipswich Town,Premier League,90.0,5.8
Axel Tuanzebe,J2,DF,Ipswich Town,Premier League,88.0,6.23
Ben Johnson,J2,DF,Ipswich Town,Premier League,90.0,6.69
Ben Brereton,J2,FW,Southampton,Premier League,90.0,6.41
Adam Armstrong,J2,FW,Southampton,Premier League,70.0,5.83
Samuel Edozie,J2,DF,Southampton,Premier League,20.0,5.12
Joe Aribo,J2,MF,Southampton,Premier League,75.0,5.92
Flynn Downes,J2,MF,Southampton,Premier League,90.0,7.41
William Smallbone,J2,MF,Southampton,Premier League,83.0,6.12
Kyle Walker-Peters,J2,DF,Southampton,Premier League,90.0,7.02
Yukinari Sugawara,J2,DF,Southampton,Premier League,70.0,6.9
Cameron Archer,J2,FW,Southampton,Premier League,20.0,5.59
