Player,Game Week,Position,Team,League,Minutes,Rating
Pietro Terracciano,J11,GK,Fiorentina,UEFA Europa Conference League,90,5.68
Ricardo Manuel Silva,J11,GK,NK Celje,UEFA Europa Conference League,90,7.94
Amir Saipi,J11,GK,Lugano,UEFA Europa Conference League,90,6.39
Sławomir Abramowicz,J11,GK,Jagiellonia,UEFA Europa Conference League,90,7.6
Maxime Delanghe,J11,GK,Cercle Brugge,UEFA Europa Conference League,90,5.75
Filip Manojlović,J11,GK,Borac Banja Luka,UEFA Europa Conference League,90,6.58
Niklas Hedl,J11,GK,Rapid Wien,UEFA Europa Conference League,90,6.52
Mike Maignan,J23,GK,Milan,Italian Serie A,90,6.92
Yann Sommer,J23,GK,Inter,Italian Serie A,90,6.25
Ivica Ivušić,J11,GK,Pafos FC,UEFA Europa Conference League,90,7.41
Malkolm Nilsson,J11,GK,Djurgården,UEFA Europa Conference League,90,7.05
Warleson,J12,GK,Cercle Brugge,UEFA Europa Conference League,90,7.18
Sławomir Abramowicz,J12,GK,Jagiellonia,UEFA Europa Conference League,90,6.77
Malkolm Nilsson,J12,GK,Djurgården,UEFA Europa Conference League,75,6.41
Ivica Ivušić,J12,GK,Pafos FC,UEFA Europa Conference League,90,5.64
