Player,Game Week,Position,Team,League,Minutes,Rating
Fyodor Lapoukhov,J1,GK,Dinamo Minsk,UEFA Europa Conference League,90,6.41
Craig Gordon,J1,GK,Hearts,UEFA Europa Conference League,90,6.46
Fabiano,J1,GK,AC Omonia,UEFA Europa Conference League,90,7.45
Ingvar Jónsson,J1,GK,KV,UEFA Europa Conference League,90,5.79
Léon-Maurice Pöhls,J1,GK,Shamrock Rov,UEFA Europa Conference League,90,6.31
Vid Belec,J1,GK,APOEL,UEFA Europa Conference League,90,6.02
Filip Jørgensen,J1,GK,Chelsea,UEFA Europa Conference League,90,5.9
Davy Roef,J1,GK,Gent,UEFA Europa Conference League,90,5.11
Ognjen Čančarević,J1,GK,FC Noah,UEFA Europa Conference League,90,7.41
Matouš Trmal,J1,GK,Mladá Boleslav,UEFA Europa Conference League,90,6.43
Razvan Sava,J22,GK,Udinese,Italian Serie A,90,6.66
Mile Svilar,J22,GK,Roma,Italian Serie A,90,6.43
Jörg Siebenhandl,J1,GK,LASK,UEFA Europa Conference League,90,5.81
Oscar Jansson,J1,GK,Djurgården,UEFA Europa Conference League,90,5.71
Damjan Šiškovski,J1,GK,Borac Banja Luka,UEFA Europa Conference League,90,6.59
Bartłomiej Drągowski,J1,GK,Panathinaikos,UEFA Europa Conference League,90,6.31
Pietro Terracciano,J1,GK,Fiorentina,UEFA Europa Conference League,90,6.98
Connor Roberts,J1,GK,The New Saints,UEFA Europa Conference League,90,6.68
Nathan Trott,J1,GK,FC Copenhagen,UEFA Europa Conference League,90,5.49
Sławomir Abramowicz,J1,GK,Jagiellonia,UEFA Europa Conference League,90,6.55
Amir Saipi,J1,GK,Lugano,UEFA Europa Conference League,90,7.42
Thijmen Nijhuis,J1,GK,HJK,UEFA Europa Conference League,90,6.08
Silviu Șmalenea,J1,GK,Petrocub,UEFA Europa Conference League,90,5.22
Ivica Ivušić,J1,GK,Pafos FC,UEFA Europa Conference League,90,6.42
Josip Condric,J1,GK,Astana FK,UEFA Europa Conference League,90,7.37
Veljko Ilic,J1,GK,TSC Bačka Top,UEFA Europa Conference League,90,6.09
Ingvar Jónsson,J2,GK,KV,UEFA Europa Conference League,90,6.9
Maxime Delanghe,J2,GK,Cercle Brugge,UEFA Europa Conference League,90,5.79
Rohan Ferguson,J2,GK,Larne FC,UEFA Europa Conference League,90,5.33
Léon-Maurice Pöhls,J2,GK,Shamrock Rov,UEFA Europa Conference League,90,6.37
Craig Gordon,J2,GK,Hearts,UEFA Europa Conference League,90,7.13
Fabiano,J2,GK,AC Omonia,UEFA Europa Conference League,90,5.73
Wladimiro Falcone,J22,GK,Lecce,Italian Serie A,90,5.25
Yann Sommer,J22,GK,Inter,Italian Serie A,90,7.6
Davy Roef,J2,GK,Gent,UEFA Europa Conference League,90,6.46
Albert Posiadala,J2,GK,Molde,UEFA Europa Conference League,90,5.95
Niklas Hedl,J2,GK,Rapid Wien,UEFA Europa Conference League,90,7.32
Ognjen Čančarević,J2,GK,FC Noah,UEFA Europa Conference League,90,6.95
Jacob Rinne,J2,GK,Djurgården,UEFA Europa Conference League,90,5.77
Bruno Varela,J2,GK,Vitória,UEFA Europa Conference League,90,6.51
Matjaž Rozman,J2,GK,NK Celje,UEFA Europa Conference League,90,6.81
Deniz Dilmen,J2,GK,Başakşehir,UEFA Europa Conference League,90,5.29
Lawrence Ati-Zigi,J2,GK,St. Gallen,UEFA Europa Conference League,90,5.76
Pietro Terracciano,J2,GK,Fiorentina,UEFA Europa Conference League,90,5.59
Sławomir Abramowicz,J2,GK,Jagiellonia,UEFA Europa Conference League,90,6.91
Silviu Șmalenea,J2,GK,Petrocub,UEFA Europa Conference League,90,6.09
Bartłomiej Drągowski,J2,GK,Panathinaikos,UEFA Europa Conference League,90,5.62
Filip Jørgensen,J2,GK,Chelsea,UEFA Europa Conference League,90,6.68
Vid Belec,J2,GK,APOEL,UEFA Europa Conference League,90,5.91
Filip Manojlović,J2,GK,Borac Banja Luka,UEFA Europa Conference League,90,7.47
Connor Roberts,J2,GK,The New Saints,UEFA Europa Conference League,90,7.86
Aleksandr Zarutskiy,J2,GK,Astana FK,UEFA Europa Conference League,90,6.45
Matouš Trmal,J2,GK,Mladá Boleslav,UEFA Europa Conference League,90,7.11
Amir Saipi,J2,GK,Lugano,UEFA Europa Conference League,90,7.63
Ivan Provedel,J22,GK,Lazio,Italian Serie A,90,5.62
David de Gea,J22,GK,Fiorentina,Italian Serie A,90,6.53
Veljko Ilic,J2,GK,TSC Bačka Top,UEFA Europa Conference League,90,5.8
Kacper Tobiasz,J2,GK,Legia Warsaw,UEFA Europa Conference League,90,7.68
Matevž Vidovšek,J2,GK,Olimpija,UEFA Europa Conference League,90,7.75
Jörg Siebenhandl,J2,GK,LASK,UEFA Europa Conference League,90,6.19
Adrián,J2,GK,Betis,UEFA Europa Conference League,90,6.42
Nathan Trott,J2,GK,FC Copenhagen,UEFA Europa Conference League,90,6.05
Thijmen Nijhuis,J2,GK,HJK,UEFA Europa Conference League,90,7.47
Fyodor Lapoukhov,J2,GK,Dinamo Minsk,UEFA Europa Conference League,90,6.81
Ivica Ivušić,J2,GK,Pafos FC,UEFA Europa Conference League,90,6.55
Kevin Müller,J2,GK,Heidenheim,UEFA Europa Conference League,90,7.52
Ingvar Jónsson,J3,GK,KV,UEFA Europa Conference League,90,7.52
Filip Manojlović,J3,GK,Borac Banja Luka,UEFA Europa Conference League,90,6.65
Léon-Maurice Pöhls,J3,GK,Shamrock Rov,UEFA Europa Conference League,90,6.1
Connor Roberts,J3,GK,The New Saints,UEFA Europa Conference League,90,6.38
Davy Roef,J3,GK,Gent,UEFA Europa Conference League,90,7.37
