Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Miguel Jiménez Ponce,mx MEX,GK,Puebla,34,1990,24,24,2160,36,35
Miguel Ortega,mx MEX,GK,Tijuana,29,1995,3,3,270,35,64
Mika,pt POR,GK,Moreirense,33,1991,1,0,3,43,20
Mike Hauptmeijer,nl NED,GK,Zwolle,27,1997,4,4,360,37,74
Mike Penders,be BEL,GK,Genk,19,2005,11,11,989,69,71
Mirko Pigliacelli,it ITA,GK,Catanzaro,31,1993,38,38,3420,61,66
Mohamed Koné,ci CIV,GK,Charleroi,22,2002,21,21,1890,70,72
Mouhamadou Sarr,sn SEN,GK,Spezia,27,1997,4,4,360,56,49
Nahuel Guzmán,ar ARG,GK,UANL,38,1986,28,28,2519,66,69
Nahuel Losada,ar ARG,GK,Lanús,32-093,1993,16,16,1440,80,59
Nelson Insfrán,ar ARG,GK,Gimnasia–LP,30-056,1995,14,14,1260,77,54
Niccolò Chiorra,it ITA,GK,Carrarese,23,2001,2,1,158,8,14
Nicholas Hagen,gt GUA,GK,Columbus Crew,28-351,1996,3,3,270,33,15
Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-009,2001,10,10,900,66,43
Nick Gillekens,be BEL,GK,Westerlo,29,1995,1,1,90,59,91
Nick Olij,nl NED,GK,Sparta R'dam,28,1995,34,34,3060,61,85
Nick Shinton,be BEL,GK,Beerschot,23,2001,21,21,1845,57,46
Nico Mantl,de GER,GK,Arouca,24,2000,29,29,2610,43,54
Nicola Ravaglia,it ITA,GK,Carrarese,35,1988,2,1,158,56,50
Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,35,35,3090,45,60
Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,41,66
Nordin Jackers,be BEL,GK,Club Brugge,26,1997,1,0,31,33,98
Novak Mićović,rs SRB,GK,LA Galaxy,23-267,2001,12,12,1080,44,26
Nícolas Andrade,br BRA,GK,Pisa,36,1988,1,1,90,34,38
Oliver Christensen,dk DEN,GK,Salernitana,25,1999,16,16,1440,64,60
Oliver Dovin,se SWE,GK,Coventry City,22,2002,28,28,2467,51,38
Orlando Gil,py PAR,GK,San Lorenzo,25-038,2000,17,17,1530,57,39
Ortwin De Wolf,be BEL,GK,Mechelen,27,1997,30,30,2700,68,62
Oscar Jiménez,mx MEX,GK,León,35,1988,8,8,720,51,68
Pablo Lara,mx MEX,GK,UNAM,19,2005,7,7,630,45,52
Pablo Sisniega,mx MEX,GK,San Diego FC,30-012,1995,2,2,180,64,40
Paolo Vismara,it ITA,GK,Sampdoria,21,2003,10,7,753,50,31
Patrick Schulte,us USA,GK,Columbus Crew,24-128,2001,15,15,1350,38,42
Patrick Sequeira,cr CRC,GK,Casa Pia,25,1999,32,32,2880,63,47
Patrik Gunnarsson,is ISL,GK,Kortrijk,23,2000,11,11,922,35,72
Pau López,es ESP,GK,Toluca,29,1994,10,10,900,31,43
Paul Nardi,fr FRA,GK,QPR,30,1994,45,45,4050,35,54
Pedro Gallese,pe PER,GK,Orlando City,35-146,1990,21,21,1890,50,40
Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,8,720,65,84
Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1,1,90,25,65
Przemysław Tytoń,pl POL,GK,Twente,37,1987,3,3,270,18,79
Rafael Cabral,br BRA,GK,Real Salt Lake,35-060,1990,22,22,1980,58,49
Rafael Pires,br BRA,GK,São Paulo,36-026,1989,20,20,1800,54,12
Randall Rodríguez,uy URU,GK,Vélez Sarsfield,21-232,2003,1,1,90,25,43
Remko Pasveer,nl NED,GK,Ajax,40,1983,24,24,2160,72,84
Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1,1,90,25,40
Ricardo Gutiérrez,mx MEX,GK,Mazatlán,27,1997,1,0,45,68,41
Ricardo Velho,pt POR,GK,Farense,25,1998,28,28,2520,56,55
Riccardo Gagno,it ITA,GK,Modena,27,1997,37,37,3330,42,53
Robin Roefs,nl NED,GK,NEC Nijmegen,21,2003,32,32,2880,72,63
Rocco Ríos Novo,ar ARG,GK,Inter Miami,23-045,2002,4,1,250,27,62
Rodolfo Cota,mx MEX,GK,América,37,1987,6,5,495,48,40
Rodrigo Morínigo,py PAR,GK,py Libertad,26-285,1998,5,5,450,65,60
Rodrigo Rey,ar ARG,GK,Independiente,34-133,1991,17,17,1530,58,64
Rodrigo Saracho,ar ARG,GK,bo San Antonio Bulo Bulo,31-194,1994,6,6,540,39,50
Roman Bürki,ch SUI,GK,St. Louis,34-247,1990,13,13,1170,55,72
Roman Celentano,us USA,GK,FC Cincinnati,24-308,2000,23,23,2070,51,42
