Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Gabriel Arias,cl CHI,GK,Racing Club,37-309,1987,19,19,1646,62,36
Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34,34,3060,53,43
Gabriel Brazão,br BRA,GK,Santos,24-287,2000,13,13,1170,49,28
Gabriel Castellón,cl CHI,GK,cl U de Chile,31-314,1993,6,6,540,52,36
Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-009,2002,1,1,90,32,27
Gastón Olveira,uy URU,GK,py Olimpia,32-089,1993,3,3,270,27,44
Gatito Fernández,py PAR,GK,py Cerro Porteño,37-112,1988,3,3,270,48,47
Gavin Bazunu,ie IRL,GK,Standard Liège,22,2002,6,6,540,30,48
George Evans,eng ENG,GK,Millwall,19,2005,4,4,360,28,60
George Long,eng ENG,GK,Norwich City,30,1993,9,8,765,25,41
Giacomo Drago,it ITA,GK,Südtirol,23,2001,5,5,450,34,38
Giacomo Poluzzi,it ITA,GK,Südtirol,36,1988,18,18,1620,37,70
Giacomo Satalino,it ITA,GK,Sassuolo,25,1999,10,10,900,65,48
Gil Alcalá,mx MEX,GK,UNAM,32,1992,4,4,360,48,77
Gonzalo Valle,ec ECU,GK,ec LDU de Quito,29-141,1996,6,6,526,80,58
Guido Herrera,ar ARG,GK,ar Talleres,33-140,1992,19,19,1665,41,58
Guido Villar,ar ARG,GK,ec Independiente,27-154,1998,6,6,540,27,32
Guillaume Dietsch,fr FRA,GK,Dender,23,2001,1,0,49,12,8
Guillermo Allison,mx MEX,GK,Querétaro,33,1990,25,25,2250,47,51
Guillermo Ochoa,mx MEX,GK,AVS Futebol,39,1985,23,23,2070,29,62
Guillermo Vizcarra,bo BOL,GK,pe Alianza Lima,32-162,1993,6,6,540,23,70
Guillermo de Amores,uy URU,GK,uy Peñarol,30-273,1994,3,3,270,48,44
Gustavo,br BRA,GK,Juventude,32-131,1993,7,7,585,31,40
Harlen Castillo,co COL,GK,co Nacional,31-336,1993,1,1,90,56,41
Hendrik Van Crombrugge,be BEL,GK,Genk,31,1993,19,19,1710,44,69
Hernán Galíndez,ec ECU,GK,Huracán,38-111,1987,16,16,1440,67,37
Hidde Jurjus,nl NED,GK,Groningen,30,1994,2,2,180,18,67
Horaţiu Moldovan,ro ROU,GK,Sassuolo,26,1998,27,27,2430,61,35
Hugo González Durán,mx MEX,GK,Mazatlán,33,1990,34,34,3015,51,68
Hugo Lloris,fr FRA,GK,LAFC,38-205,1986,18,18,1620,45,55
Hugo Souza,br BRA,GK,Corinthians,26-169,1999,9,9,810,48,41
Héctor Holguín,mx MEX,GK,Santos,23,2001,1,1,90,62,42
Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-102,1992,17,17,1530,87,63
Ignacio De Arruabarrena,uy URU,GK,ec Barcelona,28-184,1997,2,1,144,28,26
Illan Meslier,fr FRA,GK,Leeds United,24,2000,39,39,3510,52,34
Ivan Zlobin,ru RUS,GK,Famalicão,27,1997,15,15,1350,71,35
Ivor Pandur,hr CRO,GK,Hull City,24,2000,44,44,3960,52,42
Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40,40,3600,54,55
Jacopo Sassi,it ITA,GK,Modena,21,2003,1,1,90,15,73
Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,43,42
James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,35,50
James Pantemis,ca CAN,GK,Portland Timbers,28-148,1997,12,12,1080,63,69
James Shea,eng ENG,GK,Luton Town,33,1991,2,1,147,85,67
James Trafford,eng ENG,GK,Burnley,21,2002,45,45,4050,72,43
Jamie Cumming,eng ENG,GK,Oxford United,24,1999,45,45,4050,67,70
Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,49,60
Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30,30,2700,66,64
Javier Burrai,ec ECU,GK,ar Talleres,34-283,1990,5,4,405,68,71
Javier Otero,ve VEN,GK,Orlando City,22-243,2002,2,2,180,66,42
Jayden Hibbert,jm JAM,GK,Atlanta Utd,20-348,2004,1,1,90,48,30
Jeffrey Gal,us USA,GK,Chicago Fire,32-104,1993,7,6,591,28,37
Jeroen Houwen,nl NED,GK,RKC Waalwijk,28,1996,24,24,2160,38,77
Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6,6,540,42,57
Jesús Camargo,ve VEN,GK,ve Dep Táchira,27-219,1997,6,6,540,50,46
Jesús Rodríguez,mx MEX,GK,Puebla,31,1993,4,4,360,50,75
Jhonatan,br BRA,GK,Rio Ave,33,1991,8,8,720,40,50
Jimmy Maurer,us USA,GK,Houston Dynamo,36-278,1988,2,1,120,43,43
Jo Coppens,be BEL,GK,Sint-Truiden,33,1990,3,3,270,10,40
Joe Walsh,eng ENG,GK,QPR,22,2002,1,1,90,83,60
Joe Wildsmith,eng ENG,GK,West Brom,28,1995,10,10,900,47,63
Joe Willis,us USA,GK,Nashville SC,36-343,1988,23,23,2070,64,53
Joel Drommel,nl NED,GK,PSV Eindhoven,27,1996,1,0,45,34,78
Joel Robles,es ESP,GK,Estoril,34,1990,29,29,2610,56,52
Joey Kesting,nl NED,GK,RKC Waalwijk,23,2001,3,3,270,36,72
John,br BRA,GK,Botafogo (RJ),29-156,1996,19,19,1710,70,56
John McCarthy,us USA,GK,LA Galaxy,33-015,1992,11,11,990,25,25
John Pulskamp,us USA,GK,Sporting KC,24-091,2001,22,22,1980,42,36
Jonas Wendlinger,at AUT,GK,Almere City,24,2000,1,0,10,48,58
Jonathan Bond,eng ENG,GK,Houston Dynamo,32-061,1993,24,23,2148,38,47
Jonathan Klinsmann,us USA,GK,Cesena,27,1997,27,27,2430,53,24
Jonathan Sirois,ca CAN,GK,CF Montréal,24-022,2001,20,20,1800,39,56
Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,65,41
Jorge Broun,ar ARG,GK,Rosario Central,39-054,1986,15,15,1350,56,64
Jorge Carranza,ar ARG,GK,Aldosivi,44-073,1981,13,13,1170,29,59
Jorge Hernández,mx MEX,GK,Querétaro,25,1998,9,9,810,44,17
Josh Vickers,eng ENG,GK,Derby County,28,1995,6,6,540,63,46
Joshua Griffiths,eng ENG,GK,West Brom,22,2001,6,6,540,21,50
Josue Reinatti,ar ARG,GK,Newell's OB,22-047,2003,2,2,180,66,64
José Antonio Rodríguez,mx MEX,GK,Tijuana,32,1992,21,21,1880,43,76
José Contreras Verna,ve VEN,GK,ec Barcelona,30-272,1994,5,5,396,84,24
José Corona,mx MEX,GK,Tijuana,43,1981,11,10,910,54,49
José Eulogio,mx MEX,GK,Pachuca,20,2004,2,2,180,8,43
José Rangel Aguilar,mx MEX,GK,Guadalajara,24,2000,32,32,2879,62,63
José Santiago Hernández,mx MEX,GK,Atlas,27,1997,3,3,270,31,34
João Gonçalves,pt POR,GK,Boavista,23,2000,4,4,360,62,50
João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14,14,1260,55,57
João Ricardo Riedi,br BRA,GK,Fortaleza,36-316,1988,18,18,1620,77,52
João Valido,pt POR,GK,Arouca,24,2000,5,5,450,50,49
Juan Cozzani,ar ARG,GK,Platense,26-283,1998,17,17,1530,70,31
Juan Espínola,py PAR,GK,Belgrano,30-259,1994,11,11,990,29,58
Juan González,uy URU,GK,Atlé Tucumán,32-009,1993,6,6,540,64,61
Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,24-038,2001,2,2,180,49,30
Julien Devriendt,be BEL,GK,Dender,25,1998,4,3,315,27,46
Julio José González,mx MEX,GK,UNAM,33,1991,19,19,1710,47,53
Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,20,53
Kaique,br BRA,GK,Farense,21,2003,6,6,540,59,62
Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,7,630,55,44
Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,72,17
Kevin Mier,co COL,GK,Cruz Azul,24,2000,33,33,2970,49,49
Kewin,br BRA,GK,Moreirense,28,1995,29,29,2610,43,62
Keylor Navas,cr CRC,GK,Newell's OB,38-216,1986,14,14,1260,77,64
Kim Joonhong,kr KOR,GK,D.C. United,22-046,2003,7,7,630,34,71
