Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
us USA,GK,NY Red Bulls,25-353,1999,1,1,90,30,39
us USA,GK,Colorado Rapids,19-092,2006,1,1,90,28,48
wls WAL,GK,Sheffield Utd,32,1992,3,3,270,36,63
hr CRO,GK,Pisa,26,1998,36,36,3240,52,64
ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,52,42
ar ARG,GK,Flamengo,29-332,1995,19,19,1710,64,27
ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,34,24
co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,63,53
us USA,GK,Minnesota Utd,26-097,1999,2,1,161,40,49
it ITA,GK,Cosenza,31,1993,37,37,3296,51,70
it ITA,GK,Sassuolo,23,2001,1,1,90,68,32
it ITA,GK,Frosinone,22,2002,2,2,180,42,44
it ITA,GK,Sampdoria,30,1994,14,14,1260,47,67
br BRA,GK,Mirassol,35-251,1989,6,6,540,38,19
es ESP,GK,UNAM,20,2003,10,10,900,33,56
eng ENG,GK,West Brom,27,1996,30,30,2700,55,58
ar ARG,GK,py Cerro Porteño,33-015,1992,3,3,270,51,71
ec ECU,GK,ec LDU de Quito,23-300,2001,1,0,14,33,69
mx MEX,GK,León,37,1987,26,26,2340,61,65
sn SEN,GK,Palermo,30,1993,1,1,36,53,46
si SVN,GK,NE Revolution,31-202,1993,22,22,1980,46,34
ua UKR,GK,Benfica,22,2001,32,32,2880,57,30
jm JAM,GK,Philadelphia Union,34-240,1990,14,14,1260,52,52
it ITA,GK,Cremonese,29,1994,38,38,3420,42,50
dk DEN,GK,Westerlo,22,2002,8,8,720,49,73
br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,46,56
us USA,GK,Philadelphia Union,19-170,2006,9,9,810,35,50
us USA,GK,Houston Dynamo,31-285,1993,4,4,306,32,38
ru RUS,GK,Seattle Sounders,26-321,1998,4,4,360,46,17
nl NED,GK,Heerenveen,30,1994,16,16,1365,47,54
mx MEX,GK,Cruz Azul,27,1997,1,1,90,26,42
mx MEX,GK,Atlético,26,1997,30,30,2624,49,49
sct SCO,GK,Norwich City,28,1996,35,35,3104,42,33
br BRA,GK,Internacional,23-177,2002,18,17,1575,37,23
lu LUX,GK,Union SG,34,1990,30,30,2700,56,62
eng ENG,GK,Sunderland,24,2000,42,42,3780,49,48
be BEL,GK,Standard Liège,26,1998,2,2,180,62,64
mx MEX,GK,FC Juárez,22,2002,2,2,180,74,69
ar ARG,GK,Rosario Central,29-141,1996,2,2,180,50,28
eng ENG,GK,Blackburn,26,1998,40,40,3600,54,44
hu HUN,GK,Blackburn,26,1997,6,6,540,55,42
eng ENG,GK,Portsmouth,28,1995,2,2,180,50,81
eng ENG,GK,Coventry City,31,1992,4,4,360,65,49
de GER,GK,St. Louis,29-298,1995,9,9,810,60,67
mx MEX,GK,FC Juárez,25,1998,11,11,990,47,59
us USA,GK,Houston Dynamo,22-281,2002,4,3,294,60,35
rs SRB,GK,Bari,28,1996,37,37,3311,66,45
us USA,GK,Atlanta Utd,40-313,1984,21,21,1890,49,57
us USA,GK,Austin,34-094,1991,22,22,1980,70,70
eng ENG,GK,Coventry City,27,1997,15,14,1313,28,57
cl CHI,GK,cl Colo-Colo,30-130,1995,5,5,450,38,23
br BRA,GK,Fortaleza,26-109,1999,1,1,90,33,41
fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,33,47
br BRA,GK,Estrela,33,1991,18,18,1575,41,49
br BRA,GK,Ceará,31-125,1994,6,6,513,41,55
cv CPV,GK,Vitória,29,1994,34,34,3060,44,41
us USA,GK,San Diego FC,24-329,2000,21,21,1890,59,35
br BRA,GK,Moreirense,33,1990,5,5,447,48,38
co COL,GK,Atlas,35,1989,31,31,2790,50,54
eng ENG,GK,Hull City,23,2001,2,2,180,33,41
mx MEX,GK,Santos,28,1996,33,33,2970,51,63
py PAR,GK,NY Red Bulls,28-202,1996,22,22,1980,59,37
mx MEX,GK,UANL,35,1989,3,3,270,58,21
bo BOL,GK,bo Bolívar,38-124,1987,1,1,90,61,48
mx MEX,GK,Pachuca,26,1998,32,32,2880,51,64
br BRA,GK,Sport Recife,30-046,1995,11,11,990,49,38
mx MEX,GK,Atlético,24,2000,5,4,436,46,53
pl POL,GK,Rio Ave,22,2001,26,26,2325,50,55
us USA,GK,Chicago Fire,21-138,2004,16,16,1385,54,26
br BRA,GK,RB Bragantino,27-334,1997,12,12,1080,53,44
pt POR,GK,Porto,32,1991,2,2,180,44,24
be BEL,GK,Anderlecht,31,1992,28,28,2520,75,65
nir NIR,GK,Plymouth Argyle,26,1998,25,25,2250,50,68
br BRA,GK,Cruzeiro,38-043,1987,14,14,1260,70,28
br BRA,GK,Boavista,32,1992,16,16,1440,48,47
br BRA,GK,SJ Earthquakes,31-074,1994,19,19,1595,57,45
pt POR,GK,Casa Pia,26,1998,1,1,90,29,20
at AUT,GK,Watford,30,1994,22,22,1902,49,52
pl POL,GK,NAC Breda,25,1999,32,32,2880,52,70
pt POR,GK,Estoril,26,1998,1,1,90,39,27
eng ENG,GK,Plymouth Argyle,26,1998,21,21,1890,45,64
jp JPN,GK,Gent,32,1992,1,1,90,76,36
us USA,GK,Charlotte,35-273,1989,2,2,180,71,27
wls WAL,GK,Preston,33,1991,10,9,811,36,75
us USA,GK,LAFC,24-184,2001,1,1,90,22,17
co COL,GK,co Nacional,36-322,1988,5,5,450,56,62
hr CRO,GK,Beerschot,24,1999,10,9,852,46,32
be BEL,GK,Gent,30,1994,26,26,2340,70,58
ca CAN,GK,Minnesota Utd,28-071,1997,19,19,1710,59,54
sn SEN,GK,Juve Stabia,26,1998,38,38,3420,63,62
de GER,GK,Ajax,22,2001,1,1,90,52,28
pe PER,GK,pe Sporting Cristal,23-176,2002,6,6,540,47,34
ar ARG,GK,Arg Juniors,36-024,1989,17,17,1530,50,56
pt POR,GK,Porto,24,1999,32,32,2880,57,53
us USA,GK,Inter Miami,27-285,1997,3,2,185,40,53
us USA,GK,SJ Earthquakes,33-176,1992,6,4,475,35,48
it ITA,GK,Reggiana,19,2005,2,2,180,26,66
mx MEX,GK,Guadalajara,22,2002,2,2,180,46,53
no NOR,GK,Watford,27,1997,16,16,1440,58,57
al ALB,GK,Cittadella,27,1997,29,29,2565,55,32
id IDN,GK,Palermo,27,1997,14,14,1260,54,73
