Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
us USA,GK,NY Red Bulls,25-353,1999,1,1,90,57,46,45,32
ie IRL,MO,Sunderland,24,2000,24,8,905,44,22,33,42
gt GUA,MF,D.C. United,28-043,1997,18,16,1442,54,70,66,61
us USA,DF,LAFC,32-280,1992,15,15,1271,59,52,34,52
nl NED,DF,RKC Waalwijk,36,1987,17,9,753,43,58,55,49
mx MEX,MF,Tijuana,23,2001,30,19,1813,28,43,43,44
ar ARG,MO,Defensa y Just,24-351,2000,15,13,1003,50,75,64,57
ar ARG,DF,ar Vélez Sarsfield,23-261,2001,10,8,680,25,28,42,65
wls WAL,MF,Cardiff City,33,1990,9,6,564,52,58,58,47
mx MEX,MF,América,21,2003,2,2,179,35,79,46,40
dz ALG,MO,Kortrijk,24,2000,23,19,1659,43,80,60,58
ml MLI,MO,Boavista,33,1991,12,9,894,44,32,26,38
gn GUI,MO,Portsmouth,19,2004,5,0,124,23,41,45,57
fr FRA,MF,Kortrijk,26,1998,24,18,1580,54,40,44,65
0,FW,Fortuna Sittard,0,0,1,0,4,35,37,45,11
tr TUR,MO,Hull City,25,1999,20,12,1064,25,43,36,45
py PAR,DF,py Olimpia,28-053,1997,2,0,23,28,44,54,4
ar ARG,FW,Defensa y Just,23-036,2002,15,11,919,46,43,59,58
br BRA,DF,Juventude,21-091,2004,6,5,495,27,46,42,46
mx MEX,MF,Atlas,22,2001,1,0,10,21,19,35,15
eng ENG,FW,Norwich City,21,2003,38,25,2273,59,63,74,74
pa PAN,MF,UNAM,25,1998,15,11,1010,76,81,78,29
ve VEN,FW,co CA Bucaramanga,28-049,1997,4,1,129,43,37,83,64
eng ENG,FW,West Brom,27,1997,16,12,1008,43,37,48,46
us USA,GK,Colorado Rapids,19-092,2006,1,1,90,41,44,45,32
wls WAL,GK,Sheffield Utd,32,1992,3,3,270,41,47,45,34
eng ENG,MF,Plymouth Argyle,32,1991,32,12,1246,47,35,40,58
ie IRL,FW,Norwich City,23,2001,1,0,30,47,48,60,11
ps PLE,MF,NAC Breda,22,2002,16,5,466,78,39,77,56
be BEL,MO,Sint-Truiden,18,2005,8,1,204,24,58,49,32
eng ENG,MF,Plymouth Argyle,23,2000,39,39,3378,51,60,38,59
us USA,MF,LAFC,23-162,2002,2,2,180,24,25,38,71
bf BFA,DF,PSV Eindhoven,21,2002,6,1,168,44,75,44,63
dz ALG,MF,Charleroi,24,2000,30,30,2693,68,90,72,61
br BRA,FW,Bahia,30-153,1995,15,8,719,45,69,84,61
br BRA,DF,AVS Futebol,35,1989,28,26,2178,34,27,31,64
br BRA,DF,Santos,34-335,1990,2,1,87,52,71,51,24
ba BIH,MO,Almere City,26,1997,22,7,695,36,33,55,62
fr FRA,MO,Portsmouth,22,2002,20,12,979,56,64,62,55
fr FRA,DF,Charlotte,23-263,2001,23,23,2070,45,41,39,49
ar ARG,MF,León,26,1998,14,10,854,65,50,43,43
ec ECU,MO,Querétaro,27,1997,15,14,1232,66,34,67,58
al ALB,DF,Benfica,22,2002,1,0,12,22,14,59,4
eng ENG,MO,Utrecht,19,2005,17,2,468,83,78,67,56
ro ROU,DF,Pisa,28,1996,25,14,1239,79,60,48,57
us USA,FW,LAFC,19-183,2006,2,0,18,16,33,16,11
hr CRO,GK,Pisa,26,1998,36,36,3240,55,63,65,45
