Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Domenico Berardi,it ITA,MO,Sassuolo,29,1994,29,25,2254,76,87,59,57
Domingo Blanco,ar ARG,MO,Tijuana,29,1995,26,16,1501,68,53,74,60
Dominic Hyam,sct SCO,DF,Blackburn,28,1995,46,46,4140,50,42,22,42
Dominic Iorfa,eng ENG,DF,Sheffield Weds,29,1995,22,17,1435,56,36,41,48
Dominik Chong Qui,us USA,DF,Atlanta Utd,17-202,2007,2,1,60,52,63,60,47
Dominik Janošek,cz CZE,MF,NAC Breda,26,1998,28,11,1159,71,81,60,18
Dominik Marczuk,pl POL,FW,Real Salt Lake,21-260,2003,16,10,856,39,72,80,64
Dominik Yankov,bg BUL,MF,CF Montréal,24-356,2000,3,0,31,53,70,57,6
Dominique Badji,sn SEN,MO,D.C. United,32-276,1992,17,6,677,33,19,29,36
Don-Angelo Konadu,nl NED,FW,Ajax,18,2006,3,1,62,61,79,74,15
Dorny Romero,do DOM,FW,bo Bolívar,27-176,1998,5,2,183,49,13,29,88
Drake Callender,us USA,GK,Inter Miami,27-285,1997,3,2,185,40,45,45,37
Du Queiroz,br BRA,MF,Sport Recife,25-181,2000,11,8,615,40,68,61,28
Duane Holmes,us USA,MO,Houston Dynamo,30-255,1994,37,7,973,62,72,61,65
Duccio Degl'Innocenti,it ITA,MF,Spezia,21,2003,17,6,703,57,53,84,55
Dudu,br BRA,MO,Cruzeiro,33-193,1992,28,21,1690,45,32,35,62
Duncan McGuire,us USA,FW,Orlando City,24-164,2001,12,3,354,56,67,62,33
Duncan Watmore,eng ENG,MO,Millwall,30,1994,26,19,1578,65,38,46,44
Duplexe Tchamba,cm CMR,DF,Casa Pia,26,1998,21,21,1814,72,49,33,56
Duván Vergara,co COL,MF,Racing Club,28-313,1996,1,1,74,25,59,86,22
Dyaln Lawlor,wls WAL,DF,Cardiff City,18,2006,1,0,58,45,17,26,66
Dyego Sousa,pt POR,FW,Nacional,34,1989,7,0,149,14,27,9,30
Dylan Aquino,ar ARG,FW,Lanús,20-045,2005,16,5,642,34,74,88,75
Dylan Borrero,co COL,FW,br Fortaleza,23-195,2002,1,0,25,49,24,8,16
Dylan Bronn,tn TUN,DF,Salernitana,29,1995,24,22,1916,43,55,47,55
Dylan Chambost,fr FRA,MF,Columbus Crew,27-334,1997,23,20,1793,64,92,68,43
Dylan Glaby,ar ARG,MO,ar Cen. Córdoba–SdE,29-103,1996,14,6,691,19,38,8,61
Dylan Mbayo,be BEL,MO,Zwolle,22,2001,34,25,2104,60,52,85,43
Dylan Nandín,uy URU,FW,Arouca,22,2002,15,5,657,62,43,64,64
