Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Aapo Halme,fi FIN,MF,fi HJK,26,1998,1,1,59,28,19,8,71
Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,1,0,1,28,10,7,6
Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,10,824,39,74,44,37
Aaron Donnelly,nir NIR,MF,nir Larne FC,24,2000,4,3,279,28,16,8,67
Aaron Greene,ie IRL,MO,ie Shamrock Rov,34,1990,6,0,109,41,36,36,11
Aaron Malouda,fr FRA,FW,Lille,18,2005,1,0,2,24,13,8,12
Aaron McEneff,ie IRL,MF,ie Shamrock Rov,29,1995,4,4,352,38,47,63,43
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,55,52,43,51
Aaron Wan-Bissaka,eng ENG,DF,West Ham,26,1997,36,35,3154,83,74,89,57
Aarón Martín,es ESP,DF,Genoa,27,1997,36,35,3085,52,71,66,46
Abakar Sylla,ci CIV,DF,Strasbourg,21,2002,21,10,950,59,29,26,70
Abbas Huseynov,az AZE,DF,az Qarabağ,29,1995,4,3,239,53,56,66,60
Abdallah Sima,sn SEN,MO,Brest,23,2001,36,20,1746,64,29,45,47
Abde Ezzalzouli,ma MAR,MO,Betis,22,2001,45,29,2653,59,47,88,58
Abdel Abqar,ma MAR,DF,Alavés,25,1999,29,29,2463,39,45,33,48
Abdellah Zoubir,fr FRA,MO,az Qarabağ,32,1991,8,8,689,61,77,87,41
Abderrahman Rebbach,dz ALG,MO,Alavés,25,1998,8,4,385,30,33,59,22
Abdou Harroui,nl NED,MO,Hellas Verona,26,1998,10,5,463,48,60,69,69
Abdoul Koné,fr FRA,DF,Reims,19,2005,4,1,133,39,15,32,69
Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,19,16,1510,26,35,23,36
Abdoulaye Diaby,ml MLI,DF,ch St. Gallen,24,2000,4,4,360,33,42,27,78
Abdoulaye Doucouré,ml MLI,MF,Everton,31,1993,33,31,2564,57,43,60,36
Abdoulaye Keita,es ESP,MO,Getafe,21,2002,3,1,95,26,33,16,78
Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,22,2002,24,21,1887,51,30,24,70
Abdoulaye Touré,gn GUI,MF,Le Havre,30,1994,28,26,2324,66,43,33,66
Abdoulie Ceesay,gm GAM,FW,St. Pauli,20,2004,7,0,60,31,28,40,67
Abdu Conté,pt POR,DF,ch Young Boys,26,1998,1,0,28,30,27,50,8
Abdukodir Khusanov,uz UZB,DF,Lens,20,2004,20,18,1568,37,54,38,56
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20,2004,11,6,579,40,72,90,88
Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,24,24,2017,60,28,35,55
Abdón Prats,es ESP,MO,Mallorca,31,1992,24,3,456,51,18,7,34
Abdülkerim Bardakcı,tr TUR,DF,tr Galatasaray,29,1994,10,10,895,77,68,58,72
Abel,es ESP,DF,Osasuna,23,2000,35,20,2074,81,57,82,60
Abel Ruiz,es ESP,FW,Girona,24,2000,26,19,1491,38,47,43,40
Abner,br BRA,MF,fr Lyon,24,2000,25,16,1445,67,67,69,65
Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,1,0,4,28,10,7,6
Abzal Beisebekov,kz KAZ,DF,kz Astana FK,31,1992,2,2,180,49,68,55,14
Achraf Hakimi,ma MAR,DF,Paris S-G,25,1998,42,41,3606,91,95,94,53
Adam Armstrong,eng ENG,MO,Southampton,27,1997,20,15,1248,34,29,31,22
Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,16,10,895,46,45,72,72
Adam Buksa,pl POL,FW,dk Midtjylland,28,1996,8,8,720,43,51,29,55
Adam Daghim,dk DEN,FW,at RB Salzburg,18,2005,7,4,393,60,43,75,64
Adam Dźwigała,pl POL,MF,St. Pauli,28,1995,16,2,373,25,27,20,86
Adam Forrester,sct SCO,DF,sct Hearts,19,2005,5,4,343,52,50,78,64
Adam Gabriel,cz CZE,DF,dk Midtjylland,23,2001,3,2,170,30,52,83,34
Adam Gnezda Čerin,si SVN,MF,gr Panathinaikos,25,1999,8,3,286,32,59,44,57
Adam Hložek,cz CZE,MO,Hoffenheim,22,2002,35,29,2392,69,50,48,45
Adam Idah,ie IRL,FW,sct Celtic,23,2001,10,3,341,59,24,35,42
Adam Lallana,eng ENG,MF,Southampton,36,1988,14,5,361,43,79,63,47
Adam Markhiev,fi FIN,MF,lv FK Rīgas FS,22,2002,8,8,636,69,38,61,73
Adam Marušić,me MNE,DF,Lazio,31,1992,47,37,3336,80,56,69,38
Adam Masina,ma MAR,DF,Torino,30,1994,28,20,1919,67,55,46,53
Adam Obert,sk SVK,DF,Cagliari,21,2002,21,13,1077,71,62,55,74
Adam Sevinsky,cz CZE,DF,cz Sparta Prague,20,2004,1,1,90,57,36,10,30
Adam Smith,eng ENG,DF,Bournemouth,33,1991,25,19,1590,40,49,58,27
Adam Ståhl,fi FIN,DF,se Djurgården,29,1994,11,11,989,52,57,76,63
Adam Sørensen,dk DEN,DF,no Bodø/Glimt,23,2000,1,0,10,68,50,38,4
Adam Webster,eng ENG,DF,Brighton,29,1995,14,11,887,46,61,44,49
Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,20,16,1318,48,81,43,46
Adam Wilson,ke KEN,MO,wls The New Saints,24,2000,6,1,168,36,28,52,74
Adama Boiro,es ESP,MF,Athletic Club,22,2002,19,14,1176,61,47,67,48
Adama Traoré,es ESP,MO,Fulham,28,1996,46,26,2464,57,68,79,42
Adamo Nagalo,bf BFA,DF,nl PSV Eindhoven,21,2002,5,1,146,40,42,29,69
Ademola Lookman,ng NGA,MO,Atalanta,26,1997,38,33,2726,88,73,89,39
Adil Taoui,fr FRA,MO,at LASK,22,2001,4,1,107,26,37,96,41
Adnan Januzaj,be BEL,MO,Las Palmas,29,1995,18,5,598,79,84,76,50
Ado Onaiwu,jp JPN,MO,Auxerre,28,1995,31,9,957,56,47,48,50
Adri Embarba,es ESP,MO,Rayo Vallecano,32,1992,35,18,1607,37,45,53,64
Adrian Baquerin,es ESP,FW,Valladolid,17,2007,5,0,49,29,33,8,72
Adrian Beck,de GER,MO,Heidenheim,27,1997,40,23,2078,60,64,44,63
Adrian Benedyczak,pl POL,MO,Parma,23,2000,9,2,214,13,17,17,31
Adrian Bernabe,es ESP,MF,Parma,23,2001,21,18,1453,60,74,66,41
Adrian Cieślewicz,pl POL,MF,wls The New Saints,33,1990,4,0,50,49,68,80,19
Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,1,0,12,26,13,28,12
Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,41,45,43,38
Adrian Skogmar,se SWE,DF,se Malmö,18,2005,2,1,99,62,34,80,55
Adrian Șut,ro ROU,MF,ro FCSB,25,1999,11,10,879,62,31,26,44
Adriano Bregou,gr GRE,MF,gr Panathinaikos,18,2006,1,0,2,28,10,25,6
Adrien Rabiot,fr FRA,MF,Marseille,29,1995,29,27,2485,80,75,84,50
Adrien Tameze,cm CMR,MF,Torino,30,1994,20,9,649,32,45,54,38
Adrien Thomasson,fr FRA,MF,Lens,30,1993,33,31,2615,68,78,66,60
Adrien Truffert,fr FRA,MF,Rennes,22,2001,33,31,2752,62,59,76,56
Adrià Altimira,es ESP,MF,Leganés,23,2001,22,19,1630,25,31,57,57
Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,31,27,2298,71,64,77,49
Adrián,es ESP,GK,Betis,37,1987,26,26,2340,41,41,43,41
Adrián Diéguez,es ESP,DF,pl Jagiellonia,28,1996,5,5,449,36,44,35,50
Adrián Marín,es ESP,DF,pt Braga,27,1997,4,2,174,39,47,50,52
Adryelson,br BRA,DF,Lyon,26,1998,3,2,181,37,28,33,73
Adu Ares,es ESP,FW,Athletic Club,22,2001,1,0,19,57,36,69,12
Afimico Pululu,0,FW,pl Jagiellonia,25,1999,12,12,996,76,57,57,53
Afonso Bastardo,pt POR,MF,pt Sporting CP,19,2005,1,0,35,41,37,65,6
Aguibou Camara,gn GUI,MO,bg Ludogorets,23,2001,7,2,266,17,37,15,84
Agustín Doffo,ar ARG,MF,si Olimpija,29,1995,7,7,629,36,63,64,77
Ahmed Qasem,se SWE,MO,se Elfsborg,21,2003,8,8,663,37,26,17,62
Ahmet Muhamedbegovic,at AUT,DF,si Olimpija,25,1998,8,6,630,39,55,41,48
Ahmetcan Kaplan,tr TUR,DF,nl Ajax,21,2003,3,1,197,36,17,39,43
Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,29,21,1726,37,51,72,52
Aimar Oroz,es ESP,MF,Osasuna,22,2001,37,35,2966,75,66,80,26
