Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Aimen Moueffek,fr FRA,MF,Saint-Étienne,23,2001,22,13,1039,38,57,62,44
Aingeru Olabarrieta,es ESP,FW,Athletic Club,18,2005,2,1,83,24,17,43,42
Ainsley Maitland-Niles,eng ENG,DF,Lyon,26,1997,43,30,2944,70,82,80,67
Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,41,47,43,38
Aitor Paredes,es ESP,DF,Athletic Club,24,2000,33,29,2627,61,44,26,39
Aitor Ruibal,es ESP,MF,Betis,28,1996,42,21,2138,60,68,74,73
Akor Adams,ng NGA,FW,Sevilla,24,2000,19,14,1209,43,39,31,47
Alaa Ghram,tn TUN,DF,ua Shakhtar,23,2001,2,2,135,32,15,37,75
Alan Forrest,sct SCO,MO,sct Hearts,27,1996,6,6,420,48,25,67,59
Alan Matturro,uy URU,DF,Genoa,19,2004,13,9,900,38,35,50,34
Alan Minda,ec ECU,MO,be Cercle Brugge,21,2003,6,5,317,67,46,51,22
Alan Varela,ar ARG,MF,pt Porto,23,2001,9,9,735,36,59,35,63
Alan Virginius,fr FRA,MO,ch Young Boys,21,2003,7,2,298,34,36,46,22
Alassane Pléa,fr FRA,MO,Gladbach,31,1993,30,24,1902,76,71,54,23
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,53,59,43,82
Albert Grønbaek,dk DEN,MO,Southampton,23,2001,20,11,956,62,50,47,60
Albert Guðmundsson,is ISL,MO,Fiorentina,27,1997,32,21,1733,65,55,43,24
Albert Posiadala,pl POL,GK,no Molde,21,2003,6,6,540,58,43,54,37
Albert Sambi Lokonga,be BEL,MF,Sevilla,24,1999,22,16,1471,36,66,43,46
Albert Vallci,at AUT,DF,ch St. Gallen,29,1995,5,4,425,38,41,37,43
Alberto Cerri,it ITA,FW,Como,28,1996,5,0,87,30,26,45,35
Alberto Dossena,it ITA,DF,Como,25,1998,23,20,1825,32,41,24,55
Alberto Grassi,it ITA,MF,Empoli,29,1995,28,27,2203,47,29,26,48
Alberto Manzoni,it ITA,MF,Atalanta,19,2005,1,0,6,40,29,7,24
Alberto Marí,es ESP,FW,Valencia,23,2001,1,0,7,47,27,45,12
Alberto Moleiro,es ESP,MO,Las Palmas,20,2003,35,32,2714,59,59,65,32
Alberto Moreno,es ESP,DF,Como,32,1992,24,21,1727,51,68,67,19
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,41,40,43,38
Alberto Risco,es ESP,MO,Getafe,18,2005,5,0,69,54,69,76,71
Alberto costa,pt POR,DF,Juventus,20,2003,13,7,717,82,61,88,84
Albian Hajdari,ch SUI,DF,ch Lugano,21,2003,7,7,629,70,45,40,42
Albion Rrahmani,xk KVX,FW,cz Sparta Prague,23,2000,6,4,325,57,46,33,55
Alec Van Hoorenbeeck,be BEL,DF,nl Twente,25,1998,5,2,231,31,23,16,37
Aleix García,es ESP,MF,Leverkusen,27,1997,38,21,1819,78,85,58,27
Alejandro Balde,es ESP,DF,es Barcelona,20,2003,42,35,3087,57,71,94,19
Alejandro Blanco,es ESP,MF,si Olimpija,25,1998,7,5,418,75,35,75,15
Alejandro Francés,es ESP,DF,Girona,21,2002,24,18,1608,43,64,68,63
Alejandro Garnacho,ar ARG,MO,Manchester Utd,20,2004,51,33,3170,61,53,85,35
Alejandro Jiménez,es ESP,MF,Milan,19,2005,22,14,1266,46,50,85,44
Alejandro Rodriguez,pt POR,MF,Lyon,16,2008,1,0,20,42,10,26,6
Alejo Véliz,ar ARG,FW,Espanyol,20,2003,27,10,1127,30,26,15,50
Aleks Pihler,si SVN,MF,ba Borac Banja Luka,30,1994,1,0,10,28,10,7,54
Aleksa Amanović,mk MKD,MF,kz Astana FK,27,1996,4,4,315,22,16,33,37
Aleksa Pejić,rs SRB,MF,rs TSC,25,1999,6,3,247,37,32,51,80
Aleksa Terzić,rs SRB,DF,at RB Salzburg,24,1999,6,5,400,45,45,84,44
Aleksandar Katai,rs SRB,FW,rs Red Star,33,1991,2,0,26,33,15,29,12
Aleksandar Miljković,rs SRB,DF,am FC Noah,34,1990,4,3,223,50,56,65,65
Aleksandar Pavlovic,de GER,MF,Bayern Munich,20,2004,26,21,1743,68,67,63,54
Aleksandar Pešić,rs SRB,MO,hu Ferencváros,32,1992,3,0,45,31,8,32,24
Aleksandar Sedlar,rs SRB,DF,Alavés,32,1991,9,7,594,33,20,20,66
Aleksandar Stančić,rs SRB,MF,rs TSC,17,2006,1,0,11,54,28,45,24
Aleksandar Subić,ba BIH,DF,ba Borac Banja Luka,30,1993,1,0,24,30,12,46,60
Aleksandar Ćirković,rs SRB,MO,rs TSC,22,2001,6,6,479,49,72,86,24
Aleksandr Golovin,ru RUS,MO,Monaco,28,1996,28,19,1727,58,83,64,73
Aleksandr Marochkin,kz KAZ,DF,kz Astana FK,34,1990,4,3,271,31,13,21,23
Aleksandr Selyava,by BLR,MF,by Dinamo Minsk,32,1992,4,3,257,18,33,24,59
Aleksandr Zarutskiy,kz KAZ,GK,kz Astana FK,30,1993,1,1,90,41,38,43,34
Aleksei Isayev,az AZE,MF,az Qarabağ,28,1995,1,0,7,28,15,7,6
Aleksei Ploshchadnyi,ru RUS,GK,am FC Noah,20,2004,3,3,270,41,42,43,70
Alen Mustafić,ba BIH,MF,sk Slovan Bratislava,25,1999,4,0,35,63,73,21,60
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,57,53,43,57
Alessandro Bastoni,it ITA,DF,Inter,25,1999,46,42,3408,73,85,78,45
Alessandro Bianco,it ITA,MF,Monza,21,2002,35,29,2618,40,47,42,44
Alessandro Buongiorno,it ITA,DF,Napoli,25,1999,22,22,1924,61,49,44,64
Alessandro Circati,au AUS,DF,Parma,20,2003,6,6,540,25,22,13,42
Alessandro Deiola,it ITA,MF,Cagliari,28,1995,29,16,1432,60,36,34,58
Alessandro Florenzi,it ITA,FW,Milan,33,1991,1,0,5,24,16,8,12
Alessandro Gabrielloni,it ITA,MO,Como,30,1994,15,0,142,81,67,53,21
Alessandro Marcandalli,it ITA,DF,Genoa,21,2002,10,6,400,28,21,29,59
Alessandro Vogliacco,it ITA,DF,Genoa,25,1998,22,18,1487,63,46,38,30
Alessandro Zanoli,it ITA,MO,Genoa,23,2000,31,19,1711,47,27,51,66
Alessio Cacciamani,it ITA,MF,Torino,17,2007,2,0,31,57,25,93,35
Alessio Castro-Montes,be BEL,DF,be Union SG,27,1997,2,2,180,60,65,85,65
Alessio Iovine,it ITA,MF,Como,33,1991,10,3,387,40,32,53,32
Alessio Romagnoli,it ITA,DF,Lazio,29,1995,42,40,3533,68,52,26,50
Alessio Zerbin,it ITA,DF,Venezia,25,1999,20,17,1520,74,68,85,59
Alex Baena,es ESP,MO,Villarreal,23,2001,32,30,2595,68,90,58,42
Alex Iwobi,ng NGA,MO,Fulham,28,1996,38,35,2981,75,82,78,44
Alex Král,cz CZE,MF,Espanyol,26,1998,37,29,2714,29,35,58,55
Alex Matthias Tamm,ee EST,FW,si Olimpija,23,2001,2,2,179,33,70,47,49
Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,41,49,43,47
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,47,48,56,46
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,41,47,43,47
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,55,63,59,50
Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,8,755,49,67,67,72
Alex Sola,es ESP,MO,Getafe,25,1999,19,13,1029,23,30,43,68
Alex Tóth,hu HUN,MF,hu Ferencváros,18,2005,4,1,133,40,45,65,32
Alexander Bah,dk DEN,DF,pt Benfica,26,1997,7,6,498,88,70,79,71
Alexander Bernhardsson,se SWE,MO,Holstein Kiel,25,1998,19,15,1263,70,41,42,68
Alexander Djiku,gh GHA,DF,tr Fenerbahçe,29,1994,8,6,648,62,47,42,62
Alexander Isak,se SWE,FW,Newcastle Utd,24,1999,34,34,2756,81,75,72,37
Alexander Jeremejeff,se SWE,FW,gr Panathinaikos,30,1993,5,4,306,53,38,53,54
Alexander Meyer,de GER,GK,Dortmund,33,1991,3,3,270,60,58,43,34
Alexander Nübel,de GER,GK,Stuttgart,27,1996,41,41,3690,64,66,52,64
Alexander Prass,at AUT,DF,Hoffenheim,23,2001,29,22,1866,54,71,82,48
Alexander Schlager,at AUT,GK,at RB Salzburg,28,1996,4,4,335,60,64,43,48
Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,50,58,43,42
Alexander Sørloth,no NOR,FW,Atlético Madrid,28,1995,43,17,1859,70,52,50,57
Alexandr Sojka,cz CZE,MO,cz Viktoria Plzeň,21,2003,7,1,127,40,45,22,83
Alexandre Brito,pt POR,MF,pt Sporting CP,19,2005,1,0,45,28,21,49,24
Alexandre Lacazette,fr FRA,FW,Lyon,33,1991,40,28,2606,70,75,51,52
Alexandre Penetra,pt POR,DF,nl AZ Alkmaar,22,2001,11,11,983,25,29,15,51
Alexandru Băluță,ro ROU,MO,ro FCSB,30,1993,9,3,368,43,31,25,49
Alexandru Musi,ro ROU,MO,ro FCSB,20,2004,5,0,133,24,22,64,72
Alexandru Pantea,ro ROU,DF,ro FCSB,20,2003,1,1,45,39,30,47,25
Alexis Claude-Maurice,fr FRA,MO,Augsburg,26,1998,28,25,2109,70,44,45,61
Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,43,37,3273,83,82,58,65
Alexis Saelemaekers,be BEL,MF,Roma,25,1999,30,21,1734,94,74,89,54
Alexis Sánchez,cl CHI,FW,Udinese,35,1988,13,6,437,32,60,37,43
Alexsandro Ribeiro,br BRA,DF,Lille,24,1999,40,40,3600,55,67,49,41
Aleš Mandous,cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,41,51,43,36
Alfie Dorrington,eng ENG,DF,Tottenham,19,2005,1,0,14,30,16,9,4
Alfie Pond,eng ENG,DF,Wolves,20,2004,1,0,1,30,16,9,4
Alfon,es ESP,MO,Celta Vigo,25,1999,26,14,1371,79,43,86,20
Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,16,9,833,48,70,72,77
Alfonso Pedraza,es ESP,MF,Villarreal,28,1996,12,4,460,53,65,91,39
Alfred Duncan,gh GHA,MF,Venezia,31,1993,16,12,957,45,60,48,34
Algassime Bah,gn GUI,FW,cy APOEL,21,2002,5,0,62,35,26,50,69
Ali Abdi,tn TUN,MF,fr Nice,30,1993,29,18,1529,80,57,76,77
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22,2002,11,0,134,45,38,84,29
Ali Dembélé,fr FRA,DF,Torino,20,2004,15,4,388,85,40,66,45
Ali Jasim,iq IRQ,MO,Como,20,2004,2,0,10,47,40,55,50
Ali Maamar,ma MAR,MF,be Anderlecht,19,2005,3,2,157,50,61,88,53
Alidu Seidu,gh GHA,DF,Rennes,24,2000,11,10,803,41,63,80,72
Alieu Atlee Manneh,se SWE,MF,se Djurgården,17,2006,2,0,27,28,22,7,25
Alieu Fadera,gm GAM,MO,Como,22,2001,28,20,1644,44,45,73,78
Aliou Badara Baldé,gn GUI,MO,Bochum,21,2002,5,0,91,31,50,43,36
Alisson,br BRA,GK,Liverpool,31,1992,34,34,3078,57,71,65,45
Alistair Johnston,ca CAN,DF,sct Celtic,25,1998,10,10,836,53,59,62,75
Aljoscha Kemlein,de GER,MF,Union Berlin,19,2004,15,11,922,63,47,39,35
Aljoša Matko,si SVN,MF,si NK Celje,24,2000,11,8,827,72,40,71,34
Allan Nyom,cm CMR,MF,Getafe,36,1988,20,10,887,61,39,33,51
Allan Saint-Maximin,fr FRA,MO,tr Fenerbahçe,27,1997,7,4,382,46,73,90,30
Almoatasem Al Musrati,ly LBY,MF,Monaco,28,1996,17,8,784,65,70,32,81
Almugera Kabar,de GER,DF,Dortmund,18,2006,5,1,137,58,80,71,63
Alois Confais,fr FRA,MF,Le Havre,27,1996,1,0,3,28,10,7,6
Alpha Diounkou,sn SEN,DF,cy AC Omonia,22,2001,8,8,695,43,67,86,53
Alphadjo Cissè,it ITA,MO,Hellas Verona,17,2006,2,0,9,52,39,6,25
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,50,50,57,71
Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,28,25,2261,85,88,95,42
Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,6,6,540,41,39,43,48
Alyaksandr Sachywka,by BLR,DF,by Dinamo Minsk,38,1986,1,1,90,30,42,42,40
Alyaksey Hawrylovich,by BLR,DF,by Dinamo Minsk,34,1990,5,5,410,54,32,26,43
Amad Diallo,ci CIV,MO,Manchester Utd,22,2002,37,26,2497,86,70,88,66
Amadou Haidara,ml MLI,MF,RB Leipzig,26,1998,36,24,1908,35,55,32,72
Amadou Koné,ml MLI,MF,Reims,19,2005,24,17,1293,31,44,45,82
Amadou Onana,be BEL,MF,Aston Villa,22,2001,31,24,1888,66,43,48,69
Amady Camara,ml MLI,MO,at Sturm Graz,19,2005,4,2,132,26,30,30,41
Amar Dedić,ba BIH,DF,Marseille,21,2002,17,9,944,58,81,96,56
Amar Memić,ba BIH,MF,cz Viktoria Plzeň,23,2001,4,3,272,42,43,68,71
Amara Nallo,eng ENG,DF,eng Liverpool,17,2006,1,0,4,30,12,9,4
Amath,sn SEN,MO,Valladolid,28,1996,13,5,375,31,54,62,26
Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,10,7,527,26,46,18,58
Amidou Doumbouya,fr FRA,DF,Nice,16,2007,2,0,46,30,15,45,70
Amin Chiakha,dz ALG,FW,dk FC Copenhagen,18,2006,7,4,397,72,48,53,36
Amin Sarr,se SWE,FW,Hellas Verona,23,2001,32,25,1907,50,58,44,63
Amin-Elias Gröller,at AUT,DF,at Rapid Wien,19,2005,1,0,46,30,44,75,73
Amine Adli,ma MAR,MO,Leverkusen,24,2000,25,8,976,56,53,80,56
Amine El Ouazzani,ma MAR,FW,pt Braga,23,2001,7,5,408,31,46,28,64
Amine Gouiri,dz ALG,MO,Marseille,24,2000,33,23,2085,76,56,47,28
Amine Harit,ma MAR,MF,Marseille,27,1997,13,8,519,95,85,85,35
Amine Khammas,ma MAR,DF,cy AC Omonia,25,1999,8,8,706,63,75,64,33
Amine Salama,fr FRA,FW,Reims,24,2000,17,2,373,30,56,74,46
Amir Richardson,ma MAR,MF,Fiorentina,22,2002,36,15,1538,62,55,65,62
Amir Rrahmani,xk KVX,DF,Napoli,30,1994,38,38,3406,53,65,42,46
Amir Saipi,xk KVX,GK,ch Lugano,24,2000,8,8,750,58,73,43,55
Amos Pieper,de GER,DF,Werder Bremen,26,1998,23,16,1498,28,49,38,63
Anan Khalaili,il ISR,MF,be Union SG,19,2004,9,7,661,34,40,79,68
Anass Salah-Eddine,nl NED,DF,Roma,22,2002,11,10,861,56,71,86,62
Anass Zaroury,ma MAR,MO,Lens,23,2000,28,16,1405,65,76,64,51
Anastasios Bakasetas,gr GRE,MF,gr Panathinaikos,31,1993,7,5,387,83,84,69,51
Anastasios Donis,gr GRE,MO,cy APOEL,27,1996,5,5,325,65,39,50,34
Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,33,12,1280,49,46,47,55
Anatolii Trubin,ua UKR,GK,pt Benfica,22,2001,12,12,1080,48,43,43,71
Ander Barrenetxea,es ESP,MO,Real Sociedad,22,2001,40,19,1751,64,62,76,63
Ander Guevara,es ESP,MF,Alavés,27,1997,33,20,1947,31,49,33,57
Ander Herrera,es ESP,MF,Athletic Club,34,1989,13,2,368,48,60,44,66
Anders Christiansen,dk DEN,MO,se Malmö,34,1990,7,5,425,57,68,36,16
Anders Dreyer,dk DEN,MO,be Anderlecht,26,1998,5,3,315,70,72,59,27
Anders Hagelskjær,dk DEN,DF,no Molde,27,1997,4,3,283,49,73,77,85
Anderson,br BRA,FW,cy Pafos FC,26,1997,10,1,252,58,57,49,27
Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,29,23,1956,50,76,73,67
Andraž Šporar,si SVN,FW,gr Panathinaikos,30,1994,3,1,98,25,33,31,30
Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,28,1995,35,32,2852,76,61,57,46
Andrea Belotti,it ITA,FW,Como,30,1993,22,7,652,43,42,36,67
Andrea Cambiaso,it ITA,MF,Juventus,24,2000,40,30,2786,73,65,83,46
Andrea Carboni,it ITA,DF,Monza,23,2001,26,25,2191,29,37,42,65
Andrea Colpani,it ITA,MO,Fiorentina,25,1999,27,17,1505,43,47,62,43
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,41,39,43,34
Andrea Petagna,it ITA,FW,Monza,29,1995,13,2,335,16,25,34,48
Andrea Pinamonti,it ITA,FW,Genoa,25,1999,36,33,2850,53,40,30,43
Andreas Albers,dk DEN,FW,St. Pauli,34,1990,14,0,62,84,67,61,71
Andreas Christensen,dk DEN,DF,Barcelona,28,1996,6,2,262,39,65,42,73
Andreas Cornelius,dk DEN,MO,dk FC Copenhagen,31,1993,6,1,174,25,22,12,60
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27,1997,22,12,1284,58,42,29,54
Andreas Helmersen,no NOR,FW,no Bodø/Glimt,26,1998,12,1,255,50,62,53,77
Andreas Ntoi,gr GRE,DF,gr Olympiacos,21,2003,2,0,27,30,28,29,94
Andreas Pereira,br BRA,MF,Fulham,28,1996,33,25,2013,69,74,66,23
Andreas Schjelderup,no NOR,FW,pt Benfica,20,2004,7,6,402,40,68,71,64
Andreas Skov Olsen,dk DEN,MO,Wolfsburg,24,1999,18,9,901,55,75,69,49
Andrei Gheorghiță,ro ROU,MO,ro FCSB,22,2002,4,0,147,75,44,66,34
Andrei Ratiu,ro ROU,DF,Rayo Vallecano,26,1998,35,34,3065,82,75,92,46
Andrej Ilic,rs SRB,FW,Union Berlin,24,2000,16,11,937,62,36,34,51
Andrej Kramarić,hr CRO,MO,Hoffenheim,33,1991,38,38,3247,62,78,54,22
Andres Cuenca,es ESP,DF,es Barcelona,17,2007,1,0,7,30,31,23,55
Andrew Omobamidele,ie IRL,DF,Strasbourg,22,2002,10,6,539,31,19,20,43
Andrew Robertson,sct SCO,DF,Liverpool,30,1994,41,35,3032,54,88,80,29
Andrey Santos,br BRA,MF,Strasbourg,20,2004,32,32,2855,70,59,35,79
Andri Fannar Baldursson,is ISL,MF,se Elfsborg,22,2002,3,2,194,50,61,28,92
Andri Guðjohnsen,is ISL,FW,be Gent,22,2002,8,6,507,22,63,20,48
Andrija Maksimović,rs SRB,MO,rs Red Star,17,2007,7,6,414,27,56,34,25
Andrija Radulović,me MNE,MO,at Rapid Wien,22,2002,3,1,81,31,53,50,64
Andrija Živković,rs SRB,FW,gr PAOK,28,1996,7,6,541,53,92,68,77
Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,9,9,810,55,60,43,48
Andriy Yarmolenko,ua UKR,FW,ua Dynamo Kyiv,34,1989,3,2,197,74,66,60,66
