Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
eng ENG,GK,Southampton,26,1998,30,30,2700,59,74
es ESP,GK,Alavés,23,2000,2,1,122,49,69
es ESP,GK,Betis,37,1987,26,26,2340,38,30
es ESP,GK,Osasuna,33,1991,1,1,90,75,90
fr FRA,GK,Nantes,25,1999,12,12,1080,44,44
pl POL,GK,no Molde,21,2003,6,6,540,19,7
it ITA,GK,Torino,31,1992,1,1,90,39,73
kz KAZ,GK,kz Astana FK,30,1993,1,1,90,44,7
ru RUS,GK,am FC Noah,20,2004,3,3,270,48,7
al ALB,GK,Cagliari,26,1997,7,7,621,40,52
eng ENG,GK,Southampton,34,1989,5,5,450,54,62
it ITA,GK,Napoli,27,1997,34,34,3005,57,48
es ESP,GK,Athletic Club,20,2003,5,3,321,46,72
eng ENG,GK,Ipswich Town,27,1996,13,13,1170,44,66
de GER,GK,Dortmund,33,1991,3,3,270,49,48
de GER,GK,Stuttgart,27,1996,41,41,3690,41,59
at AUT,GK,at RB Salzburg,28,1996,4,4,335,51,46
de GER,GK,Union Berlin,32,1992,6,6,540,30,63
cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,65,58
br BRA,GK,eng Liverpool,31,1992,34,34,3078,57,47
fr FRA,GK,West Ham,31,1993,26,25,2260,43,72
tr TUR,GK,eng Manchester Utd,26,1998,6,6,540,46,37
xk KVX,GK,ch Lugano,24,2000,8,8,750,55,7
ua UKR,GK,pt Benfica,22,2001,12,12,1080,53,35
it ITA,GK,Monza,20,2004,1,0,8,24,97
ua UKR,GK,Real Madrid,25,1999,9,9,810,50,46
pt POR,GK,Valladolid,28,1996,6,6,540,40,63
cm CMR,GK,Manchester Utd,28,1996,47,47,4260,49,48
pt POR,GK,Nantes,33,1990,18,18,1563,47,56
lu LUX,GK,be Union SG,34,1990,10,10,930,51,67
es ESP,GK,Alavés,27,1996,32,32,2810,49,72
cz CZE,GK,Tottenham,21,2003,12,12,1080,44,59
xk KVX,GK,Ipswich Town,25,1998,18,18,1620,56,59
es ESP,GK,Valladolid,21,2003,1,1,90,21,81
es ESP,GK,Paris S-G,23,2001,1,1,90,54,47
fr FRA,GK,Le Havre,30,1994,18,18,1620,49,45
ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,64,65
nl NED,GK,Brighton,21,2002,36,36,3240,41,44
pl POL,GK,gr Panathinaikos,26,1997,7,7,630,49,7
de GER,GK,St. Pauli,23,2000,2,1,91,35,78
fr FRA,GK,Montpellier,33,1991,30,30,2700,53,67
ch SUI,GK,Genoa,32,1992,2,2,152,62,62
de GER,GK,Fulham,32,1992,38,38,3420,48,56
eng ENG,GK,eng Tottenham,25,1999,3,3,270,44,46
fr FRA,GK,Rennes,30,1994,32,32,2879,69,60
cv CPV,GK,pt Vitória,29,1994,8,8,720,26,7
ie IRL,GK,Liverpool,25,1998,14,14,1260,61,44
eng ENG,GK,Ipswich Town,28,1995,7,7,630,44,74
gr GRE,GK,Lazio,22,2001,18,18,1650,58,62
be BEL,GK,be Anderlecht,31,1992,9,9,810,49,65
wls WAL,GK,wls The New Saints,31,1992,6,6,540,53,7
sct SCO,GK,sct Hearts,41,1982,6,6,540,32,7
mk MKD,GK,ba Borac Banja Luka,29,1995,1,1,90,24,7
es ESP,GK,Rayo Vallecano,27,1997,6,6,540,43,51
eng ENG,GK,Wolves,31,1993,2,2,180,54,45
il ISR,GK,Bayern Munich,24,2000,4,4,360,23,31
jp JPN,GK,be Gent,32,1992,1,1,90,15,7
it ITA,GK,Udinese,38,1985,1,1,90,62,35
it ITA,GK,Genoa,27,1997,1,0,28,42,51
ru RUS,GK,at Sturm Graz,20,2004,2,2,180,58,60
hr CRO,GK,hr Dinamo Zagreb,37,1987,3,3,270,47,63
wls WAL,GK,Leicester City,31,1993,2,1,135,29,76
es ESP,GK,Arsenal,28,1995,51,51,4590,63,56
es ESP,GK,Getafe,31,1993,38,38,3420,55,67
es ESP,GK,Fiorentina,33,1990,39,39,3540,53,60
ch SUI,GK,ch Young Boys,29,1994,4,4,360,44,64
be BEL,GK,be Gent,30,1994,7,7,630,54,7
eng ENG,GK,Crystal Palace,27,1997,38,38,3420,53,49
0,GK,tr Başakşehir,19,2005,2,2,180,28,7
co COL,GK,Empoli,26,1998,32,32,2880,47,55
de GER,GK,dk FC Copenhagen,22,2001,4,4,390,38,7
es ESP,GK,Villarreal,25,1998,22,22,1962,46,46
cd COD,GK,Montpellier,26,1998,4,4,360,38,62
hr CRO,GK,Las Palmas,25,1999,13,11,1085,53,72
pt POR,GK,pt Porto,24,1999,10,10,900,38,66
ua UKR,GK,ua Shakhtar,25,1999,8,8,720,70,75
sk SVK,GK,Mallorca,27,1997,31,31,2790,47,70
hr CRO,GK,gr PAOK,24,2000,10,10,900,52,49
hr CRO,GK,tr Fenerbahçe,29,1995,6,6,540,61,72
sk SVK,GK,sk Slovan Bratislava,25,1999,8,8,720,55,57
gf GUF,GK,Auxerre,31,1992,32,32,2880,68,74
hu HUN,GK,hu Ferencváros,35,1989,2,2,180,49,47
hu HUN,GK,hu Ferencváros,33,1990,7,7,572,56,53
ie IRL,GK,ie Shamrock Rov,24,1999,2,2,210,41,7
br BRA,GK,Manchester City,30,1993,34,34,3040,46,48
it ITA,GK,Napoli,22,2001,22,21,1945,52,78
is ISL,GK,dk Midtjylland,24,2000,6,6,520,71,61
id IDN,GK,Como,27,1997,8,8,720,30,34
ar ARG,GK,Aston Villa,31,1992,49,49,4274,63,60
tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,63,48
de GER,GK,de Stuttgart,29,1995,1,1,90,26,52
br BRA,GK,cy AC Omonia,36,1988,7,7,630,54,7
hr CRO,GK,az Qarabağ,27,1997,2,2,180,30,19
cm CMR,GK,lv FK Rīgas FS,28,1995,8,8,720,45,46
it ITA,GK,Bologna,24,1999,13,12,1146,39,57
uy URU,GK,tr Galatasaray,38,1986,6,6,540,38,54
dk DEN,GK,Chelsea,22,2002,18,18,1620,56,16
rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,58,7
rs SRB,GK,Venezia,22,2002,16,16,1367,64,40
de GER,GK,Augsburg,26,1998,19,19,1710,66,74
de GER,GK,Freiburg,26,1997,9,8,753,32,69
es ESP,GK,Real Madrid,19,2005,1,1,90,22,34
es ESP,GK,Betis,25,1999,12,12,1110,35,17
ng NGA,GK,cy AC Omonia,25,1998,1,1,90,39,7
uy URU,GK,pt Sporting CP,24,2000,8,8,720,59,40
