Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
fr FRA,MF,Marseille,29,1995,29,27,2485,82,75,82,50
cm CMR,MF,Torino,30,1994,20,9,649,40,46,51,39
fr FRA,MF,Lens,30,1993,33,31,2615,75,79,65,56
fr FRA,MF,Rennes,22,2001,33,31,2752,65,60,71,59
es ESP,MF,Leganés,23,2001,22,19,1630,27,32,51,57
es ESP,DF,Sevilla,26,1998,31,27,2298,70,64,69,48
es ESP,GK,Betis,37,1987,26,26,2340,42,43,44,43
es ESP,DF,pl Jagiellonia,28,1996,5,5,449,29,43,38,47
es ESP,DF,pt Braga,27,1997,4,2,174,46,44,49,47
br BRA,DF,Lyon,26,1998,3,2,181,48,30,37,78
es ESP,FW,Athletic Club,22,2001,1,0,19,50,36,65,12
0,FW,pl Jagiellonia,25,1999,12,12,996,72,57,57,51
pt POR,MF,pt Sporting CP,19,2005,1,0,35,31,36,61,6
gn GUI,MO,bg Ludogorets,23,2001,7,2,266,22,37,18,83
ar ARG,MF,si Olimpija,29,1995,7,7,629,38,59,62,71
se SWE,MO,se Elfsborg,21,2003,8,8,663,30,26,20,59
at AUT,DF,si Olimpija,25,1998,8,6,630,44,53,42,57
tr TUR,DF,nl Ajax,21,2003,3,1,197,31,20,40,43
es ESP,DF,Real Sociedad,26,1997,29,21,1726,39,48,67,47
es ESP,MF,Osasuna,22,2001,37,35,2966,75,68,74,26
fr FRA,MF,Saint-Étienne,23,2001,22,13,1039,46,59,59,47
es ESP,FW,Athletic Club,18,2005,2,1,83,17,18,40,48
eng ENG,DF,Lyon,26,1997,43,30,2944,78,83,77,62
es ESP,GK,Osasuna,33,1991,1,1,90,42,45,48,42
es ESP,DF,Athletic Club,24,2000,33,29,2627,60,46,30,46
es ESP,MF,Betis,28,1996,42,21,2138,60,69,72,74
ng NGA,FW,Sevilla,24,2000,19,14,1209,48,40,34,50
tn TUN,DF,ua Shakhtar,23,2001,2,2,135,26,17,41,72
