Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
hr CRO,DF,Hellas Verona,24,1999,28,24,1933,73,51,64,44
si SVN,MF,Venezia,28,1995,8,1,136,36,19,47,65
pt POR,MO,Valencia,24,2000,34,24,1977,31,81,43,56
pt POR,DF,Getafe,29,1995,22,21,1859,45,24,18,50
pt POR,MO,cy Pafos FC,24,1999,7,1,182,26,43,54,54
eng ENG,FW,Everton,27,1997,26,19,1609,46,41,49,64
eng ENG,FW,Tottenham,26,1997,40,33,3006,58,58,42,56
sk SVK,GK,Mallorca,27,1997,31,31,2790,60,49,55,42
sk SVK,MF,Holstein Kiel,21,2002,13,4,386,32,55,59,38
de GER,MF,Mainz 05,30,1994,28,28,2295,49,40,44,83
0,DF,cz Mladá Boleslav,28,1996,4,4,360,40,37,71,19
hr CRO,GK,gr PAOK,24,2000,10,10,900,67,53,74,51
hr CRO,GK,tr Fenerbahçe,29,1995,6,6,540,42,43,49,37
cz CZE,MO,cz Slavia Prague,17,2006,4,2,187,21,28,43,32
hu HUN,MF,Liverpool,23,2000,45,36,3126,82,78,72,35
sk SVK,GK,sk Slovan Bratislava,25,1999,8,8,720,56,52,41,49
nl NED,FW,nl Ajax,18,2006,2,1,81,20,51,22,12
cm CMR,MF,md Petrocub,26,1997,6,6,482,23,21,28,47
nl NED,MO,es Girona,27,1997,33,22,1869,37,58,30,64
gf GUF,GK,Auxerre,31,1992,32,32,2880,66,75,64,52
nl NED,MO,Dortmund,25,1999,33,11,1156,74,37,66,32
il ISR,MF,il Maccabi Tel Aviv,29,1995,8,7,607,82,33,62,45
il ISR,FW,il Maccabi Tel Aviv,20,2003,7,6,494,44,56,31,66
br BRA,MF,Nantes,27,1997,28,28,2307,61,55,40,69
br BRA,MF,Juventus,26,1998,25,6,836,53,67,70,56
rs SRB,MO,rs TSC,23,2001,1,0,32,33,29,51,51
be BEL,MO,tr Galatasaray,37,1987,10,10,727,60,88,57,30
ci CIV,MO,Parma,22,2002,21,1,447,52,49,79,56
hr CRO,DF,Lyon,27,1996,28,23,2198,51,39,27,55
eng ENG,MF,sct Rangers,24,1999,8,4,323,36,50,35,54
cv CPV,MO,Leganés,24,2000,10,1,179,47,45,86,75
md MDA,MF,md Petrocub,25,1999,6,4,395,31,30,52,75
co COL,FW,Torino,33,1991,7,7,587,69,48,36,64
rs SRB,DF,rs TSC,28,1996,6,6,509,30,43,48,47
si SVN,DF,pl Jagiellonia,23,2000,10,8,710,55,60,54,60
rs SRB,MO,tr Fenerbahçe,35,1988,12,10,903,54,73,52,48
rs SRB,FW,Juventus,24,2000,38,27,2332,68,53,44,39
eng ENG,MO,Everton,24,1999,21,15,1371,61,85,55,33
cd COD,DF,Saint-Étienne,28,1996,25,22,2016,45,38,37,49
nir NIR,MF,nir Larne FC,20,2004,6,4,332,22,15,48,66
ie IRL,MF,ie Shamrock Rov,27,1997,7,5,404,85,87,66,68
by BLR,DF,by Dinamo Minsk,33,1991,2,2,180,29,33,16,54
gw GNB,MF,rs Red Star,28,1996,5,0,183,35,44,48,43
hu HUN,GK,hu Ferencváros,35,1989,2,2,180,57,49,51,44
sk SVK,DF,nl Feyenoord,26,1997,12,12,1080,64,55,68,41
sk SVK,FW,sk Slovan Bratislava,23,2001,8,8,669,41,30,29,60
hu HUN,GK,hu Ferencváros,33,1990,7,7,572,50,43,43,56
fr FRA,MO,Paris S-G,19,2005,47,26,2470,87,91,88,70
by BLR,MO,by Dinamo Minsk,25,1998,5,5,363,19,19,28,66
de GER,MF,de Eint Frankfurt,15,2008,1,0,7,20,15,25,6
eng ENG,MO,Crystal Palace,26,1998,34,31,2588,67,71,55,42
gm GAM,MO,ch Young Boys,24,2000,7,4,306,22,34,39,61
ie IRL,GK,ie Shamrock Rov,24,1999,2,2,210,42,47,42,53
eng ENG,MO,Crystal Palace,25,1999,29,9,1034,67,38,56,51
br BRA,GK,Manchester City,30,1993,34,34,3040,64,91,55,49
lt LTU,DF,be Cercle Brugge,24,2000,6,5,381,62,47,36,65
fr FRA,DF,Toulouse,19,2004,1,0,9,22,21,10,18
ch SUI,MF,Brest,28,1996,29,20,1752,43,46,23,58
br BRA,MO,si NK Celje,27,1997,12,1,191,88,45,42,53
ba BIH,FW,tr Fenerbahçe,38,1986,12,6,655,71,79,54,48
bf BFA,DF,Leverkusen,25,1999,38,36,3178,46,58,67,37
eng ENG,MO,Brentford,23,2001,8,0,119,29,38,64,57
it ITA,MO,Fiorentina,22,2002,14,11,953,44,60,35,81
it ITA,DF,Como,30,1993,32,28,2532,58,38,41,44
xk KVX,MO,Lille,25,1999,17,15,1341,68,65,74,26
mx MEX,MF,West Ham,26,1997,28,20,1772,29,54,45,60
es ESP,MF,Espanyol,27,1996,19,12,1045,59,76,71,49
ua UKR,DF,Strasbourg,29,1995,10,0,95,22,19,33,44
fr FRA,MF,Real Madrid,21,2002,28,16,1598,56,63,67,85
pa PAN,FW,ua Dynamo Kyiv,24,2000,7,2,220,33,35,19,58
pt POR,DF,pt Sporting CP,22,2002,5,2,217,33,30,48,82
se SWE,DF,bg Ludogorets,24,2000,4,2,193,39,47,38,42
zm ZAM,FW,dk Midtjylland,24,1999,5,2,254,54,37,49,50
tr TUR,MF,tr Galatasaray,18,2006,3,0,7,20,42,41,15
is ISL,MF,se Elfsborg,20,2004,1,0,5,20,11,39,6
ru RUS,FW,rs Red Star,21,2002,1,0,8,17,14,55,63
br BRA,FW,ua Shakhtar,19,2004,7,5,406,36,57,50,59
ie IRL,DF,Brighton,22,2001,2,0,20,41,40,48,27
no NOR,DF,no Molde,26,1997,3,2,257,31,23,17,70
no NOR,MO,no Molde,29,1995,6,1,220,56,57,70,60
ml MLI,MO,Stuttgart,22,2001,16,4,495,71,51,42,40
fr FRA,DF,RB Leipzig,19,2005,25,16,1398,44,59,47,57
sn SEN,MF,cz Slavia Prague,19,2004,8,6,598,64,81,82,45
il ISR,FW,il Maccabi Tel Aviv,20,2004,8,4,320,35,48,57,66
ba BIH,MF,hu Ferencváros,28,1996,7,5,461,38,41,52,75
uz UZB,MO,Roma,29,1995,35,14,1414,66,51,34,38
it ITA,GK,Cagliari,22,2001,22,21,1945,42,42,44,46
tn TUN,MO,dk FC Copenhagen,25,1999,6,4,336,48,50,64,44
be BEL,DF,cz Sparta Prague,26,1997,2,2,157,29,14,42,48
dk DEN,DF,tr Galatasaray,21,2003,9,3,308,85,61,69,54
tn TUN,MO,St. Pauli,24,1999,18,10,900,69,59,64,60
ma MAR,MO,Monaco,19,2005,43,26,2295,68,75,78,61
mk MKD,MF,RB Leipzig,24,1999,18,12,1101,83,47,74,23
be BEL,MF,Monaco,22,2002,6,1,95,31,40,41,77
gh GHA,MF,Auxerre,26,1997,28,28,2344,41,41,27,64
kz KAZ,MF,kz Astana FK,24,2000,5,2,185,49,49,79,32
eng ENG,MF,Nott'ham Forest,21,2002,37,33,2728,66,69,66,73
tn TUN,MF,Eint Frankfurt,29,1995,42,33,2938,52,65,47,50
ci CIV,MF,Reims,17,2006,2,0,18,38,34,65,15
al ALB,DF,Lazio,30,1994,13,5,496,58,79,66,54
al ALB,DF,gr Panathinaikos,18,2005,1,0,54,52,58,36,55
be BEL,FW,be Union SG,26,1998,2,0,10,67,18,68,52
az AZE,DF,az Qarabağ,23,2000,7,6,530,62,69,88,42
xk KVX,MF,Augsburg,26,1997,27,22,1785,62,55,58,45
lv LVA,DF,lv FK Rīgas FS,31,1993,6,0,113,38,50,15,37
fr FRA,MO,Eint Frankfurt,21,2003,24,8,795,63,33,42,15
fr FRA,FW,Le Havre,20,2004,1,0,27,33,19,35,12
is ISL,GK,dk Midtjylland,24,2000,6,6,520,51,40,44,59
at AUT,DF,at Sturm Graz,23,2000,6,6,540,25,19,16,67
nl NED,FW,Strasbourg,21,2003,27,27,2293,58,43,36,51
it ITA,DF,Parma,25,1998,35,34,2873,76,69,65,37
br BRA,DF,Milan,25,1999,24,20,1694,57,65,71,55
it ITA,DF,West Ham,29,1994,31,26,2113,76,62,65,46
ar ARG,MF,Leverkusen,27,1996,29,4,480,86,61,82,62
id IDN,GK,Como,27,1997,8,8,720,42,44,45,43
no NOR,MF,Genoa,25,1999,3,1,166,38,32,38,71
no NOR,MF,no Molde,24,2000,10,10,886,51,75,78,81
se SWE,DF,Bologna,24,2000,25,15,1368,82,70,73,71
dk DEN,MO,se Elfsborg,27,1996,6,0,64,65,31,44,49
se SWE,DF,Newcastle Utd,29,1994,12,2,342,37,30,39,35
eng ENG,MF,Fulham,24,2000,34,25,2043,81,69,75,25
ar ARG,GK,Aston Villa,31,1992,55,55,4776,71,81,88,86
tr TUR,DF,tr Beşiktaş,23,2000,6,4,438,42,59,47,66
gr GRE,MF,gr Panathinaikos,30,1994,4,4,335,35,46,27,40
gh GHA,MO,az Qarabağ,22,2001,8,1,162,34,59,74,48
ci CIV,DF,Wolves,27,1997,30,30,2670,53,49,48,62
fr FRA,DF,Angers,19,2005,17,15,1336,51,27,28,45
se SWE,MO,Empoli,22,2002,15,0,186,33,30,68,68
gh GHA,MF,Empoli,30,1994,37,37,3217,50,35,44,41
fr FRA,DF,Marseille,18,2006,1,0,12,22,20,13,3
us USA,MO,Le Havre,26,1997,15,7,653,35,24,32,53
de GER,MF,Dortmund,30,1994,43,33,3047,51,49,47,69
tr TUR,DF,tr Başakşehir,23,2001,3,0,51,34,41,37,51
es ESP,FW,Athletic Club,21,2003,1,0,7,35,20,53,12
hu HUN,DF,hu Ferencváros,29,1994,3,1,112,28,35,38,66
br BRA,FW,Real Madrid,18,2006,31,4,504,66,51,66,57
tr TUR,MO,Bournemouth,27,1997,17,2,345,73,49,27,29
es ESP,MF,Leganés,27,1997,12,7,616,51,20,61,57
it ITA,DF,Parma,24,1999,34,32,2947,67,44,42,36
ba BIH,MO,ba Borac Banja Luka,20,2003,9,9,739,18,35,40,65
ar ARG,MF,Valencia,23,2001,30,26,2191,47,57,32,66
cm CMR,DF,Osasuna,22,2001,37,36,3257,51,40,42,55
fr FRA,MF,Angers,20,2004,2,0,34,31,34,11,91
cm CMR,DF,Udinese,25,1999,8,6,609,29,33,37,56
ar ARG,MF,Chelsea,23,2001,42,37,3286,84,86,71,36
fr FRA,MF,Roma,24,2000,9,6,430,44,65,72,46
fr FRA,MF,Las Palmas,23,2000,17,7,684,33,41,32,38
fr FRA,MO,Stuttgart,22,2002,37,30,2531,66,82,57,41
fr FRA,FW,fr Lyon,16,2007,1,0,9,39,14,13,12
fr FRA,MO,Marseille,17,2007,2,0,24,27,33,24,6
cm CMR,DF,Montpellier,21,2002,27,21,1899,49,50,68,51
al ALB,MO,am FC Noah,27,1996,6,4,390,41,61,49,43
il ISR,FW,il Maccabi Tel Aviv,37,1987,2,0,28,49,75,39,62
ch SUI,MF,Valladolid,26,1998,25,21,1779,24,26,30,53
at AUT,FW,at Rapid Wien,28,1996,3,2,131,54,34,32,73
de GER,MO,Freiburg,22,2001,23,13,1196,34,58,45,53
tr TUR,MO,Hoffenheim,22,2002,13,3,414,28,14,17,49
rs SRB,DF,Bochum,25,1998,16,10,910,64,57,26,59
ci CIV,DF,Villarreal,30,1994,12,8,617,30,28,37,37
eng ENG,DF,Bayern Munich,30,1994,27,19,1760,70,68,48,51
es ESP,MF,Barcelona,23,2001,38,17,1842,68,69,47,60
se SWE,MF,St. Pauli,27,1997,32,32,2827,45,55,28,56
de GER,MF,Nott'ham Forest,18,2006,2,0,30,20,18,34,57
br BRA,MO,bg Ludogorets,20,2004,7,5,440,56,68,50,39
br BRA,MF,be Cercle Brugge,20,2004,2,0,68,42,21,41,71
se SWE,MO,St. Pauli,22,2001,5,0,43,21,24,38,37
no NOR,MO,se Malmö,24,2000,8,7,626,67,32,22,21
sk SVK,MO,cz Viktoria Plzeň,26,1997,5,3,251,41,48,41,79
us USA,DF,gr Panathinaikos,27,1997,1,1,36,22,30,20,41
no NOR,FW,Manchester City,24,2000,40,40,3505,75,44,32,52
is ISL,MO,is KV,26,1998,6,6,467,22,40,44,61
xk KVX,FW,cz Sparta Prague,25,1998,7,1,160,21,40,20,66
ba BIH,FW,Stuttgart,26,1998,42,24,2261,71,52,44,46
al ALB,FW,tr Beşiktaş,23,2001,6,5,426,49,79,70,71
gh GHA,MO,Lyon,20,2003,32,20,1587,75,61,84,62
nl NED,FW,nl AZ Alkmaar,20,2004,10,8,695,53,67,79,70
nl NED,DF,Auxerre,23,2001,2,0,15,41,50,70,3
tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,55,41,42,39
ba BIH,FW,nl PSV Eindhoven,19,2005,1,0,11,17,19,36,33
es ESP,FW,Bologna,20,2003,1,0,9,60,53,86,12
fr FRA,FW,Angers,24,2000,28,18,1629,52,38,33,52
fr FRA,MO,Lille,17,2006,12,2,300,63,66,83,49
eng ENG,MO,Arsenal,17,2007,33,13,1119,70,67,88,44
jm JAM,DF,Brentford,31,1993,22,21,1913,66,42,30,53
cm CMR,FW,Rayo Vallecano,21,2002,2,0,40,22,28,9,35
fr FRA,DF,Le Havre,22,2002,28,26,2320,35,35,39,40
ie IRL,FW,West Ham,19,2004,21,3,402,41,45,39,69
br BRA,FW,Bournemouth,24,1999,31,28,2319,63,48,32,55
ci CIV,MO,Nice,23,2001,40,33,2902,75,59,54,63
br BRA,MF,cy AC Omonia,28,1996,3,1,87,35,69,62,45
ar ARG,MF,Leverkusen,25,1998,34,19,1817,66,90,65,55
se SWE,MO,Torino,19,2005,16,0,394,52,27,49,30
ar ARG,FW,Betis,30,1994,29,13,1253,55,72,62,64
eng ENG,DF,Aston Villa,26,1997,45,44,3926,58,41,44,33
de GER,GK,de Stuttgart,29,1995,1,1,90,57,57,58,41
ch SUI,MO,Stuttgart,22,2002,29,9,1112,57,76,53,68
ch SUI,DF,Newcastle Utd,32,1991,34,33,2934,74,49,56,38
br BRA,GK,cy AC Omonia,36,1988,7,7,630,42,41,40,42
it ITA,MF,Fiorentina,23,2000,36,18,1701,64,48,73,66
fr FRA,DF,Nantes,28,1996,7,3,265,57,63,73,59
hr CRO,GK,az Qarabağ,27,1997,2,2,180,42,42,40,33
pt POR,MO,Brentford,21,2002,19,3,455,58,54,24,66
it ITA,DF,Gladbach,19,2005,16,3,379,66,45,23,64
es ESP,MF,Las Palmas,27,1997,2,0,53,56,37,24,20
it ITA,MO,Genoa,20,2003,25,22,1677,44,51,40,54
pt POR,MO,pt Porto,24,2000,9,4,399,66,85,52,55
es ESP,MF,Paris S-G,28,1996,47,35,3068,78,90,73,44
cm CMR,GK,lv FK Rīgas FS,28,1995,8,8,720,42,43,43,47
ar ARG,MO,Leicester City,19,2004,31,14,1523,54,59,41,72
my MAS,DF,Alavés,24,1999,10,7,678,37,41,21,30
uy URU,DF,nl Feyenoord,21,2003,2,0,9,41,13,60,37
ar ARG,DF,Lens,25,1999,29,29,2543,58,83,66,46
uy URU,MO,gr Panathinaikos,22,2001,5,3,239,71,50,76,47
de GER,MF,RB Leipzig,16,2008,1,0,1,20,11,7,6
ml MLI,DF,Montpellier,29,1995,16,14,1233,41,57,57,26
gw GNB,DF,Venezia,26,1998,17,17,1530,56,48,43,59
dz ALG,MO,Eint Frankfurt,21,2002,36,13,1450,49,77,50,60
dz ALG,FW,Angers,27,1997,32,22,1893,50,66,67,63
de GER,MO,Hellas Verona,23,2001,3,0,71,23,30,37,47
cm CMR,FW,Marseille,24,2000,1,0,8,17,14,8,12
tn TUN,MF,fr Nice,18,2006,2,1,46,35,19,44,14
eng ENG,MF,Empoli,22,2001,22,14,1114,72,70,63,47
be BEL,DF,be Union SG,21,2003,5,3,252,51,58,32,62
it ITA,MF,Genoa,20,2004,1,0,5,20,12,26,6
it ITA,DF,Como,30,1993,7,5,431,42,43,44,20
it ITA,DF,Lecce,27,1996,38,38,3420,54,30,32,49
it ITA,MO,Atalanta,18,2006,2,0,14,49,29,76,16
it ITA,FW,Liverpool,26,1997,9,2,215,55,59,75,41
it ITA,MF,Inter,26,1997,42,35,2708,80,73,72,36
it ITA,DF,Juventus,26,1998,39,34,2996,62,51,57,47
it ITA,GK,Bologna,24,1999,13,12,1146,56,58,61,50
uy URU,MF,Real Madrid,26,1998,50,48,4267,68,77,64,59
br BRA,MO,be Cercle Brugge,20,2004,8,5,466,56,24,26,47
ng NGA,DF,Werder Bremen,24,1999,22,21,1751,83,56,67,33
ch SUI,MO,ch St. Gallen,23,2001,5,2,172,66,25,47,29
de GER,MF,Dortmund,23,2000,35,26,2127,69,63,56,67
de GER,MF,Bochum,26,1998,31,30,2334,56,59,58,44
br BRA,DF,Como,18,2006,7,1,171,38,46,39,66
0,MO,Celta Vigo,0,0,17,7,671,66,69,79,37
tr TUR,MF,Brighton,24,1999,6,5,385,79,51,50,63
fr FRA,DF,Real Madrid,29,1995,25,23,1890,35,64,62,36
es ESP,MO,Barcelona,21,2003,39,16,1705,74,85,65,46
es ESP,MF,Espanyol,28,1995,21,6,715,44,28,14,73
uy URU,GK,tr Galatasaray,38,1986,6,6,540,42,44,47,66
es ESP,FW,be Club Brugge,25,1999,12,11,847,43,50,40,54
es ESP,MF,Girona,21,2003,1,0,18,20,21,11,29
es ESP,MO,Barcelona,24,2000,38,15,1532,79,64,48,29
eng ENG,DF,Milan,26,1997,29,25,2157,37,70,50,51
bg BUL,FW,bg Ludogorets,17,2007,1,0,1,17,14,17,12
se SWE,DF,cy AC Omonia,31,1993,3,3,270,42,26,47,53
dk DEN,GK,Chelsea,22,2002,18,18,1620,47,44,60,42
rs SRB,DF,tr Fenerbahçe,31,1992,4,4,390,68,75,88,53
rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,53,41,41,50
pl POL,MF,Lecce,22,2002,1,0,15,20,15,8,6
rs SRB,DF,gr Panathinaikos,32,1991,10,9,788,81,72,80,57
cz CZE,DF,cz Sparta Prague,28,1995,7,6,563,44,53,40,47
cz CZE,MO,cz Slavia Prague,21,2003,3,1,91,17,26,6,40
rs SRB,GK,Venezia,22,2002,16,16,1367,47,41,45,49
me MNE,DF,at LASK,31,1993,6,5,451,58,78,64,61
ch SUI,MF,ch Young Boys,25,1999,7,7,597,46,66,45,36
rs SRB,MO,gr Panathinaikos,32,1992,10,9,714,70,65,65,45
it ITA,MO,Genoa,25,1999,3,1,89,20,52,20,42
it ITA,MF,Milan,21,2003,15,6,600,28,37,27,46
sct SCO,FW,sct Rangers,17,2006,1,0,31,35,15,30,61
wls WAL,DF,St. Pauli,21,2003,1,0,1,22,13,19,3
de GER,GK,Augsburg,26,1998,19,19,1710,50,61,57,57
de GER,DF,Stuttgart,18,2006,12,9,780,24,48,62,70
de GER,MF,Hoffenheim,24,2000,15,9,850,40,66,43,45
de GER,MF,Holstein Kiel,27,1997,31,20,1970,70,53,59,60
ng NGA,MO,Lazio,23,2001,28,17,1445,49,57,54,45
at AUT,DF,Hellas Verona,23,2001,18,9,1004,39,39,46,58
dz ALG,DF,Angers,34,1990,33,31,2672,67,70,67,58
fr FRA,MO,Nantes,32,1991,9,3,242,32,55,37,50
xk KVX,MO,Freiburg,26,1998,9,0,168,39,49,76,60
pt POR,MF,pt Benfica,24,1999,9,9,713,23,30,27,82
fr FRA,FW,Auxerre,27,1997,26,4,575,41,34,42,59
at AUT,MO,at LASK,28,1995,6,3,363,55,39,47,56
at AUT,MF,Hoffenheim,28,1995,25,19,1528,40,59,48,55
fr FRA,DF,Rayo Vallecano,33,1991,37,37,3325,63,63,46,46
at AUT,MF,Hoffenheim,19,2005,3,0,57,20,22,60,35
de GER,GK,Freiburg,26,1997,9,8,753,42,45,45,35
de GER,MF,Gladbach,27,1997,18,2,382,62,82,70,42
fr FRA,MO,Lens,33,1990,31,22,1794,48,60,61,59
fr FRA,MF,Saint-Étienne,32,1992,24,13,1252,69,86,51,53
fr FRA,MO,Udinese,31,1993,25,24,1956,77,71,71,36
de GER,MO,Leverkusen,21,2003,40,34,3110,88,91,89,38
ro ROU,MO,ro FCSB,29,1994,10,9,705,49,67,38,62
ro ROU,MO,Cagliari,26,1998,9,2,263,44,27,54,64
eng ENG,MF,Southampton,25,1999,27,25,2151,45,41,38,50
pt POR,MF,be Cercle Brugge,21,2003,4,3,217,63,69,75,78
sn SEN,MF,Le Havre,27,1997,10,9,589,24,28,47,54
us USA,FW,Monaco,23,2001,16,7,709,79,51,73,30
gr GRE,DF,cy AC Omonia,21,2003,2,0,14,41,44,62,39
gr GRE,FW,gr Panathinaikos,24,2000,9,3,391,80,60,77,23
es ESP,GK,Real Madrid,19,2005,1,1,90,42,44,40,42
es ESP,MF,Celta Vigo,25,1999,34,29,2421,48,59,46,51
es ESP,DF,Real Madrid,24,1999,40,25,2439,57,78,82,54
es ESP,GK,Betis,25,1999,12,12,1110,56,42,42,45
it ITA,DF,it Inter,36,1988,32,28,2480,57,61,55,59
it ITA,MO,Milan,16,2008,14,1,245,50,34,30,49
it ITA,FW,Empoli,36,1987,1,0,6,17,22,40,12
it ITA,DF,Venezia,30,1993,24,17,1639,72,57,68,32
gh GHA,MF,be Cercle Brugge,23,2001,7,7,554,36,57,24,70
be BEL,MO,be Anderlecht,24,1999,6,3,254,52,26,69,33
fr FRA,MF,Nantes,33,1991,6,3,224,83,78,45,76
de GER,FW,de Leverkusen,17,2007,1,0,15,17,34,46,12
ng NGA,GK,cy AC Omonia,25,1998,1,1,90,58,37,40,33
pt POR,DF,pt Braga,19,2005,1,1,88,35,26,59,57
pt POR,MO,Juventus,21,2002,35,18,1945,72,64,87,50
ar ARG,DF,gr Olympiacos,25,1999,9,8,626,54,72,80,61
es ESP,MO,Valencia,21,2002,26,4,570,25,44,69,76
pt POR,MO,pt Sporting CP,24,1999,9,9,787,30,49,42,49
fr FRA,FW,Gladbach,27,1996,19,18,1439,62,87,73,55
ch SUI,FW,be Gent,22,2002,7,6,434,52,59,69,55
it ITA,DF,Venezia,21,2003,8,3,226,56,50,56,44
ar ARG,MO,Celta Vigo,30,1994,7,4,273,18,51,42,69
uy URU,GK,pt Sporting CP,24,2000,8,8,720,53,51,43,54
gw GNB,FW,dk Midtjylland,20,2004,6,2,219,59,49,58,69
hr CRO,MO,be Union SG,20,2003,10,9,840,71,31,62,51
de GER,GK,Heidenheim,20,2004,4,3,331,57,38,49,40
cm CMR,MO,Toulouse,24,1999,31,17,1516,53,32,18,33
ng NGA,MF,Augsburg,26,1998,33,30,2611,38,47,53,61
eng ENG,DF,sct Hearts,28,1995,5,5,394,50,41,15,51
de GER,MF,Heidenheim,21,2003,17,16,1273,67,63,63,52
eng ENG,GK,Tottenham,36,1988,11,11,990,42,44,55,72
br BRA,MF,tr Fenerbahçe,31,1993,10,10,914,38,57,55,45
fr FRA,DF,Lecce,29,1994,31,31,2435,45,66,62,62
dk DEN,FW,no Molde,21,2003,9,2,299,64,33,27,62
dk DEN,GK,Union Berlin,31,1992,28,28,2520,64,57,62,52
no NOR,DF,no Bodø/Glimt,25,1998,16,16,1444,72,71,86,55
no NOR,MF,pt Benfica,28,1995,12,11,989,61,61,69,52
no NOR,FW,no Molde,31,1992,6,4,327,53,50,41,38
fi FIN,MF,Augsburg,26,1997,20,9,763,46,40,69,44
no NOR,DF,Auxerre,21,2002,10,2,293,59,48,67,46
no NOR,DF,no Bodø/Glimt,20,2003,16,15,1307,33,45,71,55
nl NED,MF,Barcelona,27,1997,39,17,1947,61,78,64,40
ru RUS,FW,gr PAOK,26,1998,9,4,393,69,77,42,48
by BLR,GK,by Dinamo Minsk,21,2003,6,6,540,69,84,71,48
pt POR,FW,Las Palmas,22,2002,24,22,1866,65,54,50,55
fr FRA,MO,Strasbourg,20,2003,27,20,1779,47,55,38,70
fr FRA,FW,Lens,18,2006,1,0,11,35,22,35,12
es ESP,MF,pt Braga,21,2003,6,5,414,57,46,74,56
ch SUI,MF,Montpellier,23,2000,6,0,56,33,35,42,70
cg CGO,FW,Parma,25,1999,10,0,271,66,74,51,74
se SWE,DF,Lille,25,1999,39,25,2272,76,71,83,45
br BRA,FW,Arsenal,27,1997,22,9,866,66,71,74,76
pl POL,GK,pl Legia Warsaw,22,2002,4,4,360,42,42,41,34
br BRA,DF,Arsenal,26,1997,37,37,3166,75,71,50,43
br BRA,MO,Arsenal,23,2001,46,36,3224,68,56,70,36
br BRA,MF,Reims,18,2005,6,0,84,41,39,50,48
nl NED,MO,Girona,19,2005,9,1,257,51,61,64,16
ng NGA,DF,Auxerre,25,1998,20,20,1654,47,33,36,48
br BRA,DF,tr Beşiktaş,33,1990,4,4,282,36,53,32,67
br BRA,DF,dk FC Copenhagen,24,2000,9,9,840,64,44,50,67
br BRA,MF,tr Galatasaray,25,1999,9,9,777,61,86,77,44
br BRA,MO,Como,27,1997,37,32,2619,58,66,61,59
cl CHI,DF,Toulouse,26,1997,30,23,2163,62,84,80,51
hr CRO,MF,Bayern Munich,20,2003,5,0,28,45,19,47,15
it ITA,DF,Cagliari,24,1999,37,35,3060,70,63,64,26
fr FRA,DF,Lecce,24,2000,19,16,1388,25,32,38,32
it ITA,MF,Monza,27,1997,21,8,744,41,47,62,37
it ITA,MO,Venezia,21,2002,37,29,2315,45,46,52,35
br BRA,MO,pt Porto,26,1997,8,6,586,61,66,69,73
be BEL,MF,be Cercle Brugge,24,1999,7,5,518,92,72,68,82
ie IRL,MF,ie Shamrock Rov,29,1995,7,5,429,29,39,20,56
uy URU,MF,Genoa,29,1995,2,0,31,50,28,35,42
fr FRA,GK,Rennes,31,1993,1,0,45,42,43,46,33
fr FRA,GK,Saint-Étienne,27,1997,34,34,3060,49,48,44,50
fr FRA,DF,Le Havre,29,1995,31,31,2768,55,49,39,69
es ESP,MO,Barcelona,19,2004,36,17,1386,35,63,35,79
il ISR,MF,il Maccabi Tel Aviv,26,1997,6,6,460,74,66,57,51
fr FRA,FW,Nice,30,1994,33,23,2117,72,70,55,68
fr FRA,MO,Auxerre,28,1996,34,31,2691,69,77,55,38
pt POR,MF,tr Beşiktaş,25,1999,8,8,705,70,44,69,62
pt POR,FW,gr Olympiacos,29,1995,7,7,594,50,80,89,75
se SWE,MO,eng Chelsea,17,2007,2,0,22,53,55,94,51
mz MOZ,MF,pt Sporting CP,23,2001,8,6,504,82,55,81,47
ng NGA,FW,kz Astana FK,26,1997,4,4,310,23,28,37,70
cf CTA,MF,Marseille,31,1993,25,22,2020,26,46,46,72
us USA,DF,at LASK,22,2002,6,6,504,48,57,79,56
eng ENG,DF,Ipswich Town,26,1997,1,0,2,22,13,18,3
sct SCO,FW,Ipswich Town,25,1999,26,5,661,54,44,34,62
ng NGA,FW,Monaco,17,2006,29,6,830,61,54,44,43
eng ENG,MF,nir Larne FC,25,1998,1,1,79,23,37,11,55
ge GEO,FW,Lyon,23,2000,45,21,2116,84,81,71,42
bg BUL,MF,cy APOEL,33,1990,4,4,330,63,27,36,44
bg BUL,FW,bg Ludogorets,26,1998,3,0,37,29,47,65,12
bg BUL,DF,bg Ludogorets,32,1992,1,0,13,22,21,10,23
fr FRA,MO,Brighton,22,2002,28,19,1656,63,50,41,53
gr GRE,FW,ch Lugano,20,2004,2,2,148,64,37,29,75
gr GRE,DF,gr Panathinaikos,22,2001,7,4,481,65,64,82,41
pt POR,MF,pt Sporting CP,17,2007,10,8,721,56,67,80,22
es ESP,MF,Rayo Vallecano,29,1994,22,7,849,48,62,39,54
es ESP,DF,Barcelona,22,2002,36,16,1484,76,80,71,49
es ESP,FW,Villarreal,32,1992,17,6,721,76,91,79,57
ru RUS,FW,dk FC Copenhagen,28,1996,2,1,65,46,14,30,26
es ESP,MF,Valencia,22,2002,8,1,148,50,21,51,40
at AUT,DF,nl Feyenoord,32,1992,9,7,659,66,68,49,55
ph PHI,MF,Bochum,29,1995,23,12,1136,80,60,73,64
