Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Ipswich Town,38,35,35.0,374,120,2,2,658,58,11524,14775,5157,5835,5115,5988,1021,2184,26,24.2,21.2,283,865,173,54,935,513,920,589,340,294,214,81,281,604,323,436,303,1102,39,19091,3012,7764,7504,4032,605,19089,643,277,9384,513,330,150,538,347,11405,920,93,5,4,430,404,52,2,6,2,1437,552,533,80,82,210,130,2,6,6,0,0,73.6,189,531,1067,184,239,609,71,35
Juventus,38,56,51.6,509,175,6,6,908,94,18259,21231,8378,9109,8078,8869,1473,2432,40,36.1,33.4,393,1390,305,67,1561,810,1548,606,353,273,245,88,263,471,208,404,215,723,27,25202,2320,7729,11766,5913,856,25196,658,309,15347,810,558,216,568,293,18089,1548,67,3,1,480,378,52,3,5,0,1516,458,461,58,35,119,84,17,5,5,0,0,31.8,139,377,1018,156,158,519,32,33
Las Palmas,38,38,36.6,409,134,3,4,741,68,14352,18209,6396,7255,6214,7269,1395,2776,27,26.4,26.2,304,1059,246,79,1210,499,1197,619,370,308,253,58,307,592,285,434,321,971,28,22497,2561,7809,10353,4511,669,22493,571,239,11365,499,346,113,547,275,14222,1197,110,4,2,452,462,59,1,10,3,1454,529,561,60,61,182,120,4,10,5,4,1,63.7,193,584,1295,195,226,561,22,36
Lazio,38,60,58.4,528,185,6,7,954,103,16400,19521,6959,7646,7447,8298,1670,2729,43,39.0,34.8,403,1374,323,102,1588,774,1580,520,319,234,224,62,251,501,250,313,295,718,23,23200,2262,6760,11033,5654,928,23193,628,296,13530,774,587,189,469,310,16281,1580,93,7,3,425,484,46,4,4,2,1439,473,491,52,49,119,72,9,4,4,0,0,39.4,188,498,1317,132,131,496,49,54
Le Havre,34,37,42.9,339,97,9,10,588,62,11125,14115,4445,5095,5289,6120,1156,2182,21,24.4,25.7,230,786,201,85,1051,538,1033,621,387,326,212,83,304,562,258,362,324,987,24,17975,2197,6737,7822,3637,581,17965,512,233,9506,538,347,93,448,311,11013,1033,56,4,1,379,403,50,6,6,1,1399,451,436,63,71,175,104,4,6,5,1,0,72.9,135,334,839,147,216,546,33,15
Lecce,38,27,35.2,450,119,3,4,777,47,11490,15087,4757,5501,5029,5971,1465,2862,21,24.5,20.4,322,852,222,93,1071,519,1062,627,372,315,250,62,301,584,283,407,285,1042,26,19445,2594,7211,8380,4085,605,19441,547,237,9704,519,349,121,572,290,11350,1062,61,7,1,466,427,52,2,10,3,1484,676,651,29,58,181,125,9,10,8,1,1,53.8,220,656,1017,120,178,590,29,19
Leganés,38,38,36.6,345,110,5,7,608,73,11207,14840,5038,5734,4716,5600,1169,2735,27,23.3,21.9,241,796,187,45,1030,417,1023,633,384,301,250,82,295,599,304,436,332,1201,18,19312,2448,7029,8720,3764,482,19305,627,302,9782,417,364,105,575,314,11128,1023,82,6,0,503,470,84,7,8,3,1500,472,614,58,56,175,122,11,8,7,0,1,59.0,237,885,874,132,357,709,56,53
Leicester City,38,33,32.9,332,105,2,3,585,56,13945,17486,6703,7482,5797,6664,1073,2370,25,25.2,23.9,252,953,216,67,1082,576,1072,728,431,361,278,89,336,695,359,505,327,987,31,21748,2881,8066,9845,4048,632,21745,638,264,12276,576,365,143,500,336,13828,1072,87,0,0,420,393,63,3,4,3,1478,503,579,78,80,209,131,3,4,3,1,0,74.6,181,688,1300,178,208,599,36,36
Lens,34,40,53.6,484,148,5,5,859,65,14837,18173,7330,8209,5806,6685,1219,2163,26,36.5,41.1,365,1117,354,100,1451,570,1440,606,365,264,233,109,299,579,280,387,321,705,19,22167,1929,6346,10186,5833,848,22162,582,249,12325,570,479,122,576,341,14727,1440,86,8,3,499,360,84,2,9,0,1576,450,414,89,39,142,102,13,9,8,1,0,48.1,142,340,892,162,161,381,41,34
Leverkusen,34,70,58.3,499,181,3,6,910,124,18301,21589,9397,10227,7044,7969,1397,2377,53,42.7,52.1,387,1610,319,83,1692,696,1678,395,259,153,163,79,184,357,173,302,234,676,26,25098,1888,5876,12171,7188,918,25092,584,254,13865,696,496,181,458,253,18137,1678,62,1,1,325,352,64,5,4,4,1463,463,419,58,43,134,95,9,4,4,0,0,39.3,135,338,905,126,150,348,14,45
