Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
RB Leipzig,34,51,47.4,405,144,3,4,721,85,14698,18207,6822,7749,6428,7472,1090,2013,36,36.3,39.8,313,1138,306,52,1353,516,1346,543,333,248,222,73,258,525,267,500,268,990,29,22396,2257,6793,10962,4856,757,22392,580,261,11429,516,392,136,510,312,14621,1346,68,5,2,376,333,83,4,3,0,1533,480,439,56,48,158,109,14,3,2,1,0,49.9,98,261,844,167,231,512,30,45
Rayo Vallecano,38,38,46.5,514,162,0,1,886,59,13936,17861,6459,7310,5793,6748,1401,2920,27,36.5,32.0,374,1081,242,85,1362,589,1346,626,396,328,218,80,309,664,355,443,334,973,22,22372,2557,7799,9339,5455,711,22371,647,286,12068,589,431,143,630,327,13833,1346,96,3,0,522,391,79,1,8,1,1688,485,540,55,45,153,107,10,8,6,2,0,45.6,203,640,1121,150,230,532,37,39
Real Madrid,38,78,76.8,621,229,10,14,1160,137,21356,24221,10517,11248,8566,9311,1723,2595,55,55.2,52.2,501,1773,359,34,1967,983,1953,586,359,294,209,83,264,486,222,353,331,633,19,28252,2392,7662,12794,8048,1181,28238,878,412,17893,983,696,364,528,290,21223,1953,57,4,0,332,518,85,11,3,1,1541,334,267,76,38,126,89,15,3,3,0,0,36.0,84,258,1042,205,197,416,19,27
Real Sociedad,38,34,42.7,385,122,4,4,682,59,14880,18759,6750,7619,6360,7434,1421,2687,22,31.0,31.0,284,1087,242,64,1341,645,1325,649,401,309,244,96,308,579,271,428,283,913,21,23027,2275,7208,10770,5243,747,23023,659,295,12533,645,417,163,603,297,14716,1325,85,4,0,501,417,82,3,7,0,1569,578,606,51,46,142,94,13,7,5,2,0,41.5,187,493,1094,122,249,467,30,43
Reims,34,32,37.8,393,111,1,2,689,57,11657,14602,5338,6018,4868,5628,1110,2150,19,26.4,28.4,276,861,224,80,1156,586,1140,558,359,313,174,71,285,551,266,392,289,958,20,18663,2437,6983,7699,4213,649,18661,629,279,9968,586,420,139,576,304,11542,1140,66,6,2,392,372,59,1,5,0,1407,378,430,24,47,179,131,7,5,4,1,0,61.6,154,477,993,153,220,554,31,42
Rennes,34,51,49.7,423,155,5,8,757,83,13914,16913,6055,6811,6276,7138,1246,2132,32,29.8,32.4,318,1083,265,62,1440,663,1421,596,363,282,234,80,296,510,214,350,337,739,14,20688,1999,6281,9624,4970,763,20680,643,270,11438,663,429,186,508,344,13788,1421,67,2,0,445,382,48,4,6,2,1458,443,393,100,50,138,87,11,6,3,3,0,46.2,119,361,1010,132,179,402,23,37
Roma,38,55,54.3,514,162,8,8,934,95,17016,20265,7364,8133,7726,8590,1535,2676,35,35.6,32.9,391,1302,314,81,1501,691,1488,551,328,233,236,82,224,439,215,329,282,746,16,24126,2375,7151,11355,5819,861,24118,563,210,14077,691,579,162,545,283,16857,1488,66,1,1,405,484,59,6,4,1,1437,441,476,24,35,151,117,16,4,4,0,0,42.5,124,413,1258,170,200,495,30,33
Saint-Étienne,34,39,37.2,366,115,3,4,628,65,13001,15954,6224,6913,5489,6265,973,1997,28,24.7,26.5,269,1024,237,34,1262,529,1254,581,382,291,216,74,296,594,298,404,328,854,26,19848,2437,6917,8493,4607,600,19844,558,239,10318,529,334,138,550,309,12920,1254,65,3,1,449,361,46,4,15,2,1428,342,386,27,77,209,132,5,15,13,2,0,73.5,131,486,978,145,205,510,24,33
Sevilla,38,39,43.2,472,148,2,3,824,71,14432,18057,6743,7466,6146,7086,1267,2706,32,30.9,24.5,357,1072,210,60,1193,594,1186,648,390,321,240,87,312,563,251,368,367,931,17,22465,2404,8057,9800,4813,669,22462,720,339,11147,594,397,161,624,331,14288,1186,98,8,3,494,402,70,1,6,1,1551,531,442,59,55,148,93,10,6,5,1,0,48.1,155,587,1113,146,212,513,27,43
Southampton,38,25,33.3,341,106,0,2,616,42,15530,18561,7279,7996,6699,7455,1175,2271,16,25.2,24.0,269,989,218,60,1127,640,1118,652,378,310,266,76,280,584,304,433,305,988,51,22776,3003,8424,9788,4766,688,22774,736,312,12656,640,460,165,486,355,15394,1118,89,3,0,459,421,49,2,9,0,1440,468,421,89,86,245,157,3,9,7,2,0,83.8,235,707,1293,172,228,587,35,27
St. Pauli,34,26,35.8,377,109,1,2,662,45,11751,15300,5086,5835,5248,6213,1110,2391,22,26.4,28.5,278,892,201,72,1073,418,1057,537,315,256,217,64,266,511,245,391,257,915,21,19141,2257,6816,8232,4244,648,19139,429,179,9105,418,326,122,476,262,11611,1057,53,4,3,353,352,66,2,5,1,1350,533,656,51,41,140,96,9,5,1,4,0,49.8,171,521,1304,112,147,426,24,27
Strasbourg,34,54,50.2,354,140,2,2,622,93,14667,17462,6434,7096,6989,7831,998,1882,43,38.9,32.7,273,896,216,50,1204,563,1191,537,335,256,213,68,257,459,202,376,282,899,17,21307,2567,8555,9120,3825,614,21305,629,282,12112,563,365,170,514,263,14530,1191,71,3,1,393,417,48,2,9,2,1436,339,324,58,44,169,126,10,9,8,1,0,52.6,123,383,1560,148,114,539,43,50
Stuttgart,34,61,64.7,465,172,2,6,841,104,16513,19767,8302,9120,6590,7479,1230,2270,45,45.6,52.5,370,1291,372,90,1493,545,1478,477,282,197,199,81,254,476,222,401,298,777,20,23545,2241,6719,11421,5572,945,23539,566,264,13416,545,434,170,499,312,16334,1478,72,5,3,358,411,62,4,3,1,1378,468,448,27,53,136,83,7,3,2,1,0,44.8,157,410,1183,137,122,415,21,57
Torino,38,36,35.5,383,123,2,4,663,58,13578,17008,5650,6464,6225,7103,1445,2696,21,22.4,25.9,276,980,250,86,1113,529,1103,468,261,217,181,70,232,437,205,338,278,882,21,20697,2400,6911,9482,4475,605,20693,452,169,12098,529,389,107,490,272,13424,1103,80,3,1,483,386,57,2,7,2,1296,538,564,58,45,180,133,10,7,3,4,0,53.6,231,714,1378,196,277,597,37,51
Tottenham,38,61,59.9,493,177,3,4,875,106,16513,19960,7576,8440,7372,8289,1101,2084,47,45.0,36.3,375,1254,369,83,1593,840,1582,661,414,285,271,105,296,598,302,448,322,821,41,24315,2626,8159,10173,6223,1001,24311,812,308,15073,840,566,249,538,426,16373,1582,72,1,1,446,483,63,4,3,4,1659,422,437,109,65,180,119,6,3,3,0,0,66.6,59,195,1162,192,157,520,49,45
Toulouse,34,42,49.5,399,145,3,4,699,78,11674,14867,5182,5953,5259,6118,964,2027,34,34.9,37.9,297,879,284,65,1219,543,1201,605,364,264,253,88,318,608,290,341,281,775,15,18606,1884,6030,8440,4363,789,18602,616,277,10414,543,369,155,527,311,11568,1201,54,3,0,441,415,46,4,2,3,1531,426,443,71,43,108,67,10,2,1,1,0,34.5,98,351,778,97,173,439,10,37
Udinese,38,41,39.4,430,137,2,4,757,61,12945,16279,5322,6027,5751,6676,1552,2764,28,27.5,24.6,313,969,242,103,1160,566,1140,562,346,276,217,69,279,508,229,396,302,909,27,20351,2410,6993,9142,4451,694,20347,623,281,11222,566,424,127,558,295,12776,1140,88,5,3,543,379,50,2,8,5,1426,550,493,84,56,164,113,9,8,7,0,1,52.3,167,447,1131,108,156,528,19,36
Union Berlin,34,36,37.3,414,120,3,3,709,62,9960,13705,4467,5296,3994,4998,1156,2400,25,23.6,31.6,292,792,239,75,1049,390,1032,537,318,266,223,48,270,507,237,409,312,1046,13,17834,2167,6285,7721,3997,688,17831,420,172,8875,390,252,107,472,286,9874,1032,72,1,0,419,313,67,3,6,1,1368,656,676,63,50,139,86,8,6,2,4,0,49.0,171,468,900,161,201,568,40,39
Valencia,38,43,43.7,382,116,5,5,676,71,13938,17708,6341,7094,6081,7066,1284,2634,26,30.0,33.4,283,1109,254,91,1340,572,1328,647,415,340,228,79,321,573,252,366,302,953,19,21876,2290,7206,9840,5033,653,21871,625,236,11347,572,414,122,535,340,13802,1328,86,1,0,442,446,72,4,9,3,1550,449,540,53,54,148,95,8,9,6,2,1,50.6,156,521,972,159,239,523,36,54
Valladolid,38,26,35.1,331,97,5,5,601,42,12052,15387,4795,5456,5607,6494,1410,2699,15,25.7,24.2,256,752,176,93,991,476,976,596,357,342,204,50,276,566,290,450,311,944,29,19507,2681,8158,8153,3393,523,19502,624,289,9680,476,316,120,513,268,11933,976,91,5,2,459,486,67,3,7,1,1355,544,524,71,90,204,115,5,7,7,0,0,74.6,202,550,1117,167,285,580,39,38
Venezia,38,31,36.7,381,120,4,5,685,49,11573,15155,5144,5977,5103,6078,1002,2218,16,22.4,22.2,282,813,215,58,1066,507,1057,605,361,319,202,84,286,572,286,439,279,921,25,19451,2614,7044,8341,4288,633,19445,601,248,10476,507,383,124,621,398,11442,1057,75,2,2,503,451,58,4,11,3,1450,490,626,80,56,188,134,6,11,10,1,0,57.0,135,520,1169,158,187,589,31,21
Villarreal,38,69,66.3,530,171,5,7,962,124,14532,17825,6234,6978,6564,7485,1463,2559,51,50.0,47.8,427,1146,371,102,1522,693,1510,649,396,333,236,80,336,628,292,426,281,922,21,22112,2612,7831,9120,5352,983,22105,627,279,12034,693,503,202,560,289,14383,1510,96,4,1,442,463,77,6,8,1,1547,492,399,48,51,160,110,7,8,7,0,1,44.4,122,339,924,207,206,579,34,36
Werder Bremen,34,53,50.7,424,138,3,5,772,94,13999,17550,5827,6663,6247,7263,1455,2530,38,37.9,43.9,327,954,335,91,1351,495,1343,551,321,245,240,66,276,521,245,454,315,851,27,21493,2477,7701,9226,4721,818,21488,477,195,12439,495,347,126,493,256,13899,1343,75,4,3,335,402,72,4,3,3,1453,473,470,29,57,156,102,10,3,3,0,0,52.9,134,370,1204,188,107,464,35,34
West Ham,38,43,48.2,473,137,3,3,815,67,14820,18363,6989,7831,6245,7153,1346,2580,29,34.2,31.9,331,1075,267,72,1222,632,1214,654,388,317,253,84,290,532,242,440,331,1037,28,22887,2942,8352,9852,4896,839,22884,793,347,11796,632,394,175,492,392,14712,1214,82,3,2,443,397,73,2,3,3,1558,587,560,70,62,186,127,7,3,3,0,0,58.0,212,610,1182,174,296,614,25,42
Wolfsburg,34,53,48.3,432,137,4,5,754,95,11590,15088,4735,5598,5178,6041,1421,2665,38,33.4,36.4,316,999,247,53,1205,489,1196,491,301,257,175,59,246,540,294,435,312,977,19,19121,2295,6603,8190,4491,725,19116,514,209,10180,489,338,131,504,215,11456,1196,75,3,0,350,366,49,4,3,1,1344,519,562,56,54,160,106,6,3,2,1,0,57.3,223,608,1163,143,188,512,24,22
Wolves,38,53,44.1,431,155,0,0,756,96,14472,17884,6855,7612,5909,6712,1251,2503,42,35.3,26.3,323,1011,276,72,1185,607,1179,801,471,412,305,84,373,669,296,437,298,947,25,22329,2578,7797,10051,4750,729,22328,731,324,12486,607,458,146,591,369,14358,1179,79,2,2,480,425,62,0,9,3,1659,451,475,122,69,168,100,8,9,7,2,0,59.7,153,532,1076,156,188,562,40,57
am FC Noah,6,6,7.3,86,36,0,0,159,12,2281,2821,1008,1135,991,1134,217,389,2,5.7,6.2,71,154,46,7,226,120,226,103,66,54,36,13,55,114,59,78,62,146,7,3533,418,1346,1411,810,123,3533,124,69,1926,120,87,26,86,43,2261,226,9,0,0,59,68,12,0,2,0,289,61,60,54,16,49,32,2,2,1,1,0,0.0,0,0,0,0,0,0,0,0
at LASK,6,4,4.9,62,20,0,0,110,8,2411,3029,1199,1387,999,1167,173,345,2,3.4,5.3,45,153,42,9,252,93,251,89,46,47,32,10,41,94,53,63,56,158,1,3687,439,1273,1721,714,112,3687,76,38,1986,93,65,19,66,49,2396,251,13,1,0,67,73,11,0,2,1,253,73,68,54,14,30,17,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0
at RB Salzburg,8,5,6.6,74,22,0,1,131,9,3157,3862,1414,1627,1369,1547,264,458,5,4.3,5.7,56,240,51,5,283,176,283,169,100,92,57,20,90,185,95,110,73,157,10,4808,564,1642,2062,1169,148,4807,183,89,3391,176,147,37,118,76,3131,283,16,1,0,92,81,14,1,1,0,353,57,92,61,27,56,29,0,1,1,0,0,20.6,28,93,200,27,49,105,5,17
at Rapid Wien,10,14,19.9,187,57,0,0,323,24,4488,5543,2050,2331,1859,2152,407,712,8,13.4,13.5,130,375,104,24,455,211,454,219,125,102,82,35,115,193,78,142,106,238,8,6919,542,1898,3088,2006,346,6919,199,88,4180,211,169,59,173,87,4450,454,19,2,0,121,102,14,0,2,0,490,127,122,23,11,43,32,4,2,2,0,0,0.0,0,0,0,0,0,0,0,0
at Sturm Graz,8,4,6.3,67,24,0,0,116,6,2220,2944,1055,1218,871,1070,205,490,2,4.8,4.4,49,156,42,6,186,74,186,156,105,90,50,16,77,155,78,98,77,232,6,3928,598,1659,1628,697,98,3928,111,47,2198,74,61,17,113,76,2189,186,17,1,1,105,86,18,0,0,0,342,78,114,44,14,45,31,2,0,0,0,0,15.3,37,132,222,28,51,137,12,5
az Qarabağ,8,5,9.1,79,20,1,2,149,7,3338,4125,1473,1658,1535,1772,285,537,3,6.5,8.2,57,289,77,21,359,164,359,186,110,75,78,33,85,156,71,99,86,134,8,5055,493,1547,2248,1320,193,5053,153,74,3144,164,139,49,125,79,3314,359,20,2,1,79,122,15,2,1,0,390,76,109,51,20,53,33,0,1,1,0,0,21.3,23,89,222,28,36,84,4,8
ba Borac Banja Luka,10,7,7.9,104,35,1,2,191,13,3361,4417,1356,1617,1541,1863,363,659,3,4.8,7.0,65,262,53,24,323,160,316,185,121,77,90,18,95,176,81,134,91,281,3,5633,638,1881,2464,1359,160,5631,151,63,3039,160,100,31,180,111,3342,316,27,0,0,118,141,16,1,1,0,410,135,150,57,10,41,30,4,1,0,1,0,0.0,0,0,0,0,0,0,0,0
be Anderlecht,10,16,11.7,123,41,1,1,221,25,4424,5436,2018,2282,1896,2165,397,719,11,8.0,8.3,90,347,77,19,411,192,408,183,115,78,78,27,73,121,48,101,88,229,3,6535,663,2027,2880,1690,224,6534,168,73,3679,192,103,53,143,108,4384,408,17,1,1,106,141,16,1,2,2,460,130,138,55,17,42,26,1,2,1,1,0,12.8,52,164,434,40,38,148,7,12
be Cercle Brugge,8,16,12.9,112,47,1,1,187,30,1805,2814,791,1052,728,1009,245,602,5,9.9,9.8,84,208,63,15,253,81,248,157,112,54,81,22,74,142,68,118,105,219,1,3902,374,1081,1718,1147,198,3901,152,66,1562,81,60,27,137,81,1783,248,15,2,2,102,93,12,1,3,0,368,169,177,50,10,31,21,3,3,1,0,2,0.0,0,0,0,0,0,0,0,0
be Club Brugge,12,11,11.9,121,43,2,2,221,18,4965,5833,2031,2242,2413,2626,478,812,7,7.9,8.9,98,321,67,14,351,143,348,190,113,102,67,21,108,208,100,106,102,261,8,6963,892,2728,3026,1259,178,6961,133,53,3565,143,92,39,132,64,4918,348,19,2,0,104,98,12,1,3,2,465,102,105,36,19,53,35,3,3,2,1,0,17.8,58,129,406,39,50,148,12,8
be Gent,8,9,12.3,98,32,1,1,172,16,3322,4118,1339,1534,1554,1786,383,620,4,9.4,7.1,76,271,72,20,402,129,395,142,77,76,45,21,77,142,65,99,77,189,9,5040,513,1502,2295,1291,178,5039,123,48,2666,129,94,31,137,62,3288,395,12,0,0,105,87,16,0,0,0,389,124,101,62,11,40,29,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0
be Union SG,10,10,19.7,170,55,1,2,298,17,3731,4908,1658,1952,1557,1899,400,766,7,13.8,12.9,129,373,91,19,451,197,446,240,145,78,113,49,129,237,108,135,102,249,2,6338,466,1768,2882,1771,308,6336,241,121,3405,197,159,70,197,117,3689,446,36,3,2,153,120,23,1,1,1,602,201,187,34,11,37,27,2,1,1,0,0,12.6,76,176,311,26,34,114,8,5
bg Ludogorets,8,4,7.9,81,21,0,1,138,8,2704,3481,1118,1289,1209,1407,308,611,3,5.7,6.8,61,148,44,26,170,112,170,137,77,88,37,12,65,153,88,92,77,248,5,4472,748,2013,1729,778,112,4471,163,74,2563,112,71,12,112,77,2684,170,22,1,0,92,118,13,0,0,0,328,134,126,64,11,51,40,2,0,0,0,0,15.6,48,150,290,32,67,149,9,7
by Dinamo Minsk,6,4,6.0,68,18,1,1,116,8,1799,2448,729,883,801,980,233,466,1,3.9,3.7,50,153,44,14,199,91,196,99,65,44,32,23,42,77,35,61,75,134,4,3118,282,1045,1367,742,111,3117,108,51,1515,91,60,14,84,57,1780,196,15,1,0,100,55,10,1,4,1,243,106,123,21,13,30,16,1,4,2,2,0,0.0,0,0,0,0,0,0,0,0
ch Lugano,8,16,16.1,113,45,0,0,205,25,3591,4298,1512,1671,1647,1829,363,618,8,14.3,13.1,96,240,90,16,332,123,330,144,87,77,52,15,71,139,68,89,77,175,6,5187,610,1913,2248,1084,182,5187,122,65,2987,123,99,31,107,70,3568,330,24,3,0,115,118,13,0,2,1,330,97,115,24,12,38,26,3,2,1,1,0,0.0,0,0,0,0,0,0,0,0
ch St. Gallen,6,10,9.2,82,27,0,0,140,20,2068,2744,895,1053,872,1081,247,449,5,7.5,7.3,58,192,58,12,246,99,245,97,63,49,40,8,54,109,55,76,58,136,5,3452,404,1181,1466,833,158,3452,102,47,1828,99,54,28,86,51,2059,245,15,0,0,76,54,15,0,1,1,278,83,101,27,18,50,33,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0
ch Young Boys,8,3,5.6,81,18,0,0,139,3,2423,3102,980,1117,1066,1235,309,571,3,4.0,4.2,53,175,43,16,221,111,219,124,86,73,35,16,49,139,90,108,81,198,9,4016,586,1561,1694,805,120,4016,138,72,2070,111,69,32,109,64,2395,219,24,0,0,116,74,15,0,2,2,333,85,88,51,24,53,29,0,2,0,2,0,17.2,35,120,292,28,34,135,1,6
cy AC Omonia,8,9,10.2,74,27,1,1,130,14,3218,3979,1397,1569,1487,1702,281,526,3,5.9,5.6,53,267,74,20,334,123,332,129,76,73,39,17,61,116,55,93,78,230,4,4947,535,1661,2250,1082,139,4946,163,74,2620,123,74,24,135,69,3198,332,13,0,0,84,95,16,1,1,0,349,110,116,61,10,37,26,2,1,0,1,0,0.0,0,0,0,0,0,0,0,0
cy APOEL,8,10,8.7,95,27,0,0,168,16,2902,3639,1213,1371,1317,1527,295,539,3,6.4,5.7,68,216,40,13,257,111,253,133,81,63,53,17,56,121,65,63,79,188,2,4477,407,1253,2229,1041,117,4477,118,50,2514,111,118,17,103,69,2874,253,26,2,2,105,112,22,0,1,0,330,106,137,34,9,38,28,1,1,0,1,0,0.0,0,0,0,0,0,0,0,0
cy Pafos FC,10,14,17.8,161,56,0,1,289,27,4026,5007,1553,1777,1850,2132,487,805,6,11.5,12.9,116,369,120,41,478,190,476,154,96,66,60,28,79,157,78,91,62,172,2,6036,517,1815,2662,1626,298,6035,155,71,3494,190,121,43,153,67,3994,476,27,0,0,134,114,14,1,3,1,451,132,126,59,12,29,17,3,3,2,1,0,0.0,0,0,0,0,0,0,0,0
cz Mladá Boleslav,6,7,8.2,80,34,0,1,131,10,1898,2491,737,880,922,1073,197,404,3,4.6,3.6,58,129,33,6,190,74,188,78,52,40,28,10,37,82,45,95,58,142,1,3182,484,1253,1267,699,96,3181,105,43,1565,74,65,16,81,59,1874,188,11,0,0,66,53,10,1,1,1,269,77,83,25,10,39,30,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0
cz Slavia Prague,8,7,11.0,141,45,0,0,238,14,2907,3828,1265,1483,1180,1457,361,631,6,8.9,9.7,99,226,111,56,346,150,342,122,71,51,51,20,60,102,42,83,82,104,7,4724,422,1421,1808,1536,265,4724,124,53,2110,150,101,30,144,80,2869,342,22,0,0,122,103,19,0,3,0,398,143,158,53,11,30,18,1,3,2,1,0,10.5,37,81,295,31,27,62,3,11
cz Sparta Prague,8,6,6.5,75,21,0,0,124,9,2033,2758,854,1017,876,1046,244,530,3,4.3,4.3,50,139,29,10,184,81,182,119,71,67,35,17,56,129,73,105,75,219,10,3605,553,1457,1520,657,117,3605,106,46,1963,81,55,21,82,57,2014,182,13,0,0,81,55,8,0,1,1,316,94,99,26,21,61,41,1,1,1,0,0,17.0,42,148,243,38,52,120,7,7
cz Viktoria Plzeň,12,18,15.3,152,51,0,1,241,31,3305,4658,1547,1874,1230,1594,402,865,16,11.2,9.1,111,293,75,17,383,127,371,239,148,98,100,41,116,240,124,180,138,352,7,6309,722,2025,2619,1732,251,6308,200,92,2629,127,109,39,203,115,3257,371,21,2,1,149,121,29,1,1,0,580,250,237,26,16,59,42,3,1,0,1,0,20.4,71,203,292,32,68,176,10,13
de Bayern Munich,14,31,34.5,282,101,5,5,508,53,8412,9700,4342,4684,3207,3535,596,948,16,21.7,28.4,216,812,234,36,892,376,889,231,138,79,95,57,118,237,119,160,122,177,15,11268,633,2207,5302,3847,584,11263,286,130,7248,376,306,122,183,131,8354,889,22,0,0,135,127,21,4,1,0,657,173,141,117,18,40,22,4,1,1,0,0,13.7,60,143,520,53,34,95,1,36
de Dortmund,14,31,28.1,191,75,7,8,361,57,6376,7572,3069,3384,2607,2865,517,902,18,18.4,18.8,152,525,137,41,560,259,556,269,160,130,95,44,141,274,133,152,130,249,13,9095,901,2835,4188,2158,365,9087,281,137,5702,259,185,86,190,124,6336,556,24,0,0,172,129,33,8,0,1,658,140,129,59,19,58,40,5,0,0,0,0,17.8,43,128,453,64,51,133,8,21
de Eint Frankfurt,12,21,16.7,153,60,2,2,272,35,5608,6755,2825,3134,2109,2390,380,725,15,12.3,11.7,116,448,117,24,520,159,515,238,129,110,88,40,104,200,96,148,130,331,6,8263,851,2542,3876,1906,272,8261,186,68,5515,159,167,50,191,108,5575,515,24,0,0,129,94,17,1,2,1,515,205,170,55,14,51,37,3,2,1,1,0,14.2,42,131,342,47,73,192,17,9
de Heidenheim,8,10,13.4,121,44,0,1,208,15,3217,4116,1185,1397,1620,1869,363,650,4,8.0,8.2,78,232,59,21,292,138,288,170,102,93,55,22,79,155,76,109,98,212,3,5139,636,1952,2131,1114,180,5138,141,69,2744,138,89,28,102,82,3180,288,16,0,0,112,106,17,0,1,0,378,146,177,86,11,39,28,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0
de Hoffenheim,8,10,11.7,127,36,0,0,223,18,3519,4323,1573,1752,1549,1799,272,517,8,8.5,7.6,89,305,72,28,310,128,307,167,96,81,71,15,99,180,81,95,68,189,4,5273,489,1582,2622,1112,191,5273,115,52,2668,128,89,38,115,76,3491,307,15,0,0,92,89,22,0,0,0,389,98,100,57,14,35,21,2,0,0,0,0,11.5,26,99,236,25,35,103,5,6
de Leverkusen,10,14,15.5,151,55,1,1,258,22,5376,6208,2834,3063,2091,2307,382,622,9,11.2,12.3,116,474,87,22,430,186,428,148,97,72,56,20,66,148,82,91,81,178,8,7221,636,1841,3309,2100,260,7220,139,61,4158,186,140,57,118,74,5338,428,23,2,2,118,83,14,0,1,0,412,116,108,58,12,34,22,5,1,1,0,0,12.1,40,97,277,36,50,100,6,10
de RB Leipzig,8,8,12.5,102,36,1,1,164,12,3190,3925,1539,1725,1370,1573,218,413,4,8.7,8.4,72,221,66,17,247,96,245,143,94,56,56,31,53,132,79,99,66,184,7,4805,600,1831,2018,995,153,4804,120,50,2848,96,62,22,97,83,3166,245,15,0,0,89,70,19,0,0,1,318,93,76,56,15,39,25,0,0,0,0,0,11.7,14,51,244,38,67,112,6,5
de Stuttgart,8,12,14.6,138,43,0,1,245,23,3970,4773,2108,2296,1536,1754,238,466,11,11.3,14.9,109,324,106,27,396,141,391,144,78,60,63,21,77,154,77,90,69,129,8,5631,529,1577,2503,1595,245,5630,130,66,3611,141,119,49,89,67,3908,391,13,0,0,91,96,17,1,0,0,379,82,77,56,17,32,15,1,0,0,0,0,11.2,31,84,295,30,19,68,5,5
dk FC Copenhagen,10,13,17.1,134,40,4,4,247,23,5095,6099,2087,2384,2436,2713,448,732,5,9.6,11.4,94,442,84,23,434,198,430,179,115,66,84,29,82,160,78,113,89,177,9,7184,569,2125,3507,1617,233,7180,170,74,4288,198,137,52,127,79,5051,430,25,0,0,126,117,13,4,0,0,452,170,167,66,15,45,30,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
dk Midtjylland,10,11,14.8,109,42,1,1,178,19,3189,4277,1261,1495,1513,1796,372,776,9,11.4,11.1,85,233,76,25,341,155,337,170,98,77,67,26,85,178,93,104,112,219,10,5474,631,1931,2210,1412,226,5473,260,100,2658,155,122,38,142,93,3163,337,12,1,0,118,134,10,1,3,0,473,176,175,59,16,54,38,3,3,3,0,0,15.5,62,176,299,45,79,118,8,17
eng Arsenal,14,30,27.2,179,76,2,5,320,52,5647,6760,2787,3082,2417,2713,347,685,18,18.4,22.1,137,476,122,29,535,255,523,208,115,80,87,41,86,161,75,139,101,216,15,8123,677,2095,3635,2465,407,8118,268,122,4318,255,177,104,160,134,5578,523,27,0,0,156,135,23,3,4,0,521,162,151,63,10,42,30,6,4,2,2,0,14.3,74,195,419,57,61,144,16,23
eng Aston Villa,12,22,19.0,152,61,1,2,277,39,4617,5511,2124,2357,2171,2429,274,530,18,14.8,13.4,118,339,95,21,397,173,394,180,101,81,68,31,92,183,91,117,89,181,10,6680,698,2159,3008,1579,287,6678,222,101,3779,173,143,60,149,125,4479,394,19,0,0,123,125,16,2,1,0,485,124,95,31,12,60,48,5,1,1,0,0,15.9,52,126,426,41,41,114,13,8
eng Chelsea,13,42,31.0,218,103,2,3,380,69,8395,9291,4028,4271,3707,3960,473,712,28,21.6,18.8,168,539,155,27,649,322,639,156,106,54,56,46,68,135,67,117,96,185,8,10501,864,2880,5162,2529,425,10498,271,124,7219,322,232,117,148,109,8319,639,18,1,1,113,125,19,2,1,0,513,96,74,48,10,51,41,5,1,1,0,0,0.0,0,0,0,0,0,0,0,0
eng Liverpool,10,18,21.0,143,57,2,3,250,33,4597,5463,2137,2351,1945,2179,404,692,13,14.7,13.5,104,373,103,8,469,197,468,147,89,53,66,28,73,168,95,126,97,162,10,6527,678,1976,2930,1689,301,6524,205,79,3909,197,139,76,119,81,4557,468,19,1,0,107,82,14,3,1,0,448,72,90,56,6,44,37,6,1,0,1,0,12.5,45,120,356,37,39,104,6,14
eng Manchester City,10,20,21.5,167,62,3,4,300,33,6003,6682,3093,3293,2590,2785,271,424,11,13.3,17.8,130,492,144,15,608,315,601,122,72,35,49,38,70,129,59,85,51,110,10,7565,463,1319,3430,2861,378,7561,181,79,5019,315,265,92,103,94,5917,601,11,0,0,79,71,10,3,2,0,379,64,50,61,20,48,28,3,2,2,0,0,16.7,18,45,259,36,34,64,5,19
