Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Milan,38,1.55,1.71,14.61,4.87,0.11,0.21,26.61,2.82,429.87,502.66,182.61,201.58,203.47,224.18,36.55,58.89,1.13,1.24,1.03,11.63,31.53,9.0,2.03,41.82,24.08,41.37,14.53,9.18,6.55,5.84,2.13,6.47,12.63,6.16,7.68,6.16,18.18,0.55,601.29,55.66,192.08,270.08,145.21,25.42,601.08,18.97,9.03,368.45,24.08,17.05,7.08,13.5,7.58,424.87,41.37,1.84,0.16,0.03,10.92,11.26,1.58,0.18,0.05,0.08,36.76,11.42,10.29,1.61,1.13,3.74,2.66,0.34,0.05,0.03,0.03,0.0,1.03,3.24,8.39,36.87,4.79,5.47,12.16,0.71,1.87,21.71,21.08,148.63,29.42,43.53,15.66,0.03,-0.09,52.6,85.52,90.59,90.76,62.06,57.62,47.6,-0.1,71.12,38.62,5.84
Monaco,34,1.85,2.21,14.5,5.29,0.18,0.21,25.53,3.12,428.26,526.94,202.26,228.94,182.12,209.09,33.62,62.76,1.44,1.64,1.59,11.47,36.24,11.5,1.74,48.18,19.71,47.91,19.71,12.62,8.26,8.44,3.0,9.97,18.35,8.38,10.29,10.5,19.62,0.53,643.62,51.32,165.68,321.0,163.47,28.5,643.41,18.03,7.82,367.21,19.71,15.71,5.5,17.68,10.03,424.91,47.91,1.76,0.12,0.06,13.59,13.06,2.03,0.09,0.09,0.0,51.85,12.53,12.38,1.47,1.21,3.76,2.56,0.32,0.09,0.09,0.0,0.0,1.13,2.26,7.91,22.56,4.29,5.47,11.15,0.88,1.12,24.91,27.71,163.71,28.65,47.24,22.59,0.0,-0.16,50.3,81.27,88.35,87.1,53.57,59.35,43.37,-0.07,68.09,28.57,7.89
Montpellier,34,0.68,1.0,10.91,3.26,0.09,0.12,18.06,1.15,336.53,424.12,142.47,162.65,144.03,166.91,40.71,71.32,0.38,0.68,0.69,7.5,25.74,4.97,2.21,30.56,15.56,30.29,18.56,11.44,8.88,7.76,1.91,9.12,17.88,8.76,10.82,8.03,21.56,0.74,533.32,60.94,177.53,243.03,118.59,15.88,533.21,17.91,7.71,282.79,15.56,10.65,4.06,14.06,8.71,333.76,30.29,2.56,0.21,0.06,12.56,12.88,1.91,0.09,0.26,0.09,39.68,11.0,13.0,1.74,2.32,5.71,3.44,0.03,0.26,0.24,0.03,0.0,1.94,5.79,14.59,26.47,3.94,6.21,13.62,0.82,0.85,24.0,22.76,106.71,19.21,27.12,20.56,0.03,-0.32,45.83,79.35,87.59,86.29,57.08,56.42,43.05,-0.2,60.25,39.68,6.02
Monza,38,0.71,0.8,8.76,2.61,0.08,0.08,15.47,1.13,374.95,460.92,157.42,176.24,172.66,195.32,37.16,67.39,0.47,0.55,0.47,6.45,23.55,5.16,1.89,28.84,14.03,28.45,14.79,8.29,8.0,5.32,1.47,7.16,13.18,6.03,10.05,8.03,23.0,1.0,561.53,75.05,217.66,241.61,106.74,12.63,561.45,13.34,5.79,340.89,14.03,10.87,2.34,13.42,8.79,371.21,28.45,2.37,0.08,0.05,13.47,13.92,1.42,0.0,0.11,0.08,34.18,14.92,15.92,1.68,1.82,4.82,3.03,0.08,0.11,0.05,0.05,0.0,1.57,5.71,14.66,32.11,4.13,4.79,14.05,0.68,0.87,30.84,22.21,99.76,16.61,22.03,15.45,0.05,-0.11,48.38,81.35,89.32,88.4,55.14,55.24,43.4,-0.16,62.86,38.95,4.84
Nantes,34,1.15,1.18,10.15,3.5,0.15,0.15,18.12,1.88,323.5,410.47,139.44,158.21,143.71,164.91,32.82,65.76,0.79,0.84,0.77,7.56,25.82,6.35,2.5,30.97,14.76,30.71,18.97,11.06,9.94,6.59,2.44,9.44,16.62,7.18,11.82,8.32,29.62,0.29,525.71,62.85,180.0,237.91,112.91,18.94,525.56,15.44,6.68,279.18,14.76,10.12,4.15,14.26,8.41,321.53,30.71,2.09,0.12,0.0,12.15,11.44,0.91,0.09,0.24,0.09,37.91,12.53,12.91,2.65,1.53,4.35,2.91,0.18,0.24,0.21,0.0,0.03,1.5,4.44,13.62,25.26,4.09,5.59,17.29,0.97,0.44,25.44,22.68,107.15,20.0,31.94,20.5,0.03,-0.03,49.25,78.81,88.14,87.14,49.91,57.6,43.26,-0.02,66.9,32.6,5.61
Napoli,38,1.47,1.41,13.13,3.95,0.11,0.13,23.21,2.63,444.58,527.18,192.0,212.47,201.71,224.47,41.63,65.71,1.11,1.04,0.93,10.29,32.5,8.37,2.0,40.68,19.45,40.26,14.08,8.5,6.24,6.26,1.58,6.79,12.34,5.55,8.34,7.11,21.39,0.29,628.74,59.42,196.61,297.63,139.34,22.87,628.61,16.08,6.42,348.53,19.45,11.66,5.45,12.45,8.58,440.39,40.26,1.21,0.0,0.0,10.92,11.71,1.45,0.11,0.11,0.05,37.76,13.95,12.11,2.03,0.71,2.53,1.82,0.5,0.11,0.03,0.05,0.03,0.77,2.68,6.61,30.47,3.45,5.39,11.53,0.66,1.32,26.05,21.03,140.66,25.84,38.68,15.29,0.08,0.04,53.55,84.33,90.37,89.86,63.35,57.87,39.93,0.08,71.94,40.54,5.72
Newcastle Utd,38,1.74,1.71,13.66,4.29,0.13,0.16,24.68,3.03,405.68,497.32,195.16,217.97,170.39,194.03,31.39,60.87,1.32,1.22,1.11,10.5,30.24,10.5,1.84,41.97,19.97,41.66,15.87,9.76,7.24,6.18,2.45,8.05,15.89,7.84,10.82,7.11,23.26,0.89,606.11,60.11,196.53,254.5,161.16,28.47,605.95,17.29,7.42,342.53,19.97,12.47,6.92,12.92,11.53,402.47,41.66,1.79,0.03,0.0,10.37,11.84,1.87,0.11,0.05,0.05,42.95,12.82,12.26,1.76,1.24,4.24,3.03,0.34,0.05,0.03,0.03,0.0,1.26,2.37,8.87,22.84,6.47,6.47,12.79,1.29,1.97,25.08,24.45,145.26,27.71,47.74,17.82,0.03,0.02,51.12,81.57,89.54,87.82,51.57,56.08,42.91,0.02,71.46,26.72,10.09
Nice,34,1.82,1.89,14.29,5.38,0.18,0.18,25.32,3.09,386.15,473.62,186.62,208.82,162.03,186.35,29.85,56.15,1.26,1.28,1.19,10.38,27.97,9.44,1.91,38.82,20.62,38.59,18.62,11.74,8.74,7.12,2.76,8.74,15.71,6.97,12.26,10.74,23.06,0.94,594.29,63.85,190.82,272.65,138.03,24.79,594.12,20.21,8.68,321.68,20.62,12.15,5.03,15.88,9.26,382.74,38.59,1.74,0.15,0.06,11.5,12.26,1.65,0.15,0.09,0.03,47.29,12.56,11.82,0.71,1.21,4.74,3.53,0.24,0.09,0.06,0.03,0.0,1.26,3.29,8.0,27.88,5.09,4.76,13.82,1.15,0.97,24.38,25.15,136.62,28.41,41.18,20.47,0.03,-0.04,51.52,81.53,89.37,86.95,53.16,59.66,42.95,0.04,74.47,41.12,8.32
Nott'ham Forest,38,1.5,1.23,12.11,4.26,0.08,0.08,21.0,2.39,284.79,378.05,140.05,160.37,106.97,131.87,27.32,61.55,1.11,0.89,0.78,8.76,25.63,6.34,1.68,29.61,16.66,29.39,18.37,11.03,10.68,5.92,1.76,9.03,17.63,8.61,11.24,8.47,32.11,0.63,499.89,64.82,170.45,202.34,133.24,20.66,499.82,15.29,6.82,230.74,16.66,10.11,4.92,14.82,8.53,282.45,29.39,2.37,0.05,0.05,10.55,11.03,2.39,0.08,0.08,0.0,41.79,15.0,14.71,0.84,1.21,4.34,3.13,0.34,0.08,0.08,0.0,0.0,1.29,6.42,18.37,18.82,2.18,7.11,18.68,0.5,0.32,29.71,23.34,105.05,23.39,33.61,20.05,0.0,0.22,50.49,75.33,87.33,81.12,44.39,55.72,44.6,0.06,72.12,34.95,2.68
Osasuna,38,1.21,1.19,10.76,3.24,0.24,0.24,19.11,2.16,320.63,421.79,132.16,154.16,142.18,170.71,39.18,74.61,0.74,0.79,0.88,7.89,25.34,6.97,3.34,32.13,14.92,31.68,16.16,9.61,7.79,6.29,2.08,8.18,16.26,8.08,10.21,7.0,24.16,0.42,527.26,59.55,166.26,234.32,131.76,19.39,527.03,15.58,6.84,274.71,14.92,11.16,3.53,14.0,7.71,317.18,31.68,2.32,0.0,0.0,13.37,9.97,1.74,0.24,0.18,0.03,38.45,16.24,13.55,1.68,1.37,4.92,3.58,0.24,0.18,0.18,0.0,0.0,1.51,7.79,17.08,26.32,3.76,7.55,14.16,0.87,2.26,29.79,21.71,110.42,21.26,33.24,17.79,0.0,0.02,54.51,76.02,85.73,83.29,52.51,54.87,43.9,0.09,72.76,45.61,6.14
