Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes,% Crosses Stopped
Paris S-G,34,2.62,2.66,18.47,8.0,0.18,0.21,33.91,4.65,681.06,758.26,320.21,341.82,297.0,318.09,47.74,66.68,2.03,2.1,1.8,15.32,54.38,13.24,2.09,62.44,27.53,62.18,18.21,11.35,7.12,7.82,3.26,9.56,17.85,8.29,10.59,7.79,14.5,0.56,867.71,58.56,197.18,433.35,243.0,35.62,867.5,23.59,10.71,536.59,27.53,20.65,10.21,14.35,9.68,677.26,62.18,1.09,0.0,0.0,9.03,9.88,1.59,0.18,0.09,0.03,48.65,7.71,6.29,2.15,1.03,3.03,2.03,0.21,0.09,0.09,0.0,0.0,0.89,2.18,5.53,24.56,4.12,4.09,8.76,0.47,1.0,14.0,24.03,214.32,38.56,61.15,20.91,0.0,-0.02,55.07,89.82,93.68,93.37,71.6,57.99,45.4,-0.16,67.0,39.42,5.37
Parma,38,1.13,1.17,11.0,3.68,0.16,0.18,19.71,1.92,329.18,415.92,137.84,157.71,148.5,171.34,33.92,65.89,0.82,0.78,0.65,8.32,23.42,5.71,1.55,27.87,15.21,27.61,13.76,7.71,7.03,5.29,1.45,6.37,12.74,6.37,11.42,7.34,25.71,0.55,523.76,71.21,189.58,222.5,117.58,17.24,523.58,15.45,6.55,297.5,15.21,10.95,4.42,14.42,7.82,324.71,27.61,2.05,0.16,0.08,10.66,12.05,0.82,0.13,0.13,0.05,35.92,13.13,13.21,1.45,1.47,4.11,2.68,0.18,0.13,0.13,0.0,0.0,1.42,5.45,18.03,34.55,4.97,6.08,16.71,1.74,1.05,26.34,22.24,98.29,21.63,28.92,14.08,0.0,-0.03,49.85,79.15,87.4,86.67,51.48,53.13,42.39,-0.04,65.21,30.23,10.41
RB Leipzig,34,1.5,1.39,11.91,4.24,0.09,0.12,21.21,2.5,432.29,535.5,200.65,227.91,189.06,219.76,32.06,59.21,1.06,1.07,1.17,9.21,33.47,9.0,1.53,39.79,15.18,39.59,15.97,9.79,7.29,6.53,2.15,7.59,15.44,7.85,14.71,7.88,29.12,0.85,658.71,66.38,199.79,322.41,142.82,22.26,658.59,17.06,7.68,336.15,15.18,11.53,4.0,15.0,9.18,430.03,39.59,2.0,0.15,0.06,11.06,9.79,2.44,0.12,0.09,0.0,45.09,14.12,12.91,1.65,1.41,4.65,3.21,0.41,0.09,0.06,0.03,0.0,1.47,2.88,7.68,24.82,4.91,6.79,15.06,0.88,1.32,27.03,24.18,134.15,23.71,36.79,17.38,0.03,0.08,52.24,80.73,88.04,86.03,54.15,55.33,45.02,0.04,69.03,37.5,5.84
Rayo Vallecano,38,1.0,1.22,13.53,4.26,0.0,0.03,23.32,1.55,366.74,470.03,169.97,192.37,152.45,177.58,36.87,76.84,0.71,0.96,0.84,9.84,28.45,6.37,2.24,35.84,15.5,35.42,16.47,10.42,8.63,5.74,2.11,8.13,17.47,9.34,11.66,8.79,25.61,0.58,588.74,67.29,205.24,245.76,143.55,18.71,588.71,17.03,7.53,317.58,15.5,11.34,3.76,16.58,8.61,364.03,35.42,2.53,0.08,0.0,13.74,10.29,2.08,0.03,0.21,0.03,44.42,12.76,14.21,1.45,1.18,4.03,2.82,0.26,0.21,0.16,0.05,0.0,1.2,5.34,16.84,29.5,3.95,6.05,14.0,0.97,1.03,26.97,25.18,122.18,24.87,31.08,18.55,0.05,-0.18,47.31,78.02,88.36,85.85,47.98,54.66,44.22,0.02,69.98,31.71,6.93
Real Madrid,38,2.05,2.02,16.34,6.03,0.26,0.37,30.53,3.61,562.0,637.39,276.76,296.0,225.42,245.03,45.34,68.29,1.45,1.45,1.37,13.18,46.66,9.45,0.89,51.76,25.87,51.39,15.42,9.45,7.74,5.5,2.18,6.95,12.79,5.84,9.29,8.71,16.66,0.5,743.47,62.95,201.63,336.68,211.79,31.08,743.11,23.11,10.84,470.87,25.87,18.32,9.58,13.89,7.63,558.5,51.39,1.5,0.11,0.0,8.74,13.63,2.24,0.29,0.08,0.03,40.55,8.79,7.03,2.0,1.0,3.32,2.34,0.39,0.08,0.08,0.0,0.0,0.95,2.21,6.79,27.42,5.39,5.18,10.95,0.5,0.71,15.82,21.53,180.42,34.13,51.0,16.39,0.0,0.01,55.56,88.17,93.5,92.0,66.39,58.14,46.91,-0.05,70.48,32.55,4.57
Real Sociedad,38,0.89,1.12,10.13,3.21,0.11,0.11,17.95,1.55,391.58,493.66,177.63,200.5,167.37,195.63,37.39,70.71,0.58,0.82,0.82,7.47,28.61,6.37,1.68,35.29,16.97,34.87,17.08,10.55,8.13,6.42,2.53,8.11,15.24,7.13,11.26,7.45,24.03,0.55,605.97,59.87,189.68,283.42,137.97,19.66,605.87,17.34,7.76,329.82,16.97,10.97,4.29,15.87,7.82,387.26,34.87,2.24,0.11,0.0,13.18,10.97,2.16,0.08,0.18,0.0,41.29,15.21,15.95,1.34,1.21,3.74,2.47,0.34,0.18,0.13,0.05,0.0,1.09,4.92,12.97,28.79,3.21,6.55,12.29,0.79,1.13,31.16,23.68,122.0,19.5,32.0,18.66,0.05,-0.21,48.81,79.32,88.59,85.55,52.88,57.74,44.75,-0.11,66.04,37.93,6.43
Reims,34,0.94,1.11,11.56,3.26,0.03,0.06,20.26,1.68,342.85,429.47,157.0,177.0,143.18,165.53,32.65,63.24,0.56,0.78,0.84,8.12,25.32,6.59,2.35,34.0,17.24,33.53,16.41,10.56,9.21,5.12,2.09,8.38,16.21,7.82,11.53,8.5,28.18,0.59,548.91,71.68,205.38,226.44,123.91,19.09,548.85,18.5,8.21,293.18,17.24,12.35,4.09,16.94,8.94,339.47,33.53,1.94,0.18,0.06,11.53,10.94,1.74,0.03,0.15,0.0,41.38,11.12,12.65,0.71,1.38,5.26,3.85,0.21,0.15,0.12,0.03,0.0,1.81,4.53,14.03,29.21,4.5,6.47,16.29,0.91,1.24,23.76,25.88,118.29,21.94,32.12,18.94,0.03,-0.15,46.8,79.83,88.7,86.5,51.63,58.06,44.38,0.24,73.19,32.29,5.59
Rennes,34,1.5,1.46,12.44,4.56,0.15,0.24,22.26,2.44,409.24,497.44,178.09,200.32,184.59,209.94,36.65,62.71,0.94,0.88,0.95,9.35,31.85,7.79,1.82,42.35,19.5,41.79,17.53,10.68,8.29,6.88,2.35,8.71,15.0,6.29,10.29,9.91,21.74,0.41,608.47,58.79,184.74,283.06,146.18,22.44,608.24,18.91,7.94,336.41,19.5,12.62,5.47,14.94,10.12,405.53,41.79,1.97,0.06,0.0,13.09,11.24,1.41,0.12,0.18,0.06,42.88,13.03,11.56,2.94,1.47,4.06,2.56,0.32,0.18,0.09,0.09,0.0,1.36,3.5,10.62,29.71,3.88,5.26,11.82,0.68,1.09,24.59,25.06,145.44,24.71,37.53,19.38,0.09,0.03,52.99,82.27,88.9,87.93,58.44,59.61,41.99,-0.08,63.05,32.96,5.75
Roma,38,1.45,1.43,13.53,4.26,0.21,0.21,24.58,2.5,447.79,533.29,193.79,214.03,203.32,226.05,40.39,70.42,0.92,0.94,0.87,10.29,34.26,8.26,2.13,39.5,18.18,39.16,14.5,8.63,6.13,6.21,2.16,5.89,11.55,5.66,8.66,7.42,19.63,0.42,634.89,62.5,188.18,298.82,153.13,22.66,634.68,14.82,5.53,370.45,18.18,15.24,4.26,14.34,7.45,443.61,39.16,1.74,0.03,0.03,10.66,12.74,1.55,0.16,0.11,0.03,37.82,11.61,12.53,0.63,0.92,3.97,3.08,0.42,0.11,0.11,0.0,0.0,1.12,3.26,10.87,33.11,4.47,5.26,13.03,0.79,0.87,24.13,21.79,136.0,27.08,37.32,14.53,0.0,0.01,48.11,83.97,90.54,89.94,57.36,55.74,37.31,0.18,77.58,29.99,6.06
Saint-Étienne,34,1.15,1.09,10.76,3.38,0.09,0.12,18.47,1.91,382.38,469.24,183.06,203.32,161.44,184.26,28.62,58.74,0.82,0.73,0.78,7.91,30.12,6.97,1.0,37.12,15.56,36.88,17.09,11.24,8.56,6.35,2.18,8.71,17.47,8.76,11.88,9.65,25.12,0.76,583.76,71.68,203.44,249.79,135.5,17.65,583.65,16.41,7.03,303.47,15.56,9.82,4.06,16.18,9.09,380.0,36.88,1.91,0.09,0.03,13.21,10.62,1.35,0.12,0.44,0.06,42.0,10.06,11.35,0.79,2.26,6.15,3.88,0.15,0.44,0.38,0.06,0.0,2.16,3.85,14.29,28.76,4.26,6.03,15.0,0.71,0.97,21.41,25.26,126.44,20.38,29.68,19.94,0.06,0.06,46.99,81.49,90.04,87.62,48.72,57.73,42.84,-0.05,63.09,26.94,4.73
Sevilla,38,1.03,1.14,12.42,3.89,0.05,0.08,21.68,1.87,379.79,475.18,177.45,196.47,161.74,186.47,33.34,71.21,0.84,0.81,0.64,9.39,28.21,5.53,1.58,31.39,15.63,31.21,17.05,10.26,8.45,6.32,2.29,8.21,14.82,6.61,9.68,9.66,24.5,0.45,591.18,63.26,212.03,257.89,126.66,17.61,591.11,18.95,8.92,293.34,15.63,10.45,4.24,16.42,8.71,376.0,31.21,2.58,0.21,0.08,13.0,10.58,1.84,0.03,0.16,0.03,40.82,13.97,11.63,1.55,1.45,3.89,2.45,0.26,0.16,0.13,0.03,0.0,1.27,4.08,15.45,29.29,3.84,5.58,13.5,0.71,1.13,25.61,25.13,109.45,23.55,28.95,18.47,0.03,-0.1,54.55,79.93,90.32,86.74,46.82,57.95,47.07,-0.14,62.98,26.41,5.26
Southampton,38,0.66,0.88,8.97,2.79,0.0,0.05,16.21,1.11,408.68,488.45,191.55,210.42,176.29,196.18,30.92,59.76,0.42,0.66,0.63,7.08,26.03,5.74,1.58,29.66,16.84,29.42,17.16,9.95,8.16,7.0,2.0,7.37,15.37,8.0,11.39,8.03,26.0,1.34,599.37,79.03,221.68,257.58,125.42,18.11,599.32,19.37,8.21,333.05,16.84,12.11,4.34,12.79,9.34,405.11,29.42,2.34,0.08,0.0,12.08,11.08,1.29,0.05,0.24,0.0,37.89,12.32,11.08,2.34,2.26,6.45,4.13,0.08,0.24,0.18,0.05,0.0,2.21,6.18,18.61,34.03,4.53,6.0,15.45,0.92,0.71,23.39,22.13,105.34,17.32,29.76,17.32,0.05,-0.25,52.67,83.67,91.03,89.86,51.74,53.24,42.39,-0.02,64.03,33.21,5.95
St. Pauli,34,0.76,1.05,11.09,3.21,0.03,0.06,19.47,1.32,345.62,450.0,149.59,171.62,154.35,182.74,32.65,70.32,0.65,0.78,0.84,8.18,26.24,5.91,2.12,31.56,12.29,31.09,15.79,9.26,7.53,6.38,1.88,7.82,15.03,7.21,11.5,7.56,26.91,0.62,562.97,66.38,200.47,242.12,124.82,19.06,562.91,12.62,5.26,267.79,12.29,9.59,3.59,14.0,7.71,341.5,31.09,1.56,0.12,0.09,10.38,10.35,1.94,0.06,0.15,0.03,39.71,15.68,19.29,1.5,1.21,4.12,2.82,0.26,0.15,0.03,0.12,0.0,1.46,5.03,15.32,38.35,3.29,4.32,12.53,0.71,0.79,34.97,21.71,106.03,20.79,30.68,17.09,0.12,-0.28,44.84,76.8,87.16,84.46,46.43,55.42,41.68,0.17,68.45,32.83,5.67
Strasbourg,34,1.59,1.48,10.41,4.12,0.06,0.06,18.29,2.74,431.38,513.59,189.24,208.71,205.56,230.32,29.35,55.35,1.26,1.14,0.96,8.03,26.35,6.35,1.47,35.41,16.56,35.03,15.79,9.85,7.53,6.26,2.0,7.56,13.5,5.94,11.06,8.29,26.44,0.5,626.68,75.5,251.62,268.24,112.5,18.06,626.62,18.5,8.29,356.24,16.56,10.74,5.0,15.12,7.74,427.35,35.03,2.09,0.09,0.03,11.56,12.26,1.41,0.06,0.26,0.06,42.24,9.97,9.53,1.71,1.29,4.97,3.71,0.29,0.26,0.24,0.03,0.0,1.55,3.62,11.26,45.88,4.35,3.35,15.85,1.26,1.47,19.5,22.85,122.03,21.03,30.88,17.41,0.03,0.07,51.13,83.99,90.67,89.25,53.03,59.44,44.81,0.17,74.65,32.15,7.95
Stuttgart,34,1.79,1.9,13.68,5.06,0.06,0.18,24.74,3.06,485.68,581.38,244.18,268.24,193.82,219.97,36.18,66.76,1.32,1.34,1.54,10.88,37.97,10.94,2.65,43.91,16.03,43.47,14.03,8.29,5.79,5.85,2.38,7.47,14.0,6.53,11.79,8.76,22.85,0.59,692.5,65.91,197.62,335.91,163.88,27.79,692.32,16.65,7.76,394.59,16.03,12.76,5.0,14.68,9.18,480.41,43.47,2.12,0.15,0.09,10.53,12.09,1.82,0.12,0.09,0.03,40.53,13.76,13.18,0.79,1.56,4.0,2.44,0.21,0.09,0.06,0.03,0.0,1.32,4.62,12.06,34.79,4.03,3.59,12.21,0.62,1.68,26.94,23.85,146.88,27.79,46.38,15.76,0.03,-0.06,51.08,83.54,91.03,88.11,54.19,56.23,46.61,-0.18,61.0,38.31,5.08
Torino,38,0.95,0.93,10.08,3.24,0.05,0.11,17.45,1.53,357.32,447.58,148.68,170.11,163.82,186.92,38.03,70.95,0.55,0.59,0.68,7.26,25.79,6.58,2.26,29.29,13.92,29.03,12.32,6.87,5.71,4.76,1.84,6.11,11.5,5.39,8.89,7.32,23.21,0.55,544.66,63.16,181.87,249.53,117.76,15.92,544.55,11.89,4.45,318.37,13.92,10.24,2.82,12.89,7.16,353.26,29.03,2.11,0.08,0.03,12.71,10.16,1.5,0.05,0.18,0.05,34.11,14.16,14.84,1.53,1.18,4.74,3.5,0.26,0.18,0.08,0.11,0.0,1.41,6.08,18.79,36.26,5.16,7.29,15.71,0.97,1.34,29.0,20.05,101.26,18.97,27.58,12.97,0.11,0.02,48.83,79.83,87.4,87.64,53.6,54.49,37.43,0.16,73.84,32.36,6.17
Tottenham,38,1.61,1.58,12.97,4.66,0.08,0.11,23.03,2.79,434.55,525.26,199.37,222.11,194.0,218.13,28.97,54.84,1.24,1.18,0.96,9.87,33.0,9.71,2.18,41.92,22.11,41.63,17.39,10.89,7.5,7.13,2.76,7.79,15.74,7.95,11.79,8.47,21.61,1.08,639.87,69.11,214.71,267.71,163.76,26.34,639.76,21.37,8.11,396.66,22.11,14.89,6.55,14.16,11.21,430.87,41.63,1.89,0.03,0.03,11.74,12.71,1.66,0.11,0.08,0.11,43.66,11.11,11.5,2.87,1.71,4.74,3.13,0.16,0.08,0.08,0.0,0.0,1.75,1.55,5.13,30.58,5.05,4.13,13.68,1.29,1.18,22.61,25.37,147.29,25.82,44.79,18.68,0.0,0.02,49.14,82.73,89.76,88.94,52.83,56.38,37.95,0.02,66.03,30.21,9.43
Toulouse,34,1.24,1.46,11.74,4.26,0.09,0.12,20.56,2.29,343.35,437.26,152.41,175.09,154.68,179.94,28.35,59.62,1.0,1.03,1.11,8.74,25.85,8.35,1.91,35.85,15.97,35.32,17.79,10.71,7.76,7.44,2.59,9.35,17.88,8.53,10.03,8.26,22.79,0.44,547.24,55.41,177.35,248.24,128.32,23.21,547.12,18.12,8.15,306.29,15.97,10.85,4.56,15.5,9.15,340.24,35.32,1.59,0.09,0.0,12.97,12.21,1.35,0.12,0.06,0.09,45.03,12.53,13.03,2.09,1.26,3.18,1.97,0.29,0.06,0.03,0.03,0.0,1.01,2.88,10.32,22.88,2.85,5.09,12.91,0.29,1.09,25.56,24.65,122.47,22.85,38.03,20.06,0.03,-0.15,49.02,78.52,87.05,85.96,47.55,56.24,44.98,-0.25,61.95,27.91,2.25
Udinese,38,1.08,1.04,11.32,3.61,0.05,0.11,19.92,1.61,340.66,428.39,140.05,158.61,151.34,175.68,40.84,72.74,0.74,0.72,0.65,8.24,25.5,6.37,2.71,30.53,14.89,30.0,14.79,9.11,7.26,5.71,1.82,7.34,13.37,6.03,10.42,7.95,23.92,0.71,535.55,63.42,184.03,240.58,117.13,18.26,535.45,16.39,7.39,295.32,14.89,11.16,3.34,14.68,7.76,336.21,30.0,2.32,0.13,0.08,14.29,9.97,1.32,0.05,0.21,0.13,37.53,14.47,12.97,2.21,1.47,4.32,2.97,0.24,0.21,0.18,0.0,0.03,1.38,4.39,11.76,29.76,2.84,4.11,13.89,0.5,0.95,27.45,22.45,105.42,21.53,30.68,16.45,0.03,0.04,52.71,79.52,88.3,86.15,56.15,58.42,45.09,-0.07,68.75,37.33,3.6
Union Berlin,34,1.06,1.1,12.18,3.53,0.09,0.09,20.85,1.82,292.94,403.09,131.38,155.76,117.47,147.0,34.0,70.59,0.74,0.69,0.93,8.59,23.29,7.03,2.21,30.85,11.47,30.35,15.79,9.35,7.82,6.56,1.41,7.94,14.91,6.97,12.03,9.18,30.76,0.38,524.53,63.74,184.85,227.09,117.56,20.24,524.44,12.35,5.06,261.03,11.47,7.41,3.15,13.88,8.41,290.41,30.35,2.12,0.03,0.0,12.32,9.21,1.97,0.09,0.18,0.03,40.24,19.29,19.88,1.85,1.47,4.09,2.53,0.24,0.18,0.06,0.12,0.0,1.44,5.03,13.76,26.47,4.74,5.91,16.71,1.18,1.15,39.18,22.29,103.03,22.68,32.62,17.29,0.12,-0.04,49.23,72.67,84.35,79.91,48.17,56.32,40.97,-0.02,61.86,36.56,7.06
Valencia,38,1.13,1.15,10.05,3.05,0.13,0.13,17.79,1.87,366.79,466.0,166.87,186.68,160.03,185.95,33.79,69.32,0.68,0.79,0.88,7.45,29.18,6.68,2.39,35.26,15.05,34.95,17.03,10.92,8.95,6.0,2.08,8.45,15.08,6.63,9.63,7.95,25.08,0.5,575.68,60.26,189.63,258.95,132.45,17.18,575.55,16.45,6.21,298.61,15.05,10.89,3.21,14.08,8.95,363.21,34.95,2.26,0.03,0.0,11.63,11.74,1.89,0.11,0.24,0.08,40.79,11.82,14.21,1.39,1.42,3.89,2.5,0.21,0.24,0.16,0.05,0.03,1.33,4.11,13.71,25.58,4.18,6.29,13.76,0.95,1.42,26.03,23.03,120.21,19.66,29.47,19.37,0.08,-0.02,45.41,78.71,89.39,86.06,48.74,60.32,37.75,-0.07,64.27,29.98,6.9
Valladolid,38,0.68,0.92,8.71,2.55,0.13,0.13,15.82,1.11,317.16,404.92,126.18,143.58,147.55,170.89,37.11,71.03,0.39,0.68,0.64,6.74,19.79,4.63,2.45,26.08,12.53,25.68,15.68,9.39,9.0,5.37,1.32,7.26,14.89,7.63,11.84,8.18,24.84,0.76,513.34,70.55,214.68,214.55,89.29,13.76,513.21,16.42,7.61,254.74,12.53,8.32,3.16,13.5,7.05,314.03,25.68,2.39,0.13,0.05,12.08,12.79,1.76,0.08,0.18,0.03,35.66,14.32,13.79,1.87,2.37,5.37,3.03,0.13,0.18,0.18,0.0,0.0,1.96,5.32,14.47,29.39,4.39,7.5,15.26,1.03,1.0,28.11,20.55,89.97,16.92,24.0,16.66,0.0,-0.26,50.94,78.33,87.88,86.34,52.25,54.47,46.35,-0.21,56.42,36.77,6.75
Venezia,38,0.82,0.97,10.03,3.16,0.11,0.13,18.03,1.29,304.55,398.82,135.37,157.29,134.29,159.95,26.37,58.37,0.42,0.59,0.58,7.42,21.39,5.66,1.53,28.05,13.34,27.82,15.92,9.5,8.39,5.32,2.21,7.53,15.05,7.53,11.55,7.34,24.24,0.66,511.87,68.79,185.37,219.5,112.84,16.66,511.71,15.82,6.53,275.68,13.34,10.08,3.26,16.34,10.47,301.11,27.82,1.97,0.05,0.05,13.24,11.87,1.53,0.11,0.29,0.08,38.16,12.89,16.47,2.11,1.47,4.95,3.53,0.16,0.29,0.26,0.03,0.0,1.5,3.55,13.68,30.76,4.16,4.92,15.5,0.82,0.55,29.37,26.82,97.03,19.32,27.11,17.03,0.03,-0.15,43.89,76.36,86.06,83.96,45.18,54.99,41.28,0.02,71.31,25.95,5.29
Villarreal,38,1.82,1.74,13.95,4.5,0.13,0.18,25.32,3.26,382.42,469.08,164.05,183.63,172.74,196.97,38.5,67.34,1.34,1.32,1.26,11.24,30.16,9.76,2.68,40.05,18.24,39.74,17.08,10.42,8.76,6.21,2.11,8.84,16.53,7.68,11.21,7.39,24.26,0.55,581.89,68.74,206.08,240.0,140.84,25.87,581.71,16.5,7.34,316.68,18.24,13.24,5.32,14.74,7.61,378.5,39.74,2.53,0.11,0.03,11.63,12.18,2.03,0.16,0.21,0.03,40.71,12.95,10.5,1.26,1.34,4.21,2.89,0.18,0.21,0.18,0.0,0.03,1.17,3.21,8.92,24.32,5.45,5.42,15.24,0.89,0.95,23.45,22.34,137.76,28.58,43.63,19.26,0.03,0.05,55.22,81.53,89.34,87.7,57.17,57.3,44.48,-0.15,68.65,35.99,5.84
Werder Bremen,34,1.56,1.49,12.47,4.06,0.09,0.15,22.71,2.76,411.74,516.18,171.38,195.97,183.74,213.62,42.79,74.41,1.12,1.11,1.29,9.62,28.06,9.85,2.68,39.74,14.56,39.5,16.21,9.44,7.21,7.06,1.94,8.12,15.32,7.21,13.35,9.26,25.03,0.79,632.15,72.85,226.5,271.35,138.85,24.06,632.0,14.03,5.74,365.85,14.56,10.21,3.71,14.5,7.53,408.79,39.5,2.21,0.12,0.09,9.85,11.82,2.12,0.12,0.09,0.09,42.74,13.91,13.82,0.85,1.68,4.59,3.0,0.29,0.09,0.09,0.0,0.0,1.56,3.94,10.88,35.41,5.53,3.15,13.65,1.03,1.0,27.74,22.03,133.29,25.47,40.29,17.56,0.0,0.05,50.14,79.77,87.45,86.01,57.51,55.69,40.91,-0.08,65.36,36.21,7.55
West Ham,38,1.13,1.27,12.45,3.61,0.08,0.08,21.45,1.76,390.0,483.24,183.92,206.08,164.34,188.24,35.42,67.89,0.76,0.9,0.84,8.71,28.29,7.03,1.89,32.16,16.63,31.95,17.21,10.21,8.34,6.66,2.21,7.63,14.0,6.37,11.58,8.71,27.29,0.74,602.29,77.42,219.79,259.26,128.84,22.08,602.21,20.87,9.13,310.42,16.63,10.37,4.61,12.95,10.32,387.16,31.95,2.16,0.08,0.05,11.66,10.45,1.92,0.05,0.08,0.08,41.0,15.45,14.74,1.84,1.63,4.89,3.34,0.18,0.08,0.08,0.0,0.0,1.53,5.58,16.05,31.11,4.58,7.79,16.16,0.66,1.11,30.18,23.26,112.68,23.21,35.61,17.84,0.0,-0.11,51.19,80.71,89.25,87.3,52.17,57.16,43.75,-0.07,68.3,34.77,4.08
Wolfsburg,34,1.56,1.42,12.71,4.03,0.12,0.15,22.18,2.79,340.88,443.76,139.26,164.65,152.29,177.68,41.79,78.38,1.12,0.98,1.07,9.29,29.38,7.26,1.56,35.44,14.38,35.18,14.44,8.85,7.56,5.15,1.74,7.24,15.88,8.65,12.79,9.18,28.74,0.56,562.38,67.5,194.21,240.88,132.09,21.32,562.24,15.12,6.15,299.41,14.38,9.94,3.85,14.82,6.32,336.94,35.18,2.21,0.09,0.0,10.29,10.76,1.44,0.12,0.09,0.03,39.53,15.26,16.53,1.65,1.59,4.71,3.12,0.18,0.09,0.06,0.03,0.0,1.69,6.56,17.88,34.21,4.21,5.53,15.06,0.71,0.65,31.79,21.15,120.18,24.97,34.0,16.09,0.03,0.1,48.0,76.82,84.58,85.71,53.32,53.07,40.67,0.06,66.24,36.69,4.71
Wolves,38,1.39,1.16,11.34,4.08,0.0,0.0,19.89,2.53,380.84,470.63,180.39,200.32,155.5,176.63,32.92,65.87,1.11,0.93,0.69,8.5,26.61,7.26,1.89,31.18,15.97,31.03,21.08,12.39,10.84,8.03,2.21,9.82,17.61,7.79,11.5,7.84,24.92,0.66,587.61,67.84,205.18,264.5,125.0,19.18,587.58,19.24,8.53,328.58,15.97,12.05,3.84,15.55,9.71,377.84,31.03,2.08,0.05,0.05,12.63,11.18,1.63,0.0,0.24,0.08,43.66,11.87,12.5,3.21,1.82,4.42,2.63,0.21,0.24,0.18,0.05,0.0,1.57,4.03,14.0,28.32,4.11,4.95,14.79,1.05,1.5,24.37,25.26,109.21,22.42,32.18,22.21,0.05,0.2,48.71,80.92,90.05,88.04,49.98,57.41,44.33,-0.16,59.5,28.79,7.1
am FC Noah,6,1.0,1.22,14.33,6.0,0.0,0.0,26.5,2.0,380.17,470.17,168.0,189.17,165.17,189.0,36.17,64.83,0.33,0.95,1.03,11.83,25.67,7.67,1.17,37.67,20.0,37.67,17.17,11.0,9.0,6.0,2.17,9.17,19.0,9.83,13.0,10.33,24.33,1.17,588.83,69.67,224.33,235.17,135.0,20.5,588.83,20.67,11.5,321.0,20.0,14.5,4.33,14.33,7.17,376.83,37.67,1.5,0.0,0.0,9.83,11.33,2.0,0.0,0.33,0.0,48.17,10.17,10.0,9.0,2.67,8.17,5.33,0.33,0.33,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17,21.5,133.0,28.5,33.67,20.17,0.17,-0.18,50.42,80.86,88.81,87.39,55.79,55.76,55.64,-inf,65.24,0.0,0.0
at LASK,6,0.67,0.82,10.33,3.33,0.0,0.0,18.33,1.33,401.83,504.83,199.83,231.17,166.5,194.5,28.83,57.5,0.33,0.57,0.88,7.5,25.5,7.0,1.5,42.0,15.5,41.83,14.83,7.67,7.83,5.33,1.67,6.83,15.67,8.83,10.5,9.33,26.33,0.17,614.5,73.17,212.17,286.83,119.0,18.67,614.5,12.67,6.33,331.0,15.5,10.83,3.17,11.0,8.17,399.33,41.83,2.17,0.17,0.0,11.17,12.17,1.83,0.0,0.33,0.17,42.17,12.17,11.33,9.0,2.33,5.0,2.83,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,19.17,141.17,19.67,30.33,14.5,0.0,-0.18,51.79,79.6,86.44,85.6,50.14,47.54,49.96,-inf,56.6,0.0,0.0
