Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
FC Dallas,22,29,32.0,231,81,1,3,410,45,7492,9427,3623,4127,2968,3489,692,1247,17,23.5,23.4,175,601,171,47,740,314,733,336,225,167,124,45,158,325,167,229,191,659,7,12032,1524,4404,5005,2731,479,12029,372,171,5845,314,207,99,352,181,7429,733,51,3,1,300,280,45,2,7,0,868,268,255,41,104,63,3,7,7,0,0,40.5,112,263,556,90,138,376,17,31
FC Juárez,34,38,34.5,398,126,2,3,675,65,11325,14444,4322,4967,5204,6111,1534,2683,27,24.6,23.1,296,903,165,66,1132,511,1109,526,345,291,191,44,258,502,244,335,367,775,19,18222,2119,6447,8178,3818,519,18219,598,247,9760,511,423,116,571,320,11135,1109,85,3,1,388,362,39,3,7,1,1414,419,397,57,161,105,8,7,7,0,0,51.1,127,431,937,127,242,453,21,32
Famalicão,34,43,39.7,381,124,5,6,685,74,11775,15101,4784,5521,5220,6108,1398,2582,29,25.2,24.6,271,968,222,77,1250,437,1230,560,353,278,210,72,272,528,256,323,296,800,18,18939,2151,6917,7961,4237,580,18933,633,253,10454,437,332,104,523,301,11666,1230,76,2,0,476,530,41,5,5,1,1428,527,478,39,138,99,13,5,4,1,0,47.0,130,365,815,139,195,476,25,27
Farense,34,25,30.8,384,114,2,3,641,43,8156,11632,2747,3411,3781,4651,1443,2882,18,21.6,22.3,264,738,174,71,877,354,866,589,365,287,245,57,282,560,278,390,327,992,14,15786,2180,6142,6378,3450,522,15783,543,237,7060,354,237,64,555,262,8069,866,91,4,2,517,445,66,3,8,2,1300,598,629,46,147,102,7,8,6,1,1,47.2,186,567,806,142,307,568,36,25
Feyenoord,34,71,62.6,551,198,6,6,981,121,15171,18307,5939,6682,7599,8517,1400,2412,52,46.9,50.6,426,1402,318,63,1603,785,1581,512,328,194,232,86,237,414,177,321,264,643,30,22144,2042,6572,10024,5766,1005,22138,710,293,12840,785,537,264,501,318,14957,1581,46,2,1,284,405,39,3,3,0,1442,435,423,38,119,80,10,3,2,1,0,39.4,146,362,1369,148,119,318,20,89
Flamengo,13,26,20.2,180,76,2,3,317,46,6892,7917,3160,3420,3016,3274,585,905,19,13.8,15.1,143,605,130,26,681,219,676,199,142,79,83,37,73,157,84,106,89,193,7,9190,659,2309,4444,2503,318,9187,237,115,5570,219,194,55,200,125,6815,676,19,1,0,163,165,17,3,2,0,533,141,128,5,34,27,9,2,0,2,0,6.0,36,97,333,35,45,143,11,10
Fluminense,12,14,14.1,164,49,1,1,297,23,5822,6865,2898,3160,2296,2595,452,775,8,10.7,12.0,117,426,106,35,492,205,488,181,116,81,70,30,84,170,86,110,76,289,7,8139,672,2330,3889,1990,254,8138,211,93,4922,205,145,52,166,138,5786,488,20,0,0,135,176,7,1,0,0,449,148,150,14,43,29,3,0,0,0,0,12.6,20,59,182,51,75,160,10,5
Fortaleza,13,12,15.1,165,44,2,3,301,21,4350,5523,1840,2075,1954,2279,437,870,10,10.6,8.4,121,369,83,29,448,188,443,247,145,126,94,27,142,253,111,127,105,335,7,6936,679,2030,3369,1607,231,6933,186,79,3742,188,114,47,178,104,4309,443,33,4,2,167,153,31,1,1,1,480,168,163,19,65,46,5,1,0,1,0,20.7,59,151,281,66,92,155,10,12
Fortuna Sittard,34,36,42.3,353,101,4,6,627,65,10186,13653,4238,4915,4454,5393,1224,2638,25,28.2,29.9,250,784,204,89,945,488,930,557,344,288,194,75,298,569,271,363,327,968,12,17746,2122,6317,7670,3933,633,17740,549,256,8991,488,349,105,570,281,10070,930,69,3,2,397,355,41,6,4,0,1379,520,585,54,166,111,10,4,3,1,0,53.4,197,640,736,141,269,542,59,24
Frosinone,38,35,44.2,490,135,3,5,851,57,12569,15819,4973,5656,5947,6838,1472,2743,24,29.1,29.7,351,1134,267,90,1228,588,1212,535,339,240,219,76,270,480,210,331,234,960,14,19954,2268,6664,8904,4611,737,19949,571,249,9848,588,453,168,604,293,12437,1212,85,6,1,534,625,42,4,7,0,1375,565,590,50,160,108,8,7,5,2,0,51.5,163,566,1074,141,244,605,28,20
Genk,30,54,62.4,480,163,8,10,879,92,15138,17861,5759,6479,7236,8065,1736,2590,33,43.0,46.6,381,1161,345,83,1521,554,1504,533,330,252,208,73,227,437,210,318,277,642,12,21356,2090,6486,10420,4655,795,21347,586,265,15852,554,551,153,496,335,15017,1504,43,3,1,292,323,51,6,3,0,1436,370,352,32,103,71,12,2,1,0,1,33.4,163,366,1059,100,129,374,19,12
Gent,30,40,42.1,374,124,3,4,648,67,11717,15008,4394,5306,5551,6473,1464,2508,29,30.2,27.0,282,933,244,55,1339,587,1325,549,340,227,231,91,249,489,240,354,262,747,20,18572,2159,5845,8577,4365,673,18568,505,224,12515,587,482,153,475,249,11584,1325,60,3,2,337,277,33,3,1,1,1392,478,452,33,159,127,13,1,1,0,0,52.2,126,325,834,191,230,479,31,15
Gil Vicente FC,34,33,34.0,325,95,4,4,578,54,13018,16155,4916,5625,6301,7142,1512,2601,20,24.7,23.5,246,804,205,48,1100,451,1091,539,341,256,228,55,309,528,219,357,310,868,17,19987,2354,7785,8694,3678,555,19983,560,234,11006,451,322,102,532,300,12902,1091,72,5,2,394,516,50,2,7,1,1321,431,452,47,128,82,7,7,6,0,1,43.9,134,366,997,161,281,502,36,36
Gimnasia–LP,17,8,14.3,190,45,1,1,342,11,4944,6775,2084,2523,2021,2501,669,1284,4,10.3,12.5,144,514,139,60,634,216,631,327,196,156,134,37,151,282,131,194,162,621,11,9057,894,2853,4028,2264,309,9056,311,148,4221,216,143,41,311,156,4905,631,53,3,1,230,167,27,0,5,0,738,308,295,19,67,46,6,5,3,2,0,24.1,92,254,367,54,118,288,16,3
Go Ahead Eag,34,57,55.5,480,149,2,2,859,105,13562,16936,5772,6538,6126,7024,1384,2619,45,44.2,44.6,363,1088,346,64,1271,508,1260,452,274,224,170,58,206,401,195,349,187,1020,16,20701,2880,7701,8375,4794,840,20699,435,196,11670,508,381,139,444,272,13402,1260,45,2,1,304,335,48,2,4,1,1371,452,469,55,169,115,9,4,4,0,0,46.5,123,433,1302,154,174,623,27,32
Godoy Cruz,17,7,10.7,180,39,0,0,312,13,4485,6376,1784,2177,1973,2509,642,1346,5,8.6,8.2,131,414,72,32,513,212,508,339,212,157,153,29,167,318,151,210,156,517,4,8519,929,2823,4027,1790,203,8519,275,134,3965,212,163,29,312,174,4433,508,48,1,0,241,177,27,0,2,1,745,311,307,19,68,49,7,2,1,1,0,19.5,142,344,505,65,102,269,27,16
Groningen,34,39,38.4,361,137,5,6,634,66,11685,15369,4762,5645,5369,6347,1250,2586,25,26.5,29.2,270,1010,222,51,1160,395,1151,603,385,281,247,75,316,531,215,357,294,912,19,19550,2169,6228,9161,4330,581,19544,563,245,9997,395,357,88,574,316,11567,1151,58,6,2,334,340,33,4,6,2,1467,594,649,53,147,95,7,6,5,1,0,52.6,254,756,1146,107,209,466,41,48
Grêmio,13,12,14.2,148,52,2,2,257,20,3971,5120,1682,1960,1711,1990,487,910,7,9.0,7.9,108,353,67,26,358,170,355,249,165,128,89,32,139,222,83,140,120,391,5,6659,794,2226,3022,1485,206,6657,251,118,3383,170,135,38,182,131,3933,355,38,0,0,174,164,12,2,4,0,489,201,161,19,60,41,3,4,4,0,0,22.6,94,208,299,36,94,217,9,8
Guadalajara,34,40,41.6,421,132,3,4,749,71,12893,16148,5265,5975,5829,6740,1550,2721,30,31.5,28.4,329,1144,234,79,1284,581,1273,716,468,334,317,65,337,579,242,348,291,618,10,19905,1880,6196,9298,4626,623,19901,605,280,11550,581,444,117,550,330,12742,1273,75,6,4,416,348,80,3,4,1,1448,359,390,35,130,93,12,3,1,2,0,34.4,156,413,965,157,234,418,34,37
Heerenveen,34,41,44.4,446,138,5,6,784,72,14138,17581,6400,7220,6150,7116,1263,2377,27,29.4,33.2,330,1126,295,74,1404,566,1391,617,380,294,253,70,316,614,298,371,310,838,21,21790,2395,7390,9503,5119,765,21784,654,272,12073,566,403,145,579,309,14000,1391,45,2,0,400,334,47,6,4,2,1582,462,544,57,171,116,6,4,4,0,0,61.3,147,482,1333,136,150,406,24,54
Heracles Almelo,34,42,42.8,378,122,5,5,657,70,10636,13958,4081,4762,4886,5717,1439,2735,29,29.8,29.5,278,949,197,66,1040,531,1029,608,373,313,233,62,269,535,266,439,303,1054,7,18279,2435,6720,7573,4186,639,18274,615,271,9382,531,343,150,516,292,10504,1029,58,2,1,429,347,47,4,6,4,1439,561,499,63,185,126,6,6,6,0,0,58.1,264,710,1050,83,250,508,12,23
Houston Dynamo,23,28,29.8,276,78,2,2,501,45,10048,12002,5333,5783,3704,4229,705,1374,20,21.3,23.3,213,752,181,46,915,302,903,350,225,185,134,31,179,318,139,207,193,579,11,14439,1337,4572,6459,3513,489,14437,282,139,8378,302,245,78,324,199,9948,903,61,2,1,346,283,34,2,2,0,869,259,241,38,99,60,8,2,1,1,0,33.3,81,236,608,104,94,257,10,32
Hull City,46,40,52.9,522,156,4,5,931,70,17093,21724,7529,8537,7658,8916,1438,3059,25,38.5,38.8,385,1196,349,112,1434,782,1415,710,458,341,284,85,317,634,317,479,314,1367,24,27052,3543,10296,10802,6214,882,27047,738,346,14936,782,495,192,698,419,16920,1415,77,3,2,543,471,91,5,6,2,1849,753,824,54,172,119,7,6,4,1,1,53.4,131,470,1805,194,282,717,38,65
Huracán,17,19,20.6,186,62,4,5,324,29,5203,6936,2159,2545,2323,2808,612,1221,11,11.5,12.5,135,481,101,34,647,259,641,294,193,135,135,24,140,295,155,182,161,462,3,8935,830,2718,4244,2065,270,8930,252,89,4360,259,191,46,291,150,5142,641,44,0,0,213,267,37,4,4,1,720,296,294,15,47,32,8,4,3,1,0,16.6,72,224,360,46,111,228,13,6
Ind. Rivadavia,17,21,20.4,175,66,3,4,303,38,4598,6348,1965,2327,1828,2286,671,1332,15,13.2,12.9,127,427,88,33,535,215,528,296,188,147,112,37,157,292,135,217,133,491,6,8358,965,2762,3891,1788,264,8354,278,144,3852,215,157,50,276,141,4556,528,41,3,0,202,196,48,2,4,1,698,266,323,19,72,53,6,4,3,1,0,20.1,96,302,345,60,153,310,17,8
Independiente,17,22,20.5,205,63,3,3,359,40,6172,7919,2605,3006,2642,3138,765,1309,13,12.0,12.3,134,525,128,44,748,275,747,291,185,123,129,39,144,258,114,164,135,378,5,9812,902,2869,4723,2315,349,9809,317,137,5485,275,194,46,311,191,6107,747,46,1,0,180,261,24,1,3,3,726,251,270,14,49,38,7,3,3,0,0,15.7,87,205,412,73,106,213,10,4
Instituto,17,16,18.6,193,54,2,2,340,31,4318,6182,1769,2156,1865,2388,571,1225,10,13.3,12.5,138,450,97,38,546,195,534,320,209,139,132,49,165,307,142,201,165,430,6,8216,796,2453,3589,2260,292,8214,296,115,3665,195,139,44,276,176,4265,534,47,1,1,214,252,36,2,2,0,689,311,302,20,65,45,6,2,2,0,0,18.9,86,219,331,50,119,229,17,12
Inter Miami,20,44,34.0,238,94,0,0,426,78,9911,11620,4376,4809,4258,4721,955,1429,33,27.1,25.4,180,684,186,27,861,295,857,365,224,170,149,46,187,326,139,212,144,389,20,13769,1346,4464,6325,3087,410,13769,342,158,8224,295,251,82,289,148,9828,857,45,3,0,237,227,33,0,0,1,898,183,156,33,96,64,3,0,0,0,0,29.3,87,168,673,105,104,235,6,38
Internacional,13,13,16.8,189,58,1,1,327,23,5665,6834,2563,2828,2422,2765,549,912,11,13.0,12.9,143,457,96,30,558,216,555,258,167,91,131,36,118,235,117,147,100,285,11,8317,599,2062,4313,2024,255,8316,226,121,4749,216,163,51,193,146,5627,555,24,2,1,180,142,19,0,1,2,559,174,177,18,44,28,3,1,1,0,0,12.2,35,111,231,30,83,140,4,14
Juve Stabia,38,40,41.4,392,128,2,2,674,70,11710,15734,4735,5588,5315,6387,1318,2838,32,31.3,30.1,300,910,246,89,1114,479,1100,592,361,309,218,65,278,507,229,408,270,1170,12,20239,2445,7356,8712,4374,670,20237,587,248,10332,479,372,98,619,307,11478,1100,96,5,1,692,606,71,1,7,0,1309,723,892,41,148,106,12,7,5,1,1,46.7,218,723,1242,143,195,571,63,27
Juventude,12,10,8.1,119,35,0,0,201,19,3686,4764,1465,1672,1732,2028,413,810,8,6.1,4.8,85,243,54,16,335,127,333,184,112,98,69,17,68,172,104,153,104,319,10,6062,789,2335,2670,1121,161,6062,186,79,3238,127,99,33,149,111,3655,333,31,0,0,169,171,26,0,3,1,443,151,171,24,79,55,2,3,2,1,0,23.1,31,113,288,61,64,168,9,5
Kortrijk,30,27,34.2,339,102,1,1,591,47,8826,12184,3397,4262,3887,4912,1206,2328,21,26.1,25.1,242,939,213,62,1129,445,1108,544,321,256,204,84,254,503,249,397,252,824,12,15818,1685,4596,7224,4188,598,15817,547,260,9454,445,364,121,487,329,8726,1108,69,4,3,313,299,38,0,2,3,1184,575,572,55,141,89,3,2,2,0,0,57.0,174,440,652,158,186,453,32,29
LA Galaxy,23,25,29.4,263,91,2,2,482,43,10815,12749,5130,5554,4601,5124,882,1576,15,22.0,22.2,206,886,208,29,963,366,952,360,224,184,132,44,178,340,162,244,174,469,22,15118,1395,4638,7017,3605,496,15116,372,170,8562,366,297,116,311,142,10710,952,51,1,0,241,256,32,2,4,2,901,186,211,45,104,60,2,4,3,1,0,38.8,56,264,560,91,127,281,21,13
LAFC,20,36,36.8,278,105,6,7,497,59,10234,11888,4652,5059,4626,5103,787,1291,17,21.0,22.0,199,873,185,26,960,400,948,307,191,151,112,44,159,295,136,221,178,456,5,14190,1196,3990,6854,3465,530,14183,406,195,8563,400,273,142,330,148,10178,948,34,1,1,252,244,30,7,2,1,905,209,193,24,65,42,8,2,2,0,0,20.5,89,208,452,78,105,237,10,21
Lanús,17,13,20.6,228,76,3,3,407,26,5846,7608,2473,2891,2596,3065,653,1240,8,13.4,16.1,168,535,140,44,701,247,698,284,180,132,113,39,141,266,125,201,173,579,8,9844,917,3147,4518,2269,358,9841,304,137,4830,247,184,53,317,157,5783,698,35,1,1,208,215,23,3,3,0,737,334,269,12,57,44,7,3,1,1,1,15.9,71,189,416,91,78,241,25,19
Leeds United,46,91,91.4,755,249,3,4,1329,154,22829,27268,10764,11890,10067,11346,1456,2704,65,68.4,64.5,562,1839,486,81,2236,967,2213,685,411,263,290,132,332,637,305,379,345,909,11,32230,2150,8777,15504,8198,1328,32226,765,345,19039,967,658,271,633,460,22644,2213,70,0,0,472,557,104,4,4,4,1802,666,687,30,99,72,25,4,3,1,0,26.1,97,379,1398,201,152,414,39,41
León,34,45,40.1,407,141,3,6,721,82,12024,15155,4658,5309,5398,6220,1705,2912,33,29.5,27.1,313,1053,215,75,1111,479,1099,618,375,326,242,50,320,609,289,336,281,697,14,18804,2143,6376,8636,3988,562,18798,475,221,10128,479,366,113,535,288,11886,1099,77,8,3,416,345,75,5,4,2,1322,396,361,44,170,128,8,4,3,0,1,45.9,171,430,891,165,310,460,19,25
Luton Town,46,43,51.3,526,152,2,2,907,64,12033,17305,5075,6142,4936,6253,1602,3778,30,36.4,39.9,375,1061,337,94,1311,577,1293,753,454,349,293,111,358,692,334,527,353,1326,15,22964,2548,7753,9140,6327,1045,22962,790,335,10865,577,379,162,737,444,11926,1293,90,7,4,577,525,91,1,3,1,1825,1065,982,69,198,129,11,3,2,1,0,62.3,386,1066,1264,126,363,631,29,76
Mantova,38,46,42.4,509,156,2,4,897,82,17447,20683,8086,8846,7712,8616,1297,2369,36,28.5,32.2,372,1100,269,81,1314,528,1306,451,256,239,161,51,222,453,231,380,220,940,14,24596,3110,9690,10469,4628,665,24592,527,216,14082,528,419,108,546,358,17217,1306,88,4,1,519,783,52,3,2,1,1365,480,488,56,173,118,8,2,2,0,0,56.4,113,312,1443,110,185,580,21,36
Mazatlán,34,25,37.6,379,109,2,3,657,45,11719,14989,4785,5480,5270,6157,1389,2538,13,28.6,27.3,280,1001,204,52,1201,562,1190,559,367,282,220,57,257,530,273,330,281,756,6,18678,1915,5971,8580,4328,569,18675,491,221,10079,562,430,104,514,321,11580,1190,96,3,1,431,366,62,2,8,1,1426,415,419,45,153,109,9,8,6,0,2,43.3,189,471,838,156,290,482,27,30
Mechelen,30,43,45.4,386,148,2,3,691,72,12697,15701,4296,4998,6403,7228,1686,2800,24,31.2,31.0,288,1042,251,61,1257,491,1250,517,314,267,189,61,255,494,239,327,256,733,13,19030,2118,6402,8726,4070,670,19027,465,220,13377,491,412,155,451,253,12597,1250,63,1,1,310,287,61,3,5,4,1306,400,449,40,142,106,9,5,5,0,0,45.3,130,372,937,150,225,473,32,23
Middlesbrough,46,62,69.0,660,206,5,7,1172,108,21092,25398,9913,10882,9058,10213,1660,3156,46,49.6,45.4,525,1644,441,63,2109,929,2100,756,478,357,301,98,372,661,289,471,334,1099,28,30650,2850,9495,13697,7707,1220,30643,821,343,16743,929,611,308,661,425,20935,2100,69,2,2,432,540,99,7,0,3,1842,547,599,56,168,115,13,0,0,0,0,52.8,99,467,1227,219,258,617,45,60
Millwall,46,47,54.8,519,157,2,4,901,79,11166,16497,4677,5829,4601,5941,1492,3561,31,37.6,36.1,381,965,271,101,1327,469,1305,904,588,420,368,116,383,678,295,491,441,1363,13,22229,2403,7367,9636,5460,883,22225,634,271,9773,469,371,148,714,487,11062,1305,75,1,0,597,519,99,3,3,4,1874,1050,1041,49,154,108,16,3,1,1,1,46.9,230,911,985,106,308,655,32,46
Minnesota Utd,23,36,33.8,275,107,2,2,482,63,6322,8506,3041,3553,2382,2930,678,1475,29,26.7,25.6,207,479,149,37,597,241,591,377,229,210,114,53,189,373,184,246,225,742,8,11364,1459,4399,4381,2694,540,11362,373,153,5463,241,182,89,329,191,6250,591,40,0,0,314,234,36,1,3,2,940,380,366,26,88,64,8,3,2,0,1,27.2,124,424,621,60,145,409,13,9
Mirassol,12,17,17.8,147,44,4,5,264,30,4281,5345,1990,2222,1731,2033,450,797,10,10.5,10.1,118,319,74,25,427,158,423,189,126,85,84,20,71,174,103,143,112,340,9,6801,790,2368,3070,1427,208,6796,222,89,3724,158,98,29,186,103,4246,423,34,0,0,153,164,23,4,2,0,501,160,158,13,54,40,2,2,1,1,0,15.9,40,122,294,56,63,219,10,15
Modena,38,46,44.0,448,138,6,6,811,80,12811,16520,5716,6657,5404,6378,1371,2639,31,29.4,33.6,323,1025,289,64,1374,556,1360,600,367,316,211,73,268,469,201,369,295,1128,5,20815,2355,7453,8720,4860,725,20809,512,252,10244,556,422,132,522,317,12689,1360,94,8,0,480,558,58,5,4,2,1419,647,594,50,139,90,7,4,3,1,0,43.3,208,614,934,127,289,670,63,14
Monterrey,34,58,53.6,490,162,8,9,894,101,15056,18155,6525,7268,6607,7453,1612,2633,36,36.7,36.4,378,1427,330,98,1645,571,1630,609,400,251,291,67,296,528,232,332,305,602,7,21887,1895,5706,10683,5659,726,21878,634,307,12888,571,495,135,567,288,14893,1630,65,6,0,360,403,57,7,5,0,1347,368,351,42,139,97,9,5,5,0,0,39.7,155,371,1057,202,221,420,35,42
Moreirense,34,41,34.1,342,125,5,5,622,67,11338,14487,4853,5521,4886,5688,1153,2345,28,22.1,19.7,262,729,175,57,936,416,927,547,311,283,210,54,275,524,249,336,283,1015,24,18482,2245,7342,7889,3445,471,18477,524,235,9757,416,299,84,551,300,11246,927,84,2,1,497,518,56,2,5,0,1266,499,559,50,137,87,7,5,5,0,0,46.7,166,506,904,147,269,564,41,30
NAC Breda,34,34,39.3,389,124,3,3,667,55,11082,14526,4466,5222,4964,5873,1376,2628,22,28.0,29.4,286,859,197,70,1044,504,1035,604,365,309,233,62,298,559,261,411,300,1049,12,18696,2423,6815,7917,4152,637,18693,476,202,9605,504,414,107,493,277,10957,1035,63,5,1,354,326,29,1,7,1,1422,624,568,58,172,115,5,7,7,0,0,57.4,202,451,954,150,269,541,25,29
NE Revolution,22,25,29.4,253,95,4,4,463,44,8792,10797,3947,4384,3699,4199,895,1622,15,21.1,22.8,196,665,188,51,819,371,807,380,228,184,154,42,169,345,176,273,192,599,11,13257,1445,4632,5828,2926,452,13253,355,179,7590,371,265,82,273,167,8710,807,41,0,0,261,276,53,4,4,0,933,270,266,30,91,61,8,4,4,0,0,27.5,80,270,405,54,186,277,9,8
NEC Nijmegen,34,51,45.9,434,144,3,3,746,89,12361,15869,4850,5605,5948,6871,1366,2692,31,31.2,35.7,304,1013,214,88,1101,514,1090,589,352,301,213,75,314,587,273,359,284,920,18,19903,2539,7171,8707,4234,685,19899,494,212,10797,514,378,117,525,273,12217,1090,51,3,1,368,352,33,2,2,4,1271,513,570,46,166,124,10,2,2,0,0,52.2,173,598,1132,154,224,516,54,48
NY Red Bulls,23,36,34.1,261,91,6,6,483,65,9681,11958,4533,5038,4237,4836,713,1511,24,21.6,19.8,193,886,171,32,975,352,965,404,267,159,188,57,202,377,175,243,216,579,7,14537,1264,4117,7041,3511,438,14531,340,168,8170,352,294,79,337,218,9608,965,56,2,1,271,263,42,6,1,2,1076,290,380,30,103,75,7,1,1,0,0,32.6,69,289,603,107,120,281,18,47
NYCFC,22,28,33.3,278,84,3,5,494,44,9792,12017,4553,5154,4246,4857,759,1439,19,22.1,23.5,208,850,192,29,976,372,963,370,219,162,165,43,198,376,178,266,179,607,14,14616,1593,4816,6430,3499,527,14611,347,133,8284,372,279,121,340,191,9705,963,40,1,1,241,230,24,5,1,4,1013,235,244,25,92,71,7,1,1,0,0,27.8,39,139,562,129,109,274,17,25
Nacional,34,31,38.8,451,129,3,5,779,52,9734,13055,3560,4219,4517,5422,1458,2776,21,25.7,24.2,333,754,198,76,960,466,955,555,383,287,210,58,280,541,261,387,287,878,30,17042,2075,6480,7156,3613,556,17037,545,239,8471,466,355,81,549,242,9653,955,83,5,3,458,446,56,4,11,0,1464,502,504,50,156,106,8,11,9,0,2,51.7,172,496,693,110,315,528,33,26
Nashville SC,23,40,42.2,298,122,7,10,530,72,9530,11635,4087,4575,4354,4957,904,1556,29,25.8,25.0,224,662,191,37,817,376,807,362,209,177,142,43,159,332,173,233,215,523,9,14199,1549,5026,6240,3063,509,14189,363,166,7828,376,269,99,343,200,9456,807,37,1,0,312,232,55,10,3,1,958,267,260,25,88,63,8,3,2,1,0,26.8,75,205,652,126,119,285,25,12
Necaxa,34,56,45.8,522,184,4,4,882,92,10016,13200,4438,5067,4071,4910,1253,2496,34,30.3,26.1,395,940,250,80,1139,490,1121,623,430,311,260,52,282,544,262,374,323,837,11,17421,1975,5808,7471,4362,617,17417,692,318,8339,490,384,116,598,359,9894,1121,61,2,0,425,333,50,3,5,0,1491,413,415,55,165,110,9,5,5,0,0,52.0,203,551,859,115,287,531,33,29
Newell's OB,17,14,19.9,207,66,0,2,363,27,4543,6197,1771,2137,1987,2488,679,1208,12,14.2,12.7,149,449,99,38,580,266,571,272,169,149,97,26,145,256,111,183,171,583,8,8339,1044,3008,3574,1885,295,8337,299,139,4050,266,169,49,290,137,4489,571,45,2,0,214,210,28,2,2,1,742,340,302,16,84,69,6,2,1,0,1,22.5,120,248,318,73,145,326,13,4
Norwich City,46,68,66.3,543,188,1,2,939,119,21888,26188,10522,11450,9405,10575,1506,3005,55,49.9,46.3,401,1336,328,64,1610,691,1598,774,482,367,307,100,372,735,363,493,335,1033,19,31304,3653,11791,13986,5762,927,31302,744,339,18366,691,497,171,704,431,21707,1598,86,2,1,543,486,87,1,7,2,1896,562,527,68,179,112,8,7,6,1,0,57.2,93,387,1542,235,202,635,29,78
OH Leuven,30,27,31.5,360,92,3,3,611,47,10171,12983,3470,4121,5020,5825,1442,2468,21,21.9,21.7,268,779,184,46,959,512,949,548,329,267,221,60,244,462,218,345,254,808,2,16604,2332,6248,7012,3545,579,16601,573,242,10960,512,402,158,509,313,10064,949,72,6,1,399,377,53,3,5,2,1138,416,415,33,131,99,9,5,4,1,0,43.3,185,537,1059,163,218,491,31,29
Orlando City,23,41,40.6,360,117,3,3,656,73,9245,11061,4492,4903,3700,4186,814,1440,32,32.2,28.6,293,755,212,35,945,383,938,340,214,177,114,49,157,331,174,247,158,611,9,13634,1347,4411,5924,3421,588,13631,409,193,7665,383,283,137,302,179,9179,938,50,3,2,235,290,38,3,3,1,909,240,264,31,93,63,8,3,3,0,0,31.9,96,234,443,59,137,334,16,27
Oxford United,46,49,43.3,448,149,0,0,751,83,13729,18679,5638,6563,6204,7477,1570,3700,36,32.6,27.1,321,907,186,61,1032,470,1017,764,445,367,322,75,386,709,323,545,413,1490,17,24182,3438,9718,10350,4340,674,24182,640,248,11518,470,309,122,669,359,13607,1017,81,0,0,477,482,78,0,4,2,1720,834,836,65,206,141,13,4,2,2,0,74.3,282,886,1531,197,335,810,38,51
PSV Eindhoven,34,99,84.0,672,263,2,4,1250,185,19487,22971,8501,9371,8644,9677,1878,2856,85,68.8,79.3,551,1847,568,139,2237,952,2216,540,350,208,226,106,276,505,229,325,243,602,12,26739,1937,6464,12312,8189,1409,26735,635,306,15550,952,615,315,491,286,19273,2216,34,1,0,283,264,43,2,2,0,1692,506,380,39,102,63,9,2,2,0,0,36.4,141,298,1179,127,145,309,20,49
Pachuca,34,46,44.4,494,168,1,2,880,80,12821,15939,5418,6147,5475,6329,1641,2683,36,33.7,31.7,393,1140,266,50,1449,721,1430,647,413,280,301,66,287,557,270,361,363,707,11,20170,1636,5628,9639,5117,746,20168,802,368,11368,721,531,194,664,393,12701,1430,83,11,3,431,444,75,2,5,0,1557,403,358,52,150,97,6,5,4,1,0,40.9,188,389,673,184,292,420,27,42
Palermo,38,49,58.2,559,172,5,7,982,83,12733,16227,5078,5827,5758,6706,1519,2775,33,40.7,41.7,394,1019,322,119,1330,634,1318,486,294,261,153,72,206,400,194,369,227,984,21,20390,2481,6873,8795,4904,862,20383,535,215,10648,634,425,131,588,263,12620,1318,85,1,0,553,539,31,5,2,1,1366,655,589,43,148,106,11,2,2,0,0,39.9,176,479,1120,184,231,605,40,36
Palmeiras,12,13,15.3,164,39,2,3,299,21,4077,5122,1697,1910,1819,2061,484,903,8,9.9,8.3,124,349,84,32,439,204,435,209,132,102,82,25,116,209,93,134,91,291,8,6587,599,1954,3019,1691,256,6584,268,95,3461,204,138,56,198,90,4046,435,27,0,0,168,186,24,2,2,0,492,156,179,9,34,24,5,2,1,1,0,10.6,38,173,265,36,77,161,11,12
