Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Blackburn,46,52,52.6,468,153,3,3,823,96,15923,20764,6857,7928,6853,8146,1766,3519,43,38.5,40.4,345,1040,304,84,1396,612,1377,833,520,408,334,91,405,713,308,513,382,1470,18,26426,3101,10048,11084,5535,850,26423,711,311,13308,612,440,161,752,441,15817,1377,101,4,3,586,507,95,3,4,0,1835,913,912,48,174,125,15,4,3,1,0,52.9,192,702,1218,146,240,695,26,20
Boavista,34,23,33.2,345,102,7,7,587,33,8734,12251,3732,4452,3616,4529,1152,2558,8,17.6,18.0,229,700,173,63,886,264,880,565,329,281,217,67,299,601,302,336,313,843,32,15990,1833,5413,7350,3370,505,15983,394,163,7632,264,234,47,508,213,8671,880,92,10,3,433,473,87,4,6,3,1332,486,503,59,173,117,7,6,6,0,0,57.1,194,546,593,128,307,507,30,25
Boca Juniors,18,24,21.7,180,58,0,2,325,38,7045,8709,2948,3327,3185,3645,786,1355,16,14.5,13.0,136,523,106,35,688,272,686,338,234,173,125,40,167,272,105,185,149,478,6,10715,941,3403,5153,2238,307,10713,288,150,5421,272,223,56,291,168,6994,686,48,2,1,221,238,30,2,0,0,738,229,256,12,53,41,9,0,0,0,0,14.2,59,164,377,80,151,267,12,9
Botafogo (RJ),13,16,17.3,193,66,1,1,350,27,5343,6416,2255,2495,2367,2642,587,987,11,13.1,14.0,154,459,125,45,542,211,540,205,136,106,71,28,106,203,97,128,95,302,3,7766,831,2448,3561,1827,307,7765,173,79,4533,211,157,54,182,95,5297,540,28,1,0,186,142,16,0,0,0,504,173,155,7,43,35,8,0,0,0,0,10.5,53,134,400,41,70,182,9,9
Braga,34,54,52.6,459,155,5,6,808,96,15256,18810,6168,6915,7282,8210,1532,2840,40,37.4,35.6,346,1236,268,56,1510,602,1496,571,323,231,254,86,292,557,265,333,280,795,14,22526,1793,6304,10970,5462,781,22520,561,278,12870,602,390,184,475,250,15168,1496,69,3,2,483,400,68,5,3,1,1507,467,499,30,123,94,15,3,3,0,0,31.0,104,376,1016,163,198,385,25,59
Brescia,38,39,43.4,517,156,2,2,905,70,11908,15735,4255,5069,5618,6703,1680,3061,25,31.1,32.2,370,1069,288,140,1225,541,1211,628,370,316,237,75,299,611,312,461,291,1040,9,20180,2282,6938,8675,4791,814,20178,496,206,9706,541,370,118,571,286,11784,1211,91,2,0,533,547,54,2,9,1,1463,747,728,48,169,121,11,9,5,1,3,47.4,197,469,905,148,222,610,43,24
Bristol City,46,59,60.9,593,183,3,3,1059,105,17083,22337,7291,8424,7841,9334,1573,3490,39,43.3,49.2,460,1542,383,103,1776,727,1760,755,487,303,357,95,355,678,323,471,354,1160,18,27456,2424,7629,12745,7310,1058,27453,604,252,14748,727,488,229,652,385,16970,1760,77,3,1,470,497,77,3,2,0,1870,847,763,55,172,117,10,2,2,0,0,54.6,236,770,1217,218,219,555,37,79
Burnley,46,66,59.0,557,170,4,4,981,113,20211,24704,8619,9586,9360,10607,1824,3463,45,41.4,44.0,416,1420,347,91,1739,794,1727,699,420,297,310,92,335,607,272,444,337,1058,17,29585,2927,9619,13316,6870,1020,29581,756,326,16732,794,524,237,676,410,20024,1727,84,3,1,530,531,65,3,2,0,1777,578,681,16,107,89,30,2,0,2,0,27.9,150,582,1527,198,249,540,32,50
CF Montréal,23,20,27.7,246,90,2,2,443,33,8657,10807,3754,4229,3858,4421,846,1622,13,19.3,18.6,177,629,149,43,802,350,796,398,247,173,177,48,176,328,152,212,196,498,23,13264,1523,4825,5756,2807,412,13262,348,162,7466,350,255,113,383,205,8569,796,52,2,0,291,311,41,2,0,0,1030,221,300,43,122,79,4,0,0,0,0,38.5,83,229,791,98,90,216,20,24
Cardiff City,46,46,48.2,561,185,1,2,959,78,14573,19561,6390,7474,6254,7723,1608,3332,31,33.2,33.9,404,1235,273,94,1494,650,1479,813,513,382,317,114,383,672,289,471,371,1196,17,24779,2682,8267,10821,5947,848,24777,727,355,12690,650,447,181,672,394,14459,1479,79,4,0,542,485,94,2,4,4,1766,853,802,73,193,123,8,4,3,1,0,65.2,203,708,1129,136,291,568,22,58
Carrarese,38,39,40.6,431,131,3,4,776,73,12443,16369,5020,5862,5360,6383,1463,2753,32,30.6,31.4,335,799,281,109,1086,572,1075,530,310,271,211,48,231,491,260,408,256,1041,9,20616,2471,7487,9011,4330,672,20612,647,285,11489,572,426,121,533,288,12324,1075,90,5,1,548,493,55,3,8,0,1462,710,685,49,171,121,13,8,7,1,0,54.4,214,547,1101,121,271,584,41,30
Casa Pia,34,36,34.7,314,98,4,4,557,63,10412,13791,4308,5061,4663,5555,1214,2503,26,23.2,22.7,221,770,150,49,960,397,951,497,303,245,184,68,258,465,207,364,297,907,29,17574,2383,6847,7578,3354,494,17570,516,246,9433,397,237,99,549,213,10298,951,92,5,2,504,391,41,4,8,1,1398,499,506,44,163,120,7,8,7,0,1,45.4,120,454,969,164,202,502,38,27
Catanzaro,38,50,40.4,437,139,2,4,805,87,15376,18664,6846,7547,6848,7843,1436,2565,39,30.2,31.1,334,1097,272,90,1337,522,1328,385,229,198,136,51,170,372,202,320,296,929,18,22399,2760,8263,9632,4672,689,22395,464,222,13891,522,415,106,533,265,15150,1328,79,4,2,460,577,44,4,5,2,1264,496,442,45,150,107,13,5,4,0,1,46.6,199,467,1566,108,130,601,37,40
Ceará,13,14,13.9,151,47,1,1,248,24,3412,4598,1300,1534,1592,1920,456,911,11,10.3,8.7,107,291,77,33,359,137,355,210,128,100,92,18,90,169,79,139,93,387,10,6078,757,2128,2800,1223,205,6077,185,73,2830,137,107,31,197,113,3381,355,29,0,0,187,190,30,0,2,0,484,203,226,12,48,36,5,2,2,0,0,14.3,71,230,283,38,113,245,13,13
Cen. Córdoba–SdE,18,21,23.2,203,70,3,4,362,38,6305,8227,2632,3080,2779,3307,736,1395,17,17.5,15.5,157,572,115,38,693,283,680,281,171,120,122,39,159,286,127,203,177,471,3,10328,762,2809,5359,2266,335,10324,268,134,5783,283,210,68,313,160,6226,680,27,2,0,176,203,23,1,2,1,846,339,335,23,60,38,6,2,2,0,0,21.2,58,194,260,41,127,227,6,6
Cercle Brugge,30,29,42.0,408,130,2,3,685,51,7402,11614,2804,3880,3449,4794,926,2299,21,29.3,30.9,280,871,224,60,1174,389,1161,610,397,248,258,104,326,620,294,472,307,831,8,15730,1333,3776,7513,4652,742,15727,579,276,8245,389,419,113,564,324,7296,1161,52,5,0,326,332,59,3,3,0,1496,752,826,44,134,89,7,3,2,1,0,50.4,176,612,625,55,179,351,11,62
Cesena,38,44,43.8,439,148,6,7,764,73,13682,17250,5988,6730,6175,7093,1256,2544,29,29.3,27.3,306,914,253,72,1182,526,1168,537,321,269,185,83,239,488,249,357,268,959,4,21368,2229,7631,9401,4583,685,21361,579,256,11119,526,383,139,552,320,13585,1168,101,5,2,575,536,83,4,4,4,1408,464,549,47,138,92,11,4,1,3,0,45.1,73,366,786,201,259,507,29,33
Charleroi,30,36,48.8,421,137,4,5,771,61,12050,15364,4734,5615,5343,6403,1527,2519,19,33.1,35.4,323,1128,283,83,1397,555,1379,531,343,254,219,58,241,478,237,295,239,709,10,18728,1737,5322,8735,4841,726,18723,497,239,12627,555,511,141,435,240,11921,1379,62,3,2,315,257,50,4,4,1,1393,561,502,36,125,89,7,4,3,1,0,39.7,169,415,907,146,133,351,33,45
Charlotte,23,37,37.7,263,99,3,3,472,63,9644,11492,3872,4260,4583,5089,1007,1685,24,27.6,23.7,201,757,203,39,873,385,866,299,203,149,110,40,141,300,159,244,170,534,20,13890,1599,4848,6027,3120,499,13887,391,156,8548,385,247,123,291,200,9584,866,40,1,0,244,256,32,3,6,0,874,215,230,37,120,83,6,6,6,0,0,35.5,62,171,598,124,120,322,16,16
