Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
Liverpool,24.9,6,1.0,0.58,10.67,2.67,0.0,0.0,16.5,1.17,228.5,328.17,98.5,116.0,95.67,123.67,31.33,73.33,5.33,21.83,2.33,0.33,24.67,9.33,24.67,17.67,12.83,9.5,7.33,0.83,11.33,19.0,7.67,10.5,6.33,21.5,0.67,440.33,58.83,160.0,202.5,83.67,8.33,440.33,19.67,10.0,202.83,7.33,2.0,15.0,8.67,227.17,2.67,0.33,0.0,12.83,12.33,1.33,0.0,0.17,0.0,43.17,11.0,15.0,2.33,6.83,4.5,0.17,0.17,0.17,0.0,0.0,2.02,2.83,12.83,18.83,3.5,10.17,17.17,0.5,0.83,26.0,23.67,58.67,17.67,13.0,24.17,0.0,39.3,0.72,42.31,69.63,84.91,77.36,42.72,65.88,50.84,-0.15,65.89,22.06,2.91
Luton Town,26.5,46,0.93,1.09,11.43,3.3,0.04,0.04,19.72,1.39,261.59,376.2,110.33,133.52,107.3,135.93,34.83,82.13,8.15,23.07,7.33,2.04,28.5,12.54,28.11,16.37,9.87,7.59,6.37,2.41,7.78,15.04,7.26,11.46,7.67,28.83,0.33,499.22,55.39,168.54,198.7,137.54,22.72,499.17,17.17,7.28,236.2,8.24,3.52,16.02,9.65,259.26,1.96,0.15,0.09,12.54,11.41,1.98,0.02,0.07,0.02,39.67,23.15,21.35,1.5,4.3,2.8,0.24,0.07,0.04,0.02,0.0,1.35,8.39,23.17,27.22,2.74,8.15,13.72,0.63,1.65,44.5,25.67,69.15,21.11,35.61,17.65,0.02,45.2,-0.15,52.02,69.53,82.63,78.94,42.41,56.19,42.4,-0.11,65.12,36.21,4.59
Mantova,27.4,38,1.21,1.09,13.39,4.11,0.05,0.11,23.61,2.16,459.13,544.29,212.79,232.79,202.95,226.74,34.13,62.34,9.79,28.95,7.08,2.13,34.58,13.89,34.37,11.87,6.74,6.29,4.24,1.34,5.84,11.92,6.08,10.0,5.79,24.74,0.37,647.26,81.84,255.0,275.5,121.79,17.5,647.16,13.87,5.68,370.58,11.03,2.84,14.37,9.42,453.08,2.32,0.11,0.03,13.66,20.61,1.37,0.08,0.05,0.03,35.92,12.63,12.84,1.47,4.55,3.11,0.21,0.05,0.05,0.0,0.0,1.48,2.97,8.21,35.5,2.89,7.34,15.26,0.55,0.95,25.47,23.79,82.84,25.76,29.55,12.58,0.0,61.5,0.11,49.59,84.35,91.41,89.51,54.75,52.88,40.95,0.01,68.35,36.18,3.6
Mazatlán,27.4,34,0.74,1.07,11.15,3.21,0.06,0.09,19.32,1.32,344.68,440.85,140.74,161.18,155.0,181.09,40.85,74.65,8.24,29.44,6.0,1.53,35.32,16.53,35.0,16.44,10.79,8.29,6.47,1.68,7.56,15.59,8.03,9.71,8.26,22.24,0.18,549.35,56.32,175.62,252.35,127.29,16.74,549.26,14.44,6.5,296.44,12.65,3.06,15.12,9.44,340.59,2.82,0.09,0.03,12.68,10.76,1.82,0.06,0.24,0.03,41.94,12.21,12.32,1.32,4.5,3.21,0.26,0.24,0.18,0.0,0.06,1.27,5.56,13.85,24.09,4.59,9.09,14.18,0.79,0.88,24.53,24.56,86.85,20.65,27.32,18.35,0.06,47.4,-0.31,49.78,78.19,87.32,85.59,54.72,57.29,45.01,-0.04,71.33,40.14,5.57
Mechelen,26.2,30,1.43,1.49,12.87,4.93,0.07,0.1,23.03,2.4,423.23,523.37,143.2,166.6,213.43,240.93,56.2,93.33,9.6,34.73,8.37,2.03,41.9,16.37,41.67,17.23,10.47,8.9,6.3,2.03,8.5,16.47,7.97,10.9,8.53,24.43,0.43,634.33,70.6,213.4,290.87,135.67,22.33,634.23,15.5,7.33,445.9,13.73,5.17,15.03,8.43,419.9,2.1,0.03,0.03,10.33,9.57,2.03,0.1,0.17,0.13,43.53,13.33,14.97,1.33,4.73,3.53,0.3,0.17,0.17,0.0,0.0,1.51,4.33,12.4,30.07,5.0,8.67,15.77,1.07,0.77,28.3,23.47,99.93,25.43,37.9,18.97,0.0,53.1,-0.04,47.1,80.87,85.95,88.59,60.22,56.29,47.29,0.12,74.63,34.92,6.79
Middlesbrough,25.3,46,1.35,1.46,14.35,4.48,0.11,0.15,25.48,2.35,458.52,552.13,215.5,236.57,196.91,222.02,36.09,68.61,11.41,35.74,9.59,1.37,45.85,20.2,45.65,16.43,10.39,7.76,6.54,2.13,8.09,14.37,6.28,10.24,7.26,23.89,0.61,666.3,61.96,206.41,297.76,167.54,26.52,666.15,17.85,7.46,363.98,13.28,6.7,14.37,9.24,455.11,1.5,0.04,0.04,9.39,11.74,2.15,0.15,0.0,0.07,40.04,11.89,13.02,1.22,3.65,2.5,0.28,0.0,0.0,0.0,0.0,1.15,2.15,10.15,25.28,4.76,7.0,13.41,0.98,1.3,24.91,23.61,111.7,27.83,44.17,18.48,0.0,55.4,-0.08,47.73,83.05,91.09,88.69,52.6,60.0,41.79,-0.06,68.49,21.18,7.31
Millonarios,27.2,6,1.0,1.47,17.17,5.17,0.17,0.17,30.0,1.5,322.0,423.33,151.5,175.17,123.67,153.33,36.0,67.0,13.0,32.5,7.67,3.5,34.0,12.83,33.83,20.0,11.83,8.5,9.67,1.83,10.5,20.67,10.17,10.5,10.33,12.5,0.33,536.17,43.0,143.17,270.33,128.0,19.17,536.0,19.83,12.17,286.83,11.83,2.67,18.5,7.83,319.67,1.67,0.33,0.0,10.0,8.5,2.33,0.0,0.17,0.17,46.83,14.67,12.67,2.0,4.83,3.0,0.0,0.17,0.17,0.0,0.0,1.97,4.0,12.17,16.33,2.67,8.17,8.0,0.67,0.17,27.33,26.33,80.67,31.5,33.0,22.33,0.0,48.5,-0.32,53.68,76.06,86.49,80.66,53.73,54.91,61.37,-0.02,62.11,32.87,8.38
Millwall,26.7,46,1.02,1.16,11.28,3.41,0.04,0.09,19.59,1.72,242.74,358.63,101.67,126.72,100.02,129.15,32.43,77.41,8.28,20.98,5.89,2.2,28.85,10.2,28.37,19.65,12.78,9.13,8.0,2.52,8.33,14.74,6.41,10.67,9.59,29.63,0.28,483.24,52.24,160.15,209.48,118.7,19.2,483.15,13.78,5.89,212.46,8.07,3.22,15.52,10.59,240.48,1.63,0.02,0.0,12.98,11.28,2.15,0.07,0.07,0.09,40.74,22.83,22.63,1.07,3.35,2.35,0.35,0.07,0.02,0.02,0.02,1.02,5.0,19.8,21.41,2.3,6.7,14.24,0.7,1.0,45.46,26.11,67.41,21.3,30.5,21.11,0.04,43.0,-0.12,50.22,67.69,80.23,77.44,41.89,61.38,42.74,-0.05,70.15,25.25,4.92
Minnesota Utd,26.7,34,1.62,1.56,13.18,4.79,0.15,0.18,22.03,2.68,324.41,428.09,146.15,171.26,134.76,161.71,35.09,71.21,9.44,27.53,8.59,1.53,37.59,15.15,37.12,15.94,10.06,8.03,6.03,1.88,8.0,14.97,6.97,10.71,9.97,21.94,0.24,538.62,57.56,183.56,228.59,131.41,22.38,538.44,17.09,8.06,282.38,10.47,4.09,13.88,8.41,321.06,2.18,0.12,0.09,13.88,9.44,1.47,0.09,0.12,0.03,45.03,12.88,15.32,1.44,4.26,2.82,0.21,0.12,0.06,0.03,0.03,1.44,3.97,15.21,23.21,4.24,7.74,14.09,0.38,1.47,28.21,22.29,89.85,24.71,36.59,18.06,0.06,44.3,0.04,45.66,75.78,85.34,83.33,49.28,58.43,47.16,0.0,66.2,26.1,2.7
Modena,26.4,38,1.21,1.13,11.79,3.63,0.16,0.16,21.34,2.11,337.13,434.74,150.42,175.18,142.21,167.84,36.08,69.45,8.5,26.97,7.61,1.68,36.16,14.63,35.79,15.79,9.66,8.32,5.55,1.92,7.05,12.34,5.29,9.71,7.76,29.68,0.13,547.76,61.97,196.13,229.47,127.89,19.08,547.61,13.47,6.63,269.58,11.11,3.47,13.74,8.34,333.92,2.47,0.21,0.0,12.63,14.68,1.53,0.13,0.11,0.05,37.34,17.03,15.63,1.32,3.66,2.37,0.18,0.11,0.08,0.03,0.0,1.14,5.47,16.16,24.08,3.34,8.11,17.63,1.66,0.37,32.66,22.08,86.58,23.45,31.84,16.71,0.03,48.7,0.07,52.14,77.55,85.87,84.73,51.95,59.4,49.22,-0.16,64.75,33.85,9.42
Monterrey,28.7,34,1.71,1.56,14.41,4.76,0.24,0.26,26.29,2.97,442.82,533.97,191.91,213.76,194.32,219.21,47.41,77.44,11.12,41.97,9.71,2.88,48.38,16.79,47.94,17.91,11.76,7.38,8.56,1.97,8.71,15.53,6.82,9.76,8.97,17.71,0.21,643.74,55.74,167.82,314.21,166.44,21.35,643.47,18.65,9.03,379.06,14.56,3.97,16.68,8.47,438.03,1.91,0.18,0.0,10.59,11.85,1.68,0.21,0.15,0.0,39.62,10.82,10.32,1.24,4.09,2.85,0.26,0.15,0.15,0.0,0.0,1.17,4.56,10.91,29.91,5.94,7.68,12.35,1.03,1.24,21.15,25.15,113.12,29.26,37.91,20.47,0.0,55.6,0.1,51.16,82.93,89.78,88.65,61.22,61.21,48.42,-0.06,69.68,41.8,8.34
Moreirense,26.7,34,1.21,0.98,10.06,3.68,0.15,0.15,18.29,1.97,333.47,426.09,142.74,162.38,143.71,167.29,33.91,68.97,7.71,21.44,5.15,1.68,27.53,12.24,27.26,16.09,9.15,8.32,6.18,1.59,8.09,15.41,7.32,9.88,8.32,29.85,0.71,543.59,66.03,215.94,232.03,101.32,13.85,543.44,15.41,6.91,286.97,8.79,2.47,16.21,8.82,330.76,2.47,0.06,0.03,14.62,15.24,1.65,0.06,0.15,0.0,37.24,14.68,16.44,1.47,4.03,2.56,0.21,0.15,0.15,0.0,0.0,1.37,4.91,14.94,26.5,4.32,8.06,16.59,1.21,0.88,31.12,25.03,67.03,20.26,23.15,17.24,0.0,47.5,0.23,47.17,78.26,87.9,85.9,49.17,54.73,44.84,-0.07,63.52,32.86,7.29
NAC Breda,25.2,34,1.0,1.14,11.44,3.65,0.09,0.09,19.62,1.62,325.94,427.24,131.35,153.59,146.0,172.74,40.47,77.29,8.41,25.26,5.79,2.06,30.71,14.82,30.44,17.76,10.74,9.09,6.85,1.82,8.76,16.44,7.68,12.09,8.82,30.85,0.35,549.88,71.26,200.44,232.85,122.12,18.74,549.79,14.0,5.94,282.5,12.18,3.15,14.5,8.15,322.26,1.85,0.15,0.03,10.41,9.59,0.85,0.03,0.21,0.03,41.82,18.35,16.71,1.71,5.06,3.38,0.15,0.21,0.21,0.0,0.0,1.69,5.94,13.26,26.94,4.41,9.03,15.91,0.74,0.85,35.06,22.65,75.97,21.24,29.74,19.5,0.0,45.0,-0.12,52.34,76.29,85.52,84.52,52.36,57.02,42.43,-0.01,66.8,44.8,4.65
NE Revolution,27.4,34,1.06,1.08,11.91,4.0,0.03,0.03,21.26,1.82,421.32,515.59,171.0,191.91,198.38,223.65,45.65,78.65,8.85,30.26,8.32,2.15,39.88,16.76,39.26,14.29,8.79,7.03,5.68,1.59,7.44,13.97,6.53,11.21,8.71,20.12,0.29,617.62,70.56,220.79,269.12,134.03,19.24,617.59,15.79,7.5,344.0,13.03,4.03,14.06,8.53,417.65,1.94,0.12,0.09,11.65,10.82,1.56,0.03,0.24,0.0,43.71,11.88,11.5,2.18,5.97,3.74,0.15,0.24,0.18,0.06,0.0,2.09,4.21,13.15,22.29,2.88,8.82,12.79,0.41,0.35,23.38,22.59,95.91,23.09,33.74,16.24,0.06,51.0,-0.02,50.81,81.72,89.1,88.7,58.04,57.43,47.5,-0.04,62.65,32.02,3.21
NEC Nijmegen,25.2,34,1.5,1.31,12.76,4.24,0.09,0.09,21.94,2.62,363.56,466.74,142.65,164.85,174.94,202.09,40.18,79.18,8.94,29.79,6.29,2.59,32.38,15.12,32.06,17.32,10.35,8.85,6.26,2.21,9.24,17.26,8.03,10.56,8.35,27.06,0.53,585.38,74.68,210.91,256.09,124.53,20.15,585.26,14.53,6.24,317.56,11.12,3.44,15.44,8.03,359.32,1.5,0.09,0.03,10.82,10.35,0.97,0.06,0.06,0.12,37.38,15.09,16.76,1.35,4.88,3.65,0.29,0.06,0.06,0.0,0.0,1.54,5.09,17.59,31.68,4.53,8.21,15.18,1.59,1.41,31.85,23.47,79.56,24.56,32.47,19.59,0.0,48.6,0.15,47.38,77.89,86.53,86.57,50.75,56.65,42.95,0.12,74.8,28.94,10.47
NY Red Bulls,24.3,34,1.56,1.66,14.24,5.03,0.24,0.29,24.94,2.74,346.74,450.38,143.59,167.5,158.53,186.26,39.24,77.24,10.85,33.29,8.03,1.91,38.76,15.68,38.41,14.62,9.24,6.41,5.82,2.38,6.88,14.32,7.44,11.53,9.03,17.88,0.32,557.0,52.68,175.0,246.21,140.18,22.32,556.71,15.12,7.15,305.74,11.41,4.44,16.21,6.88,343.82,1.71,0.18,0.06,11.76,10.03,1.65,0.26,0.18,0.06,43.85,15.53,15.85,1.47,3.85,2.44,0.21,0.18,0.18,0.0,0.0,1.3,4.15,15.29,24.79,4.0,6.79,12.03,0.71,1.26,31.38,23.09,92.85,27.68,36.71,16.12,0.0,44.5,-0.06,49.49,76.99,85.73,85.11,50.8,55.7,47.29,-0.13,63.38,27.14,5.9
NYCFC,24.6,34,1.59,1.6,13.59,4.65,0.15,0.15,23.88,2.62,429.76,526.85,198.35,222.74,182.26,208.24,36.35,65.47,10.38,33.59,9.94,2.18,44.24,17.32,44.0,15.68,10.12,6.29,6.65,2.74,7.68,14.79,7.12,11.5,8.38,17.79,0.44,638.21,63.41,197.32,289.09,158.15,26.0,638.06,19.38,8.65,349.59,12.32,5.71,16.71,9.88,425.85,2.15,0.12,0.0,12.82,11.88,2.15,0.12,0.15,0.0,46.91,11.47,12.59,1.44,5.0,3.53,0.15,0.15,0.12,0.03,0.0,1.6,2.53,9.59,32.71,6.12,6.71,12.41,0.85,0.97,24.06,26.59,105.56,26.5,43.82,17.79,0.03,52.2,-0.01,47.67,81.57,89.05,87.52,55.52,58.42,44.63,0.1,70.6,26.38,6.85
Nacional,25.3,42,0.93,1.2,13.45,3.74,0.1,0.14,23.05,1.55,292.36,391.9,111.45,131.45,132.6,159.88,41.83,80.48,9.86,23.95,6.21,2.31,30.69,13.69,30.45,16.45,11.02,7.81,6.57,2.07,8.14,15.67,7.52,11.19,8.36,23.55,0.76,506.24,56.74,180.31,219.26,113.07,17.45,506.1,15.98,7.07,257.79,10.48,2.31,16.43,7.21,289.93,2.6,0.12,0.07,13.45,12.67,1.62,0.1,0.26,0.0,43.57,15.38,15.31,1.4,4.33,2.93,0.26,0.26,0.21,0.0,0.05,1.44,4.6,13.14,19.17,3.38,8.6,14.29,0.9,0.67,30.69,23.64,74.83,24.6,28.29,19.17,0.05,47.29,-0.22,50.11,74.6,84.79,82.94,51.98,59.65,44.24,0.03,67.67,35.01,6.3
Nashville SC,28.7,34,1.09,1.32,11.26,3.24,0.15,0.21,19.41,2.03,379.74,473.59,144.65,163.97,184.5,210.47,45.79,80.29,8.38,28.88,6.79,2.29,34.35,12.74,34.03,14.91,9.62,8.0,5.47,1.44,7.38,14.65,7.26,10.91,10.03,19.29,0.26,574.21,64.24,202.26,261.03,115.79,18.26,574.0,12.59,5.41,302.38,10.15,3.21,14.44,7.65,376.18,1.74,0.06,0.0,10.65,11.35,1.88,0.15,0.15,0.09,39.94,13.35,13.94,1.59,4.88,3.35,0.26,0.15,0.06,0.03,0.06,1.48,4.94,12.82,23.59,5.35,7.94,13.03,0.82,0.71,27.29,22.09,81.12,21.44,30.56,17.0,0.09,47.6,-0.17,48.92,80.18,88.22,87.66,57.03,57.51,42.97,-0.07,68.65,38.53,6.29
Necaxa,26.0,34,1.65,1.33,15.35,5.41,0.12,0.12,25.94,2.71,294.59,388.24,130.53,149.03,119.74,144.41,36.85,73.41,11.62,27.65,7.35,2.35,33.5,14.41,32.97,18.32,12.65,9.15,7.65,1.53,8.29,16.0,7.71,11.0,9.5,24.62,0.32,512.38,58.09,170.82,219.74,128.29,18.15,512.26,20.35,9.35,245.26,11.29,3.41,17.59,10.56,291.0,1.79,0.06,0.0,12.5,9.79,1.47,0.09,0.15,0.0,43.85,12.15,12.21,1.62,4.85,3.24,0.26,0.15,0.15,0.0,0.0,1.53,5.97,16.21,23.71,3.38,10.0,15.62,0.97,0.85,24.35,28.15,80.88,28.65,31.26,20.94,0.0,43.9,0.24,49.9,75.88,87.59,82.92,50.2,61.01,45.95,-0.06,66.8,36.83,6.21
Newell's OB,26.4,27,0.78,1.11,12.19,3.78,0.11,0.19,21.19,1.33,296.85,409.33,114.07,139.67,133.48,165.26,41.22,80.0,9.11,28.37,5.96,2.59,35.07,13.33,34.93,17.41,11.3,8.22,6.78,2.41,8.52,15.89,7.37,10.74,8.59,21.0,0.15,522.44,50.7,162.26,246.74,119.15,16.3,522.26,17.7,8.3,264.52,10.19,1.96,17.07,9.41,293.33,2.85,0.11,0.04,12.41,12.85,1.56,0.11,0.11,0.04,43.33,18.33,18.48,1.3,3.67,2.41,0.3,0.11,0.07,0.0,0.04,1.14,5.22,14.78,23.56,3.56,7.74,13.96,0.93,1.0,36.81,26.48,83.33,22.52,26.81,19.81,0.04,51.1,-0.3,49.8,72.52,81.67,80.77,51.52,59.52,46.89,-0.14,65.67,35.32,6.66
Norwich City,25.1,46,1.48,1.4,11.8,4.09,0.02,0.04,20.41,2.59,475.83,569.3,228.74,248.91,204.46,229.89,32.74,65.33,8.72,29.04,7.13,1.39,35.0,15.02,34.74,16.83,10.48,7.98,6.67,2.17,8.09,15.98,7.89,10.72,7.28,22.46,0.41,680.52,79.41,256.33,304.04,125.26,20.15,680.48,16.17,7.37,399.26,10.8,3.72,15.3,9.37,471.89,1.87,0.04,0.02,11.8,10.57,1.89,0.02,0.15,0.04,41.22,12.22,11.46,1.48,3.89,2.43,0.17,0.15,0.13,0.02,0.0,1.24,2.02,8.41,30.89,5.11,7.02,13.8,0.63,1.7,23.67,24.67,84.76,23.0,32.39,18.57,0.02,57.8,0.06,51.63,83.58,91.9,88.94,50.11,56.6,45.58,-0.19,62.47,24.02,4.57
OH Leuven,25.3,30,0.9,1.04,12.0,3.07,0.1,0.1,20.37,1.57,339.03,432.77,115.67,137.37,167.33,194.17,48.07,82.27,8.93,25.97,6.13,1.53,31.97,17.07,31.63,18.27,10.97,8.9,7.37,2.0,8.13,15.4,7.27,11.5,8.47,26.93,0.07,553.47,77.73,208.27,233.73,118.17,19.3,553.37,19.1,8.07,365.33,13.4,5.27,16.97,10.43,335.47,2.4,0.2,0.03,13.3,12.57,1.77,0.1,0.17,0.07,37.93,13.87,13.83,1.1,4.37,3.3,0.3,0.17,0.13,0.03,0.0,1.44,6.17,17.9,33.37,5.43,9.2,16.37,1.03,0.97,27.7,27.4,80.67,21.93,32.23,19.1,0.03,48.4,-0.13,50.07,78.34,84.2,86.18,58.43,56.73,42.25,0.24,75.51,34.47,6.29
Orlando City,27.4,34,1.65,1.49,13.15,4.44,0.12,0.15,23.59,2.79,442.97,536.24,214.74,236.62,178.53,203.44,37.85,68.06,10.29,36.76,10.03,2.32,47.26,17.38,46.97,15.09,8.74,7.29,5.32,2.47,7.47,15.74,8.26,9.47,7.29,15.74,0.29,632.21,50.94,181.21,275.65,180.62,23.74,632.06,15.18,6.88,355.76,13.5,4.38,13.12,7.35,439.88,2.03,0.03,0.0,9.91,11.91,1.94,0.12,0.24,0.0,44.5,9.47,12.76,1.47,4.0,2.47,0.26,0.24,0.18,0.06,0.0,1.47,3.41,8.59,16.74,3.56,7.44,11.0,0.68,1.06,22.24,20.47,111.62,26.38,40.47,16.21,0.06,52.5,0.11,42.58,82.61,90.75,87.76,55.61,52.58,45.32,0.0,61.75,39.7,6.18
Oxford United,26.7,46,1.07,0.92,9.74,3.24,0.0,0.0,16.33,1.8,298.46,406.07,122.57,142.67,134.87,162.54,34.13,80.43,6.98,19.72,4.04,1.33,22.43,10.22,22.11,16.61,9.67,7.98,7.0,1.63,8.39,15.41,7.02,11.85,8.98,32.39,0.37,525.7,74.74,211.26,225.0,94.35,14.65,525.7,13.91,5.39,250.39,6.72,2.65,14.54,7.8,295.8,1.76,0.0,0.0,10.37,10.48,1.7,0.0,0.09,0.04,37.39,18.13,18.17,1.41,4.48,3.07,0.28,0.09,0.04,0.04,0.0,1.62,6.13,19.26,30.91,4.28,9.65,17.61,0.83,1.11,36.3,22.35,54.76,18.13,22.67,18.07,0.04,43.6,0.16,49.94,73.5,85.91,82.98,42.43,56.4,38.75,0.13,68.53,31.83,4.71
PSV Eindhoven,26.2,34,2.91,2.44,19.76,7.74,0.06,0.12,36.76,5.44,573.15,675.62,250.03,275.62,254.24,284.62,55.24,84.0,16.21,54.32,16.71,4.09,65.79,28.0,65.18,15.88,10.29,6.12,6.65,3.12,8.12,14.85,6.74,9.56,7.15,17.71,0.35,786.44,56.97,190.12,362.12,240.85,41.44,786.32,18.68,9.0,457.35,18.09,9.26,14.44,8.41,566.85,1.0,0.03,0.0,8.32,7.76,1.26,0.06,0.06,0.0,49.76,14.88,11.18,1.15,3.0,1.85,0.26,0.06,0.06,0.0,0.0,1.07,4.15,8.76,33.68,3.74,5.26,9.09,0.59,1.44,26.06,22.85,158.97,42.21,71.5,18.41,0.0,67.5,0.19,57.1,84.83,90.72,89.33,65.76,59.91,48.18,-0.07,61.67,47.37,6.49
Pachuca,25.6,34,1.35,1.29,14.53,4.94,0.03,0.06,25.88,2.35,377.09,468.79,159.35,180.79,161.03,186.15,48.26,78.91,11.56,33.53,7.82,1.47,42.62,21.21,42.06,19.03,12.15,8.24,8.85,1.94,8.44,16.38,7.94,10.62,10.68,20.79,0.32,593.24,48.12,165.53,283.5,150.5,21.94,593.18,23.59,10.82,334.35,15.62,5.71,19.53,11.56,373.56,2.44,0.32,0.09,12.68,13.06,2.21,0.06,0.15,0.0,45.79,11.85,10.53,1.53,4.41,2.85,0.18,0.15,0.12,0.03,0.0,1.2,5.53,11.44,19.68,5.41,8.71,12.35,0.79,1.24,22.38,31.09,105.88,28.24,36.94,20.59,0.03,50.8,0.05,52.95,80.44,88.14,86.51,61.16,58.15,45.87,-0.28,64.63,48.34,6.4
Palermo,26.5,38,1.29,1.49,14.71,4.53,0.13,0.18,25.84,2.18,335.08,427.03,133.63,153.34,151.53,176.47,39.97,73.03,10.37,26.82,8.47,3.13,35.0,16.68,34.68,12.79,7.74,6.87,4.03,1.89,5.42,10.53,5.11,9.71,5.97,25.89,0.55,536.58,65.29,180.87,231.45,129.05,22.68,536.39,14.08,5.66,280.21,11.18,3.45,15.47,6.92,332.11,2.24,0.03,0.0,14.55,14.18,0.82,0.13,0.05,0.03,35.95,17.24,15.5,1.13,3.89,2.79,0.29,0.05,0.05,0.0,0.0,1.05,4.63,12.61,27.08,4.84,8.47,15.92,1.05,0.95,32.74,22.39,86.37,28.03,37.74,13.16,0.0,49.4,-0.13,52.66,78.47,87.15,85.87,54.73,56.43,40.2,-0.08,71.72,36.72,6.6
Palestino,29.2,6,1.0,1.1,12.17,4.67,0.0,0.0,19.17,1.17,244.33,346.67,104.0,124.83,98.67,123.83,37.17,77.5,7.33,19.17,4.33,2.0,21.17,10.0,21.17,16.5,10.33,5.67,8.67,2.17,8.0,21.33,13.33,14.83,8.67,20.5,0.5,457.0,63.83,167.17,202.83,92.83,16.83,457.0,15.17,8.5,218.17,7.67,2.5,15.83,8.83,241.67,3.17,0.17,0.17,11.17,7.67,2.33,0.0,0.33,0.33,47.67,9.5,15.33,1.83,6.0,4.33,0.17,0.33,0.17,0.17,0.0,1.85,7.0,19.0,19.5,1.33,11.5,14.83,1.17,0.83,24.83,24.67,52.33,20.33,25.67,18.33,0.17,39.7,-0.09,38.26,70.48,83.31,79.68,47.96,48.45,56.03,0.01,72.17,36.84,7.89
Palmeiras,26.6,46,1.63,1.7,16.91,5.5,0.22,0.24,29.7,2.65,363.72,463.72,150.26,172.78,159.83,186.54,45.22,81.43,12.24,35.0,8.63,2.76,44.24,17.65,43.74,17.7,10.78,7.8,7.96,1.93,8.43,17.91,9.48,9.67,8.39,17.61,0.2,575.22,49.07,158.91,272.91,149.72,22.28,574.98,19.46,8.57,308.98,13.11,3.87,14.63,8.2,359.65,2.28,0.11,0.02,13.57,12.83,2.11,0.17,0.04,0.02,42.48,15.83,15.07,0.91,3.91,3.02,0.39,0.04,0.02,0.0,0.02,1.05,3.87,12.43,23.33,4.65,6.87,11.43,0.96,0.8,30.89,22.83,105.63,32.35,37.54,19.22,0.02,53.89,-0.04,51.25,78.44,86.97,85.68,55.53,53.95,44.04,0.13,77.24,31.13,8.4
Peñarol,27.2,12,1.67,1.13,12.67,4.08,0.0,0.0,22.33,2.92,244.5,349.83,109.0,131.83,93.42,123.0,30.92,68.83,7.67,22.33,7.58,2.92,34.42,9.5,33.75,17.42,11.08,8.08,7.42,1.92,8.58,16.17,7.58,11.25,9.83,22.42,0.25,468.33,49.0,151.17,207.92,114.67,16.75,468.33,14.83,5.92,209.83,8.42,1.5,17.83,8.92,241.83,2.33,0.08,0.0,11.0,14.0,1.5,0.0,0.08,0.0,46.08,14.92,14.25,1.0,3.83,2.83,0.5,0.08,0.08,0.0,0.0,1.09,3.5,14.17,16.17,3.25,8.58,15.17,1.25,0.92,29.17,26.75,77.67,25.25,28.75,19.67,0.0,41.2,0.48,51.15,69.89,82.68,75.95,44.92,58.53,39.92,0.08,73.89,24.7,8.24
Philadelphia Union,26.3,34,1.82,1.76,15.21,5.26,0.12,0.15,26.94,2.91,342.59,443.12,146.35,168.76,143.26,170.94,46.82,82.82,11.97,30.85,8.85,2.53,37.0,13.38,36.68,17.68,10.56,8.21,6.79,2.68,8.59,15.91,7.32,12.09,10.03,18.41,0.15,548.62,52.24,170.94,240.88,141.59,22.85,548.47,9.85,4.24,293.09,10.12,3.47,12.44,5.74,339.29,1.88,0.03,0.0,11.0,10.18,2.03,0.09,0.06,0.06,45.59,15.09,13.44,1.62,4.79,3.24,0.24,0.06,0.06,0.0,0.0,1.64,4.41,11.79,18.47,3.97,7.65,13.47,0.53,0.74,28.53,18.18,87.06,29.85,37.71,19.15,0.0,46.9,0.03,52.89,77.31,86.72,83.81,56.53,57.01,43.05,0.01,67.64,37.4,3.93
