Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
Juve Stabia,24.4,38,1.05,1.07,10.32,3.37,0.05,0.05,17.74,1.84,308.16,414.05,124.61,147.05,139.87,168.08,34.68,74.68,7.89,23.95,6.47,2.34,29.32,12.61,28.95,15.58,9.5,8.13,5.74,1.71,7.32,13.34,6.03,10.74,7.11,30.79,0.32,532.61,64.34,193.58,229.26,115.11,17.63,532.55,15.45,6.53,271.89,9.79,2.58,16.29,8.08,302.05,2.53,0.13,0.03,18.21,15.95,1.87,0.03,0.18,0.0,34.45,19.03,23.47,1.08,3.89,2.79,0.32,0.18,0.13,0.03,0.03,1.23,5.74,19.03,30.82,3.76,7.0,15.03,1.66,0.71,42.5,24.37,70.87,19.58,29.03,16.82,0.05,52.5,-0.02,44.78,74.43,84.74,83.22,46.44,58.16,42.27,0.12,71.72,30.16,11.04
Juventude,28.1,38,1.26,1.13,12.92,4.5,0.0,0.03,22.42,2.18,330.71,425.13,129.29,150.13,153.39,179.55,41.16,72.5,9.79,25.0,6.05,2.32,32.37,12.84,32.0,18.13,10.76,8.11,8.0,2.03,8.37,17.08,8.71,11.03,9.18,20.03,0.34,533.61,66.92,197.37,232.34,109.55,16.42,533.58,14.55,6.82,282.76,9.16,2.08,13.26,8.21,327.68,2.97,0.34,0.24,12.32,13.29,1.34,0.03,0.29,0.03,41.95,14.61,14.82,1.55,4.97,3.39,0.16,0.29,0.24,0.05,0.0,1.62,3.84,10.92,25.74,4.13,7.55,15.18,1.21,1.08,29.42,21.47,77.21,24.61,26.87,19.13,0.05,47.1,0.12,49.66,77.79,86.12,85.43,56.77,54.33,46.87,0.04,68.21,35.16,7.97
Kortrijk,25.0,30,0.9,1.12,11.3,3.4,0.03,0.03,19.7,1.57,294.2,406.13,113.23,142.07,129.57,163.73,40.2,77.6,8.07,31.3,7.1,2.07,37.63,14.83,36.93,18.13,10.7,8.53,6.8,2.8,8.47,16.77,8.3,13.23,8.4,27.47,0.4,527.27,56.17,153.2,240.8,139.6,19.93,527.23,18.23,8.67,315.13,12.13,4.03,16.23,10.97,290.87,2.3,0.13,0.1,10.43,9.97,1.27,0.0,0.07,0.1,39.47,19.17,19.07,1.83,4.7,2.97,0.1,0.07,0.07,0.0,0.0,1.9,5.8,14.67,20.27,5.27,7.67,15.1,1.07,0.97,38.23,27.2,89.4,21.27,33.13,19.17,0.0,43.0,-0.2,50.14,72.44,79.7,79.14,51.8,54.93,47.56,0.04,63.19,39.54,7.09
LA Galaxy,27.4,34,2.0,1.88,14.38,5.74,0.12,0.24,26.0,3.47,551.29,633.09,273.09,294.03,219.41,240.44,39.85,63.76,11.15,39.88,10.06,1.06,48.21,20.59,47.97,14.26,8.59,7.5,4.97,1.79,6.85,14.12,7.26,10.82,8.74,20.24,0.47,736.65,68.09,226.12,334.29,182.44,25.41,736.41,18.59,8.71,448.26,15.68,6.35,13.24,8.24,547.85,1.79,0.09,0.03,9.38,12.26,1.5,0.15,0.15,0.03,41.94,7.71,8.32,1.47,5.24,3.76,0.21,0.15,0.12,0.03,0.0,1.55,2.68,9.88,21.03,4.62,8.5,14.65,0.65,0.35,16.03,21.47,116.76,29.47,42.88,15.44,0.03,56.7,0.06,48.1,87.08,92.88,91.25,62.5,54.4,46.85,0.05,71.76,27.13,4.44
LAFC,28.8,34,1.82,1.74,15.74,5.71,0.21,0.24,26.79,3.29,387.03,475.29,156.59,175.59,184.94,209.0,39.32,70.68,11.59,31.74,8.56,1.59,40.12,19.03,39.53,17.79,11.09,9.47,5.71,2.62,9.06,18.15,9.09,10.88,11.41,19.53,0.26,590.09,61.18,198.5,255.21,142.62,24.74,589.85,22.18,9.56,333.21,12.82,6.18,14.47,8.0,383.74,2.18,0.15,0.09,13.24,10.74,1.65,0.21,0.09,0.09,44.68,11.53,10.26,1.26,4.03,2.82,0.35,0.09,0.03,0.03,0.03,1.2,4.97,13.18,25.41,3.74,7.76,14.03,0.85,0.76,21.79,22.47,98.68,30.09,41.06,20.15,0.06,46.8,0.05,52.91,81.43,89.18,88.49,55.63,56.07,43.1,-0.05,69.98,37.71,6.06
LDU de Quito,29.0,6,1.0,1.32,16.17,4.17,0.17,0.17,28.0,1.17,323.0,422.67,136.83,154.17,131.33,159.83,48.17,84.5,12.5,30.0,9.5,4.17,35.5,15.5,35.5,12.33,7.83,3.67,6.67,2.0,5.67,13.0,7.33,11.33,7.33,11.83,0.5,520.5,40.67,133.67,249.83,142.33,22.17,520.33,17.17,7.67,248.5,13.0,2.17,17.0,7.5,320.0,2.17,0.0,0.0,10.83,8.67,2.17,0.17,0.33,0.0,41.83,14.5,13.33,1.0,3.0,2.0,0.33,0.33,0.17,0.0,0.17,1.07,4.5,8.83,13.5,3.67,9.0,7.17,0.5,0.33,27.83,24.5,86.5,29.17,38.0,13.5,0.17,52.2,-0.24,52.1,76.42,88.75,82.17,57.01,53.3,44.67,0.07,66.67,50.96,6.97
Lanús,28.6,27,1.04,1.09,12.52,4.15,0.04,0.04,21.67,1.74,326.19,434.07,138.11,164.63,138.89,168.48,41.37,76.7,8.96,27.41,5.89,2.37,35.33,13.15,35.07,17.07,10.44,7.78,7.48,1.81,9.22,16.81,7.59,11.93,11.56,23.93,0.3,555.81,56.48,177.96,261.85,121.67,16.63,555.78,19.3,9.3,265.85,10.3,2.96,18.04,10.19,322.85,1.93,0.22,0.04,10.93,11.63,1.56,0.04,0.11,0.04,44.04,17.56,15.85,1.15,4.33,3.19,0.33,0.11,0.07,0.04,0.0,1.26,5.19,14.22,22.22,4.85,9.0,15.52,0.7,0.96,33.41,28.22,83.56,23.41,27.85,19.67,0.04,50.0,-0.05,52.56,75.15,83.89,82.44,53.94,58.03,48.19,0.09,73.67,36.5,4.51
Leeds United,25.4,46,1.98,1.94,16.41,5.41,0.07,0.09,28.89,3.35,496.28,592.78,234.0,258.48,218.85,246.65,31.65,58.78,12.22,39.98,10.57,1.76,48.61,21.02,48.11,14.89,8.93,5.72,6.3,2.87,7.22,13.85,6.63,8.24,7.5,19.76,0.24,700.65,46.74,190.8,337.04,178.22,28.87,700.57,16.63,7.5,413.89,14.3,5.89,13.76,10.0,492.26,1.52,0.0,0.0,10.26,12.11,2.26,0.09,0.09,0.09,39.17,14.48,14.93,0.65,2.15,1.57,0.54,0.09,0.07,0.02,0.0,0.57,2.11,8.24,28.89,4.37,4.8,9.0,0.85,0.89,29.41,23.76,117.74,32.24,47.09,16.15,0.02,61.3,0.02,49.23,83.72,90.53,88.73,53.84,56.19,45.1,-0.14,73.02,25.61,9.44
León,28.5,34,1.32,1.16,11.97,4.15,0.09,0.18,21.21,2.41,353.65,445.74,137.0,156.15,158.76,182.94,50.15,85.65,9.21,30.97,6.32,2.21,32.68,14.09,32.32,18.18,11.03,9.59,7.12,1.47,9.41,17.91,8.5,9.88,8.26,20.5,0.41,553.06,63.03,187.53,254.0,117.29,16.53,552.88,13.97,6.5,297.88,10.76,3.32,15.74,8.47,349.59,2.26,0.24,0.09,12.24,10.15,2.21,0.15,0.12,0.06,38.88,11.65,10.62,1.29,5.0,3.76,0.24,0.12,0.09,0.0,0.03,1.35,5.03,12.65,25.26,4.85,10.06,13.53,0.56,0.74,22.26,24.21,79.09,23.62,28.38,20.44,0.03,49.2,0.14,52.34,79.34,87.74,86.78,58.55,56.64,46.53,0.04,75.2,39.76,4.14
Libertad,30.3,6,1.17,1.15,11.5,2.5,0.0,0.17,20.0,2.17,410.33,517.83,192.5,219.83,160.33,189.83,44.5,77.5,8.83,32.5,8.33,3.33,37.5,13.5,36.83,17.33,9.17,8.83,6.83,1.67,8.0,17.0,9.0,9.67,9.5,21.17,0.0,630.83,61.33,196.0,305.17,135.0,18.67,630.67,14.83,7.5,320.0,12.5,1.5,16.67,10.0,406.5,2.5,0.0,0.0,11.5,9.5,1.83,0.0,0.0,0.0,48.33,19.17,17.67,1.33,4.67,3.33,0.17,0.0,0.0,0.0,0.0,1.55,6.33,13.33,24.67,2.83,9.67,12.67,0.17,0.67,36.83,26.67,87.83,22.17,31.83,17.17,0.0,52.2,0.02,52.05,79.24,87.57,84.46,57.42,50.01,50.57,0.14,71.31,47.49,1.34
