Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Atalanta,1080,"Champions League, Serie A",95.24,97.62,89.29,82.74,94.05,93.75,66.37,80.95,89.88,95.24,90.18,83.93,94.05,97.62,92.26,94.05,95.24,85.12,86.9,94.05,53.87,66.96,41.67,37.5,86.31,33.93,47.62,86.9,86.31,85.12,85.12,67.26,34.52,84.52,72.02,89.88,98.21,91.67,93.45,98.21,94.05,71.13,70.24,64.88,7.74,8.93,6.55,37.2,53.27,17.86,20.24,75.6,18.15,14.88,8.93,5.95,62.8,79.17,47.02,36.9,36.31,85.71,94.05,85.12,1.19,14.58,76.19,95.24,90.48,85.12,76.19,71.73,62.2,26.79,39.88,83.93,83.63,39.88,70.24,66.67,55.95,11.01,92.86,20.83,94.05,57.14,94.64,37.5,39.29,24.4,64.29,58.33,63.69,70.83,95.83,10.71,85.71,82.14
Athletic Club,1104,"Europa League, La Liga",65.18,82.74,64.88,52.98,56.25,59.23,33.93,39.58,65.48,66.07,71.43,81.55,50.6,82.74,91.07,47.32,60.12,51.19,52.98,80.36,34.52,76.79,47.02,80.36,52.38,72.92,52.08,42.26,43.45,67.26,69.64,72.62,80.36,61.9,60.12,48.21,73.21,55.36,61.9,67.26,68.45,92.26,85.12,94.64,35.12,34.52,11.9,80.95,35.12,51.19,42.86,62.2,44.05,10.12,1.79,36.9,64.88,85.12,28.57,8.63,14.29,51.19,80.36,54.76,2.38,7.14,71.43,70.24,50.0,54.76,69.94,60.71,20.83,35.71,76.19,59.23,47.32,77.98,60.12,40.18,63.1,3.57,97.02,5.36,96.73,66.07,92.86,55.95,50.6,18.45,33.93,45.24,34.52,64.29,86.31,65.48,70.24,69.05
Atlético Madrid,1080,"Champions League, La Liga",91.37,95.83,51.79,74.4,74.11,77.98,50.89,46.43,55.06,93.45,59.52,74.4,84.23,80.95,55.65,77.38,87.5,91.67,90.48,72.62,86.31,70.24,13.99,39.58,90.48,48.81,52.08,93.45,93.45,75.6,75.6,76.19,65.48,85.71,88.1,94.64,87.5,86.9,89.88,91.67,63.99,38.39,38.99,38.39,51.19,48.81,62.5,44.05,45.24,66.67,66.07,36.31,19.05,19.05,13.69,22.62,25.3,58.04,68.45,90.77,87.5,91.67,73.21,91.07,40.48,83.63,86.9,79.76,63.99,91.07,63.39,60.71,73.81,42.56,47.92,14.58,36.31,39.88,20.24,84.52,14.29,11.9,91.07,20.83,95.54,42.26,86.01,16.67,11.31,1.79,83.93,72.02,76.19,57.74,68.75,68.75,28.57,31.55
Augsburg,612,Bundesliga,31.55,45.54,43.45,28.57,23.21,26.19,23.21,19.94,45.83,35.12,45.54,42.26,48.81,66.96,48.81,55.06,27.08,32.14,30.95,45.24,24.4,8.93,8.04,46.43,30.95,63.1,33.93,31.55,32.14,36.9,37.5,47.62,44.05,33.93,47.62,35.71,20.83,17.86,17.26,38.69,17.26,35.71,27.98,55.06,3.57,10.12,4.76,29.46,23.51,12.5,5.95,94.05,77.98,74.4,55.95,84.52,67.86,52.08,5.95,52.08,13.39,32.14,45.24,35.71,53.57,13.69,40.48,55.36,45.24,35.71,29.76,25.0,83.04,48.81,44.94,43.15,33.33,25.89,79.17,32.14,75.6,53.27,41.67,56.55,43.75,46.43,76.19,88.39,79.46,55.36,25.3,40.77,83.93,88.69,13.99,27.08,72.92,65.48
Auxerre,612,Ligue 1,53.27,61.01,33.93,54.17,41.96,38.69,58.04,55.65,39.29,59.23,44.05,19.64,29.76,50.89,36.31,28.57,49.7,25.0,23.81,34.52,28.27,98.81,59.52,75.89,22.62,21.43,35.42,30.95,29.17,18.45,17.86,57.74,46.13,23.81,25.0,35.12,31.55,27.98,26.79,34.52,45.83,71.13,51.79,86.31,84.82,85.71,85.71,58.93,79.76,83.04,76.49,31.55,82.74,60.12,65.48,76.79,59.82,65.48,77.38,13.1,42.26,23.81,35.71,25.6,44.35,50.6,25.0,22.62,28.87,25.6,63.39,36.9,47.32,41.07,80.95,21.73,64.29,14.88,35.12,59.82,36.31,73.81,41.67,80.36,25.6,87.8,68.15,92.86,94.64,47.62,91.67,100.0,61.31,82.74,12.5,65.48,69.35,67.86
Barcelona,1104,"Champions League, La Liga",100.0,100.0,95.24,97.02,99.4,99.4,90.18,84.82,96.43,100.0,94.64,98.81,96.43,44.35,48.21,97.02,99.4,97.62,98.21,98.81,98.21,83.04,38.99,69.05,97.62,97.02,100.0,96.43,97.02,97.62,97.62,91.67,70.83,98.21,98.81,97.02,94.64,95.24,96.43,92.86,86.9,98.21,98.21,91.07,10.12,20.24,1.19,58.93,81.25,17.86,22.02,71.43,1.79,16.67,2.98,2.98,89.29,35.71,57.74,59.82,57.14,97.62,98.81,98.21,2.98,10.12,98.21,97.62,93.45,98.21,93.45,48.21,94.05,68.45,78.87,68.75,93.15,47.92,14.29,93.45,7.14,4.17,78.27,3.57,91.67,30.65,80.65,1.49,1.19,66.07,76.79,39.88,16.67,10.12,91.67,23.81,100.0,100.0
Bayern Munich,980,"Bundesliga, Champions League",99.4,98.81,98.81,99.4,100.0,98.81,98.51,97.32,99.4,99.4,99.4,100.0,100.0,63.69,84.52,100.0,98.21,99.4,99.4,100.0,99.4,92.86,16.67,41.96,99.4,59.52,30.95,100.0,100.0,99.4,98.81,88.69,58.33,99.4,100.0,100.0,98.81,98.81,98.81,98.81,97.02,97.62,95.83,97.62,30.65,31.55,1.79,67.26,95.83,45.24,31.85,72.62,20.24,22.92,2.38,0.6,21.13,89.29,55.06,60.71,55.36,99.4,100.0,99.4,1.79,6.55,100.0,99.4,100.0,99.4,92.86,79.76,96.13,16.67,50.3,74.7,93.15,77.98,36.31,88.1,19.35,1.19,87.5,1.19,96.73,19.94,90.48,44.64,18.45,93.45,35.12,20.24,1.79,1.79,99.4,2.98,97.62,98.81
Başakşehir,216,Europa Conference League,61.9,2.08,65.77,61.31,72.92,80.06,84.82,69.94,60.71,44.64,67.26,23.21,60.71,79.76,55.65,58.63,45.24,52.98,56.55,43.45,46.43,39.88,2.08,57.74,53.57,89.29,86.9,45.83,48.81,53.57,51.79,86.31,77.98,54.17,35.12,55.95,54.76,47.62,35.12,66.67,61.61,66.96,50.89,85.71,47.32,33.93,42.56,43.15,74.11,6.55,4.76,93.45,89.29,71.73,92.26,64.29,94.64,79.76,17.26,55.06,27.98,48.81,40.18,60.71,42.86,33.33,79.76,46.13,66.37,60.71,5.36,90.18,57.74,91.07,68.15,94.64,9.23,77.98,81.55,25.6,78.57,90.48,16.96,89.29,8.33,84.23,3.57,61.31,75.6,73.81,8.33,9.52,23.21,27.38,67.86,75.3,93.45,96.43
Benfica,352,Champions League,82.14,48.81,69.35,86.31,95.24,90.18,99.4,97.32,72.62,85.12,69.64,42.86,61.9,57.14,20.83,65.18,75.89,43.45,43.45,27.68,92.86,88.69,11.9,1.19,41.67,72.92,11.31,46.43,45.24,32.14,26.79,94.05,93.45,48.81,66.67,65.48,65.48,50.6,49.4,47.62,66.96,25.0,17.86,44.94,97.62,87.5,98.81,80.36,33.93,96.43,98.81,1.19,96.43,80.36,43.75,55.65,78.27,76.19,55.95,26.19,35.71,44.64,28.57,45.24,82.74,92.26,33.33,32.14,68.45,45.24,24.4,90.18,85.71,7.14,1.79,25.3,98.81,77.98,69.35,68.45,54.17,71.73,35.71,74.11,82.74,6.85,83.93,4.76,15.48,15.48,90.48,84.52,42.26,33.33,27.68,30.65,21.13,19.64
Betis,1066,"Europa Conference League, La Liga",57.44,55.65,86.31,76.79,59.82,59.23,66.37,78.57,85.71,58.33,85.71,66.67,73.21,60.71,46.43,49.11,58.04,77.98,75.3,67.26,59.23,92.86,24.4,79.17,74.4,85.71,94.05,83.33,83.33,63.1,61.31,63.39,53.57,69.05,65.48,79.76,72.62,78.57,77.98,84.52,88.69,84.52,83.63,76.79,59.52,61.9,26.19,72.92,79.17,70.24,57.44,57.14,68.45,29.76,21.43,40.48,77.38,74.11,11.61,22.02,10.12,77.98,66.07,79.76,16.67,48.81,72.62,80.36,74.4,79.76,67.56,48.21,47.32,90.18,71.43,68.75,83.63,54.76,42.26,58.93,42.86,9.52,80.95,7.74,80.36,57.14,48.21,16.07,21.43,37.5,55.95,48.21,47.02,34.52,74.7,50.89,62.2,63.1
