Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Beşiktaş,288,Europa League,47.62,54.17,56.85,63.39,77.38,61.31,58.04,98.81,68.45,55.06,58.63,64.88,34.52,2.68,9.52,60.42,37.2,73.81,71.43,44.05,98.81,56.25,54.46,83.33,75.6,6.55,44.05,71.13,70.83,73.81,74.4,71.13,58.93,75.0,60.71,70.83,69.35,64.88,67.26,87.5,53.27,72.62,92.86,25.0,86.31,78.27,91.67,45.24,86.31,86.01,61.9,62.2,92.26,86.31,89.29,41.07,35.12,91.07,19.35,5.95,9.52,73.81,44.64,73.21,88.69,89.29,64.88,51.79,41.07,73.21,1.19,90.18,72.92,19.05,88.39,52.38,64.29,77.98,22.32,85.12,14.88,91.07,19.05,93.15,6.55,94.05,14.88,21.43,44.05,31.55,99.4,99.4,85.12,58.93,54.76,60.12,4.76,4.76
Bochum,612,Bundesliga,21.73,33.63,60.42,44.05,41.07,44.35,23.21,27.08,52.68,22.32,52.98,30.36,41.37,64.88,83.93,69.64,47.02,13.69,19.64,35.71,47.02,4.17,6.55,32.14,18.45,35.12,2.38,4.76,5.95,22.62,29.76,61.31,80.95,17.26,31.55,15.48,7.14,7.14,4.76,11.31,10.12,3.57,2.98,21.43,63.1,59.52,79.76,33.63,48.51,75.3,61.31,45.24,46.73,93.45,80.95,70.83,41.07,48.51,30.06,94.64,63.99,11.9,34.82,25.0,39.88,16.07,30.95,35.71,46.43,25.0,54.46,60.71,13.1,2.38,34.52,43.15,43.45,77.98,99.4,4.17,98.81,49.4,16.96,16.67,22.32,17.86,32.14,100.0,99.4,64.88,6.55,18.45,92.26,96.43,52.38,17.56,83.93,80.95
Bodø/Glimt,376,Europa League,79.46,94.94,58.33,66.67,77.38,80.06,72.02,49.7,59.52,82.14,63.69,44.05,85.71,5.36,7.74,88.1,86.61,83.33,82.14,74.4,69.64,54.46,28.57,10.12,82.74,36.31,16.07,82.74,82.14,79.17,76.19,32.74,8.33,74.4,39.29,91.07,82.74,95.83,97.02,76.79,91.67,95.83,94.64,95.83,92.86,91.37,92.26,76.19,61.31,72.02,87.5,10.12,67.86,82.14,91.07,69.94,86.61,73.21,69.64,14.29,38.69,83.33,75.0,83.33,91.07,91.67,77.38,66.67,91.07,83.33,91.96,21.13,98.21,14.88,13.99,63.99,24.11,39.88,11.31,86.9,8.33,79.17,51.19,88.69,27.98,91.07,23.81,63.1,60.71,96.43,82.74,80.95,47.62,47.62,19.05,62.2,86.31,80.36
Bologna,1048,"Champions League, Serie A",44.94,57.44,63.69,48.81,39.88,38.1,50.89,46.43,64.29,48.81,60.71,70.83,49.4,85.12,77.38,33.63,42.56,56.55,58.33,58.93,31.25,89.29,49.4,17.26,54.17,97.62,98.81,41.67,39.88,69.64,72.62,94.64,96.43,72.02,55.95,63.69,59.52,61.9,54.76,39.88,58.93,14.88,13.1,13.39,48.81,43.45,14.88,77.98,77.98,41.07,37.5,63.69,8.33,40.77,14.58,8.33,76.19,37.5,26.19,32.74,23.81,54.76,58.93,53.57,4.76,13.1,63.69,66.07,55.36,53.57,45.24,56.55,10.12,98.81,18.15,59.23,54.17,39.88,69.35,22.62,73.81,5.95,75.3,4.46,81.85,49.11,76.19,43.45,37.5,89.29,67.56,51.79,10.12,14.88,96.43,48.51,47.32,38.69
Borac Banja Luka,280,Europa Conference League,9.52,3.57,18.45,34.52,1.79,2.08,33.93,32.14,25.0,13.69,5.36,44.64,10.12,60.71,89.88,17.56,1.79,35.71,37.5,39.29,22.32,37.5,5.06,21.43,33.93,100.0,91.67,24.4,28.57,43.45,50.0,68.15,67.26,40.48,53.57,45.24,44.05,30.36,33.93,25.0,15.48,16.07,15.77,29.46,64.88,84.82,17.86,95.83,19.64,85.12,63.69,53.87,33.33,82.74,88.1,59.52,97.62,24.7,7.14,8.63,3.57,37.5,38.1,36.9,25.6,34.52,41.67,47.62,14.88,36.9,29.76,90.18,60.71,86.9,28.87,78.27,33.33,77.98,33.04,27.08,58.33,26.79,88.1,39.58,45.83,95.83,87.2,38.1,20.83,4.17,97.62,88.69,81.55,76.79,61.31,58.63,30.65,33.93
Bournemouth,760,Premier League,61.9,71.43,90.48,81.55,79.17,77.98,82.44,75.6,89.29,57.14,87.5,72.62,71.43,91.67,93.45,56.25,73.81,35.12,36.9,63.69,66.67,35.42,65.48,36.01,37.5,27.98,13.69,36.9,36.31,30.95,32.14,51.19,87.5,32.74,39.88,44.64,83.33,65.48,73.81,77.38,86.31,63.69,57.14,44.94,71.43,56.25,35.71,87.5,75.3,37.8,57.44,27.98,58.63,69.05,57.14,71.43,59.82,88.69,21.43,38.39,24.7,35.12,63.69,40.48,27.38,8.93,38.69,76.79,83.33,40.48,17.56,65.18,11.9,33.33,35.42,83.93,86.01,77.98,75.0,17.26,82.14,50.89,75.3,66.37,47.92,85.71,48.21,57.14,45.83,27.38,55.06,57.74,71.13,60.12,73.21,32.44,87.5,86.9
Braga,288,Europa League,26.79,18.45,65.77,75.0,68.75,71.73,58.04,39.58,60.12,8.93,67.86,68.45,59.52,10.12,32.14,46.13,84.82,72.32,81.55,64.88,28.27,97.02,8.93,97.62,79.17,94.64,93.45,57.14,59.52,78.57,84.52,92.86,97.62,80.95,84.52,80.36,57.74,63.69,54.17,56.55,62.5,85.71,90.77,83.04,95.24,83.33,79.17,92.26,88.1,86.01,84.82,23.21,78.87,51.49,54.46,47.02,76.19,68.15,51.79,33.93,38.1,75.6,64.88,80.95,29.76,86.9,81.55,52.98,60.12,80.95,43.15,0.6,59.82,71.43,96.43,94.64,9.23,77.98,44.64,33.93,61.9,63.99,41.67,69.64,64.58,24.11,54.17,25.3,30.95,65.48,25.3,25.0,58.04,25.6,28.57,42.86,98.81,98.21
Brentford,760,Premier League,79.46,73.81,39.29,71.13,70.54,72.62,66.37,63.69,42.86,77.38,43.45,51.19,66.67,75.89,58.33,63.69,70.54,33.93,31.55,52.98,74.4,21.73,80.95,63.39,35.12,10.12,2.98,41.07,41.67,29.17,28.57,37.5,36.31,32.14,28.57,28.57,48.21,38.1,45.24,28.27,81.55,41.96,35.42,38.39,42.56,39.29,31.25,26.19,90.18,52.38,38.99,66.37,15.77,79.17,96.43,73.81,32.44,61.31,52.38,71.43,65.77,32.74,51.79,32.14,96.13,70.24,10.12,58.93,82.14,32.14,84.52,76.79,98.81,8.33,53.27,88.39,80.36,19.64,88.1,25.0,84.52,80.36,41.67,90.18,56.85,30.65,39.88,94.64,90.18,97.62,19.35,35.12,58.04,80.36,21.73,89.29,42.86,32.14
Brest,932,"Champions League, Ligue 1",52.08,39.88,52.38,59.52,48.51,42.26,72.02,69.94,55.06,50.0,53.87,45.83,23.81,52.98,65.48,41.67,38.99,40.48,41.07,23.51,32.74,92.86,76.19,81.85,40.48,45.24,76.79,38.1,37.5,42.86,43.45,88.1,92.26,50.6,44.05,30.36,26.79,36.9,33.33,24.4,27.38,26.79,29.76,27.98,81.55,88.39,51.19,77.38,95.24,78.57,80.36,21.73,74.4,40.77,39.58,51.19,47.62,72.62,58.33,75.0,73.51,41.07,23.81,39.29,38.99,43.45,47.02,39.29,27.98,39.29,56.25,65.18,37.5,76.19,85.12,21.73,47.32,19.64,79.76,32.74,74.4,46.43,23.81,32.74,37.8,17.86,61.31,95.24,83.63,41.07,51.19,74.4,53.57,69.64,52.98,82.74,88.39,88.1
Brighton,760,Premier League,77.08,67.86,78.57,75.6,68.75,66.67,86.31,75.6,76.19,78.57,68.75,66.07,70.83,69.94,73.21,63.69,65.77,66.67,63.69,68.45,79.76,30.65,67.86,92.26,64.29,65.48,63.69,77.98,76.19,54.76,56.55,46.73,36.9,62.5,51.79,72.02,93.45,84.52,91.07,88.1,92.26,91.67,81.55,93.45,77.38,77.38,33.63,86.31,90.18,80.36,86.01,15.77,36.61,60.12,40.48,18.45,32.44,52.08,32.74,43.15,32.14,64.88,68.45,68.45,60.71,46.43,59.52,77.98,86.9,68.45,58.93,43.45,52.68,46.13,89.88,14.58,80.36,33.33,60.71,63.69,47.62,23.81,35.71,13.99,63.1,17.86,39.88,28.57,32.14,84.52,19.35,10.71,0.6,5.36,80.36,45.54,74.7,72.62
Cagliari,760,Serie A,26.79,50.0,35.12,17.86,30.06,35.71,39.58,24.4,36.31,37.5,30.65,24.4,29.17,72.62,83.33,31.85,38.99,20.24,23.21,21.43,11.31,16.37,48.51,48.81,19.05,47.32,42.86,25.6,26.19,23.21,23.21,14.29,25.6,16.67,32.14,24.4,21.43,18.45,16.67,15.48,22.02,15.48,11.61,24.4,5.36,4.17,19.05,27.38,5.95,5.36,1.19,97.02,9.82,9.23,52.08,44.64,73.51,27.38,30.95,77.38,49.4,20.83,22.32,16.67,45.83,52.98,14.88,18.45,22.62,16.67,73.51,33.33,19.94,32.14,47.92,37.8,27.68,77.98,85.12,19.94,85.71,29.46,46.73,20.83,45.83,49.11,39.88,86.31,73.21,36.31,63.1,75.0,93.45,85.12,42.86,41.07,47.32,47.62
Celta Vigo,760,La Liga,65.18,67.86,42.86,64.58,57.74,52.68,88.1,84.82,46.73,61.01,49.7,89.88,58.93,18.45,16.67,52.68,60.12,89.29,89.29,85.12,91.07,95.83,26.49,36.01,89.29,71.73,75.6,79.17,76.79,94.64,94.64,84.52,81.85,93.45,95.24,84.52,75.89,83.93,83.33,69.05,83.93,44.05,27.08,53.57,9.52,13.99,16.07,22.32,38.39,28.57,33.93,50.89,14.29,10.71,10.12,29.17,22.32,20.24,45.83,75.89,62.5,91.07,85.12,87.5,24.4,67.86,91.67,68.45,58.33,87.5,36.31,18.75,38.69,59.52,41.07,59.23,80.36,33.33,13.1,74.11,15.48,21.73,41.67,12.2,71.73,16.07,39.88,2.98,3.57,9.52,96.73,70.83,76.79,52.98,60.12,37.2,72.92,69.64
Celtic,320,Champions League,58.93,69.94,16.07,44.05,61.31,59.23,50.89,82.44,23.81,71.43,27.38,80.06,36.9,1.19,23.21,66.67,60.12,86.9,85.12,47.02,90.48,2.38,65.48,25.89,85.12,48.21,23.81,82.14,79.17,95.24,95.83,21.43,14.29,91.67,88.69,83.33,42.86,69.05,75.0,36.9,49.4,19.05,33.93,29.46,91.37,53.87,73.81,76.79,97.62,94.05,75.0,63.1,61.31,50.0,36.01,43.45,11.31,7.14,88.99,90.77,94.64,87.5,47.62,86.31,81.55,96.43,82.14,52.38,33.93,86.31,99.4,52.98,94.64,4.17,24.7,17.86,90.77,10.12,18.45,90.48,10.12,76.19,25.0,79.17,22.32,61.9,80.65,7.14,1.79,70.24,54.17,21.13,67.26,25.0,29.17,1.79,19.64,16.67
Cercle Brugge,248,Europa Conference League,96.73,30.36,75.6,94.64,77.38,77.98,77.38,55.65,67.26,98.81,77.98,38.69,63.1,48.21,44.94,76.79,86.61,1.79,2.98,39.88,51.49,1.79,97.02,49.7,2.98,40.77,3.57,1.79,4.17,1.79,3.57,10.12,43.45,1.79,4.76,0.6,4.17,0.6,0.6,6.55,37.5,83.33,64.88,88.69,87.5,97.62,20.83,98.81,69.05,87.5,83.93,25.0,98.81,98.81,61.9,83.93,99.11,87.8,3.57,19.05,5.36,1.19,38.69,6.55,14.29,1.79,13.69,61.9,76.79,6.55,73.51,2.68,27.38,50.6,53.27,3.57,75.6,77.98,98.81,0.0,99.4,23.21,75.3,28.27,64.58,72.92,83.93,95.83,100.0,8.93,0.6,1.19,71.13,94.64,73.81,20.83,68.15,85.71
Chelsea,1034,"Europa Conference League, Premier League",97.62,94.94,94.64,96.43,95.83,95.83,77.38,69.94,93.45,94.64,95.24,91.67,87.5,49.11,41.67,79.76,95.83,94.64,94.64,87.5,87.8,52.08,70.24,67.26,94.64,38.69,61.9,92.86,92.86,95.83,95.24,74.4,55.36,94.64,92.86,89.29,96.43,89.29,92.86,80.65,98.21,94.05,86.31,86.9,6.55,20.83,4.17,22.32,84.52,11.31,12.5,81.55,7.14,16.07,19.35,7.74,25.3,40.48,94.05,78.57,95.24,94.64,86.31,93.45,33.93,57.14,92.86,91.07,95.24,93.45,41.07,43.45,69.05,46.13,61.9,78.27,72.32,77.98,12.5,94.05,5.95,38.39,89.29,56.55,80.36,79.17,73.51,6.25,23.21,88.69,98.21,86.9,1.19,0.6,86.9,89.29,76.79,70.83
Club Brugge,352,Champions League,13.1,15.48,27.98,38.69,19.94,17.86,77.38,55.65,32.14,13.1,42.86,43.45,12.8,8.93,3.57,35.42,18.45,62.5,54.76,20.83,83.33,94.64,97.62,90.48,58.33,4.17,9.52,52.98,49.4,80.95,75.0,75.0,62.5,77.98,66.07,26.19,12.5,14.29,13.1,4.17,35.71,0.6,0.6,1.79,27.08,23.81,66.67,14.29,22.02,75.3,66.67,39.29,27.98,3.57,18.45,28.57,29.46,16.07,98.81,99.4,99.4,62.5,21.43,41.07,73.21,87.5,44.64,13.1,13.1,41.07,86.9,36.9,97.62,1.79,92.86,26.19,27.68,5.36,3.57,96.43,3.57,20.24,44.64,15.18,74.7,13.99,73.51,54.17,25.0,63.69,16.67,10.12,27.98,16.67,72.62,75.3,25.3,23.21
Como,760,Serie A,41.96,66.37,74.11,73.81,37.8,42.26,11.01,15.18,73.81,46.73,78.57,61.9,51.19,25.6,29.46,35.42,55.36,68.45,66.07,55.95,56.85,53.27,32.44,36.01,63.1,95.24,95.24,80.95,75.6,55.36,52.38,34.52,28.57,60.71,58.33,75.0,64.88,67.86,63.69,60.12,74.7,37.5,35.42,33.63,60.71,68.45,44.05,60.71,75.3,39.88,38.99,58.33,11.9,12.2,10.12,23.21,73.51,30.36,33.93,32.14,28.57,69.64,56.55,62.5,25.0,55.95,62.5,60.12,49.4,62.5,29.76,18.75,19.05,93.45,47.92,37.8,20.83,77.98,41.07,51.79,44.05,19.35,56.85,15.18,83.63,19.94,32.14,40.48,33.93,75.6,61.01,50.0,2.38,1.19,80.95,45.54,89.58,89.29
Crystal Palace,760,Premier League,49.11,63.39,70.24,73.21,71.73,75.3,39.58,32.14,66.67,53.57,68.75,20.24,45.83,37.2,35.71,57.14,83.33,19.64,24.4,23.51,75.6,14.29,72.92,20.54,25.6,11.9,23.21,21.43,22.62,20.24,23.81,19.64,40.48,18.45,27.98,17.86,22.32,13.1,13.69,19.05,31.25,6.55,6.55,7.74,88.69,83.93,86.9,86.9,63.99,58.33,60.71,35.71,51.19,83.33,70.24,85.12,53.57,77.38,83.04,46.73,75.0,17.86,23.21,27.38,74.4,64.29,19.05,25.6,51.19,27.38,49.7,28.57,67.26,41.67,25.6,83.93,54.17,19.64,58.04,14.29,76.19,25.6,62.8,29.17,64.58,51.79,68.15,47.62,73.81,22.02,11.31,27.98,80.36,78.57,35.71,48.51,57.74,61.31
Dinamo Minsk,216,Europa Conference League,7.44,2.08,37.5,16.37,18.15,15.48,84.82,69.94,29.17,10.12,32.74,23.81,43.45,71.73,97.02,14.88,13.1,8.93,14.88,38.1,12.5,39.88,83.63,57.74,15.48,22.02,5.06,6.55,11.9,13.1,16.07,42.86,83.33,14.29,10.71,5.95,41.07,11.9,12.5,28.27,5.95,66.96,75.6,71.73,39.88,67.26,26.79,12.2,97.02,15.77,6.55,95.24,98.21,23.81,7.74,35.71,27.38,17.86,63.1,30.65,41.67,10.71,40.18,13.69,5.36,7.74,20.83,36.31,32.14,13.69,14.88,31.25,0.0,10.42,51.49,0.0,83.63,3.27,91.07,1.49,94.64,71.73,11.01,30.06,18.15,11.9,27.68,94.05,72.32,79.17,89.29,89.88,72.92,84.52,83.33,52.98,96.43,94.64
Dinamo Zagreb,288,Champions League,61.9,84.23,12.8,16.37,7.74,14.29,11.01,5.95,14.88,75.89,17.56,5.36,23.81,20.83,17.26,20.83,11.61,7.74,6.55,5.06,28.27,56.25,34.82,46.43,5.95,4.76,8.63,11.9,8.93,10.71,7.74,5.36,7.74,7.74,5.36,9.52,38.1,23.21,19.05,53.27,22.92,52.98,78.57,19.94,88.1,89.29,98.21,26.79,23.51,95.83,97.02,7.74,86.9,73.51,82.74,87.8,76.19,35.12,19.35,10.71,11.31,7.74,4.76,5.36,92.26,59.52,3.57,7.74,13.69,5.36,34.23,90.18,77.38,24.4,32.14,0.6,9.23,77.98,16.67,69.05,19.35,88.1,5.06,69.64,3.87,59.52,54.17,76.19,76.79,25.0,4.17,2.98,94.35,89.29,11.61,8.04,7.74,5.95
Djurgården,272,Europa Conference League,82.14,76.19,57.74,83.63,34.23,40.18,23.21,12.2,47.62,89.29,48.81,56.25,28.57,3.57,14.88,61.9,51.19,54.76,57.14,61.31,59.23,15.18,92.86,7.74,55.95,39.29,79.76,66.67,71.43,44.05,41.67,10.71,22.62,45.24,57.74,60.71,41.96,57.74,50.6,72.02,63.1,54.17,68.75,53.57,22.62,13.1,12.5,84.52,10.12,56.55,33.33,77.38,52.98,49.11,58.33,66.07,83.33,84.52,34.52,20.24,22.62,55.95,60.12,56.55,31.85,27.98,68.45,54.76,50.6,56.55,7.74,43.45,10.71,91.96,13.1,94.64,9.23,25.89,24.4,61.61,25.6,0.6,86.31,0.6,98.81,8.33,35.42,18.45,40.18,8.33,7.44,8.93,80.95,80.95,40.48,20.83,86.9,88.69
Dortmund,980,"Bundesliga, Champions League",98.21,97.02,76.79,77.38,89.29,85.71,97.62,95.54,79.76,97.62,82.74,92.86,83.04,87.2,79.46,93.45,91.67,92.86,91.67,86.31,76.79,75.3,45.24,64.29,91.67,79.17,50.0,92.26,91.07,89.88,89.88,79.76,76.19,92.86,91.67,90.48,85.71,85.71,84.52,85.71,89.88,92.86,93.45,82.14,42.56,41.37,33.63,33.63,83.93,59.52,54.17,46.73,28.87,43.45,37.2,15.48,41.07,61.9,57.14,41.07,45.54,92.86,86.9,92.26,36.61,56.55,94.64,85.12,83.93,92.26,57.14,31.25,78.87,29.17,59.52,74.7,98.21,47.92,40.48,77.38,28.57,32.74,49.7,32.14,50.6,49.11,61.31,26.19,30.06,80.95,46.73,25.6,8.93,16.07,76.79,34.23,82.74,79.76
Dynamo Kyiv,288,Europa League,4.46,18.45,5.95,9.82,1.19,2.08,11.01,5.95,12.5,8.93,13.39,58.93,56.55,44.35,22.02,12.5,2.98,70.24,68.45,42.86,6.55,44.35,30.06,33.63,68.45,66.67,70.83,61.9,61.31,69.05,69.05,71.13,46.13,70.83,45.24,68.45,46.43,75.0,70.83,74.4,47.92,52.98,33.04,69.35,19.35,31.55,67.86,25.0,2.08,31.55,41.96,43.45,72.02,77.68,86.9,67.26,19.64,68.15,88.99,22.62,67.56,67.86,44.05,67.86,86.31,94.64,54.17,50.0,43.45,67.86,34.23,15.48,80.06,57.44,32.14,2.38,9.23,77.98,19.35,44.64,33.63,97.02,10.12,95.83,3.87,79.17,14.88,42.86,56.85,73.81,93.45,95.83,32.74,45.24,14.88,8.04,41.07,40.18
Eint Frankfurt,948,"Bundesliga, Europa League",89.58,87.2,76.19,80.95,85.71,86.9,66.37,69.94,74.4,87.2,73.81,75.0,75.0,31.85,30.36,78.27,81.55,79.17,80.36,73.21,76.19,19.05,50.89,65.48,80.95,30.95,26.19,84.52,84.52,61.9,60.12,29.17,30.36,64.29,82.74,83.93,52.98,72.02,64.88,72.62,71.43,60.12,53.57,61.31,68.45,50.0,63.39,64.88,70.54,54.76,41.07,68.15,66.96,78.57,65.48,87.8,47.62,59.23,10.71,62.5,24.7,79.17,72.62,82.74,79.17,78.57,83.33,65.48,71.43,82.74,78.27,73.81,81.85,2.98,58.93,68.75,38.99,25.89,76.79,48.81,68.15,54.46,66.37,65.18,64.58,59.52,63.99,33.63,38.69,57.14,67.56,47.02,49.4,42.86,20.54,84.82,65.48,61.9
Elfsborg,288,Europa League,36.9,54.17,1.79,1.79,11.31,3.57,94.94,87.8,1.19,25.89,1.79,2.98,2.38,13.99,1.19,9.82,5.06,0.6,0.6,2.98,16.07,8.93,50.0,57.74,0.6,1.79,0.6,0.6,0.6,2.38,1.19,1.79,10.71,0.6,1.79,1.79,1.19,2.98,1.79,5.06,3.87,52.98,29.17,81.25,73.21,74.4,76.19,69.94,31.55,91.07,98.21,0.0,99.4,95.24,98.21,97.02,96.43,85.71,74.4,51.19,67.56,0.6,2.98,1.19,99.4,57.74,0.6,1.19,2.68,1.19,83.33,48.21,28.57,1.19,42.86,52.38,9.23,7.44,19.35,55.95,24.4,88.1,22.32,93.15,26.49,51.79,88.99,61.9,97.02,33.93,46.73,87.5,95.54,97.62,0.6,82.74,22.32,24.4
Empoli,760,Serie A,14.29,23.81,15.48,12.2,9.23,9.23,28.87,24.4,13.69,15.48,14.58,9.52,18.45,43.45,39.88,4.76,9.82,4.17,4.17,11.31,20.83,23.51,66.67,66.67,3.57,98.81,59.52,2.98,2.38,8.93,9.52,16.07,37.8,5.36,5.95,3.57,8.33,3.57,4.17,3.57,13.1,7.74,7.14,5.95,70.83,52.38,56.25,83.93,43.15,48.81,21.43,88.69,41.67,30.65,57.14,81.55,70.54,16.67,25.0,39.29,27.38,4.17,11.9,3.57,28.57,8.33,13.1,10.71,10.71,3.57,76.19,28.57,4.17,74.4,68.15,83.93,38.99,47.92,76.19,7.74,88.69,34.23,35.71,25.89,68.45,14.88,23.81,70.24,85.12,49.4,15.18,44.64,20.83,44.05,39.29,71.73,18.15,19.05
Espanyol,760,La Liga,26.79,37.5,10.71,6.25,11.31,9.23,66.37,46.43,13.1,30.95,11.31,8.33,13.69,59.52,38.99,14.88,16.67,5.36,5.36,10.12,54.76,50.89,84.52,53.57,5.36,29.76,33.33,4.17,3.57,11.9,11.9,31.55,57.74,8.93,13.69,7.74,19.64,14.88,22.62,20.83,17.86,13.1,9.52,19.94,48.21,53.87,89.58,17.26,5.95,51.19,51.19,44.05,36.61,53.57,77.08,90.77,64.88,3.57,41.67,97.02,83.33,5.95,10.12,4.17,76.19,50.0,5.36,7.14,8.33,4.17,32.74,76.79,22.02,55.65,57.74,37.8,70.54,47.92,43.75,47.02,51.19,73.21,62.8,82.14,37.8,80.95,39.88,68.45,59.52,40.48,89.88,91.07,52.98,62.5,5.36,98.21,43.75,35.12
Everton,760,Premier League,31.55,33.63,28.57,35.12,26.49,35.71,28.87,15.18,27.98,29.17,28.27,29.17,38.39,76.79,66.07,27.08,40.18,10.71,8.93,13.69,18.15,30.65,77.98,22.62,10.12,8.93,1.79,16.67,15.48,8.33,8.33,52.98,51.19,13.69,11.31,7.14,16.67,9.52,10.12,22.32,23.81,49.11,50.0,49.4,83.93,79.17,84.52,68.45,69.05,68.45,67.86,33.04,54.17,27.68,61.31,82.74,37.2,32.74,67.26,12.2,35.12,11.31,12.8,8.33,52.98,11.31,8.33,38.69,39.58,8.33,54.46,65.18,58.33,25.89,15.48,83.93,20.83,77.98,86.31,26.19,82.74,40.77,83.33,51.49,70.54,75.3,76.19,98.21,96.43,87.8,59.52,86.31,60.71,70.24,37.5,50.89,83.93,82.74
FC Copenhagen,280,Europa Conference League,50.0,14.29,81.55,51.19,83.93,66.67,100.0,100.0,86.9,51.19,65.48,97.62,65.48,70.83,61.01,72.32,53.57,95.83,96.43,84.52,73.81,72.02,39.88,84.82,96.43,30.36,60.71,85.71,88.69,98.81,99.4,99.4,97.02,98.81,97.62,96.43,88.69,94.64,88.69,80.65,78.87,55.95,45.24,60.12,61.9,75.89,5.36,94.64,87.5,36.9,31.85,68.15,42.26,44.05,23.81,4.17,15.48,78.57,91.67,67.86,92.26,95.83,84.52,95.83,6.55,54.17,97.62,88.1,70.24,95.83,23.51,90.18,33.33,72.62,89.29,94.64,100.0,77.98,89.88,19.05,86.9,45.83,41.67,39.58,42.26,49.11,18.75,14.88,27.98,69.64,14.29,16.67,7.74,3.57,94.05,18.75,11.01,17.26
FC Noah,216,Europa Conference League,26.79,7.14,85.71,95.24,41.96,51.49,11.01,5.95,88.39,44.64,90.18,37.8,54.76,12.5,18.45,58.63,53.57,48.81,47.02,59.52,100.0,91.07,30.06,28.27,50.6,19.35,53.27,54.17,52.38,48.21,45.54,59.52,49.4,51.79,70.24,50.0,84.52,68.45,66.07,81.55,55.65,89.88,98.81,61.9,53.57,67.26,71.43,31.25,44.35,75.3,88.1,9.52,83.33,86.31,90.18,50.3,12.5,94.05,53.27,89.88,80.95,53.57,61.31,50.6,63.69,91.07,30.36,48.81,47.62,50.6,90.48,90.18,92.26,54.17,22.32,5.06,9.23,77.98,17.86,87.5,10.71,99.4,2.98,98.81,1.19,42.26,78.27,27.38,26.79,33.93,84.82,88.1,74.7,35.12,63.69,5.65,66.37,57.74
FCSB,352,Europa League,47.62,23.81,23.81,36.9,15.77,25.3,11.01,5.95,16.07,42.56,17.56,0.6,4.76,6.55,2.98,29.76,14.88,13.1,13.69,1.79,34.52,90.48,19.35,19.35,14.29,18.45,34.52,23.51,26.79,6.55,7.14,32.14,29.76,11.31,15.48,19.64,2.98,4.76,3.57,7.14,22.92,76.79,72.62,87.5,92.26,91.37,94.64,69.05,57.44,91.96,94.05,11.31,97.02,88.69,59.23,77.38,37.2,95.83,42.26,10.12,21.43,13.69,1.79,17.26,61.9,93.45,12.5,6.55,10.12,17.26,4.17,4.17,4.76,66.37,18.15,94.64,9.23,12.2,82.74,24.4,80.95,37.5,69.05,47.62,77.68,39.58,96.73,73.51,66.67,10.71,7.44,14.88,96.43,92.86,11.61,76.79,14.29,11.61
FK Rīgas FS,288,Europa League,4.46,10.12,7.74,14.29,6.55,4.46,11.01,39.58,5.95,2.08,12.5,8.93,27.68,75.0,30.95,11.31,6.25,8.33,8.33,11.9,6.55,25.3,22.02,46.43,8.33,49.4,29.76,13.69,12.5,7.74,6.55,28.57,57.14,9.52,22.02,20.83,9.52,10.12,8.93,12.2,10.12,13.69,22.62,16.07,28.57,18.75,80.65,15.48,2.08,24.4,17.86,83.93,95.83,97.02,49.11,82.14,53.57,89.88,4.46,20.24,6.25,8.33,11.31,8.93,72.02,80.95,4.76,8.33,11.61,8.93,96.43,90.18,36.31,40.18,42.86,94.64,64.29,77.98,66.67,46.43,62.5,71.73,29.76,69.64,59.52,11.9,14.88,47.02,56.85,19.64,29.76,76.19,38.1,50.6,16.67,42.86,14.29,12.5
