Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Dortmund,980,"Bundesliga, Champions League",2.2,1.58,13.78,4.92,1.88,1.61,0.3,0.33,25.03,3.94,10.87,38.72,9.67,2.71,19.34,1.32,1.37,460.59,543.82,44.02,1.89,3.2,8.87,1.46,503.16,39.21,10.14,222.03,244.46,194.03,215.94,33.11,55.1,7652.51,2330.13,397.4,20.08,1940.26,994.26,14.9,6.46,21.2,10.02,9.33,16.55,9.95,7.55,6.09,2.92,8.49,16.25,7.76,8.08,10.94,3.11,18.88,0.59,42.33,14.21,9.13,23.33,462.49,43.83,653.1,33.38,164.0,327.87,167.21,26.62,652.77,1.94,0.17,10.45,10.03,1.57,0.07,0.32,0.03,12.17,11.12,23.28,4.14,1.45,2.7,1.43,-0.02,0.27,3.3,10.18,34.44,4.0,109.97,3.6,151.97,11.9,0.67,1.48,27.24
Dynamo Kyiv,288,Europa League,0.62,0.5,8.62,2.75,0.55,0.55,0.0,0.0,16.38,1.12,6.88,28.88,7.75,1.88,14.25,0.52,0.45,391.5,473.88,33.62,0.5,2.25,9.5,1.75,433.62,38.5,11.12,175.38,196.62,171.12,196.5,31.25,50.12,6638.25,1854.62,329.75,15.62,1788.5,891.12,13.75,4.12,16.88,6.88,8.75,15.5,9.62,8.62,5.75,1.12,7.62,15.5,7.88,9.75,12.38,4.5,25.62,0.75,43.0,12.5,9.75,22.25,391.0,33.62,581.25,43.0,189.38,262.0,135.38,19.62,581.25,2.25,0.25,10.38,11.25,1.88,0.38,0.0,0.0,10.38,13.5,23.88,7.25,2.25,4.88,2.41,0.16,0.12,4.0,13.75,33.0,5.38,183.68,4.88,219.11,16.25,0.38,0.88,15.66
Eint Frankfurt,948,"Bundesliga, Europa League",1.93,1.31,13.7,5.04,1.77,1.63,0.13,0.17,24.21,3.23,10.21,32.76,9.26,1.72,14.97,1.09,1.2,406.33,491.65,41.28,1.87,1.7,8.72,1.44,454.72,35.49,9.15,203.15,225.72,160.82,185.62,25.78,47.44,6463.54,2171.97,373.12,15.99,1766.31,860.15,13.56,5.15,17.34,7.6,8.49,17.98,10.35,8.5,6.91,2.57,8.28,15.48,7.2,9.53,12.48,3.68,28.38,0.52,41.84,16.57,8.35,24.92,409.08,41.01,614.55,40.74,177.36,298.48,143.99,24.38,614.38,1.72,0.04,10.34,8.48,1.58,0.09,0.08,0.06,14.98,13.07,28.05,4.6,1.3,3.29,1.34,0.04,0.28,3.64,11.49,29.99,4.42,128.49,5.56,215.33,15.76,1.17,1.16,20.59
Elfsborg,288,Europa League,1.12,0.88,6.5,2.12,0.88,0.68,0.25,0.25,10.5,1.62,4.12,16.75,4.38,1.25,8.62,0.49,0.5,203.75,282.0,22.0,0.75,1.38,8.75,1.5,251.88,28.62,5.38,87.62,107.12,88.38,109.38,19.88,42.75,3547.75,1302.38,185.5,8.75,998.12,426.38,7.62,2.12,16.88,6.75,9.25,18.25,11.25,9.12,7.12,2.0,9.88,22.25,12.38,13.25,14.25,6.0,31.88,0.12,45.75,13.5,8.75,22.25,202.88,22.0,403.25,52.38,164.62,166.0,78.88,12.25,403.0,1.62,0.12,12.62,6.88,1.75,0.12,0.0,0.12,10.38,12.62,23.0,5.75,1.75,4.25,1.74,-0.01,0.38,4.88,22.75,26.5,4.0,167.84,8.5,484.6,21.75,1.12,0.62,10.77
Empoli,760,Serie A,0.82,0.55,9.66,2.82,0.83,0.77,0.05,0.08,16.63,1.34,7.08,20.05,5.61,1.87,16.32,0.43,0.57,245.21,332.66,26.66,0.87,1.84,8.18,1.42,288.68,42.55,10.63,102.82,124.63,110.11,135.87,23.34,48.61,4298.89,1501.84,201.84,11.26,1035.84,473.89,7.47,2.68,13.26,5.55,6.26,18.13,10.42,8.26,7.71,2.16,8.13,14.24,6.11,8.5,10.42,3.58,27.58,0.42,37.66,15.58,9.18,24.76,243.79,26.42,444.37,32.03,135.68,212.42,101.58,14.79,444.29,1.74,0.18,14.97,11.97,1.5,0.05,0.08,0.03,14.95,18.66,33.61,4.16,1.55,2.61,1.32,-0.23,0.16,5.24,17.21,29.05,3.29,125.48,4.42,219.03,14.63,0.97,0.53,9.36
Espanyol,760,La Liga,1.0,0.71,9.21,2.55,0.88,0.77,0.13,0.13,16.39,1.76,6.74,19.66,5.34,2.13,16.29,0.53,0.62,254.71,335.18,26.29,1.34,2.42,7.47,1.53,298.21,35.45,9.39,106.87,125.16,116.11,138.71,25.97,51.89,4582.87,1593.03,225.79,13.08,1266.21,660.47,9.45,2.87,14.37,5.82,7.0,16.84,10.45,10.0,5.53,1.32,8.16,16.03,7.87,8.29,11.42,4.08,29.29,0.45,34.97,14.71,6.34,21.05,262.26,26.08,448.89,39.95,159.66,200.47,94.24,14.39,448.76,2.26,0.03,13.11,11.18,1.61,0.16,0.13,0.03,12.42,13.24,25.66,5.05,1.34,3.68,1.52,0.18,0.21,5.11,13.84,27.37,5.18,172.61,5.68,275.56,17.63,1.68,0.92,14.53
Everton,760,Premier League,1.03,0.68,10.63,3.66,1.09,1.05,0.05,0.05,18.42,1.74,7.79,24.45,6.66,2.42,17.95,0.64,0.83,272.32,351.53,27.39,0.79,2.0,7.76,1.89,317.84,31.79,6.21,128.61,148.84,109.08,131.18,28.45,50.92,4771.97,1576.11,224.89,12.79,1185.53,574.89,9.58,3.13,16.74,7.45,8.03,19.24,11.39,9.61,7.08,2.55,8.87,17.21,8.34,9.05,10.32,3.63,27.84,0.61,39.16,13.76,10.26,24.03,274.68,26.92,465.79,35.42,139.21,206.79,125.32,19.26,465.74,1.97,0.08,11.32,9.92,2.13,0.05,0.03,0.0,16.03,14.82,30.84,4.29,1.16,3.08,1.29,0.14,0.32,8.0,21.21,35.66,4.24,163.94,6.08,295.91,14.68,0.82,1.5,28.73
FC Copenhagen,280,Europa Conference League,1.31,0.43,14.09,4.14,1.75,1.4,0.44,0.44,25.9,2.24,9.8,47.43,8.44,2.31,17.84,1.0,0.93,506.01,596.96,43.54,1.81,3.1,9.06,1.24,560.26,35.46,10.81,206.0,236.49,242.59,269.61,43.37,62.24,8911.34,2549.4,425.09,20.6,2130.16,1024.06,14.33,5.47,17.0,7.3,8.43,17.51,11.29,5.84,8.59,3.09,7.9,15.1,7.2,8.51,10.96,2.74,15.36,0.81,44.2,12.19,8.01,20.2,506.04,43.36,700.21,24.77,163.44,371.73,171.4,24.1,699.77,2.37,0.0,12.41,11.91,1.24,0.0,0.44,0.0,16.69,15.83,32.51,4.36,1.5,2.86,1.48,-0.02,0.13,2.79,9.93,32.41,3.26,103.51,3.5,103.53,9.23,0.54,0.49,8.91
FC Noah,216,Europa Conference League,1.0,0.33,14.33,6.0,1.22,1.22,0.0,0.0,26.5,2.0,11.83,25.5,7.67,1.17,13.33,0.9,0.93,354.17,436.83,37.67,3.67,3.67,9.5,1.83,401.0,34.0,10.33,163.5,184.5,150.67,174.5,29.17,50.83,6003.0,2064.17,299.5,20.0,1739.17,864.5,14.5,4.33,20.67,11.5,8.5,17.0,10.83,8.83,6.0,2.17,9.0,18.83,9.83,10.33,13.0,4.67,23.5,0.83,47.67,14.33,7.17,21.5,361.83,37.67,551.5,37.17,187.0,235.17,135.0,20.5,551.5,1.5,0.0,9.83,11.0,2.0,0.33,0.0,0.0,10.17,10.0,20.17,8.17,2.67,5.33,2.62,-0.05,0.33,3.33,9.83,26.5,5.0,168.6,6.67,196.03,12.83,0.33,1.17,20.07
FCSB,352,Europa League,1.25,0.55,10.14,3.7,0.92,0.92,0.0,0.0,16.94,1.94,7.38,14.77,4.74,0.99,10.03,0.66,0.61,276.61,363.18,20.25,1.05,3.65,9.97,1.95,327.32,33.91,9.42,133.68,156.91,105.6,128.44,25.98,47.23,4639.01,1642.27,251.99,10.01,1076.35,453.93,8.1,3.12,18.74,8.19,9.6,20.19,12.28,10.73,7.11,2.35,9.89,19.43,9.55,11.8,13.18,3.61,27.1,0.61,48.23,14.69,10.41,25.1,281.92,20.0,487.18,36.62,189.1,211.1,92.33,14.76,487.18,2.91,0.41,14.94,11.65,2.06,0.0,0.0,0.1,15.44,15.18,30.62,4.2,1.28,3.02,1.22,-0.07,0.45,5.38,14.85,22.49,2.82,101.92,9.11,387.59,16.38,1.01,0.5,7.56
FK Rīgas FS,288,Europa League,0.62,0.38,8.75,2.88,0.79,0.69,0.0,0.12,15.25,0.75,6.75,19.75,6.0,2.38,15.0,0.51,0.52,268.88,351.0,26.75,0.5,1.88,9.88,1.62,312.12,37.25,9.25,123.75,144.5,107.62,128.0,25.75,51.88,4586.75,1712.5,254.25,11.62,1200.62,556.88,8.62,2.62,14.38,6.38,6.88,16.0,9.12,9.38,5.5,1.12,7.38,13.75,6.38,11.62,14.75,3.38,27.75,0.5,46.38,17.38,9.88,27.25,270.5,26.38,467.25,39.0,178.25,198.5,96.12,14.88,467.12,1.25,0.0,12.25,10.5,1.75,0.0,0.12,0.0,13.88,13.25,27.12,5.0,1.62,3.38,1.38,-0.25,0.12,4.12,13.75,24.25,3.75,150.56,5.12,233.39,16.12,0.75,0.5,7.82
Fenerbahçe,352,Europa League,1.18,1.05,9.4,3.32,1.26,1.18,0.0,0.1,17.25,2.03,7.69,29.12,8.28,2.86,16.74,1.14,1.04,365.11,462.44,40.24,1.26,3.27,11.24,1.43,419.98,41.03,14.05,155.58,179.85,173.49,203.7,30.91,55.82,6502.81,2105.28,316.39,12.19,1405.2,657.4,8.22,3.0,15.67,6.03,8.55,18.3,10.61,9.99,6.86,1.44,9.16,18.06,8.9,11.53,11.65,2.98,21.24,1.0,43.17,15.53,6.73,22.26,366.35,39.93,571.85,32.52,169.41,281.56,125.38,19.4,571.75,3.83,0.41,13.16,16.11,1.53,0.1,0.1,0.0,15.0,15.6,30.6,5.75,1.35,4.3,1.81,0.46,0.19,5.86,17.73,33.86,5.07,183.28,5.41,253.04,13.53,1.08,1.19,21.85
Ferencváros,320,Europa League,1.62,1.06,11.72,4.36,1.23,1.06,0.22,0.22,19.89,2.8,8.84,23.02,5.95,2.09,14.51,0.65,0.8,302.49,379.25,31.52,1.06,1.69,7.8,1.68,344.41,33.16,8.66,137.52,155.62,129.22,151.93,25.09,44.86,5114.52,1698.8,286.18,13.7,1349.5,683.92,8.72,5.24,16.54,7.26,8.66,17.24,11.04,9.5,5.56,2.17,8.49,17.49,9.0,9.12,12.31,3.9,23.06,0.44,41.4,15.6,8.96,24.56,304.91,31.19,488.34,37.4,159.64,216.18,117.99,20.04,488.11,2.17,0.0,13.3,10.3,1.72,0.34,0.11,0.0,11.72,11.95,23.68,4.95,1.84,3.11,1.76,-0.12,0.28,5.45,12.18,26.09,3.12,96.67,5.64,224.98,12.22,0.32,0.84,25.96
Feyenoord,352,Champions League,1.77,1.11,10.22,3.88,1.17,0.98,0.15,0.25,17.32,3.09,7.84,24.17,5.18,1.16,11.38,0.58,0.73,307.0,377.2,30.9,1.11,3.51,7.17,1.35,342.85,33.0,8.12,127.6,146.85,142.62,161.19,27.23,46.25,5381.34,1549.53,272.67,15.07,1512.75,760.89,11.41,4.31,18.0,7.64,9.23,16.02,9.51,8.38,5.64,2.01,8.27,16.58,8.31,9.36,11.43,4.47,20.55,0.5,36.01,11.53,7.6,19.14,307.86,30.9,481.1,40.62,154.77,224.02,107.69,16.5,480.85,1.34,0.15,9.84,8.77,1.65,0.3,0.25,0.31,8.89,10.34,19.23,5.84,2.38,3.73,2.23,-0.15,0.15,3.89,13.0,35.66,3.3,105.29,4.55,211.31,15.12,0.9,0.76,14.48
Fiorentina,1032,"Europa Conference League, Serie A",1.8,0.91,13.25,5.1,1.57,1.42,0.16,0.2,23.62,3.05,10.06,28.62,7.65,2.26,16.24,0.82,1.1,376.46,454.71,36.69,1.02,2.91,7.76,2.12,414.4,38.19,13.34,154.97,174.2,174.97,199.13,36.09,58.15,6713.86,2003.27,351.1,19.03,1998.18,979.73,15.33,5.12,17.5,8.44,7.39,14.29,8.6,7.04,5.36,1.9,6.72,13.05,6.33,7.76,9.02,3.03,21.41,0.51,38.18,14.45,8.21,22.66,378.81,36.19,557.21,33.03,154.83,274.06,134.66,21.89,557.01,2.11,0.1,11.86,14.23,2.3,0.08,0.16,0.02,13.63,11.92,25.55,3.74,1.14,2.58,1.12,-0.02,0.3,5.39,11.92,25.26,3.36,109.98,6.25,253.81,11.98,0.29,0.79,15.55
Freiburg,612,Bundesliga,1.35,1.03,11.91,3.88,1.3,1.21,0.0,0.12,20.82,2.47,8.38,27.76,7.41,2.18,17.32,0.96,0.87,348.15,441.0,33.15,1.0,1.56,9.29,1.68,405.24,34.09,8.18,158.47,182.97,153.82,181.26,25.82,49.71,5880.88,1803.76,277.18,13.0,1453.12,712.03,9.38,3.5,14.29,6.32,6.97,15.03,9.32,6.62,6.53,1.88,6.91,13.44,6.53,8.12,11.76,3.29,23.38,0.5,38.26,13.41,7.62,21.03,348.21,32.94,548.32,30.71,151.06,269.12,132.47,21.24,548.21,1.53,0.09,9.29,9.53,1.79,0.12,0.09,0.03,17.24,17.85,35.09,4.41,1.56,2.82,1.43,-0.13,0.35,6.26,17.06,37.62,4.06,132.68,5.38,287.6,14.15,1.18,1.09,17.31
Fulham,760,Premier League,1.39,1.13,13.58,4.39,1.3,1.22,0.08,0.11,24.58,2.55,10.42,35.0,8.97,2.84,23.53,0.83,0.98,396.05,482.87,41.0,1.13,3.13,8.84,1.11,445.18,36.58,9.63,183.37,204.71,172.08,197.55,33.61,58.74,6876.37,2122.55,343.97,20.68,1835.97,952.82,14.32,5.61,16.76,7.58,6.68,17.82,10.76,8.55,6.82,2.45,7.55,14.82,7.26,7.95,10.03,2.97,23.76,0.74,41.05,13.55,7.39,20.95,399.5,40.63,590.71,38.18,174.45,257.21,165.45,25.11,590.61,1.97,0.05,11.37,9.34,1.13,0.11,0.08,0.05,13.79,13.97,27.76,4.18,1.42,2.79,1.28,-0.14,0.13,3.71,9.66,32.39,4.39,124.9,4.53,189.52,13.34,0.61,0.87,14.23
Galatasaray,320,Europa League,2.06,1.23,20.64,7.19,2.3,2.21,0.11,0.11,37.38,3.4,14.99,34.88,12.46,4.4,29.56,1.53,1.57,443.2,545.7,52.28,1.12,1.84,10.32,2.46,501.71,41.52,11.66,218.71,246.01,179.11,212.31,34.34,58.94,7292.38,2360.02,402.82,18.71,1907.56,1013.55,16.02,5.39,17.6,8.9,7.8,19.01,11.56,7.34,8.54,3.14,9.52,16.7,7.18,10.35,11.56,2.45,17.41,0.39,48.7,11.94,8.52,20.46,446.78,52.0,660.85,28.15,145.01,332.35,189.48,29.8,660.74,2.39,0.1,10.45,11.42,2.58,0.16,0.11,0.0,14.35,8.82,23.18,4.95,2.1,2.85,2.18,0.08,0.0,3.64,8.05,29.86,3.81,112.17,3.91,122.78,9.57,0.6,1.29,27.87
Genoa,760,Serie A,0.92,0.71,10.08,3.08,0.96,0.91,0.0,0.05,17.13,1.58,7.5,19.03,5.29,2.05,17.45,0.48,0.68,292.08,380.29,25.79,1.11,1.47,8.63,1.39,342.42,36.47,10.68,122.32,143.61,136.84,163.58,24.84,49.29,5131.66,1669.79,244.47,12.37,1296.55,614.16,9.03,2.95,13.29,4.92,6.84,17.68,10.13,7.39,7.55,2.74,7.45,14.89,7.45,8.08,11.08,3.32,24.21,0.34,38.0,15.61,7.61,23.21,297.0,25.45,492.5,35.13,161.24,231.95,104.16,16.95,492.45,1.82,0.03,13.05,11.63,1.45,0.21,0.03,0.05,17.34,18.32,35.66,4.16,1.29,2.89,1.31,0.01,0.29,5.0,13.32,25.87,3.74,121.99,7.66,323.01,13.87,0.63,0.45,7.87
Gent,248,Europa Conference League,1.23,0.5,12.85,4.48,1.7,1.59,0.15,0.15,22.87,2.16,10.06,34.84,9.4,2.74,24.26,0.86,1.25,396.92,491.15,50.61,1.08,4.34,8.79,1.76,450.95,38.44,12.03,165.97,190.6,183.94,213.65,41.69,65.65,7269.6,2225.16,321.55,16.87,1771.03,936.1,12.35,4.26,15.13,6.1,7.53,18.03,9.65,9.5,5.65,2.89,9.89,18.03,8.15,10.13,12.27,3.5,22.31,0.82,48.13,16.9,7.95,24.85,399.48,49.68,603.1,34.6,153.69,287.76,167.56,23.5,602.95,1.58,0.0,12.5,10.97,1.76,0.0,0.0,0.0,15.11,12.65,27.76,4.6,1.35,3.24,1.16,-0.2,0.35,2.77,7.11,23.94,4.92,154.03,5.27,141.06,11.18,0.15,0.44,8.49
Getafe,760,La Liga,0.89,0.55,11.32,3.21,0.96,0.86,0.13,0.13,19.16,1.47,7.79,23.87,5.92,2.74,18.97,0.52,0.6,215.32,312.97,25.79,0.61,2.95,6.89,2.21,269.18,41.58,11.08,96.89,119.74,88.89,118.13,23.79,55.18,3857.53,1441.18,193.84,9.68,983.66,448.58,8.18,2.76,16.61,6.97,8.21,16.87,10.24,7.45,7.32,2.11,8.66,17.37,8.71,7.24,10.82,2.21,27.47,0.32,37.05,18.84,9.39,28.24,219.08,25.42,433.87,23.37,107.5,209.95,122.26,17.76,433.74,2.79,0.26,15.84,13.26,2.37,0.24,0.08,0.0,20.13,19.42,39.55,3.32,1.03,2.26,1.1,0.07,0.24,7.89,21.03,18.92,1.79,78.4,8.0,491.69,12.61,0.66,1.03,19.43
Girona,1048,"Champions League, La Liga",0.99,0.69,10.22,3.52,1.12,0.98,0.08,0.16,18.89,1.78,8.11,36.15,7.29,2.24,19.77,0.83,0.8,437.6,511.23,42.03,1.09,3.9,8.8,1.82,471.97,37.43,11.01,198.32,216.2,198.53,220.29,32.92,52.65,7518.84,2119.52,367.7,19.17,2115.38,1065.18,13.4,4.43,16.73,7.8,7.07,15.48,9.44,7.43,6.0,2.05,8.06,15.11,7.05,7.39,9.18,2.98,17.98,0.64,36.49,13.62,8.6,22.22,438.34,41.76,605.62,36.35,170.72,293.03,146.97,19.6,605.46,2.16,0.09,12.31,11.43,1.92,0.25,0.11,0.12,8.17,8.62,16.79,4.64,1.59,3.08,1.48,-0.12,0.19,2.8,8.77,29.15,3.9,113.29,5.25,212.08,12.13,0.94,0.74,13.14
Gladbach,612,Bundesliga,1.56,1.15,12.15,4.5,1.5,1.38,0.12,0.15,21.59,2.74,9.06,24.79,8.18,2.74,18.15,0.93,1.1,380.88,470.21,32.71,2.35,1.94,10.62,1.82,429.29,39.09,9.12,184.88,207.06,159.62,186.85,27.32,49.41,6294.91,1963.15,312.56,15.59,1576.06,788.76,10.59,3.85,13.76,6.03,6.79,14.79,8.35,8.15,5.21,1.44,7.03,13.85,6.82,9.29,13.06,4.88,30.94,0.56,37.06,12.35,7.91,20.26,384.09,32.47,585.71,45.94,196.56,275.18,118.68,20.65,585.56,1.56,0.12,9.94,9.56,1.91,0.24,0.15,0.06,15.21,13.88,29.09,5.62,1.68,3.97,1.76,0.07,0.24,5.74,13.91,39.91,4.65,135.74,4.71,213.4,17.47,1.03,0.82,16.99
HJK,216,Europa Conference League,0.5,0.0,8.33,3.0,0.93,0.85,0.0,0.17,12.83,0.83,6.0,26.67,5.0,1.0,12.33,0.43,0.42,329.67,421.5,32.0,0.5,2.0,6.67,1.5,382.0,38.0,14.0,143.17,168.5,152.0,178.83,27.83,54.17,5831.83,2041.83,300.17,10.5,1501.5,689.83,7.33,2.67,15.0,6.17,7.83,20.17,12.17,8.67,9.83,1.67,9.17,19.17,10.0,10.17,14.83,6.5,22.83,0.67,40.83,18.17,11.33,29.5,335.0,31.83,540.0,42.5,181.67,257.17,106.33,14.0,539.83,2.33,0.0,13.33,14.17,1.5,0.0,0.0,0.17,12.0,14.5,26.5,5.5,1.5,4.17,1.8,0.3,0.17,2.17,7.83,29.0,4.67,135.05,6.0,199.9,15.67,0.5,0.17,4.83
Hearts,216,Europa Conference League,0.83,0.17,11.0,3.5,1.27,1.13,0.0,0.17,19.67,1.5,7.67,25.33,7.83,1.67,22.5,0.82,0.78,356.0,471.17,36.17,0.17,1.33,11.0,1.0,428.33,41.83,9.17,145.33,178.33,172.0,206.33,29.5,61.5,6322.33,2088.17,322.0,14.5,1561.67,696.33,11.67,2.5,16.33,8.0,7.0,19.83,13.17,6.67,10.5,2.67,8.67,17.83,9.17,9.67,11.5,3.0,17.33,0.0,45.33,14.5,10.83,25.33,361.5,35.5,580.33,23.5,145.17,299.17,141.33,21.67,580.17,1.67,0.0,11.5,12.33,1.0,0.17,0.0,0.0,23.17,22.33,45.5,3.83,1.5,2.33,1.42,-0.08,0.17,3.67,14.17,21.17,4.5,159.2,7.5,349.83,10.5,0.33,0.5,9.25
Heidenheim,860,"Bundesliga, Europa Conference League",1.12,0.69,12.63,4.13,1.3,1.18,0.1,0.15,22.2,1.73,9.0,24.85,7.05,2.47,17.93,0.84,0.85,315.4,411.54,30.98,0.7,2.84,10.04,1.5,371.73,38.31,9.54,124.87,149.88,150.07,177.85,33.57,60.48,5815.83,1971.36,282.63,15.81,1528.59,770.7,10.41,2.98,15.88,7.24,7.27,18.86,11.06,10.06,6.87,1.93,8.84,17.06,8.22,9.96,13.02,3.37,26.85,0.33,41.49,14.72,7.87,22.6,320.87,30.57,531.26,36.89,179.26,239.79,119.03,19.26,531.12,1.92,0.02,11.94,11.7,1.69,0.14,0.06,0.0,16.17,19.58,35.76,4.93,1.71,3.23,1.67,-0.05,0.27,4.74,13.2,32.72,4.62,151.18,8.05,312.86,14.73,0.75,0.76,12.02
Hellas Verona,760,Serie A,0.82,0.53,9.79,2.5,0.89,0.85,0.05,0.05,16.71,1.26,7.26,20.68,4.97,1.61,14.79,0.46,0.67,245.29,324.74,26.58,0.74,2.32,7.42,1.16,292.66,30.92,7.29,114.26,133.71,102.66,124.97,21.24,45.5,4186.74,1391.53,216.5,11.82,1151.32,530.66,8.89,2.63,13.37,6.0,6.13,17.66,11.42,8.55,7.13,1.97,8.16,15.47,7.32,8.66,10.34,3.24,25.32,0.5,36.79,14.0,6.68,20.68,245.76,26.26,432.45,28.79,125.47,210.63,101.82,14.0,432.39,2.53,0.37,15.24,9.08,1.45,0.11,0.03,0.0,17.45,18.37,35.82,4.53,1.74,2.79,1.41,-0.32,0.21,5.71,20.03,20.89,2.45,97.99,8.21,488.09,14.32,0.84,0.68,10.64
Hoffenheim,900,"Bundesliga, Europa League",1.32,0.92,13.88,4.4,1.32,1.28,0.06,0.06,24.5,2.3,9.98,32.04,8.72,3.28,22.0,0.97,0.93,372.68,467.0,36.74,1.02,1.58,9.9,2.12,426.2,38.68,9.16,173.62,197.62,158.54,189.58,27.68,50.96,6190.0,2031.82,302.92,14.74,1448.26,695.06,11.38,4.0,14.68,6.74,6.88,18.02,10.52,8.5,7.56,1.96,9.28,17.32,8.04,8.54,12.8,3.86,25.52,0.52,42.92,13.62,8.9,22.52,373.52,36.44,583.82,35.24,157.84,288.64,142.56,22.88,583.76,1.9,0.04,11.5,10.64,2.28,0.12,0.04,0.06,15.3,15.76,31.06,4.86,1.92,2.94,1.74,-0.18,0.16,5.2,15.46,31.04,3.86,135.69,4.84,220.13,13.94,0.62,0.94,16.65
Holstein Kiel,612,Bundesliga,1.44,0.85,10.82,3.91,1.14,1.02,0.12,0.15,19.0,2.38,7.82,19.47,5.32,2.03,14.18,0.73,0.78,280.91,369.85,25.74,0.88,1.71,8.56,1.18,331.85,36.82,9.74,114.0,134.47,134.32,162.21,27.74,54.44,5124.35,1770.32,226.74,10.56,1103.53,526.26,7.68,2.38,12.47,5.41,5.88,15.91,9.65,8.59,5.12,2.21,8.15,15.56,7.41,8.65,12.03,4.56,32.41,0.5,35.56,14.82,7.12,21.94,285.56,25.29,490.35,46.15,189.26,216.91,88.88,16.82,490.21,2.15,0.18,11.91,10.18,1.29,0.15,0.12,0.09,15.56,17.82,33.38,5.74,2.35,3.44,1.93,-0.42,0.06,6.29,16.97,32.15,5.03,163.18,8.5,404.12,19.65,1.24,0.68,10.1
Inter,1106,"Champions League, Serie A",1.81,1.28,14.14,4.38,1.79,1.52,0.26,0.33,25.56,3.16,10.68,34.26,10.27,2.78,18.05,1.19,1.22,463.6,541.25,42.93,2.59,3.2,8.08,2.21,504.54,34.5,10.33,212.25,233.0,205.7,229.68,35.63,54.12,7876.76,2206.76,400.7,17.6,2018.22,1002.36,15.37,3.78,11.07,4.58,5.13,13.12,7.7,6.18,4.7,2.24,6.13,12.1,5.97,6.87,10.27,3.79,19.71,0.47,36.99,10.84,6.33,17.17,465.68,42.66,636.8,37.21,175.72,306.16,159.93,25.71,636.48,1.59,0.04,10.54,10.88,2.37,0.09,0.24,0.02,14.8,10.77,25.57,3.37,0.73,2.65,0.85,0.12,0.53,3.25,7.75,37.84,4.0,102.89,4.04,118.11,12.58,0.53,0.36,6.74
Ipswich Town,760,Premier League,0.92,0.68,9.84,3.16,0.9,0.86,0.05,0.05,17.16,1.53,7.39,22.11,4.55,1.42,13.29,0.47,0.61,278.79,354.32,24.55,1.16,1.5,7.87,1.24,320.76,32.32,8.53,129.63,147.42,123.11,145.87,20.05,41.03,4731.53,1582.97,227.0,13.5,1295.87,627.16,8.68,3.95,16.92,7.29,7.63,15.5,8.95,7.74,5.63,2.13,7.39,15.82,8.42,7.97,11.47,4.87,28.37,0.87,36.53,14.03,9.11,23.13,283.76,24.21,464.74,47.61,167.37,196.71,106.11,15.92,464.68,2.37,0.24,11.29,10.39,1.37,0.16,0.05,0.05,14.05,14.0,28.05,5.53,2.16,3.42,1.94,-0.22,0.05,4.97,13.97,28.08,4.84,152.4,6.29,320.48,16.03,1.87,0.92,14.82
