Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Celta Vigo,760,La Liga,1.53,1.05,11.63,4.39,1.42,1.23,0.21,0.24,20.68,2.55,8.92,37.42,7.89,1.39,13.18,0.84,1.0,444.87,530.63,43.63,2.34,3.89,9.61,1.71,490.0,38.92,11.47,192.97,214.47,208.11,233.13,33.95,56.42,7695.92,2402.76,379.26,18.66,1913.63,991.03,13.16,5.74,16.53,6.68,8.21,14.61,8.95,6.79,5.71,2.11,7.53,15.16,7.63,7.42,9.08,2.39,21.16,0.71,38.08,14.61,7.76,22.37,452.92,43.39,630.37,31.21,169.92,319.08,146.68,21.87,630.13,2.18,0.24,12.16,11.34,1.76,0.11,0.16,0.05,9.58,11.53,21.11,3.82,1.5,2.34,1.28,-0.22,0.21,1.82,6.37,21.63,5.53,146.57,6.97,238.75,13.18,0.71,1.29,23.48
Celtic,320,Champions League,1.45,1.06,9.7,3.91,1.46,1.29,0.11,0.22,17.86,2.75,7.75,34.36,6.51,0.5,14.28,0.96,1.0,439.28,516.38,34.72,2.33,1.0,8.21,1.85,477.34,37.19,9.01,194.7,216.49,216.96,243.69,24.71,43.28,7605.08,2248.98,372.15,15.35,1744.42,914.51,10.38,4.14,14.99,6.91,7.4,20.18,10.45,8.96,7.36,3.85,10.22,17.58,7.35,9.35,11.25,3.1,22.71,0.84,36.25,12.5,7.16,19.66,444.01,34.5,622.41,41.95,196.1,295.64,136.35,18.61,622.19,1.01,0.11,9.43,8.57,1.96,0.22,0.22,0.11,10.25,9.79,20.04,5.2,1.72,3.59,1.79,0.06,0.34,2.2,5.64,32.66,4.15,107.26,6.3,174.21,15.36,0.16,0.56,8.67
Cercle Brugge,248,Europa Conference League,2.16,0.65,13.68,5.94,1.64,1.52,0.15,0.15,23.03,4.03,10.58,25.56,8.34,1.94,16.82,1.05,1.26,210.66,320.81,33.02,1.27,0.85,6.1,1.6,282.71,36.5,7.21,96.55,129.52,86.77,123.06,22.19,49.44,3667.1,1458.52,182.08,10.47,899.4,378.03,7.82,3.68,19.32,7.97,9.63,19.97,14.32,7.03,10.39,2.55,9.53,18.27,8.74,13.15,15.35,3.65,27.9,0.0,46.18,17.39,9.9,27.29,209.24,32.29,456.31,27.63,107.71,212.76,141.18,25.44,456.16,1.79,0.42,12.71,10.94,1.66,0.35,0.15,0.0,21.26,23.11,44.37,3.85,1.21,2.65,1.34,0.13,0.35,7.63,24.08,21.55,1.18,54.2,6.47,411.75,12.1,0.56,1.23,30.96
Chelsea,1034,"Europa Conference League, Premier League",2.19,1.48,16.4,6.34,2.06,1.92,0.15,0.17,29.04,3.64,12.64,38.6,9.9,1.95,16.44,1.1,1.49,487.44,560.7,44.23,2.22,2.44,8.03,1.41,522.84,36.45,10.84,227.32,246.36,217.48,239.15,31.89,51.6,8119.92,2343.28,392.9,23.5,2050.37,1075.58,14.33,8.93,21.35,9.08,9.59,14.41,9.22,5.74,5.71,2.96,6.78,13.31,6.53,7.09,9.37,2.65,16.57,0.69,40.03,11.9,7.72,19.62,486.84,43.75,659.47,33.22,164.01,323.67,177.42,31.04,659.29,2.14,0.13,10.85,10.74,1.54,0.06,0.14,0.0,9.46,9.06,18.52,4.21,1.04,3.15,1.2,0.16,0.31,2.17,9.65,35.82,5.75,164.59,2.48,85.31,10.61,1.26,1.34,23.96
Club Brugge,352,Champions League,0.78,0.49,10.56,3.77,0.96,0.85,0.15,0.15,19.05,1.27,8.6,26.22,5.32,1.09,10.22,0.72,0.64,380.82,446.68,30.05,2.07,3.85,6.08,1.11,415.64,29.93,8.06,163.12,180.95,182.24,200.07,31.91,53.02,6870.55,2040.99,265.97,12.12,1262.77,607.0,7.59,3.59,10.66,4.24,5.65,15.91,9.34,8.56,5.49,1.86,9.0,17.12,8.12,8.05,8.34,2.64,21.02,0.65,37.56,10.5,4.95,15.45,383.9,29.85,536.2,39.26,183.85,250.58,105.81,15.19,536.06,1.56,0.15,8.93,7.84,1.11,0.19,0.05,0.15,8.05,8.41,16.45,3.77,1.49,2.39,1.25,-0.24,0.31,4.51,9.73,31.58,3.31,97.43,4.66,152.15,12.12,1.0,0.65,10.42
Como,760,Serie A,1.16,1.03,13.66,4.63,1.17,1.13,0.0,0.05,24.05,2.08,10.63,29.61,7.32,1.58,14.95,0.72,0.94,390.58,468.79,36.21,1.37,2.45,9.39,1.71,425.03,42.05,13.42,194.05,213.61,158.11,179.76,26.26,47.05,6333.68,1990.61,346.11,17.32,1730.03,850.95,12.18,5.32,16.34,6.95,7.58,17.45,10.84,7.92,6.84,2.68,7.97,15.45,7.47,7.34,9.16,2.39,20.08,0.39,38.97,15.16,9.47,24.63,392.82,36.08,573.61,31.37,163.92,275.0,139.87,20.82,573.55,2.29,0.24,13.18,13.53,1.71,0.16,0.03,0.0,12.18,12.79,24.97,3.76,1.37,2.39,1.17,-0.2,0.18,3.95,10.66,33.45,4.29,131.57,2.58,88.92,11.39,0.76,1.71,33.96
Crystal Palace,760,Premier League,1.29,1.0,13.45,4.61,1.59,1.51,0.08,0.11,22.97,2.34,9.89,22.74,7.13,1.82,15.89,0.88,1.22,292.89,382.47,30.5,1.84,1.55,7.92,1.92,347.89,32.66,8.95,131.95,155.03,129.95,157.0,24.39,49.16,5076.82,1757.47,250.61,13.34,1246.37,608.16,9.26,3.34,13.11,5.47,6.34,20.11,11.82,9.79,7.84,2.47,8.47,16.74,8.26,8.76,12.74,3.79,28.03,0.5,43.95,12.89,8.92,21.82,294.84,30.03,502.03,39.63,168.05,221.92,117.24,20.97,501.92,2.03,0.18,10.97,10.55,1.95,0.05,0.11,0.08,13.13,16.71,29.84,3.95,1.34,2.66,1.34,-0.01,0.29,4.13,15.79,24.82,3.03,110.91,7.18,322.29,14.74,0.79,1.05,20.44
Dinamo Minsk,216,Europa Conference League,0.67,0.17,11.33,3.0,0.95,0.82,0.17,0.17,18.83,1.17,8.0,23.5,7.0,2.33,23.5,0.53,0.6,269.0,367.17,32.67,0.67,2.17,7.5,1.5,331.5,34.17,7.5,118.0,143.67,117.67,147.33,27.33,56.67,4796.0,1561.33,223.0,15.17,1219.67,596.5,10.0,2.33,17.83,8.33,8.83,16.5,10.83,7.33,5.33,3.83,7.0,12.67,5.67,12.5,10.17,2.33,21.83,0.67,37.83,14.0,9.5,23.5,274.33,32.67,476.83,24.33,135.5,223.67,123.5,18.33,476.67,2.5,0.17,16.67,9.0,1.67,0.67,0.17,0.17,17.17,20.5,37.67,5.0,2.17,2.67,1.92,-0.25,0.17,6.67,15.5,34.17,5.17,169.78,6.5,354.8,11.17,0.83,2.17,39.53
Dinamo Zagreb,288,Champions League,1.5,1.25,9.38,3.0,0.81,0.81,0.0,0.0,16.75,2.88,7.38,18.88,5.88,1.5,13.25,0.57,0.59,264.0,337.0,23.25,1.0,2.5,9.25,1.62,305.0,30.38,8.0,122.62,143.0,112.88,130.75,20.62,41.5,4461.75,1479.25,230.62,15.0,1347.25,643.25,11.5,3.12,16.88,8.5,7.0,20.0,12.0,12.25,5.88,1.88,10.88,21.0,10.12,10.5,12.25,4.25,28.38,0.38,39.5,15.75,10.38,26.12,268.38,22.88,452.75,45.5,165.5,197.75,95.5,15.25,452.75,2.25,0.0,10.5,9.88,1.88,0.5,0.0,0.0,10.12,11.75,21.88,5.75,2.38,3.38,2.41,0.04,0.25,5.5,16.25,25.25,2.38,82.65,8.38,375.71,16.38,0.38,0.38,4.85
Djurgården,272,Europa Conference League,1.76,1.12,12.51,5.15,1.14,1.12,0.03,0.03,20.79,3.28,8.87,28.78,6.12,0.74,12.9,0.92,0.91,362.4,450.28,38.01,1.4,1.56,6.81,2.22,411.6,36.46,11.69,181.72,206.46,146.4,169.93,22.32,45.62,5862.15,1984.63,318.75,15.21,1627.87,765.15,13.51,4.76,16.9,8.07,8.21,15.72,8.9,6.54,7.74,1.44,8.38,15.13,6.75,8.94,11.24,3.59,25.51,0.31,45.35,15.15,9.88,25.03,366.07,37.54,563.49,32.62,150.31,282.22,137.94,20.87,563.46,2.69,0.13,13.93,13.37,2.22,0.0,0.0,0.06,10.85,12.25,23.1,2.37,1.12,1.31,0.78,-0.34,0.19,2.93,11.56,21.32,2.82,96.74,7.22,333.6,14.56,0.56,1.59,33.17
