Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Ipswich Town,760,Premier League,700,520,7480,2400,686.0,654.0,40,40,13040,1160,5620,16800,3460,1080,10100,354.0,466.0,211880,269280,18660,880,1140,5980,940,243780,24560,6480,98520,112040,93560,110860,15240,31180,3595960,1203060,172520,10260,984860,476640,6600,3000,12860,5540,5800,11780,6800,5880,4280,1620,5620,12020,6400,6060,8720,3700,21560,660,27760,10660,6920,17580,215660,18400,353200,36180,127200,149500,80640,12100,353160,1800,180,8580,7900,1040,120,40,40,10680,10640,21320,4200.0,1640.0,2600.0,1472.0,-168.0,40,3780.0,10620.0,21340.0,3680.0,115824.0,4780.0,243562.0,12180.0,1420.0,700.0,11260.0
Jagiellonia,296,Europa Conference League,496,244,3384,1148,467.6,422.4,16,52,6180,804,2540,7232,2272,404,3500,224.4,314.0,99588,125280,10164,256,528,1828,720,114472,10088,3556,46812,54112,41128,48848,7480,13392,1628260,548980,84732,3828,435132,229764,3160,936,4640,2292,1928,4804,2700,2632,1752,420,2512,5016,2504,2788,3264,1088,8248,76,12908,4144,2692,6836,101056,10088,159876,11056,48436,78648,34060,5832,159824,672,36,3696,3792,720,0,36,36,3864,3980,7844,1012.0,268.0,780.0,308.8,40.8,124,544.0,2036.0,6472.0,1088.0,29742.8,1556.0,49263.2,4632.0,304.0,260.0,5217.6
Juventus,1080,"Champions League, Serie A",1492,1068,13780,4612,1344.8,1220.0,156,156,24436,2464,10524,37652,7956,2012,18532,784.0,941.2,485632,562096,43976,1528,3128,8596,1804,522712,37580,9516,226636,247388,213860,235948,35948,54924,8231828,2308012,413796,23152,2416932,1235428,15948,6148,20288,9484,9220,17656,10736,8228,6992,2436,7892,14452,6560,6544,12256,4428,19728,860,42296,16424,8488,24912,487784,43608,675160,38584,191968,327396,162212,23340,675004,1748,152,12952,10176,1840,172,96,0,11804,12576,24380,3868.0,1016.0,2816.0,1110.0,94.0,448,3864.0,10564.0,29752.0,4948.0,149737.2,4600.0,203481.6,14468.0,928.0,840.0,16911.2
KV,248,Europa Conference League,284,124,2116,836,307.6,250.0,36,72,3768,444,1580,5564,1368,144,3260,128.8,193.6,75420,97872,7876,376,680,2004,144,88308,9420,2464,34316,40848,32840,39464,6560,12540,1317284,425924,65384,3324,357632,163896,2344,616,4104,2004,1980,4472,2960,1916,1936,620,2240,4044,1804,2284,3000,756,7264,216,10032,3992,1644,5636,76220,7820,127108,9236,43664,57272,27532,4184,127036,580,72,3748,2248,144,16,36,0,3888,2444,6332,1148.0,336.0,812.0,409.2,73.2,72,1196.0,3312.0,9096.0,904.0,27984.8,1124.0,42521.2,3480.0,212.0,608.0,11360.8
LASK,216,Europa Conference League,144,72,2232,720,165.6,165.6,0,0,3960,288,1620,5508,1512,324,3708,162.0,133.2,81684,102564,9072,324,432,1764,396,93780,8388,2556,41616,48384,33192,39168,5436,10332,1337544,457776,67968,3348,360180,193788,2340,684,2736,1368,1368,3204,1656,1692,1152,360,1476,3348,1872,2016,2268,720,5544,36,8496,2376,1764,4140,83160,9036,125532,9324,38700,61884,25704,4032,125532,432,0,2376,2556,396,72,0,36,2520,2448,4968,1080.0,504.0,612.0,450.0,-54.0,36,504.0,1440.0,5328.0,936.0,23904.0,1080.0,35539.2,3276.0,288.0,252.0,4834.8
Larne FC,216,Europa Conference League,72,72,1152,360,90.0,90.0,0,0,2016,144,864,3564,648,288,1620,72.0,75.6,44352,61560,4248,180,252,1728,324,54432,6804,1872,19800,23904,18396,23112,4392,9612,774036,258084,41508,1836,213624,96228,900,396,2484,1152,1080,4356,2340,2664,1296,396,2412,4212,1800,1656,2628,1008,7596,108,7236,2916,1368,4284,45468,4212,85932,9180,34056,37080,15948,1728,85932,468,144,2556,2844,324,36,0,36,2772,3960,6732,1224.0,432.0,828.0,399.6,-32.4,36,1908.0,5148.0,6300.0,792.0,30009.6,1980.0,94276.8,5004.0,216.0,216.0,3196.8
Las Palmas,760,La Liga,760,540,8180,2680,704.0,642.0,60,80,14760,1360,6080,20640,4920,1580,13480,456.0,494.0,265440,333640,24160,980,2280,6420,1060,301240,31340,8700,123540,140680,113140,134020,21880,40940,4508740,1428820,208320,9980,1047520,512480,6920,2260,11400,4760,5760,12360,7400,6140,5060,1160,6120,11760,5640,6420,8680,2780,19020,500,28400,10860,5500,16360,267140,23940,417160,27180,124100,206360,90220,13380,417080,2120,120,9020,9120,1180,180,20,60,10540,11180,21720,3640.0,1220.0,2400.0,1266.0,44.0,80,3860.0,11680.0,25620.0,3900.0,130038.0,4520.0,194868.0,11220.0,440.0,720.0,14530.0
Lazio,1096,"Europa League, Serie A",1884,1436,15268,5452,1693.2,1560.4,156,176,27436,3268,11844,39360,9792,2844,24116,1031.6,1150.0,453744,535088,47144,2136,3352,8404,1476,490400,43212,12064,203628,224768,201928,227040,36780,57260,7803364,2185764,405696,23048,2325168,1159088,20232,6336,18316,8108,8516,16300,9876,7388,6780,2132,8252,15508,7256,9300,9732,2644,21252,496,42024,14128,9508,23636,454528,47116,645668,33312,153468,320572,178572,28440,645492,2620,268,12788,13108,1624,80,116,40,12608,13968,26576,3556.0,1216.0,2380.0,1182.8,-33.2,288,5468.0,14312.0,37192.0,4000.0,134349.6,3884.0,175728.4,13464.0,1272.0,1388.0,29466.8
Le Havre,612,Ligue 1,666,378,6102,1746,765.0,619.2,162,180,10494,1116,4122,13968,3618,1530,12510,419.4,442.8,185346,235026,18918,432,1422,4932,846,212886,21294,6354,77166,88848,87318,102168,16668,31194,3304836,1049526,159984,9684,882666,439524,6246,1674,9198,4176,4248,11142,6930,5832,3816,1494,5436,10044,4608,5832,6516,2358,17460,378,24678,8010,5598,13608,188676,18594,303084,22986,100962,140634,65466,10458,302904,936,90,6804,7110,900,90,108,18,7956,7812,15768,3150.0,1278.0,1872.0,1314.0,36.0,72,2430.0,6012.0,15102.0,2646.0,81916.2,3888.0,124140.6,9828.0,594.0,270.0,4797.0
Lecce,760,Serie A,540,420,9000,2380,676.0,616.0,60,80,15320,920,6440,16600,4440,1860,12560,328.0,458.0,215180,277740,21420,720,1660,6020,940,246180,30620,7640,92900,107740,93900,112620,23680,42520,3855940,1282140,179540,10380,973360,463980,6980,2420,10940,4740,4960,12540,7440,6300,5000,1240,6020,11680,5660,5700,8140,2880,20260,460,29040,11420,5800,17220,215300,21240,362480,28400,117920,167480,81700,12100,362400,1140,140,9300,8340,1040,180,40,60,13260,13020,26280,3620.0,1160.0,2500.0,1078.0,-82.0,180,4400.0,13120.0,20340.0,2400.0,88840.0,3560.0,178568.0,11800.0,580.0,380.0,6406.0
