Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,0,0,0,0,0,0,0,0,0.0,0,3,15,2,4,2,0,1
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,5,17,12,1,1,1,0,0,4.7,7,35,80,20,26,39,4,1
Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,36,36,3195,51,143,90,8,5,2,3,0,45.4,93,298,1026,137,180,419,36,33
Ederson,br BRA,GK,eng Manchester City,30,1993,8,8,720,20,47,27,1,2,2,0,0,16.6,18,42,218,33,29,55,4,17
Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16,16,1440,33,82,50,1,3,3,0,0,34.2,79,183,435,75,99,269,21,8
Craig Gordon,sct SCO,GK,sct Hearts,41,1982,6,6,540,9,23,14,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15,15,1350,32,74,42,2,3,3,0,0,25.9,83,220,397,72,105,217,12,18
Sam Johnstone,eng ENG,GK,Wolves,31,1993,7,7,630,17,39,23,0,2,2,0,0,13.0,52,129,252,28,25,104,8,11
Christos Mandas,gr GRE,GK,Lazio,22,2001,9,9,810,7,27,20,4,0,0,0,0,7.9,42,124,308,36,25,130,20,22
Josep Martinez,es ESP,GK,Inter,26,1998,5,5,450,3,14,11,3,0,0,0,0,4.1,23,51,216,15,25,81,3,3
Alexander Meyer,de GER,GK,Dortmund,33,1991,2,2,180,4,11,7,0,0,0,0,0,4.0,8,33,76,3,7,24,1,2
Niklas Hedl,at AUT,GK,at Rapid Wien,23,2001,10,10,960,11,43,32,4,2,2,0,0,0,0,0,0,0,0,0,0,0
Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,34,116,83,7,2,2,0,0,33.9,191,475,847,126,193,511,15,21
Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,6,6,540,9,28,19,1,1,1,0,0,9.3,7,33,171,19,18,53,2,2
Paulo Gazzaniga,ar ARG,GK,es Girona,32,1992,7,7,630,11,38,30,1,2,1,1,0,11.6,20,66,205,24,44,74,3,2
Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,7,16,9,1,0,0,0,0,6.6,16,60,95,13,35,72,5,3
Dénes Dibusz,hu HUN,GK,hu Ferencváros,33,1990,7,7,572,10,31,21,2,3,3,0,0,11.1,27,59,167,24,29,79,1,7
Florian Müller,de GER,GK,Freiburg,26,1997,9,8,753,16,30,15,1,2,2,0,0,11.6,54,166,267,28,57,104,6,9
Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,10,10,900,12,37,24,4,1,0,1,0,11.6,29,115,364,49,18,113,6,9
Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,34,3060,48,127,79,8,3,3,0,0,40.6,66,220,740,195,230,436,26,44
Veljko Ilic,rs SRB,GK,rs TSC,21,2003,8,8,720,19,44,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Maxime Dupé,fr FRA,GK,fr Nice,31,1993,2,2,180,2,8,6,0,0,0,0,0,2.2,4,7,52,12,13,19,1,1
Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,6,22,16,0,1,1,0,0,6.7,6,22,122,21,7,48,2,3
Omri Glazer,il ISR,GK,rs Red Star,28,1996,3,3,270,9,15,6,0,1,1,0,0,5.2,11,22,70,9,20,35,1,0
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0,0,0,0,0,0,0,0,0.0,1,2,5,1,2,1,0,0
