Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
Ali Abdi,tn TUN,MF,30,1993,4,1,136,0,0.0,0,0,0,0,5,0,59,79,34,38,20,29,3,6,0,0.2,0.3,4,3,2,0,6,5,6,16,4,3,1,3,0,2,3,1,2,2,4,0,102,4,21,41,40,2,102,5,1,61,5,4,1,1,0,63,16,0,0,0,3,1,0,0,0,0,3,2,1
Oliver Abildgaard,dk DEN,MF,28,1996,1,0,7,0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Taha Abdi Ali,se SWE,FW,26,1998,7,3,288,1,0.7,9,3,0,0,13,0,89,122,59,72,21,25,2,3,0,0.1,0.5,2,2,5,1,10,17,10,34,3,2,1,0,2,1,3,2,3,0,3,0,174,3,34,49,95,23,174,30,12,114,17,13,9,10,6,130,34,0,0,0,1,4,0,0,0,0,18,0,0
Himad Abdelli,dz ALG,MO,24,1999,32,32,2842,6,6.4,35,8,3,4,94,5,1373,1672,710,807,531,612,82,151,1,3.2,3.7,39,171,38,3,207,107,207,111,48,32,13,20,15,15,48,33,24,26,28,2,1993,38,293,1149,597,49,1989,121,57,1183,107,90,17,55,51,1446,111,4,0,0,48,32,3,0,0,0,193,13,20
Tyler Adams,us USA,MF,25,1999,28,21,1965,0,1.6,9,2,0,0,41,4,902,1069,437,489,393,443,38,65,3,1.0,0.8,18,67,4,1,76,14,76,10,83,50,26,49,8,39,72,33,33,32,42,0,1337,62,349,779,224,18,1337,18,4,663,14,22,1,28,12,757,10,7,0,0,45,21,0,0,1,0,114,31,18
Amine Adli,ma MAR,MO,24,2000,20,6,766,2,2.7,20,7,0,0,29,0,267,360,170,202,72,99,6,19,0,0.7,1.9,11,9,15,4,24,37,24,100,15,9,4,2,9,4,11,7,11,0,4,0,468,4,40,152,286,53,468,32,15,248,37,25,11,20,6,350,100,3,0,0,15,9,7,2,0,0,30,21,26
Arijan Ademi,mk MKD,MF,33,1991,6,4,287,0,0.6,6,1,0,0,4,1,84,96,50,55,28,31,2,6,0,0.3,0.1,2,6,0,0,9,3,9,6,3,2,1,0,2,0,2,2,3,4,5,0,132,8,29,67,36,12,132,4,3,64,3,3,1,8,4,82,6,2,0,0,7,3,2,0,0,0,5,8,3
Francis Abu,gh GHA,MF,23,2001,7,7,554,0,0.1,5,1,0,0,11,3,190,257,92,123,73,94,19,26,1,0.2,0.3,2,30,7,1,32,1,32,6,28,15,6,16,6,7,10,3,6,7,8,0,333,14,44,207,84,3,333,7,2,121,1,4,0,8,2,153,6,3,1,1,14,3,0,0,0,0,33,11,10
Abel,es ESP,DF,23,2000,35,20,2074,2,0.5,12,4,0,0,39,4,776,1071,385,439,315,401,58,158,0,1.0,1.5,16,57,18,13,77,50,77,92,61,37,28,25,8,39,63,24,29,18,64,2,1322,65,370,605,357,19,1322,35,18,605,50,44,7,27,18,683,92,3,0,0,25,32,3,0,1,0,106,20,17
Tosin Adarabioyo,eng ENG,DF,26,1997,22,15,1409,1,0.9,13,2,0,0,15,1,1079,1184,406,425,603,636,66,109,1,0.2,0.2,1,62,1,0,42,5,42,1,17,13,11,6,0,8,12,4,9,11,80,0,1330,175,630,674,27,14,1330,6,4,777,5,2,0,4,0,1000,1,4,0,0,8,9,1,0,0,0,41,42,28
