Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
Douglas,br BRA,MF,27,1997,28,28,2307,4,3.4,36,14,0,0,34,3,1029,1190,465,514,451,496,80,110,2,1.5,1.2,15,108,12,1,125,14,125,34,69,42,29,31,9,26,44,18,51,32,47,0,1478,69,363,886,238,44,1478,20,12,715,14,10,1,18,14,941,34,8,0,0,42,36,0,0,1,0,111,23,35
Avishay Cohen,il ISR,DF,29,1995,1,0,19,0,0.0,0,0,0,0,2,0,15,22,8,10,6,7,1,3,0,0.0,0.0,1,2,0,0,2,0,2,2,2,1,0,1,1,1,2,1,1,1,0,1,27,0,7,11,9,1,27,0,0,14,0,1,0,1,0,16,2,0,0,0,0,0,0,0,0,0,1,1,2
Anastasios Douvikas,gr GRE,FW,24,1999,13,6,580,2,2.5,14,5,0,0,19,1,81,106,56,63,15,20,5,7,2,1.1,0.7,9,6,1,0,6,8,6,36,3,2,0,3,0,1,4,3,3,1,3,0,182,2,13,73,99,34,182,9,5,113,8,8,8,25,12,134,36,1,0,0,13,17,1,0,0,0,11,8,19
Franck Honorat,fr FRA,FW,27,1996,19,18,1439,4,4.5,31,9,0,0,83,8,409,606,218,258,131,196,45,101,7,5.3,4.9,50,24,26,17,45,63,45,124,17,7,10,4,3,2,8,6,9,5,28,1,762,30,127,260,389,60,762,32,12,373,63,35,26,22,12,456,124,0,0,0,7,5,8,0,0,0,72,9,12
Dálcio,gw GNB,MF,28,1996,5,0,183,0,0.1,4,0,0,0,4,0,60,77,30,33,23,27,6,10,0,0.1,0.1,2,8,2,2,6,0,6,5,4,2,3,1,0,2,3,1,3,1,0,0,100,2,21,53,26,0,100,4,3,51,0,3,0,5,1,67,5,0,0,0,4,3,0,0,0,0,7,2,4
Hugo Duro,es ESP,FW,24,1999,31,25,2166,11,9.4,48,16,1,1,29,5,296,428,172,223,96,132,11,21,2,1.3,0.5,14,18,3,0,28,13,28,88,13,8,4,7,2,5,13,8,11,10,11,0,634,15,47,328,265,90,633,20,7,297,13,8,7,58,32,471,88,5,0,0,38,50,7,2,1,1,46,59,101
Thijs Dallinga,nl NED,FW,23,2000,8,4,412,1,1.7,10,6,0,0,10,1,54,72,32,38,19,22,1,1,0,0.0,0.0,2,3,0,0,4,4,4,16,6,2,2,2,2,0,3,3,3,1,8,0,122,8,13,61,48,17,122,4,3,68,4,1,0,13,8,78,16,0,0,0,8,3,6,0,0,0,11,7,15
Tibe De Vlieger,be BEL,MO,18,2005,4,1,99,0,0.2,2,0,0,0,1,0,38,52,22,26,12,15,3,5,0,0.0,0.1,0,4,2,0,5,2,5,6,3,1,1,2,0,1,1,0,4,1,0,0,73,0,9,38,27,7,73,1,0,41,2,1,1,5,2,51,6,0,0,0,3,5,1,0,0,0,6,1,1
Artem Dovbyk,ua UKR,FW,27,1997,32,27,2418,12,11.9,61,25,2,2,52,6,321,433,212,275,62,80,5,6,2,2.4,1.5,25,17,4,0,16,24,16,175,4,2,0,1,3,0,4,4,10,2,12,0,654,15,29,261,365,145,652,18,7,355,24,10,14,79,33,504,175,0,0,0,30,16,22,0,0,0,26,42,60
João Félix,pt POR,MO,24,1999,12,3,369,1,2.2,20,5,0,0,18,3,171,199,95,105,62,68,10,15,1,1.0,0.5,6,22,8,0,26,21,26,30,8,3,2,5,1,5,9,4,2,3,2,0,272,2,26,128,125,30,272,31,10,193,21,13,5,6,4,218,30,2,0,0,6,17,1,0,0,0,22,4,5
Mathias Honsak,at AUT,MO,27,1996,22,12,1181,5,3.3,29,10,0,0,41,5,324,462,147,189,139,182,34,65,1,1.6,1.9,14,22,12,9,29,37,29,58,15,8,10,5,0,10,23,13,19,10,31,0,646,39,162,288,205,33,646,23,9,338,37,28,9,38,12,376,58,1,0,0,14,13,2,0,0,0,55,22,21
Omar Colley,gm GAM,DF,31,1992,5,3,366,0,0.2,3,0,0,0,5,0,216,245,69,71,127,135,18,34,0,0.5,0.3,3,10,1,0,11,1,11,2,6,4,3,3,0,1,1,0,7,5,31,1,301,47,181,107,15,6,301,1,1,160,1,1,0,2,1,188,2,0,0,0,1,3,0,0,0,0,14,4,7
Ismaël Doukouré,fr FRA,MF,21,2003,31,31,2639,1,0.6,3,1,0,0,22,4,1494,1685,638,680,755,821,79,133,1,1.1,0.5,11,101,1,0,116,20,116,9,40,22,19,18,3,17,25,8,31,25,102,3,1944,202,847,1022,84,7,1944,17,13,1149,20,5,0,21,18,1385,9,7,0,0,30,17,0,0,0,1,103,26,16
Nnamdi Collins,de GER,DF,20,2004,6,4,355,0,0.0,1,0,0,0,8,0,171,206,83,91,69,83,8,17,0,0.2,0.1,3,10,1,0,12,6,12,9,13,9,10,1,2,5,5,0,4,6,29,0,269,28,106,120,45,0,269,6,1,146,6,6,0,5,5,145,9,3,0,0,8,6,0,0,0,1,8,9,8
Nils De Wilde,be BEL,MF,21,2003,8,5,480,0,0.1,3,0,0,0,12,2,125,215,57,82,46,78,20,45,1,0.3,0.3,4,28,4,0,27,1,27,12,12,10,5,5,2,8,17,9,6,3,12,0,261,15,48,153,62,3,261,1,0,98,1,1,1,3,3,127,12,0,0,0,6,2,0,0,0,0,28,1,7
Ondrej Duda,sk SVK,MF,29,1994,28,27,2395,1,1.0,25,5,0,0,73,7,943,1204,452,496,344,416,114,223,3,3.2,2.6,32,101,24,7,117,23,117,26,46,27,21,22,3,29,64,35,28,31,30,4,1467,73,302,876,309,5,1467,42,25,711,23,26,2,53,22,789,26,12,1,1,51,57,0,0,0,0,188,14,15
Kamory Doumbia,ml MLI,MO,21,2003,30,13,1322,3,2.7,22,10,0,0,58,7,561,697,269,293,220,266,48,92,2,1.2,1.8,26,56,9,1,72,17,72,54,41,29,17,17,7,14,31,17,17,28,13,1,895,18,149,498,260,34,895,35,19,467,17,20,3,42,24,567,54,1,0,0,17,22,1,0,0,0,87,10,22
Matteo Dams,be BEL,DF,20,2004,6,6,416,0,0.0,0,0,0,0,11,1,195,219,96,104,82,90,12,19,0,0.2,0.3,2,20,3,1,19,0,19,13,15,11,5,9,1,6,14,8,8,12,6,1,268,16,77,147,45,1,268,1,1,106,0,6,1,6,2,154,13,3,0,0,9,3,0,0,0,0,15,0,6
Chidera Ejuke,ng NGA,FW,26,1998,25,9,966,2,1.1,20,8,0,0,45,2,363,445,199,220,117,140,37,53,1,1.9,1.2,21,18,20,5,38,75,38,101,19,13,8,9,2,9,20,11,12,5,8,0,612,6,66,272,292,43,612,85,47,416,75,35,26,35,22,443,101,0,0,0,6,16,4,0,0,0,63,4,9
Timo Horn,de GER,GK,31,1993,13,13,1170,0,0.0,0,0,0,0,3,0,284,499,22,22,96,97,166,379,0,0.0,0.1,1,24,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,535,379,525,10,0,0,535,0,0,285,0,0,0,1,0,254,0,2,0,0,0,2,0,0,0,0,25,3,0
Evan Ferguson,ie IRL,FW,19,2004,8,1,156,0,0.6,5,1,0,0,4,0,28,37,21,26,5,7,1,2,0,0.3,0.3,2,1,0,0,1,1,1,7,3,1,0,1,2,0,0,0,2,1,1,0,66,1,6,30,31,10,66,5,3,31,1,1,1,8,5,42,7,0,0,0,1,2,0,0,0,0,8,5,10
Kryštof Daněk,cz CZE,MO,21,2003,3,0,50,0,0.0,0,0,0,0,1,0,13,14,8,8,3,3,1,1,0,0.0,0.0,0,0,0,0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,0,21,0,2,12,7,0,21,2,2,11,1,1,0,3,1,10,3,0,0,0,0,0,0,0,0,0,1,0,1
Aritz Elustondo,es ESP,DF,30,1994,22,16,1457,0,0.4,4,0,0,0,11,1,775,907,286,303,406,449,75,127,0,0.2,0.4,4,58,2,0,51,17,51,4,20,11,15,3,2,11,19,8,17,11,96,0,1092,100,462,581,53,12,1092,8,3,624,17,6,1,14,6,709,4,2,1,0,25,18,1,0,0,0,53,29,25
Lukáš Hrádecký,fi FIN,GK,34,1989,29,29,2610,0,0.0,0,0,0,0,4,1,687,912,145,145,307,314,230,444,0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,2,962,782,952,11,0,0,962,0,0,538,0,0,0,0,0,504,0,1,0,0,0,2,0,0,0,0,70,1,1
Denzel Dumfries,nl NED,MF,28,1996,28,19,1865,7,5.4,36,19,0,0,55,4,603,831,322,377,229,332,45,76,2,3.2,2.8,21,22,21,9,51,55,51,173,25,15,12,9,4,14,27,13,31,6,26,1,1047,35,182,423,457,95,1047,45,13,534,55,27,15,27,14,665,173,4,0,0,53,18,6,2,0,0,65,57,18
Evan Ferguson,ie IRL,FW,19,2004,13,2,246,1,0.5,7,2,0,0,4,0,43,58,31,36,8,11,1,4,0,0.4,0.4,3,1,0,0,1,2,1,9,4,3,0,3,1,2,5,3,3,0,4,0,88,7,13,50,26,9,88,2,1,42,2,1,2,5,6,52,9,0,0,0,3,1,0,0,0,0,10,4,9
Amidou Doumbouya,fr FRA,DF,16,2007,2,0,46,0,0.0,0,0,0,0,0,0,19,25,13,14,6,9,0,0,0,0.0,0.0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,3,1,1,0,31,2,13,13,5,0,31,1,1,17,1,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,6,0,0
Max Dean,eng ENG,MO,20,2004,6,1,189,1,1.8,5,2,1,1,5,2,42,56,19,24,16,23,6,7,1,0.5,0.4,3,6,1,0,6,5,6,14,3,2,0,2,1,1,2,1,2,0,0,0,86,0,3,39,46,13,85,4,0,50,5,2,4,10,5,58,14,2,0,0,3,6,0,0,0,0,7,4,6
Toby Collyer,eng ENG,MF,20,2004,4,2,132,0,0.0,0,0,0,0,1,0,90,96,44,47,41,41,4,5,0,0.0,0.0,0,2,0,0,6,4,6,0,2,1,2,0,0,1,2,1,2,3,0,1,111,2,23,65,23,0,111,3,3,71,4,4,0,2,1,78,0,1,0,0,3,2,0,0,0,0,13,3,5
Robin Hranáč,cz CZE,DF,24,2000,4,2,219,0,0.0,0,0,0,0,1,0,127,147,42,47,74,78,10,19,0,0.0,0.0,0,8,0,0,4,2,4,0,0,0,0,0,0,0,1,1,3,5,9,1,170,14,64,104,3,1,170,0,0,107,2,2,0,1,0,118,0,0,0,0,5,0,0,0,0,0,12,5,9
Jean-Kevin Duverne,ht HAI,DF,27,1997,9,7,537,0,0.3,4,0,0,0,5,0,238,304,123,141,96,112,17,37,0,0.1,0.1,1,22,2,2,22,6,22,8,21,12,13,4,4,15,27,12,10,8,23,0,378,28,132,185,61,3,378,5,2,161,6,8,1,6,3,198,8,2,0,0,14,6,0,0,0,0,20,9,3
Adri Embarba,es ESP,MO,32,1992,35,18,1607,1,2.1,37,12,0,0,46,2,383,599,218,272,104,156,43,118,1,2.7,2.5,20,23,17,10,45,47,45,114,41,20,17,17,7,18,47,29,18,13,14,2,847,17,104,333,433,44,847,56,20,467,47,33,12,61,24,527,114,4,0,0,25,21,14,0,0,0,67,13,33
Bruno Fernandes,pt POR,MF,29,1994,36,35,3018,8,9.9,93,26,3,3,193,13,1707,2242,802,919,629,769,223,405,10,8.5,8.0,91,214,85,11,325,77,325,129,84,50,27,38,19,34,85,51,35,26,35,3,2649,62,428,1263,983,80,2646,67,28,1542,77,65,14,43,43,1853,129,5,2,1,32,40,2,0,0,0,213,22,28
Colin Coosemans,be BEL,GK,31,1992,9,9,810,0,0.0,0,0,0,0,0,0,323,442,51,51,167,167,104,220,0,0.0,0.0,0,9,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,5,0,460,297,441,20,0,0,460,1,0,302,0,0,0,0,0,300,0,1,0,0,0,8,0,0,0,0,18,4,0
Alfred Duncan,gh GHA,MF,31,1993,16,12,957,0,0.8,15,4,0,0,32,2,404,498,193,219,167,186,32,64,0,1.1,1.0,11,37,19,4,53,11,53,12,17,8,4,11,2,5,14,9,7,8,8,0,587,15,93,360,142,6,587,22,13,311,11,14,0,14,14,381,12,2,0,0,22,11,0,0,0,0,52,10,8
Miloš Degenek,au AUS,DF,30,1994,2,2,180,0,0.0,0,0,0,0,0,0,104,116,31,31,61,66,12,16,0,0.0,0.0,0,7,0,0,8,2,8,0,1,0,1,0,0,1,2,1,3,2,12,0,135,18,64,70,2,0,135,0,0,88,2,1,0,0,0,90,0,0,0,0,2,2,0,0,0,0,6,6,4
Danilo,br BRA,DF,33,1991,4,2,232,0,0.0,1,1,0,0,1,0,136,156,54,60,69,73,11,19,0,0.0,0.0,0,10,0,0,10,1,10,4,10,7,8,2,0,8,12,4,5,2,6,0,179,18,92,80,10,0,179,0,0,97,1,0,0,4,0,125,4,2,1,1,3,2,0,0,1,0,8,2,3
Stefan Džodić,rs SRB,MF,19,2005,7,2,242,0,0.1,3,0,0,0,2,0,158,176,63,71,83,86,10,16,0,0.0,0.0,0,13,0,0,10,2,10,0,8,5,3,5,0,5,8,3,5,5,10,1,210,19,80,110,20,2,210,0,0,127,2,3,0,0,1,153,0,2,1,0,4,2,0,0,0,0,10,2,6
Paulo Dybala,ar ARG,MO,30,1993,24,16,1417,6,6.4,47,15,3,3,84,8,596,729,315,346,177,213,72,114,3,5.0,5.2,40,47,26,5,79,41,79,122,17,7,3,9,5,8,19,11,12,2,2,0,909,6,67,415,439,75,906,43,11,595,41,42,17,40,28,709,122,2,0,0,6,60,6,2,0,0,63,8,17
Hong Hyunseok,kr KOR,MF,25,1999,23,4,530,0,0.5,5,2,0,0,22,3,180,231,121,141,46,60,4,9,1,1.5,1.2,9,11,7,1,23,10,23,31,8,3,3,3,2,1,4,3,7,7,9,0,292,6,35,149,114,16,292,10,4,142,10,9,2,11,12,186,31,0,0,0,3,8,1,0,0,0,25,3,9
Endrick,br BRA,FW,18,2006,22,3,363,1,2.5,24,6,0,0,8,2,59,75,31,37,18,23,6,7,0,0.5,0.2,4,1,2,0,8,12,8,32,1,1,1,0,0,1,3,2,0,4,1,0,127,1,7,41,80,23,127,11,4,83,12,5,10,10,3,103,32,1,0,0,10,9,2,1,0,0,7,6,4
Mateus Fernandes,pt POR,MF,20,2004,36,34,2909,2,4.0,42,14,0,0,78,7,1087,1361,510,580,415,483,110,196,4,3.0,3.6,34,98,27,6,145,76,145,108,89,48,45,28,16,33,72,39,43,28,35,7,1760,72,385,867,547,49,1760,109,49,897,76,70,9,58,36,1077,108,8,0,0,46,55,4,0,0,0,179,15,9
Diogo Costa,pt POR,GK,24,1999,10,10,900,0,0.0,0,0,0,0,3,1,335,427,63,63,175,176,96,185,0,0.0,0.0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,445,348,440,5,0,0,445,0,0,320,0,0,0,0,0,261,0,0,0,0,0,1,0,0,0,0,19,2,0
Arnaut Danjuma,nl NED,FW,27,1997,7,3,389,1,1.3,14,3,0,0,19,3,97,140,52,55,38,55,6,20,2,1.0,1.0,6,4,8,3,12,34,12,38,1,1,1,0,0,0,0,0,2,1,3,0,181,5,21,51,114,16,181,25,14,114,34,16,9,8,7,125,38,1,0,0,2,2,2,0,0,0,8,1,2
Thomas Delaney,dk DEN,MF,32,1991,7,5,475,0,0.6,8,1,0,0,11,0,317,379,151,170,142,162,19,33,0,0.1,0.3,3,39,5,0,41,4,41,3,12,5,3,7,2,1,7,6,5,10,15,0,448,11,87,299,64,6,448,4,1,237,4,4,0,5,1,311,3,1,0,0,12,13,0,0,0,0,29,18,15
Alfonso Espino,uy URU,DF,32,1992,16,9,833,0,0.4,10,2,0,0,13,1,365,491,199,220,140,187,20,61,1,0.6,0.6,5,35,6,5,39,10,39,29,41,24,31,8,2,26,47,21,19,12,32,1,637,39,217,288,139,10,637,14,5,307,10,13,4,10,9,333,29,4,0,0,18,15,0,0,1,0,55,14,11
Maxime Delanghe,be BEL,GK,23,2001,7,6,599,0,0.0,0,0,0,0,0,0,71,189,2,2,14,14,55,173,0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,207,140,201,6,0,0,207,0,0,101,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0,5,2,0
Enzo Ebosse,cm CMR,DF,25,1999,2,0,90,0,0.0,0,0,0,0,3,0,48,55,16,20,26,28,5,6,0,0.0,0.0,1,7,0,0,5,0,5,0,0,0,0,0,0,0,2,2,3,1,1,0,61,8,18,38,5,0,61,1,1,34,0,0,0,1,0,37,0,1,0,0,1,0,0,0,0,0,5,1,0
Costinha,pt POR,DF,24,2000,9,6,562,0,0.8,11,2,0,0,16,0,231,338,112,138,92,140,22,40,0,1.0,1.7,7,21,13,12,24,16,24,40,23,19,11,8,4,12,27,15,15,15,17,0,443,12,80,193,176,19,443,16,5,195,16,10,2,14,5,203,40,0,0,0,8,12,1,0,0,0,37,13,10
Aron Dønnum,no NOR,MF,26,1998,32,31,2689,2,2.1,31,5,0,0,92,11,880,1213,412,476,340,446,118,216,2,4.6,5.6,45,73,50,14,126,94,126,142,56,35,25,24,7,31,55,24,29,28,37,1,1542,58,318,693,560,72,1542,104,47,862,94,52,26,44,38,913,142,6,0,0,38,55,0,0,0,0,171,12,17
Oscar Højlund,dk DEN,MF,19,2005,20,7,722,1,1.0,6,2,0,0,17,1,359,408,194,205,137,156,13,22,0,1.1,0.3,6,30,4,0,49,17,49,9,21,12,8,9,4,8,16,8,15,5,11,1,497,10,125,292,83,11,497,11,8,291,17,8,5,18,11,338,9,0,0,0,12,3,0,0,0,0,40,7,17
Enzo Fernández,ar ARG,MF,23,2001,36,32,2947,6,6.1,53,20,0,0,147,16,1518,1900,700,789,626,737,157,273,7,6.8,6.2,77,167,41,7,212,60,212,126,65,33,17,30,18,31,84,53,43,13,23,4,2210,37,346,1129,751,81,2210,55,26,1211,60,55,9,29,28,1622,126,8,0,0,52,54,2,0,0,0,156,14,29
Jayden Danns,eng ENG,FW,18,2006,1,1,82,0,0.1,1,0,0,0,2,0,8,10,5,7,2,2,0,0,0,0.0,0.0,0,1,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,23,1,1,15,7,0,23,5,0,13,1,0,0,2,1,18,0,0,0,0,1,2,0,0,0,0,0,0,1
Noah Edjouma,fr FRA,MO,18,2005,10,1,171,2,1.3,5,3,0,0,5,0,36,52,20,24,11,15,0,3,0,0.1,0.1,1,2,2,1,7,8,7,17,2,2,0,1,1,1,2,1,1,2,2,0,90,3,10,27,55,13,90,14,4,62,8,7,2,7,6,58,17,0,1,0,4,3,0,0,0,0,8,2,3
Valentin Crețu,ro ROU,DF,35,1989,9,9,740,0,0.1,2,1,0,0,8,0,251,331,146,167,86,116,13,30,0,0.2,0.4,4,9,7,3,16,13,16,18,24,18,17,4,3,15,30,15,13,8,32,1,441,29,188,166,89,3,441,5,2,176,13,15,1,14,6,193,18,3,0,0,9,16,0,0,0,0,38,10,11
Mark Flekken,nl NED,GK,31,1993,37,37,3275,0,0.0,0,0,0,0,10,2,1254,1717,154,157,678,695,422,858,2,0.5,0.1,3,50,2,0,0,0,0,0,4,4,4,0,0,3,9,6,2,0,26,4,1824,1436,1777,52,0,0,1824,1,1,1122,0,0,0,3,0,1015,0,1,0,0,0,3,0,0,0,0,39,4,0
Logan Delaurier Chaubet,fr FRA,MO,22,2002,6,6,473,1,1.4,10,3,1,1,9,1,119,146,70,79,35,41,7,12,1,0.3,0.8,2,10,4,1,12,10,12,31,11,7,4,5,2,4,10,6,7,3,3,0,200,2,26,81,97,12,199,11,5,149,10,9,5,11,9,151,31,1,0,0,10,6,0,0,0,0,14,2,3
Tyronne Ebuehi,ng NGA,MF,28,1995,4,0,74,0,0.0,0,0,0,0,1,0,33,46,20,27,10,13,1,1,0,0.0,0.1,0,3,1,1,4,3,4,3,3,2,1,2,0,1,1,0,1,2,0,0,59,1,5,30,24,3,59,1,1,20,3,0,2,3,2,19,3,0,0,0,0,2,0,0,0,0,6,3,2
Arijon Ibrahimović,de GER,FW,18,2005,1,0,1,0,0.0,0,0,0,0,0,0,3,3,2,2,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Essugo,pt POR,MF,19,2005,27,25,1938,1,0.7,23,4,0,0,36,1,812,951,368,415,354,396,73,104,0,0.4,0.7,13,73,8,0,76,18,76,8,59,45,28,26,5,28,46,18,28,42,47,7,1228,75,362,732,148,10,1228,18,12,582,18,21,2,35,21,763,8,11,2,2,37,30,0,0,1,0,118,30,32
Matteo Darmian,it ITA,DF,34,1989,10,5,553,0,0.3,4,1,0,0,8,1,126,174,65,73,48,68,9,23,0,0.4,0.2,2,7,0,0,7,3,7,15,10,6,9,0,1,6,9,3,11,6,24,0,235,33,107,71,58,7,235,0,0,103,3,2,1,3,1,114,15,0,0,0,5,2,1,0,0,0,11,4,7
Éderson,br BRA,MF,25,1999,37,32,2881,4,4.1,39,12,0,0,98,10,1700,1966,651,742,865,932,163,219,1,4.3,4.8,37,193,41,5,216,40,216,79,52,32,19,28,5,22,34,12,30,35,36,1,2308,63,490,1273,572,56,2308,52,23,1490,40,57,12,44,41,1702,79,5,1,1,31,53,0,0,0,0,186,53,36
Mathias Delorge,be BEL,MF,20,2004,8,6,566,0,0.4,7,3,0,0,19,0,340,414,129,142,165,190,45,73,0,0.3,0.5,6,35,9,3,53,8,53,23,11,5,4,5,2,7,14,7,12,7,4,1,475,18,93,266,119,6,475,9,5,234,8,3,1,9,6,319,23,0,0,0,4,4,0,0,0,0,43,3,10
Phil Foden,eng ENG,MO,24,2000,28,20,1777,7,5.2,54,16,0,0,88,9,791,941,469,516,242,271,67,112,2,4.8,5.3,43,41,39,6,103,50,103,128,13,5,5,4,4,7,18,11,13,9,7,1,1139,13,85,382,681,83,1139,43,14,722,50,30,17,36,31,894,128,2,0,0,5,34,3,0,0,0,61,3,9
Etienne Eto'o,cm CMR,FW,21,2002,2,0,40,0,0.0,0,0,0,0,0,0,1,5,1,2,0,1,0,0,0,0.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,13,1,1,5,7,2,13,2,0,4,0,0,0,2,0,9,1,0,0,0,0,0,1,0,0,0,0,6,2
Andrej Ilic,rs SRB,FW,24,2000,16,11,937,7,4.9,27,11,1,1,15,2,110,191,72,104,24,52,1,5,0,0.3,0.2,6,16,0,0,13,5,13,59,2,2,0,2,0,0,6,6,7,5,6,1,302,10,32,139,135,45,301,7,1,151,5,6,4,32,9,209,59,1,0,0,14,8,8,0,0,0,16,52,56
Bryan Cristante,it ITA,MF,29,1995,8,5,498,0,0.4,4,2,0,0,5,0,250,303,98,118,125,139,23,38,0,0.1,0.1,1,26,2,0,22,3,22,6,12,3,7,4,1,3,7,4,8,10,15,0,361,24,107,210,45,7,361,2,1,241,3,10,1,2,0,241,6,2,1,1,8,1,1,0,0,0,22,25,20
Jacques Ekomie,ga GAB,MF,20,2003,18,7,697,0,0.0,1,0,0,0,4,1,183,260,112,129,57,79,8,26,0,0.0,0.1,0,10,3,0,20,13,20,24,22,14,9,10,3,8,12,4,16,4,14,0,358,18,99,128,134,7,358,21,4,135,13,14,0,9,12,161,24,1,0,0,11,21,1,0,0,0,33,11,13
Juan David Cabal,co COL,DF,23,2001,2,2,157,0,0.0,0,0,0,0,3,0,94,107,35,37,44,49,15,19,0,0.0,0.0,0,11,1,0,8,2,8,6,4,2,4,0,0,3,8,5,2,2,3,0,125,5,54,58,15,0,125,3,2,86,2,3,0,3,1,86,6,1,0,0,3,2,0,0,0,0,7,1,4
Jackson Irvine,au AUS,MF,31,1993,29,29,2610,0,3.2,41,12,0,0,56,5,684,969,369,467,254,353,34,70,6,3.9,2.5,32,93,12,2,117,19,117,58,56,28,24,26,6,25,45,20,27,36,63,2,1286,77,330,689,283,75,1286,23,9,464,19,18,5,42,13,710,58,2,0,0,38,16,2,0,1,0,125,85,65
Karl Etta,cm CMR,MO,20,2003,4,0,37,1,0.4,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9,0,1,2,6,1,9,0,0,5,0,0,0,4,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0
Carlos Cuesta,co COL,DF,25,1999,2,2,180,0,0.1,2,0,0,0,3,1,85,99,44,47,37,46,3,4,0,0.0,0.0,2,7,0,0,5,3,5,5,4,3,3,1,0,2,3,1,3,2,5,0,116,9,31,69,18,3,116,1,0,69,3,1,0,1,0,75,5,0,0,0,1,1,0,0,0,0,5,4,2
Jonathan David,ca CAN,FW,24,2000,10,8,747,7,4.7,18,9,2,2,19,5,183,217,104,121,66,72,5,6,2,1.3,0.8,7,6,3,0,16,8,16,52,3,1,1,1,1,0,2,2,3,2,3,1,297,5,23,139,139,42,295,18,8,218,8,7,3,23,13,233,52,2,0,0,11,10,2,0,0,0,24,2,14
Dumitru Demian,md MDA,MF,25,1999,6,4,395,0,0.1,2,0,0,0,2,0,78,116,39,48,30,48,6,10,0,0.0,0.2,1,4,6,2,12,7,12,26,11,8,6,5,0,6,13,7,5,5,22,0,183,23,74,59,52,5,183,4,1,70,7,7,0,8,6,92,26,2,0,0,3,1,1,0,0,0,11,6,3
Kingsley Ehizibue,nl NED,DF,29,1995,33,30,2498,0,1.2,14,4,0,0,51,2,753,982,350,404,319,399,63,122,1,2.2,1.8,22,29,21,16,55,54,55,116,55,35,31,18,6,25,41,16,41,23,70,5,1272,81,381,520,386,35,1272,30,12,576,54,36,9,29,21,629,116,5,0,0,33,33,5,0,0,0,110,29,33
Wesley Fofana,fr FRA,DF,23,2000,14,14,1172,0,0.4,3,0,0,0,15,0,724,803,306,326,385,416,26,42,0,0.4,0.2,6,54,1,0,32,19,32,4,13,12,6,7,0,6,14,8,14,14,55,2,933,81,370,523,55,10,933,15,8,557,19,12,1,16,5,665,4,7,0,0,24,16,0,0,0,0,54,27,12
Pierre Ekwah Elimby,fr FRA,MF,22,2002,29,29,2575,1,0.7,25,6,0,0,40,4,1405,1593,674,725,588,639,113,173,0,1.0,1.6,16,144,19,0,146,20,146,21,54,33,18,30,6,34,56,22,26,47,72,1,1885,123,560,1095,250,7,1885,32,18,907,20,14,1,29,17,1307,21,3,0,0,42,38,0,0,0,0,154,30,13
