Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Jonas Urbig,de GER,GK,Bayern Munich,20,2003,12,11,1023,1.41,3.52,2.11,0.35,0.0,0.0,0.0,0.0,1.18,3.52,11.09,33.08,3.61,2.38,10.82,0.44,2.38,0.0,-0.23,59.94,31.74,4.07
Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,3420,1.16,4.29,3.08,0.32,0.05,0.0,0.05,0.0,1.28,8.0,21.21,35.66,4.24,6.08,14.68,0.82,1.5,0.05,0.13,71.79,37.72,5.59
Josep Martinez,es ESP,GK,Inter,26,1998,6,6,540,0.5,3.17,2.67,0.67,0.0,0.0,0.0,0.0,0.72,4.33,9.5,43.5,3.67,4.67,16.0,0.67,0.5,0.0,0.22,84.23,45.58,4.19
Josip Condric,hr CRO,GK,kz Astana FK,30,1993,3,3,270,0.67,5.33,4.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,87.62,,
José Sá,pt POR,GK,Wolves,31,1993,29,29,2609,1.66,4.04,2.38,0.24,0.24,0.17,0.07,0.0,1.48,3.24,13.18,26.6,4.17,5.17,14.9,1.1,1.48,0.07,-0.18,58.91,24.58,7.38
Juan Musso,ar ARG,GK,Atalanta,30,1994,3,3,270,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.27,1.67,9.67,21.67,5.0,9.0,12.67,0.67,0.33,0.0,0.27,100.0,17.27,5.29
Juan Soriano,es ESP,GK,Leganés,26,1997,6,6,540,1.17,4.17,3.17,0.17,0.0,0.0,0.0,0.0,1.47,6.0,20.0,21.83,3.33,9.0,21.67,1.17,0.0,0.0,0.3,76.02,30.0,5.4
Julen Agirrezabala,es ESP,GK,es Athletic Club,23,2000,27,27,2376,0.98,2.99,1.97,0.38,0.19,0.15,0.04,0.0,1.06,4.2,12.23,22.65,3.33,4.51,9.7,0.98,1.17,0.04,0.08,65.89,34.34,10.1
Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,0.72,5.76,5.04,0.72,0.0,0.0,0.0,0.0,2.02,6.48,20.88,28.08,1.44,12.96,28.8,2.16,0.0,0.0,1.3,87.5,31.03,7.5
Jörg Siebenhandl,at AUT,GK,at LASK,34,1990,4,4,276,1.3,3.59,2.28,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,63.51,,
