Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Hamza Choudhury,bd BAN,MF,26,1997,16,13,1105,30.26,29.8,24.82,36.71,48.38,47.98,12.47,18.7,64.18,63.69,58.1,54.8,74.51,76.65,46.45,45.97,28.76,12.04,19.71,17.97,21.06,20.69,22.52,37.87,16.29,37.87,22.19,78.85,82.79,88.78,58.5,61.25,71.45,54.92,60.94,59.02,95.54,81.02,15.59,64.88,86.12,90.56,59.75,26.04,29.25,64.88,19.93,32.76,57.46,16.29,28.79,50.52,80.41,81.42,52.02,22.19,58.07,54.37,52.08,68.31,35.73,66.66,46.97,54.83,51.22,40.59,60.02,38.23,57.52,86.52,13.66,12.22,17.73,78.91,19.22,52.32,53.79,62.47,41.63,50.73,83.99,88.29
Hamza El Kaouakibi,ma MAR,MF,26,1998,20,7,801,78.73,66.44,64.39,70.66,48.38,47.98,55.1,47.1,20.75,23.11,35.27,32.82,20.17,24.21,17.82,31.54,28.76,58.1,47.65,69.1,36.09,40.59,56.57,32.67,71.18,32.67,52.32,11.8,13.57,14.94,18.15,75.4,26.1,19.87,72.8,95.48,24.54,94.32,64.55,26.28,90.34,78.91,10.91,52.96,85.18,26.41,61.98,66.26,9.66,71.18,28.15,84.81,33.31,40.56,13.88,52.32,5.75,54.37,52.08,28.45,13.54,8.77,46.97,54.83,51.22,53.55,75.83,13.51,82.37,37.16,43.89,53.18,73.62,14.52,82.27,43.28,22.95,47.13,17.54,16.14,24.76,64.0
Hamza Mendyl,ma MAR,DF,26,1997,12,6,581,33.87,40.09,34.04,19.13,49.59,49.51,78.49,73.75,31.08,29.01,53.11,52.94,31.37,31.4,10.15,8.63,92.01,73.31,78.72,72.27,37.44,54.24,25.61,50.61,96.22,50.61,85.23,81.16,87.62,69.13,90.09,71.16,68.98,58.98,54.77,86.69,21.13,28.58,68.75,36.13,16.92,8.81,41.45,87.5,63.69,36.19,98.26,95.58,71.6,96.22,97.18,98.26,16.83,28.37,51.8,85.23,57.41,56.89,52.91,16.98,60.96,12.09,47.97,59.88,54.27,20.09,29.51,70.61,25.49,21.54,86.05,78.37,72.01,80.29,21.22,43.6,40.09,43.78,31.98,29.83,85.06,39.83
Han-Noah Massengo,fr FRA,MF,23,2001,8,1,97,30.26,91.84,54.89,16.23,48.38,47.98,16.29,98.07,74.63,71.03,79.61,73.41,73.59,80.23,12.99,9.9,99.45,66.05,9.47,58.62,37.96,70.2,22.52,12.1,6.82,12.1,43.83,44.13,6.17,60.36,54.89,15.56,6.78,4.95,92.76,88.33,53.48,94.99,64.55,73.62,97.13,92.73,71.09,24.76,46.7,73.62,37.41,9.29,69.32,6.82,7.43,21.73,94.93,92.45,70.81,43.83,3.27,54.37,52.08,26.44,43.18,66.66,46.97,54.83,51.22,72.37,54.19,3.06,94.01,96.18,14.85,37.47,45.87,5.26,19.22,16.38,77.96,93.15,31.72,35.88,5.26,9.29
Hannes Delcroix,be BEL,DF,25,1999,12,10,888,33.87,40.09,24.04,19.13,49.59,49.51,40.09,63.55,76.8,74.48,63.66,65.26,84.59,84.07,47.41,40.67,34.51,38.37,65.78,27.09,51.74,13.46,25.61,71.02,33.23,71.02,38.4,80.29,91.22,73.2,87.94,61.92,39.51,30.64,70.38,58.46,75.0,89.62,16.4,79.48,60.58,76.05,84.39,38.84,39.56,79.48,37.3,47.01,69.19,33.23,29.04,27.97,53.75,42.03,71.92,38.4,45.09,56.89,52.91,33.31,33.17,68.69,47.97,59.88,54.27,51.42,75.96,8.69,85.64,50.23,41.66,41.16,22.47,76.42,21.22,37.03,70.61,34.22,76.54,56.51,92.85,79.33
Hannes Van der Bruggen,be BEL,MF,31,1993,27,25,1997,64.98,70.78,68.77,77.17,48.38,47.98,61.25,75.0,42.15,61.74,15.13,27.63,64.94,78.97,67.57,81.3,61.37,62.29,58.44,65.34,78.55,77.05,46.82,89.46,16.01,89.46,36.12,63.88,83.53,52.02,68.15,81.72,73.66,87.5,9.14,72.19,86.31,68.61,64.55,61.49,74.17,30.56,73.87,57.09,50.4,61.49,43.92,56.63,61.03,16.01,76.19,21.73,51.41,60.57,24.54,36.12,30.04,54.37,52.08,58.16,38.26,66.66,46.97,54.83,51.22,94.87,89.0,10.91,89.58,60.36,47.49,62.59,52.57,79.92,41.26,56.05,10.21,7.03,17.3,29.1,61.49,77.44
Hannes Wolf,at AUT,MO,26-094,1999,22,21,1813,90.68,69.76,57.15,58.79,45.47,44.54,48.05,73.76,77.1,78.29,92.29,94.16,45.55,45.51,28.56,35.59,69.72,57.11,52.02,57.78,36.56,81.59,73.8,61.41,76.2,61.41,92.37,74.36,74.78,44.27,82.0,86.15,76.05,82.56,14.82,70.66,84.77,67.63,57.67,76.65,67.07,64.41,51.5,89.67,87.76,76.65,62.61,48.58,75.22,76.2,51.31,90.64,69.57,48.32,75.6,92.37,57.22,53.41,50.97,60.25,17.33,39.75,43.82,52.62,50.45,77.17,16.24,82.34,11.71,65.12,90.94,51.91,90.94,76.46,91.43,24.1,59.96,50.6,44.09,23.99,51.12,27.92
Hannibal Mejbri,tn TUN,MO,21,2003,37,23,1924,41.09,35.33,35.78,22.31,45.47,44.54,55.35,76.01,79.38,74.25,82.49,79.9,79.34,77.13,61.45,53.26,76.95,64.3,67.81,58.53,80.69,49.96,49.06,75.26,51.05,75.26,40.68,67.37,60.48,57.82,78.11,60.52,61.64,46.18,61.0,81.96,65.83,32.56,57.67,69.91,46.11,43.45,79.34,61.12,43.9,69.91,45.06,55.24,69.46,51.05,47.53,42.63,49.36,18.41,75.0,40.68,18.45,5.28,50.97,12.61,84.81,42.33,90.38,52.62,50.45,70.51,42.1,67.55,31.47,33.42,48.8,59.09,37.46,60.93,32.49,58.31,86.49,84.73,71.15,71.11,61.79,70.51
Hans Vanaken,be BEL,MF,31,1992,29,29,2583,96.36,95.54,80.07,93.73,48.38,47.98,90.04,95.87,91.5,89.55,89.49,89.24,87.16,86.0,95.51,82.98,97.13,92.15,91.01,89.52,82.18,94.93,54.83,94.32,75.61,94.32,75.73,20.69,18.95,25.31,29.8,61.25,17.88,19.5,60.94,47.43,21.91,41.72,27.81,87.65,46.97,41.5,83.01,87.16,90.77,87.65,45.14,54.34,96.33,75.61,91.08,79.77,66.66,44.1,91.63,75.73,67.3,54.37,52.08,82.03,43.58,32.58,46.97,54.83,51.22,39.91,90.16,30.65,83.31,61.37,85.54,91.63,90.4,16.01,79.31,83.44,88.36,67.94,76.31,94.99,18.03,69.32
Hany Mukhtar,de GER,MO,30-120,1995,23,23,2025,92.1,95.13,91.95,95.88,96.37,98.2,90.87,85.25,79.12,79.94,80.69,80.35,75.41,75.64,74.4,76.16,81.4,81.55,93.97,90.72,74.44,75.9,69.95,74.4,77.54,74.4,61.6,24.44,19.5,40.01,28.22,44.69,34.84,35.82,53.59,26.31,33.05,30.58,13.59,77.47,16.99,18.26,78.74,83.46,82.15,77.02,45.28,39.71,65.46,77.54,85.52,71.71,37.31,18.6,79.34,61.6,58.94,53.41,50.97,44.8,49.93,15.87,98.76,52.62,50.45,21.44,15.19,67.96,19.76,27.43,69.24,90.94,80.31,22.49,51.42,15.12,63.1,71.97,58.76,45.58,23.58,35.93
