Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Dávid Gróf,hu HUN,GK,hu Ferencváros,35,1989,2,2,180,3,9,6,1,0,0,0,0,2.4,10,32,47,4,7,33,2,1,0,-0.6000000000000001
Dénes Dibusz,hu HUN,GK,hu Ferencváros,33,1990,7,7,572,10,31,21,2,3,3,0,0,11.1,27,59,167,24,29,79,1,7,0,1.0999999999999996
Ed McGinty,ie IRL,GK,ie Shamrock Rov,24,1999,2,2,210,1,5,4,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.0
Ederson,br BRA,GK,Manchester City,30,1993,34,34,3040,46,125,80,11,4,4,0,0,46.6,90,207,1064,141,106,279,17,66,0,0.6000000000000014
Elia Caprile,it ITA,GK,Napoli,22,2001,22,21,1945,23,74,51,8,1,1,0,0,25.7,143,357,628,102,174,297,21,26,0,2.7
Elías Rafn Ólafsson,is ISL,GK,dk Midtjylland,24,2000,6,6,520,7,30,23,2,1,1,0,0,7.3,25,96,156,32,49,62,5,12,0,0.2999999999999998
Emil Audero,id IDN,GK,Como,27,1997,8,8,720,18,34,16,0,4,4,0,0,12.4,17,55,232,30,21,95,5,8,0,-5.6
Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,49,49,4274,57,202,144,13,3,2,1,0,61.699999999999996,214,546,1634,173,213,612,69,43,1,4.6999999999999975
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,5,17,12,1,1,1,0,0,4.7,7,35,80,20,26,39,4,1,0,-0.2999999999999998
Fabian Bredlow,de GER,GK,de Stuttgart,29,1995,1,1,90,4,6,2,0,0,0,0,0,3.3,4,14,31,5,2,8,0,2,0,-0.7000000000000002
Fabiano,br BRA,GK,cy AC Omonia,36,1988,7,7,630,9,33,23,2,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-9.0
Fabijan Buntić,hr CRO,GK,az Qarabağ,27,1997,2,2,180,5,10,5,0,0,0,0,0,4.4,1,6,31,7,6,17,1,2,0,-0.5999999999999996
Fabrice Ondoa,cm CMR,GK,lv FK Rīgas FS,28,1995,8,8,720,13,40,27,1,0,0,0,0,11.1,33,110,194,30,41,129,6,4,0,-1.9000000000000004
Federico Ravaglia,it ITA,GK,Bologna,24,1999,13,12,1146,15,29,14,4,1,1,0,0,12.399999999999999,53,154,471,51,49,104,11,9,0,-2.6000000000000005
Fernando Muslera,uy URU,GK,tr Galatasaray,38,1986,6,6,540,14,29,15,0,1,1,0,0,13.8,25,61,168,25,25,63,5,6,0,-0.1999999999999993
Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,18,18,1620,18,77,59,6,2,2,0,0,9.3,7,33,171,19,18,53,2,2,0,-8.7
Filip Manojlović,rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,9,39,29,4,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-9.0
Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,23,83,60,0,5,4,1,0,25.2,48,161,439,51,73,249,12,13,1,2.1999999999999993
Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,19,82,65,9,2,2,0,0,24.2,129,341,614,51,145,337,9,26,0,5.199999999999999
Florian Müller,de GER,GK,Freiburg,26,1997,9,8,753,16,30,15,1,2,2,0,0,11.6,54,166,267,28,57,104,6,9,0,-4.4
Fran,es ESP,GK,Real Madrid,19,2005,1,1,90,2,2,0,0,0,0,0,0,0.9,1,2,16,3,4,5,1,1,0,-1.1
Fran Vieites,es ESP,GK,Betis,25,1999,12,12,1110,12,26,14,3,0,0,0,0,4.7,12,54,90,16,29,65,6,4,0,-7.3
Francis Uzoho,ng NGA,GK,cy AC Omonia,25,1998,1,1,90,1,4,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.0
Franco Israel,uy URU,GK,pt Sporting CP,24,2000,8,8,720,12,39,28,2,2,1,0,1,13.0,19,59,201,30,59,76,3,3,1,1.0
Frank Feller,de GER,GK,Heidenheim,20,2004,4,3,331,4,14,10,2,1,1,0,0,0.3,10,34,54,7,11,25,1,1,0,-3.7
Fraser Forster,eng ENG,GK,Tottenham,36,1988,11,11,990,21,66,45,2,2,2,0,0,23.5,17,53,267,53,86,152,9,9,0,2.5
Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,37,111,71,8,5,1,4,0,39.3,143,395,734,135,161,483,40,35,4,2.299999999999997
Fyodor Lapoukhov,by BLR,GK,by Dinamo Minsk,21,2003,6,6,540,13,30,16,1,4,2,2,0,0.0,0,0,0,0,0,0,0,0,2,-13.0
Gabriel Kobylak,pl POL,GK,pl Legia Warsaw,22,2002,4,4,360,5,23,18,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5.0
Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,0,0,0,0,0,0,0,0,0.0,0,3,15,2,4,2,0,1,0,0.0
Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27,1997,34,34,3060,77,209,132,5,15,13,2,0,73.5,131,486,978,145,205,510,24,33,2,-3.5
Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,3060,47,135,87,5,6,3,3,0,47.5,92,202,1097,133,105,309,28,59,3,0.5
Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,39,39,3471,39,122,84,10,1,1,0,0,36.9,76,233,894,148,179,362,24,33,0,-2.1000000000000014
Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34,34,3060,48,136,89,8,7,5,2,0,46.1,141,449,859,134,219,472,33,38,2,-1.8999999999999986
Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,0,9,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0.0
Gregor Kobel,ch SUI,GK,Dortmund,26,1997,45,45,4050,66,186,121,11,4,4,0,0,65.1,152,455,1525,185,168,544,28,67,0,-0.9000000000000021
Grégoire Coudert,fr FRA,GK,Brest,25,1999,3,3,270,12,22,11,0,0,0,0,0,8.5,13,40,89,16,16,38,3,5,0,-3.5
Guglielmo Vicario,it ITA,GK,Tottenham,27,1996,33,33,2970,42,132,93,8,2,1,0,1,44.1,55,176,1038,154,115,438,42,37,1,2.0999999999999988
Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,2543,36,92,58,8,2,1,1,0,27.9,80,286,675,83,135,360,5,34,1,-8.100000000000001
Günay Güvenç,0,GK,tr Galatasaray,33,1991,4,4,360,8,25,17,0,1,1,0,0,9.7,14,25,128,15,17,36,2,6,0,1.6999999999999993
Hendrik Bonmann,de GER,GK,bg Ludogorets,30,1994,4,4,360,4,24,20,2,0,0,0,0,6.6,27,79,167,20,33,77,7,3,0,2.5999999999999996
Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,30,1994,5,5,450,14,44,29,0,1,0,1,0,14.5,25,76,167,28,19,70,3,4,1,0.5
Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,8,26,18,0,2,2,0,0,11.1,14,42,115,22,19,53,4,2,0,3.0999999999999996
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,22,2001,2,1,145,2,4,3,1,0,0,0,0,0.6,15,38,54,7,16,16,2,0,0,-1.4
Ingvar Jónsson,is ISL,GK,is KV,34,1989,8,8,720,11,38,27,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,-11.0
Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,1350,18,65,47,4,3,3,0,0,19.2,67,275,470,61,73,215,13,3,0,1.1999999999999993
Isak Pettersson,se SWE,GK,se Elfsborg,27,1997,8,8,720,14,46,34,3,1,1,0,0,14.0,39,182,212,32,68,174,9,5,0,0.0
Ivan Guteša,rs SRB,GK,rs Red Star,22,2002,3,3,270,3,15,12,1,0,0,0,0,4.8,20,52,62,12,30,38,1,1,0,1.7999999999999998
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,26,1998,5,5,450,15,34,19,1,4,4,0,0,14.9,26,78,132,13,34,75,1,0,0,-0.09999999999999964
Ivan Provedel,it ITA,GK,Lazio,30,1994,32,32,2880,44,106,64,6,4,4,0,0,34.9,164,427,1111,109,121,414,31,33,0,-9.1
Ivica Ivušić,hr CRO,GK,cy Pafos FC,29,1995,9,9,810,10,24,14,3,3,2,1,0,0.0,0,0,0,0,0,0,0,0,1,-10.0
Iván Villar,es ESP,GK,Celta Vigo,27,1997,4,4,360,9,18,10,0,1,0,1,0,8.2,3,22,82,15,35,65,1,5,1,-0.8000000000000007
Iñaki Peña,es ESP,GK,Barcelona,25,1999,21,20,1846,23,61,38,6,3,3,0,0,20.799999999999997,28,103,690,94,102,188,5,104,0,-2.200000000000001
Jack Butland,eng ENG,GK,sct Rangers,31,1993,10,10,930,13,37,25,2,0,0,0,0,11.6,66,175,262,36,80,166,7,4,0,-1.4000000000000004
Jacob Karlstrom,no NOR,GK,no Molde,27,1997,4,4,420,5,16,11,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5.0
Jacob Rinne,se SWE,GK,se Djurgården,31,1993,9,8,765,11,29,20,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-11.0
Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,3,6,3,0,0,0,0,0,1.9,3,9,16,5,5,4,0,1,0,-1.1
Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10,10,900,16,44,28,2,0,0,0,0,15.4,57,195,328,36,58,169,10,8,0,-0.5999999999999996
Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,46,46,4170,44,160,118,17,10,9,0,1,40.3,136,353,842,232,330,596,42,33,1,-3.6999999999999993
Janis Blaswich,de GER,GK,at RB Salzburg,33,1991,5,4,382,14,25,11,0,0,0,0,0,10.0,14,44,105,13,27,48,1,6,0,-4.0
Jason Steele,eng ENG,GK,Brighton,33,1990,2,2,180,1,4,3,1,0,0,0,0,0.5,7,16,110,7,2,22,2,3,0,-0.5
Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,27,27,2335,42,128,85,3,8,4,3,1,44.3,124,409,820,142,179,413,13,20,4,2.299999999999997
Jay Gorter,nl NED,GK,nl Ajax,24,2000,1,0,67,2,3,1,0,0,0,0,0,1.0,3,6,27,3,2,6,0,0,0,-1.0
Jean Butez,fr FRA,GK,Como,29,1995,19,18,1666,20,68,48,5,2,2,0,0,20.1,90,235,709,92,43,190,22,51,0,0.10000000000000142
Jeroen Zoet,nl NED,GK,nl AZ Alkmaar,33,1991,1,1,90,1,5,4,0,0,0,0,0,2.6,5,22,25,5,10,25,2,0,0,1.6
Jesse Joronen,fi FIN,GK,Venezia,31,1993,8,7,703,15,40,27,2,3,3,0,0,12.6,20,84,260,46,41,125,6,5,0,-2.4000000000000004
Jesús Owono,gq EQG,GK,Alavés,23,2001,6,5,487,7,14,7,0,1,1,0,0,5.4,46,105,126,12,36,66,6,2,0,-1.5999999999999996
Joakim Persson,se SWE,GK,se Malmö,17,2007,1,1,90,2,5,3,0,0,0,0,0,1.2,4,14,24,6,5,14,1,0,0,-0.8
Joan García,es ESP,GK,Espanyol,23,2001,38,38,3420,51,192,140,8,6,4,2,0,57.7,194,526,1040,197,216,670,64,35,2,6.700000000000003
Joe Lumley,eng ENG,GK,Southampton,29,1995,3,3,270,7,20,13,0,0,0,0,0,7.7,15,50,135,14,15,56,2,7,0,0.7000000000000002
Joel Drommel,nl NED,GK,nl PSV Eindhoven,27,1996,1,1,90,3,6,3,0,0,0,0,0,3.3,7,14,40,4,5,11,0,0,0,0.2999999999999998
Johan Dahlin,se SWE,GK,se Malmö,37,1986,3,3,225,4,11,7,0,1,0,0,1,3.3,1,13,37,10,25,25,1,2,1,-0.7000000000000002
Jonas Lössl,dk DEN,GK,dk Midtjylland,35,1989,5,4,380,9,24,15,1,2,2,0,0,8.2,37,80,143,13,30,56,3,5,0,-0.8000000000000007
Jonas Omlin,ch SUI,GK,Gladbach,30,1994,12,11,978,26,72,45,1,3,2,1,0,23.8,68,190,453,46,57,166,3,13,1,-2.1999999999999993
Jonas Urbig,de GER,GK,Bayern Munich,20,2003,12,11,1023,16,40,24,4,0,0,0,0,13.4,40,126,376,41,27,123,5,27,0,-2.599999999999999
Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,3420,44,163,117,12,2,0,2,0,48.8,304,806,1355,161,231,558,31,57,2,4.799999999999997
Josep Martinez,es ESP,GK,Inter,26,1998,6,6,540,3,19,16,4,0,0,0,0,4.3,26,57,261,22,28,96,4,3,0,1.2999999999999996
Josip Condric,hr CRO,GK,kz Astana FK,30,1993,3,3,270,2,16,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
José Sá,pt POR,GK,Wolves,31,1993,29,29,2609,48,117,69,7,7,5,2,0,42.8,94,382,771,121,150,432,32,43,2,-5.200000000000003
Juan Musso,ar ARG,GK,Atalanta,30,1994,3,3,270,0,6,6,3,0,0,0,0,0.7999999999999999,5,29,65,15,27,38,2,1,0,0.7999999999999999
Juan Soriano,es ESP,GK,Leganés,26,1997,6,6,540,7,25,19,1,0,0,0,0,8.8,36,120,131,20,54,130,7,0,0,1.8000000000000007
Julen Agirrezabala,es ESP,GK,es Athletic Club,23,2000,27,27,2376,26,79,52,10,5,4,1,0,28.0,111,323,598,88,119,256,26,31,1,2.0
Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,1,8,7,1,0,0,0,0,2.8,9,29,39,2,18,40,3,0,0,1.7999999999999998
Jörg Siebenhandl,at AUT,GK,at LASK,34,1990,4,4,276,4,11,7,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4.0
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,21,2002,4,4,390,3,18,14,3,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-3.0
Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,29,29,2585,49,137,88,5,3,2,1,0,49.7,186,511,979,114,154,413,15,19,1,0.7000000000000028
Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,68,163,96,5,4,4,0,0,58.8,165,452,941,136,224,474,34,34,0,-9.200000000000003
Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,6,22,16,0,1,1,0,0,6.7,6,22,122,21,7,48,2,3,0,0.7000000000000002
Kasper Schmeichel,dk DEN,GK,sct Celtic,37,1986,10,10,900,17,54,38,3,3,2,0,1,17.3,24,59,332,43,66,156,2,5,1,0.3000000000000007
Kauã Santos,br BRA,GK,Eint Frankfurt,21,2003,14,13,1215,19,77,58,3,3,2,1,0,21.9,61,185,405,58,69,209,28,21,1,2.9000000000000004
