Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Héctor Holguín,mx MEX,GK,Santos,23,2001,1,1,90,1.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,1.6,2.0,7.0,36.0,5.0,10.0,22.0,0.0,0.0,0.0,0.6,80.0,28.57,0.0
Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-102,1992,17,17,1530,0.41,3.41,3.12,0.76,0.12,0.12,0.0,0.0,0.85,11.0,27.94,24.71,0.76,9.06,22.47,2.12,1.53,0.0,0.44,91.5,39.37,9.43
Ignacio De Arruabarrena,uy URU,GK,ec Barcelona,28-184,1997,2,1,144,1.88,5.62,3.75,0.0,0.0,0.0,0.0,0.0,1.31,3.12,8.75,14.38,3.12,12.5,11.88,0.62,1.88,0.0,-0.56,66.73,35.66,5.22
Illan Meslier,fr FRA,GK,Leeds United,24,2000,39,39,3510,0.69,2.26,1.62,0.54,0.1,0.08,0.03,0.0,0.61,1.85,7.79,30.79,4.46,3.05,8.92,0.82,0.9,0.03,-0.09,71.68,23.75,9.19
Ivan Zlobin,ru RUS,GK,Famalicão,27,1997,15,15,1350,1.2,4.2,3.0,0.33,0.07,0.07,0.0,0.0,1.53,3.2,10.53,23.53,4.07,6.13,14.13,1.07,0.47,0.0,0.33,71.43,30.39,7.57
Ivor Pandur,hr CRO,GK,Hull City,24,2000,44,44,3960,1.18,3.82,2.66,0.14,0.14,0.09,0.02,0.02,1.18,2.82,10.2,39.68,4.2,6.32,15.59,0.84,1.43,0.05,-0.0,69.63,27.65,5.39
Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40,40,3600,1.25,3.75,2.48,0.22,0.08,0.02,0.05,0.0,1.25,5.5,19.35,24.68,4.3,6.32,13.75,1.1,0.75,0.05,0.0,66.13,28.42,8.0
Jacopo Sassi,it ITA,GK,Modena,21,2003,1,1,90,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1,6.0,14.0,28.0,4.0,8.0,16.0,0.0,2.0,0.0,-1.9,60.0,42.86,0.0
Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,1.55,4.34,2.79,0.17,0.14,0.1,0.03,0.0,1.5,4.55,15.17,24.76,3.14,6.28,13.24,0.52,1.45,0.03,-0.05,64.29,29.99,3.93
James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,1.55,3.68,2.11,0.24,0.13,0.11,0.03,0.0,1.43,4.66,14.76,30.34,3.21,5.39,12.92,0.61,0.92,0.03,-0.12,57.34,31.57,4.72
James Pantemis,ca CAN,GK,Portland Timbers,28-148,1997,12,12,1080,1.33,5.33,3.83,0.25,0.42,0.17,0.25,0.0,1.45,5.0,11.58,31.67,4.08,7.42,15.58,0.58,1.25,0.25,0.12,71.86,43.18,3.72
James Shea,eng ENG,GK,Luton Town,33,1991,2,1,147,0.61,3.06,2.45,0.61,0.0,0.0,0.0,0.0,1.22,7.35,26.33,37.35,3.67,9.18,12.86,2.45,2.45,0.0,0.61,80.07,27.91,19.05
James Trafford,eng ENG,GK,Burnley,21,2002,45,45,4050,0.36,2.29,1.89,0.64,0.04,0.0,0.04,0.0,0.62,3.29,12.76,33.16,4.31,5.47,11.71,0.67,1.11,0.04,0.26,82.53,25.78,5.72
Jamie Cumming,eng ENG,GK,Oxford United,24,1999,45,45,4050,1.38,4.47,3.09,0.29,0.09,0.04,0.04,0.0,1.59,6.2,19.36,33.33,4.22,7.24,17.58,0.84,1.13,0.04,0.21,69.13,32.02,4.78
Jari De Busser,be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,1.44,5.5,4.12,0.31,0.06,0.06,0.0,0.0,1.31,4.25,14.62,41.38,5.19,5.31,19.44,0.94,1.19,0.0,-0.12,74.91,29.07,4.84
Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30,30,2700,1.5,4.8,3.33,0.2,0.17,0.1,0.0,0.07,1.65,5.07,17.53,33.03,5.33,6.2,15.67,1.27,0.77,0.07,0.15,69.38,28.92,8.1
Javier Burrai,ec ECU,GK,ar Talleres,34-283,1990,5,4,405,0.67,3.11,2.22,0.67,0.22,0.0,0.22,0.0,0.73,4.89,10.22,24.89,5.78,7.78,16.22,1.11,0.89,0.22,0.07,71.38,47.85,6.84
Javier Otero,ve VEN,GK,Orlando City,22-243,2002,2,2,180,1.0,3.5,2.5,0.0,0.5,0.5,0.0,0.0,1.3,2.5,4.5,16.0,5.0,5.5,19.5,2.0,0.5,0.0,0.3,71.43,55.56,10.26
Jayden Hibbert,jm JAM,GK,Atlanta Utd,20-348,2004,1,1,90,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,7.0,43.0,4.0,5.0,11.0,1.0,2.0,0.0,-0.2,80.0,0.0,9.09
Jeffrey Gal,us USA,GK,Chicago Fire,32-104,1993,7,6,591,1.37,2.89,1.68,0.15,0.15,0.15,0.0,0.0,0.94,2.89,7.92,22.69,4.11,6.24,11.12,1.07,0.46,0.0,-0.43,58.13,36.49,9.62
Jeroen Houwen,nl NED,GK,RKC Waalwijk,28,1996,24,24,2160,2.0,5.54,3.62,0.17,0.08,0.08,0.0,0.0,1.89,7.42,18.04,30.62,3.96,7.96,15.83,0.71,0.88,0.0,-0.11,65.34,41.13,4.49
Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6,6,540,0.5,2.0,1.67,0.5,0.0,0.0,0.0,0.0,0.25,6.17,19.5,30.0,2.0,7.5,10.83,0.67,0.67,0.0,-0.25,83.5,31.64,6.19
Jesús Camargo,ve VEN,GK,ve Dep Táchira,27-219,1997,6,6,540,1.83,6.17,4.33,0.0,0.0,0.0,0.0,0.0,1.85,3.67,10.83,22.67,5.0,9.17,18.0,0.67,2.5,0.0,0.02,70.18,33.89,3.72
Jesús Rodríguez,mx MEX,GK,Puebla,31,1993,4,4,360,2.0,5.0,3.0,0.25,0.0,0.0,0.0,0.0,2.0,5.25,10.25,30.75,4.5,9.5,12.0,1.0,1.0,0.0,0.0,60.0,51.22,8.33
Jhonatan,br BRA,GK,Rio Ave,33,1991,8,8,720,1.62,5.38,3.75,0.25,0.0,0.0,0.0,0.0,1.54,3.75,12.75,28.88,5.0,9.75,15.75,0.38,0.62,0.0,-0.09,69.7,29.41,2.41
Jimmy Maurer,us USA,GK,Houston Dynamo,36-278,1988,2,1,120,0.75,3.75,3.0,0.0,0.0,0.0,0.0,0.0,0.6,4.5,15.0,27.0,3.0,4.5,12.0,0.75,0.75,0.0,-0.15,80.0,30.0,6.25
Jo Coppens,be BEL,GK,Sint-Truiden,33,1990,3,3,270,3.67,6.0,2.33,0.0,0.33,0.33,0.0,0.0,3.0,4.0,15.67,32.0,3.0,3.33,16.67,0.33,0.0,0.0,-0.67,38.83,25.53,1.98
Joe Walsh,eng ENG,GK,QPR,22,2002,1,1,90,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.7,7.0,24.0,37.0,2.0,5.0,30.0,1.0,0.0,0.0,1.7,100.0,29.17,3.33
Joe Wildsmith,eng ENG,GK,West Brom,28,1995,10,10,900,0.9,2.8,1.9,0.2,0.0,0.0,0.0,0.0,0.9,5.4,17.5,30.3,4.5,6.5,11.8,0.7,0.7,0.0,0.0,67.86,30.86,5.93
Joe Willis,us USA,GK,Nashville SC,36-343,1988,23,23,2070,1.09,3.83,2.74,0.35,0.13,0.09,0.04,0.0,1.17,3.26,8.91,28.35,5.48,5.17,12.39,1.09,0.52,0.04,0.08,71.54,36.59,8.8
Joel Drommel,nl NED,GK,PSV Eindhoven,27,1996,1,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,42.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,,45.45,0.0
Joel Robles,es ESP,GK,Estoril,34,1990,29,29,2610,1.59,4.55,2.93,0.17,0.21,0.17,0.03,0.0,1.72,5.48,17.69,22.72,3.83,7.66,13.97,0.59,1.48,0.03,0.14,64.4,30.98,4.22
