Player,Nationality,Minutes,Goals Against,Saves,Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Lorenzo Torriani,it ITA,40,29.08,95.7,97.92,13.2,1.19,3.41,33.98,8.16,54.6,7.57,5.79,5.93,7.72,3.86,5.93
Lovro Štubljar,si SVN,180,21.51,37.39,12.02,13.2,93.47,74.04,40.65,76.26,85.01,41.84,91.69,5.93,86.35,49.55,5.93
Luca Philipp,de GER,630,1.48,92.43,1.48,13.2,97.63,98.81,78.93,77.74,96.14,98.52,80.71,74.33,93.47,94.07,80.71
Lucas Chevalier,fr FRA,3960,24.93,89.91,88.28,72.11,85.16,81.01,86.35,83.23,56.68,83.38,68.1,52.82,81.9,94.36,81.6
Lucas Perri,br BRA,3960,20.33,93.62,87.54,82.34,73.29,82.2,84.57,93.47,83.98,89.02,87.83,64.99,95.25,86.65,84.87
Luiz Lúcio Reis Júnior,br BRA,1458,84.42,34.12,49.41,68.4,31.6,27.3,19.58,72.4,43.32,54.01,54.3,60.83,81.6,40.21,46.29
Lukas Jungwirth,at AUT,262,6.82,53.71,10.98,13.2,32.05,24.33,45.1,55.49,50.74,77.3,95.55,16.91,38.58,30.56,30.42
Lukáš Horníček,cz CZE,290,79.08,60.68,82.34,59.94,29.23,35.46,39.47,39.47,23.44,61.72,31.9,88.72,36.5,15.73,29.08
Lukáš Hrádecký,fi FIN,2970,15.43,93.62,62.31,87.54,78.34,77.45,82.49,82.49,83.23,80.27,32.94,91.39,82.79,90.21,93.18
Lukáš Zima,cz CZE,90,3.12,9.94,6.68,13.2,6.97,6.53,6.23,59.79,40.36,11.57,5.79,5.93,79.53,9.5,5.93
Léon-Maurice Pöhls,de GER,540,63.35,14.24,32.34,37.39,12.76,23.44,3.86,27.6,56.38,73.89,17.36,30.42,69.73,35.01,30.86
