Player,Nationality,Minutes,Goals Against,Saves,Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Vitezslav Jaros,cz CZE,12,98.07,97.77,52.67,98.22,99.7,99.41,79.82,99.41,65.28,47.48,5.79,5.93,99.11,75.67,5.93
Vitus Eicher,de GER,90,12.02,37.39,2.37,13.2,51.78,32.2,67.06,36.94,2.52,57.86,59.64,5.93,16.91,6.97,5.93
Vladen Kovačević,ba BIH,180,40.95,80.71,89.02,13.2,6.97,3.41,6.23,24.78,4.15,3.26,80.71,5.93,43.18,10.09,5.93
Walter Benítez,ar ARG,990,46.14,54.01,32.34,29.23,68.99,40.06,65.88,49.55,33.38,32.34,70.33,47.63,21.96,43.77,37.39
Warleson,br BRA,121,98.07,5.34,69.14,88.87,56.38,49.55,2.97,12.46,18.1,2.97,5.79,83.68,70.92,80.71,78.49
Wladimiro Falcone,it ITA,3420,59.2,49.55,37.98,48.81,65.58,64.69,31.9,17.21,20.18,51.63,41.39,22.26,35.76,58.16,41.54
Wojciech Szczęsny,pl POL,2070,14.54,77.74,57.86,90.8,29.23,36.2,89.02,89.61,66.17,77.3,79.53,99.11,80.42,89.02,97.63
Yahia Fofana,ci CIV,2970,58.46,69.44,83.68,44.36,41.84,38.13,14.54,67.06,68.55,59.05,78.34,27.6,85.76,40.21,26.41
Yann Sommer,ch SUI,4230,35.61,91.1,66.77,92.88,82.49,69.44,96.44,87.83,77.45,91.39,75.37,28.19,57.57,80.42,83.68
Yehvann Diouf,sn SEN,3060,70.92,62.91,88.28,44.36,44.51,44.21,43.32,50.45,48.22,60.53,51.93,61.28,47.77,44.81,48.96
Yuri Lodygin,ru RUS,270,94.36,9.94,72.55,86.94,9.5,4.75,14.09,11.13,10.83,5.93,17.36,47.63,10.39,4.45,64.39
Zion Suzuki,jp JPN,3314,67.06,26.26,44.96,41.1,62.02,72.11,61.42,59.79,42.43,62.91,87.24,53.41,48.81,64.69,34.12
Ádám Varga,hu HUN,148,9.5,16.47,5.64,13.2,95.25,82.79,31.9,3.26,87.83,8.61,31.01,5.93,3.26,33.23,5.93
Álex Domínguez,es ESP,19,98.07,1.78,52.67,97.92,93.18,89.02,68.84,53.56,95.25,97.92,5.79,5.93,24.33,85.16,5.93
Álex Remiro,es ESP,4050,15.13,78.34,12.02,82.79,94.66,95.25,87.54,78.78,91.69,90.21,86.35,86.35,74.18,98.22,86.65
Álvaro Fernández,es ESP,747,45.4,15.73,10.53,67.95,42.73,63.8,57.27,32.2,32.94,26.41,47.48,75.07,22.4,55.49,58.16
Ørjan Nyland,no NOR,2673,74.78,17.95,43.92,48.81,33.38,50.15,39.17,31.75,33.98,35.01,34.72,42.28,50.3,47.18,42.73
Đorđe Petrović,rs SRB,2790,79.53,58.16,73.29,60.98,31.6,29.53,77.15,40.95,8.31,55.19,73.29,71.51,5.04,46.29,49.26
İrfan Can Eğribayat,tr TUR,540,82.94,76.26,98.22,78.78,63.5,58.61,36.65,50.45,59.5,57.86,91.69,70.03,59.64,30.86,26.11
Łukasz Fabiański,pl POL,1160,53.26,63.8,60.98,34.72,67.66,66.77,47.77,45.7,67.36,64.69,42.28,41.54,46.59,45.1,57.57
Łukasz Skorupski,pl POL,2994,23.44,77.15,80.12,83.23,82.2,80.42,94.36,92.88,60.24,70.92,86.05,84.87,83.98,93.47,82.49
