Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Gianluigi Donnarumma,Paris S-G,Champions League,it ITA,15,1350,48.0,14.0,35.0,15.2,1.2,6,41.0,132.0,351.0,58.0,90.0,163.0,14.0,14.0,4.58,36.21,15.59
Gianluigi Donnarumma,Paris S-G,Ligue 1,it ITA,24,2091,74.0,25.0,49.0,21.6,-3.8,4,35.0,101.0,535.0,90.0,89.0,199.0,10.0,19.0,4.08,28.21,18.45
Giorgi Mamardashvili,Valencia,La Liga,ge GEO,34,3060,136.0,48.0,89.0,46.0,-2.0,8,141.0,449.0,859.0,134.0,219.0,472.0,33.0,38.0,5.24,49.58,19.95
Giuseppe Ciocci,Cagliari,Serie A,it ITA,1,9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,21.0
Gregor Kobel,Dortmund,Bundesliga,ch SUI,32,2880,129.0,47.0,82.0,47.3,0.3,7,112.0,336.0,1117.0,126.0,121.0,420.0,22.0,47.0,3.22,45.26,19.3
Gregor Kobel,Dortmund,Champions League,ch SUI,13,1170,57.0,19.0,39.0,17.6,-1.4,4,40.0,119.0,408.0,59.0,47.0,124.0,6.0,20.0,3.8,33.27,18.64
Grégoire Coudert,Brest,Champions League,fr FRA,1,90,9.0,7.0,2.0,5.7,-1.3,0,7.0,20.0,29.0,9.0,8.0,8.0,2.0,2.0,11.27,63.3,15.8
Grégoire Coudert,Brest,Ligue 1,fr FRA,2,180,13.0,5.0,9.0,2.8,-2.2,0,6.0,20.0,60.0,7.0,8.0,30.0,1.0,3.0,3.67,36.55,20.77
Guglielmo Vicario,Tottenham,Europa League,it ITA,9,810,30.0,5.0,26.0,6.8,1.8,4,27.0,81.0,229.0,34.0,50.0,126.0,12.0,6.0,4.02,39.0,15.97
Guglielmo Vicario,Tottenham,Premier League,it ITA,24,2160,102.0,37.0,67.0,37.5,0.5,4,28.0,95.0,809.0,120.0,65.0,312.0,30.0,31.0,3.31,22.84,18.4
Guillaume Restes,Toulouse,Ligue 1,fr FRA,29,2543,92.0,36.0,58.0,27.9,-8.8,8,80.0,286.0,675.0,83.0,135.0,360.0,5.0,34.0,3.71,42.82,20.06
Günay Güvenç,Galatasaray,Europa League,0,4,360,25.0,8.0,17.0,9.6,1.6,0,14.0,25.0,128.0,15.0,17.0,36.0,2.0,6.0,3.17,25.13,16.47
Hendrik Bonmann,Ludogorets,Europa League,de GER,4,360,24.0,4.0,20.0,6.7,2.7,2,27.0,79.0,167.0,20.0,33.0,77.0,7.0,3.0,4.13,48.28,14.8
Heorhiy Bushchan,Dynamo Kyiv,Europa League,ua UKR,5,450,44.0,14.0,29.0,14.5,0.5,0,25.0,76.0,167.0,28.0,19.0,70.0,3.0,4.0,5.89,51.95,16.0
Hervé Koffi,Lens,Ligue 1,bf BFA,5,450,26.0,8.0,18.0,11.0,3.0,0,14.0,42.0,115.0,22.0,19.0,53.0,4.0,2.0,6.5,36.43,10.8
Hákon Rafn Valdimarsson,Brentford,Premier League,is ISL,2,145,4.0,2.0,3.0,0.5,-1.5,1,15.0,38.0,54.0,7.0,16.0,16.0,2.0,0.0,4.56,59.24,
Ingvar Jónsson,KV,Europa Conference League,is ISL,8,720,38.0,11.0,27.0,13.7,2.7,2,41.0,117.0,286.0,29.0,39.0,125.0,7.0,18.0,3.26,40.3,18.27
Ionuț Radu,Venezia,Serie A,ro ROU,15,1350,65.0,18.0,47.0,19.2,1.2,4,67.0,275.0,470.0,61.0,73.0,215.0,13.0,3.0,5.01,55.26,13.3
Isak Pettersson,Elfsborg,Europa League,se SWE,8,720,46.0,14.0,34.0,13.9,-0.1,3,39.0,182.0,212.0,32.0,68.0,174.0,9.0,5.0,6.33,57.01,17.24
Ivan Guteša,Red Star,Champions League,rs SRB,3,270,15.0,3.0,12.0,4.9,1.9,1,20.0,52.0,62.0,12.0,30.0,38.0,1.0,1.0,7.33,48.36,14.8
Ivan Nevistić,Dinamo Zagreb,Champions League,hr CRO,5,450,34.0,15.0,19.0,14.9,-0.1,1,26.0,78.0,132.0,13.0,34.0,75.0,1.0,0.0,3.64,40.26,
Ivan Provedel,Lazio,Europa League,it ITA,3,270,14.0,2.0,12.0,3.4,1.4,1,18.0,53.0,102.0,13.0,15.0,48.0,2.0,1.0,4.93,55.67,11.0
Ivan Provedel,Lazio,Serie A,it ITA,29,2610,92.0,42.0,52.0,31.5,-10.5,5,146.0,374.0,1009.0,96.0,106.0,366.0,29.0,32.0,3.23,46.14,20.68
Ivica Ivušić,Pafos FC,Europa Conference League,hr CRO,9,810,24.0,10.0,14.0,9.9,-0.1,3,28.0,85.0,225.0,37.0,36.0,88.0,5.0,10.0,5.03,30.88,18.99
Iván Villar,Celta Vigo,La Liga,es ESP,4,360,18.0,9.0,10.0,8.2,-0.8,0,3.0,22.0,82.0,15.0,35.0,65.0,1.0,5.0,4.25,26.84,23.04
Iñaki Peña,Barcelona,Champions League,es ESP,5,450,8.0,5.0,3.0,4.1,-0.9,2,5.0,25.0,144.0,14.0,18.0,45.0,2.0,15.0,2.33,33.85,19.83
