Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Thijmen Nijhuis,nl NED,GK,fi HJK,26,1998,6,6,540,46,74,88,40,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,88,0,0
Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,9,810,20,88,84,14,89,83,90,46,84,74,70,80,96,95,94,94,38,89,58,42,57,81
Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2,2,180,46,51,27,92,99,96,99,46,76,52,74,30,24,64,93,93,84,99,84,15,12,76
Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,5,4,380,93,73,93,90,17,20,35,46,33,77,69,84,87,82,97,99,26,33,97,97,63,98
Timo Horn,de GER,GK,Bochum,31,1993,13,13,1170,33,37,25,54,40,20,35,98,56,97,98,66,22,84,63,34,80,85,37,22,75,20
Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,25,2250,11,78,64,30,60,71,35,46,79,90,84,69,74,87,94,81,46,33,28,18,67,47
Timon Wellenreuther,de GER,GK,nl Feyenoord,28,1995,11,10,955,13,83,79,31,93,80,95,98,89,46,52,91,57,24,48,57,47,96,52,34,29,54
Tobias Sippel,de GER,GK,Gladbach,36,1988,1,0,59,0,88,6,14,17,20,35,46,78,99,99,79,29,99,95,12,12,33,18,1,80,4
Tom King,wls WAL,GK,Wolves,29,1995,1,0,1,98,0,1,14,17,20,35,46,9,9,8,100,100,8,100,12,12,33,0,0,0,4
Tommaso Martinelli,it ITA,GK,it Fiorentina,18,2006,1,1,90,98,9,52,98,17,20,35,46,9,9,8,8,8,8,8,12,12,33,0,99,0,0
Unai Marrero,es ESP,GK,Real Sociedad,22,2001,5,5,450,85,46,62,48,71,20,95,46,47,25,25,23,54,59,30,32,73,94,92,76,37,25
Unai Simón,es ESP,GK,Athletic Club,27,1997,22,22,1980,95,7,15,92,43,45,80,46,21,67,58,37,65,56,37,70,79,77,84,88,64,77
Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,3330,75,55,73,63,70,50,90,46,53,85,89,89,87,81,78,77,75,89,89,82,34,60
Veljko Ilic,rs SRB,GK,rs TSC,21,2003,8,8,720,12,74,65,14,51,62,35,46,9,9,8,8,8,8,8,12,12,33,8,21,0,0
Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,34,3060,53,21,18,56,43,53,35,46,37,22,25,25,93,76,51,59,77,33,38,29,26,53
Vid Belec,si SVN,GK,cy APOEL,34,1990,8,8,720,76,57,74,34,51,20,92,46,9,9,8,8,8,8,8,12,12,91,8,79,0,0
Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,1,0,12,98,96,99,100,17,20,35,46,9,100,100,99,99,84,71,12,12,33,0,99,99,4
Vitus Eicher,de GER,GK,de Heidenheim,33,1990,1,1,90,6,85,52,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,9,0,0
Vladan Kovačević,ba BIH,GK,pl Legia Warsaw,26,1998,2,2,180,24,93,94,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,70,0,0
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,31,1993,11,11,1020,28,70,69,31,43,53,35,46,72,81,59,85,67,55,53,85,57,33,49,37,88,84
Warleson,br BRA,GK,be Cercle Brugge,27,1996,2,2,121,98,1,5,98,17,20,35,46,9,9,8,8,8,8,8,12,12,33,0,99,0,0
Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,3420,42,57,66,56,83,83,76,95,56,81,81,46,31,42,76,59,34,77,51,59,47,37
Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,23,23,2100,69,13,14,88,64,75,35,46,43,21,22,57,62,30,26,48,98,33,66,33,30,65
Yahia Fofana,ci CIV,GK,Angers,23,2000,33,33,2970,42,78,87,50,51,53,35,95,81,60,59,29,90,87,82,92,39,71,90,75,42,84
Yann Sommer,ch SUI,GK,Inter,35,1988,46,46,4170,89,22,43,88,47,53,72,46,30,39,32,92,63,37,45,43,29,68,76,84,81,33
Yehvann Diouf,sn SEN,GK,Reims,24,1999,34,34,3060,56,71,81,50,59,62,76,46,78,63,66,59,72,71,84,70,75,71,92,79,37,49
Yuri Lodygin,ru RUS,GK,gr Panathinaikos,34,1990,3,3,270,95,6,11,96,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,82,0,0
Zion Suzuki,jp JPN,GK,Parma,21,2002,36,36,3240,50,38,38,46,56,67,35,46,57,80,88,85,86,67,87,96,67,33,56,45,29,90
Ádám Varga,hu HUN,GK,hu Ferencváros,25,1999,2,1,148,5,74,24,14,17,20,35,46,86,97,93,46,18,96,24,45,12,33,22,4,94,64
Álex Domínguez,es ESP,GK,Toulouse,26,1998,1,0,19,98,0,1,99,17,20,35,46,9,96,97,91,77,98,99,12,12,33,0,0,78,4
Álex Remiro,es ESP,GK,Real Sociedad,29,1995,45,45,4050,63,21,22,76,74,78,79,46,32,69,62,60,32,69,47,63,71,75,39,38,63,62
Álvaro Fernández,es ESP,GK,Sevilla,26,1998,9,8,747,27,45,23,81,77,85,35,46,49,61,81,78,49,57,48,66,88,33,22,14,13,63
Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,30,2673,61,21,25,56,54,55,76,46,41,51,72,54,48,59,59,51,58,71,53,41,14,36
Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,2790,70,56,76,72,83,84,76,46,61,49,50,98,60,27,79,88,85,71,88,82,38,81
İrfan Can Eğribayat,tr TUR,GK,tr Fenerbahçe,26,1998,6,6,570,77,75,90,90,17,20,35,46,83,76,73,42,65,76,72,96,81,33,98,94,53,94
Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14,13,1160,36,75,81,37,75,84,35,46,76,83,83,65,65,86,87,60,56,33,73,64,48,32
Łukasz Skorupski,pl POL,GK,Bologna,33,1991,34,34,2994,70,15,14,70,51,47,83,46,39,56,50,90,70,29,22,57,58,80,58,31,60,83
