Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Francesco Corriere,it ITA,GK,Salernitana,18,2006,1,0,47,1,1,0,0,0,0,0,0,0.8,9,17,17,1,5,9,0,0,0,-0.19999999999999996
Francisco Meixedo,pt POR,GK,Estrela,23,2001,1,0,45,0,3,3,1,0,0,0,0,0.2,4,9,14,4,7,6,0,0,0,0.2
Franco Armani,ar ARG,GK,ar River Plate,38-276,1986,23,23,2070,17,65,49,11,0,0,0,0,19.599999999999998,69,166,388,106,152,224,9,25,0,2.5999999999999988
Franco Israel,uy URU,GK,Sporting CP,24,2000,11,11,990,9,25,16,7,0,0,0,0,7.0,13,33,214,45,50,99,2,4,0,-2.0
Franco Petroli,ar ARG,GK,Godoy Cruz,27-038,1998,17,17,1530,19,68,49,7,2,1,1,0,19.5,142,344,505,65,102,269,27,16,1,0.5
Freddie Woodman,eng ENG,GK,Preston,27,1997,37,37,3329,43,130,86,12,4,3,1,0,38.3,250,634,1232,206,230,539,32,61,1,-4.700000000000003
Fábio,br BRA,GK,Fluminense,44-292,1980,12,12,1080,14,43,29,3,0,0,0,0,12.6,20,59,182,51,75,160,10,5,0,-1.4000000000000004
Gabriel,br BRA,GK,Vitória,32-295,1992,2,2,180,4,7,3,0,0,0,0,0,1.7999999999999998,2,18,47,6,10,22,0,0,0,-2.2
Gabriel Arias,cl CHI,GK,Racing Club,37-309,1987,19,19,1646,13,58,44,9,2,1,1,0,14.2,75,226,394,57,144,212,9,26,1,1.1999999999999997
Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34,34,3060,32,114,81,11,6,4,1,1,29.1,164,518,738,118,283,453,39,27,2,-2.8999999999999986
Gabriel Brazão,br BRA,GK,Santos,24-287,2000,13,13,1170,14,61,47,4,2,2,0,0,13.8,48,142,223,37,108,203,3,9,0,-0.1999999999999993
Gabriel Castellón,cl CHI,GK,cl U de Chile,31-314,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6,0,0.09999999999999964
Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-009,2002,1,1,90,2,5,3,0,0,0,0,0,0.9,2,10,27,4,6,12,3,4,0,-1.1
Gastón Olveira,uy URU,GK,py Olimpia,32-089,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1,0,-1.2000000000000002
Gatito Fernández,py PAR,GK,py Cerro Porteño,37-112,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5,0,0.2999999999999998
Gavin Bazunu,ie IRL,GK,Standard Liège,22,2002,6,6,540,12,25,13,1,0,0,0,0,11.5,25,92,178,25,28,77,0,15,0,-0.5
George Evans,eng ENG,GK,Millwall,19,2005,4,4,360,8,19,11,1,0,0,0,0,4.5,37,89,81,8,31,70,4,6,0,-3.5
George Long,eng ENG,GK,Norwich City,30,1993,9,8,765,19,44,24,1,3,2,1,0,15.2,18,72,267,48,39,128,4,10,1,-3.8000000000000007
Giacomo Drago,it ITA,GK,Südtirol,23,2001,5,5,450,10,26,16,0,1,1,0,0,8.7,14,43,106,33,28,64,5,8,0,-1.3000000000000007
Giacomo Poluzzi,it ITA,GK,Südtirol,36,1988,18,18,1620,29,71,42,4,4,2,1,1,25.4,138,318,412,68,149,323,17,20,2,-3.6000000000000014
Giacomo Satalino,it ITA,GK,Sassuolo,25,1999,10,10,900,10,39,29,4,0,0,0,0,11.4,46,118,206,36,52,171,10,2,0,1.4000000000000004
Gil Alcalá,mx MEX,GK,UNAM,32,1992,4,4,360,2,7,5,3,0,0,0,0,1.8,19,40,129,31,18,43,1,6,0,-0.19999999999999996
Gonzalo Valle,ec ECU,GK,ec LDU de Quito,29-141,1996,6,6,526,4,28,24,3,0,0,0,0,7.5,29,80,165,23,62,111,5,2,0,3.5
Guido Herrera,ar ARG,GK,ar Talleres,33-140,1992,19,19,1665,22,58,38,5,1,1,0,0,20.4,97,238,493,57,90,229,14,10,0,-1.5999999999999996
Guido Villar,ar ARG,GK,ec Independiente,27-154,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5,1,-2.1999999999999993
Guillaume Dietsch,fr FRA,GK,Dender,23,2001,1,0,49,1,2,1,0,0,0,0,0,0.8,0,1,5,2,0,2,0,0,0,-0.19999999999999996
Guillermo Allison,mx MEX,GK,Querétaro,33,1990,25,25,2250,42,131,87,5,7,5,2,0,39.8,145,423,477,84,263,414,23,26,2,-2.200000000000003
Guillermo Ochoa,mx MEX,GK,AVS Futebol,39,1985,23,23,2070,45,118,74,6,1,1,0,0,39.4,128,293,486,90,219,378,8,16,0,-5.600000000000001
Guillermo Vizcarra,bo BOL,GK,pe Alianza Lima,32-162,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3,0,-4.2
