Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Leandro Brey,ar ARG,GK,Boca Juniors,22-301,2002,2,2,180,1,4,3,1,0,0,0,0,1.0,6,20,44,10,16,40,0,2,0,0.0
Leandro Chichizola,ar ARG,GK,Spezia,34,1990,11,11,990,10,36,27,3,0,0,0,0,8.5,78,207,331,44,50,120,14,26,0,-1.5
Leo Kokubo,jp JPN,GK,Sint-Truiden,23,2001,27,27,2430,45,121,77,4,10,9,1,0,45.0,113,318,749,103,172,485,21,36,1,0.0
Leonardo Loria,it ITA,GK,Pisa,25,1999,1,1,90,3,5,2,0,1,1,0,0,1.8,3,9,18,3,2,14,0,5,0,-1.2
Liam Roberts,eng ENG,GK,Millwall,29,1994,2,1,91,0,3,3,2,0,0,0,0,0.3,4,32,22,2,13,36,3,2,0,0.3
Lorenzo Andrenacci,it ITA,GK,Brescia,29,1995,1,1,90,0,2,2,1,0,0,0,0,0.1,5,10,20,4,6,8,3,0,0,0.1
Luca Lezzerini,it ITA,GK,Brescia,29,1995,37,37,3330,48,167,119,10,9,5,1,3,47.3,192,459,885,144,216,602,40,24,4,-0.7000000000000028
Luca Maniero,it ITA,GK,Cittadella,29,1995,10,9,855,14,52,39,4,3,3,0,0,14.7,48,135,192,44,73,135,8,9,0,0.6999999999999993
Luca Plogmann,de GER,GK,Go Ahead Eag,24,2000,18,18,1620,32,81,49,4,3,3,0,0,25.5,55,199,640,71,89,312,12,13,0,-6.5
Lucas Acosta,ar ARG,GK,Sarmiento,30-129,1995,17,17,1530,21,87,68,4,2,1,0,1,26.8,92,258,358,39,130,302,14,17,1,5.800000000000001
Lucas Arcanjo,br BRA,GK,Vitória,26-345,1998,13,13,1170,13,66,53,3,0,0,0,0,16.5,49,156,298,60,109,234,14,6,0,3.5
Lucas Bruera,ar ARG,GK,ve Carabobo,27-273,1997,6,6,540,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4,0,-1.8000000000000007
Lucas França,br BRA,GK,Nacional,28,1996,33,33,2925,46,149,103,8,9,7,0,2,48.9,167,482,663,108,308,509,33,24,2,2.8999999999999986
Lucas Pirard,be BEL,GK,Kortrijk,29,1995,7,5,543,10,28,18,1,1,1,0,0,14.7,36,88,138,31,37,88,4,12,0,4.699999999999999
Lucas Verza,py PAR,GK,py Olimpia,24-096,2001,1,1,90,0,3,2,1,1,0,1,0,1.3,4,13,21,7,9,11,1,0,1,1.3
Lucão,br BRA,GK,RB Bragantino,24-143,2001,2,2,180,1,10,9,1,0,0,0,0,3.6,2,13,46,11,17,43,1,0,0,2.6
Luigi Sepe,it ITA,GK,Salernitana,33,1991,18,18,1575,22,68,46,4,3,3,0,0,23.0,59,204,454,68,118,196,12,9,0,1.0
Luis Barraza,us USA,GK,D.C. United,28-253,1996,16,16,1440,26,80,55,3,1,1,0,0,25.0,75,273,424,76,117,195,14,18,0,-1.0
Luis Cárdenas,mx MEX,GK,Monterrey,30,1993,10,10,900,13,41,28,1,1,1,0,0,12.0,38,75,263,64,73,123,5,15,0,-1.0
Luis Ingolotti,ar ARG,GK,Gimnasia–LP,25-186,2000,3,3,270,7,14,7,0,2,2,0,0,7.1,11,31,55,12,21,54,1,0,0,0.09999999999999964
Luis Manuel García,mx MEX,GK,Toluca,31,1992,5,5,450,6,15,9,1,0,0,0,0,4.6,17,53,134,17,27,64,3,2,0,-1.4000000000000004
Luis Mejía,pa PAN,GK,uy Nacional,34-125,1991,6,6,540,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3,0,0.6999999999999993
Luis Ángel Malagón,mx MEX,GK,América,27,1997,29,29,2565,27,97,70,10,2,2,0,0,23.7,114,289,707,80,224,309,12,23,0,-3.3000000000000007
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,23,2001,1,1,90,0,2,2,1,0,0,0,0,0.3,11,24,32,7,6,17,3,2,0,0.3
Lukas Jensen,dk DEN,GK,Millwall,25,1999,41,41,3689,41,132,94,13,3,1,1,1,42.1,189,790,882,96,264,549,25,38,2,1.1000000000000014
Lukáš Horníček,cz CZE,GK,Braga,22,2002,17,17,1530,11,58,47,8,1,1,0,0,13.4,62,209,538,91,92,202,16,34,0,2.4000000000000004
Luuk Koopmans,nl NED,GK,Fortuna Sittard,30,1993,6,6,540,15,35,19,0,2,1,1,0,13.2,48,141,130,12,54,103,4,0,1,-1.8000000000000007
Léo Jardim,br BRA,GK,Vasco da Gama,30-121,1995,13,13,1170,18,46,31,2,0,0,0,0,15.0,27,98,293,52,99,218,15,8,0,-3.0
Maarten Paes,id IDN,GK,FC Dallas,27-066,1998,20,20,1800,39,98,59,2,7,7,0,0,38.0,107,245,497,79,130,349,16,25,0,-1.0
Mads Kikkenborg,dk DEN,GK,Anderlecht,24,1999,2,2,180,2,10,8,0,0,0,0,0,4.2,9,30,71,10,6,37,1,3,0,2.2
Manuel Roffo,ar ARG,GK,Instituto,25-106,2000,17,17,1530,20,65,45,6,2,2,0,0,18.9,86,219,331,50,119,229,17,12,0,-1.1000000000000014
Manuel Vicentini,ar ARG,GK,Belgrano,35-091,1990,5,5,450,5,18,12,2,1,0,1,0,8.8,24,93,113,18,41,107,3,14,1,3.8000000000000007
Marcelo Lomba,br BRA,GK,br Palmeiras,38-213,1986,1,1,90,0,1,1,1,0,0,0,0,0.0,1,1,24,8,5,8,2,0,0,0.0
Marco Bleve,it ITA,GK,Carrarese,28,1995,24,24,2092,25,107,81,12,6,5,1,0,33.1,139,333,785,79,135,332,27,22,1,8.100000000000001
Marco Festa,it ITA,GK,Mantova,32,1992,38,38,3420,56,173,118,8,2,2,0,0,56.4,113,312,1443,110,185,580,21,36,0,0.3999999999999986
Marco Pissardo,it ITA,GK,Bari,26,1998,2,1,109,3,10,7,1,0,0,0,0,2.7,13,33,24,5,16,23,2,0,0,-0.2999999999999998
Marco Silvestri,it ITA,GK,Sampdoria,33,1991,7,7,630,12,33,21,1,1,1,0,0,8.7,21,71,177,25,40,89,6,0,0,-3.3000000000000007
Marcos Felipe,br BRA,GK,Bahia,29-097,1996,14,13,1242,14,54,40,5,2,2,0,0,15.1,55,134,413,69,110,218,8,27,0,1.0999999999999996
Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,28-307,1996,17,17,1530,18,66,50,6,0,0,0,0,16.0,103,278,284,59,110,312,27,7,0,-2.0
Marcão,br BRA,GK,Juventude,33-135,1992,6,5,495,10,41,32,1,1,1,0,0,11.5,12,56,130,29,24,78,4,4,0,1.5
Marino Arzamendia,py PAR,GK,py Olimpia,27-181,1998,2,2,180,7,12,5,0,2,2,0,0,5.0,13,26,42,7,14,19,1,4,0,-2.0
Marius Adamonis,lt LTU,GK,Südtirol,27,1997,15,15,1350,18,63,45,4,0,0,0,0,19.7,118,293,245,45,121,256,9,8,0,1.6999999999999993
Mark Spenkelink,nl NED,GK,RKC Waalwijk,27,1997,4,4,360,12,24,12,0,2,2,0,0,10.0,22,66,155,10,14,59,1,1,0,-2.0
Mark Travers,ie IRL,GK,Middlesbrough,25,1999,17,17,1530,20,83,64,4,0,0,0,0,23.1,37,215,419,71,116,223,15,24,0,3.1000000000000014
Marko Gudžulić,rs SRB,GK,Estrela,22,2002,2,2,180,3,9,6,1,1,0,1,0,2.5,15,48,54,7,19,37,4,1,1,-0.5
Marko Ilić,rs SRB,GK,Kortrijk,26,1998,5,5,425,9,27,19,0,0,0,0,0,10.1,28,64,85,24,26,62,4,4,0,1.0999999999999996
Martin Delavallée,be BEL,GK,Charleroi,20,2004,8,8,720,13,47,34,1,0,0,0,0,14.4,50,116,231,58,46,96,5,11,0,1.4000000000000004
Martín Campaña,uy URU,GK,uy Peñarol,36-051,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0,0,0.0
Martín Silva,uy URU,GK,py Libertad,42-116,1983,1,1,90,2,4,2,0,0,0,0,0,2.1,3,7,18,2,12,10,0,2,0,0.10000000000000009
Matheus,br BRA,GK,Ajax,32,1992,26,26,2340,28,88,61,11,2,2,0,0,25.0,80,277,823,126,157,288,26,35,0,-2.9999999999999982
Matheus Donelli,br BRA,GK,Corinthians,23-063,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2,0,-0.2999999999999998
Matheus Teixeira,br BRA,GK,Rio Ave,25,1999,1,0,15,0,0,0,0,0,0,0,0,0.0,0,3,8,0,2,1,0,0,0,0.0
Matt Freese,us USA,GK,NYCFC,26-320,1998,19,19,1710,23,81,61,6,1,1,0,0,24.5,34,125,486,117,90,232,15,24,0,1.5
Matt Ingram,eng ENG,GK,Oxford United,30,1993,1,1,90,3,5,2,0,0,0,0,0,2.7,3,15,31,7,9,19,0,0,0,-0.2999999999999998
Matteo Pisseri,it ITA,GK,Cesena,32,1991,11,11,990,17,44,28,4,1,0,1,0,14.9,30,103,233,63,81,162,8,14,1,-2.0999999999999996
Matthieu Epolo,be BEL,GK,Standard Liège,20,2004,19,18,1665,21,93,72,8,1,0,1,0,26.2,114,341,399,58,143,279,18,17,1,5.199999999999999
Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,39,131,92,10,2,2,0,0,40.2,149,499,606,129,215,439,55,24,0,1.2000000000000028
Matías Borgogno,ar ARG,GK,San Martín de San Juan,26-332,1998,17,17,1530,20,64,44,3,1,1,0,0,20.0,130,333,388,31,142,236,21,13,0,0.0
Matías Mansilla,ar ARG,GK,ar Estudiantes–LP,29-154,1996,23,23,2070,25,77,51,9,3,2,1,0,23.5,105,280,411,96,186,345,19,22,1,-1.4999999999999993
Matías Tagliamonte,ar ARG,GK,Unión,27-150,1998,4,4,360,2,11,8,2,1,0,1,0,2.2,19,58,69,17,28,68,4,0,1,0.20000000000000018
Max O'Leary,ie IRL,GK,Bristol City,27,1996,46,46,4140,55,172,117,10,2,2,0,0,54.6,236,770,1217,218,219,555,37,79,0,-0.3999999999999986
Maxence Prevot,fr FRA,GK,OH Leuven,27,1997,1,1,90,1,5,4,0,0,0,0,0,2.4,14,26,36,5,8,29,2,1,0,1.4
Maxime Crépeau,ca CAN,GK,Portland Timbers,31-069,1994,10,10,900,15,53,38,2,0,0,0,0,14.4,47,123,292,47,58,111,5,9,0,-0.5999999999999996
Maxime Delanghe,be BEL,GK,Cercle Brugge,23,2001,21,21,1881,27,87,59,7,3,2,1,0,29.0,105,413,427,39,129,263,6,34,1,2.0
Michael Brouwer,nl NED,GK,Utrecht,31,1993,3,3,270,1,10,9,2,1,1,0,0,3.3,17,58,82,11,24,64,0,4,0,2.3
Michael Collodi,us USA,GK,FC Dallas,24-055,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6,0,0.5
Michael Cooper,eng ENG,GK,Sheffield Utd,24,1999,43,43,3870,33,142,109,21,5,4,1,0,38.5,248,662,1425,182,223,617,59,37,1,5.5
Michael Verrips,nl NED,GK,Dender,27,1996,27,27,2336,41,129,90,7,7,7,0,0,45.0,147,412,546,64,175,435,19,4,0,4.0
Michele Cerofolini,it ITA,GK,Frosinone,25,1999,36,36,3240,43,145,100,8,6,4,2,0,45.8,155,546,1026,132,235,578,27,20,2,2.799999999999997
Mickey van der Hart,nl NED,GK,Heerenveen,30,1994,19,18,1695,33,104,72,3,3,3,0,0,37.0,82,255,794,78,58,214,11,30,0,4.0
Miguel Jiménez Ponce,mx MEX,GK,Puebla,34,1990,24,24,2160,40,117,75,4,6,3,3,0,36.5,125,439,414,61,255,478,17,9,3,-3.5
Miguel Ortega,mx MEX,GK,Tijuana,29,1995,3,3,270,6,13,7,0,1,1,0,0,5.8,14,31,107,10,12,32,2,4,0,-0.20000000000000018
Mika,pt POR,GK,Moreirense,33,1991,1,0,3,0,0,0,1,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0.0
Mike Hauptmeijer,nl NED,GK,Zwolle,27,1997,4,4,360,6,16,10,0,1,0,0,1,5.2,24,67,112,21,33,80,7,1,1,-0.7999999999999998
Mike Penders,be BEL,GK,Genk,19,2005,11,11,989,8,32,24,4,1,1,0,0,10.2,60,129,386,37,49,121,13,3,0,2.1999999999999993
Mirko Pigliacelli,it ITA,GK,Catanzaro,31,1993,38,38,3420,45,150,107,13,5,4,0,1,46.6,199,467,1566,108,130,601,37,40,1,1.6000000000000014
Mohamed Koné,ci CIV,GK,Charleroi,22,2002,21,21,1890,21,74,53,6,4,3,1,0,23.8,118,289,652,85,82,246,28,33,1,2.8000000000000007
Mouhamadou Sarr,sn SEN,GK,Spezia,27,1997,4,4,360,4,15,11,1,0,0,0,0,3.7,23,64,80,10,25,47,6,6,0,-0.2999999999999998
Nahuel Guzmán,ar ARG,GK,UANL,38,1986,28,28,2519,26,104,78,9,5,4,0,1,30.1,154,313,847,94,184,315,16,41,1,4.100000000000001
Nahuel Losada,ar ARG,GK,Lanús,32-093,1993,16,16,1440,11,55,43,7,3,1,1,1,14.9,68,183,400,89,72,234,25,19,2,3.9000000000000004
Nelson Insfrán,ar ARG,GK,Gimnasia–LP,30-056,1995,14,14,1260,12,53,39,6,3,1,2,0,17.0,81,223,312,42,97,234,15,3,2,5.0
Niccolò Chiorra,it ITA,GK,Carrarese,23,2001,2,1,158,5,8,3,0,0,0,0,0,3.9,2,11,42,5,11,16,0,1,0,-1.1
Nicholas Hagen,gt GUA,GK,Columbus Crew,28-351,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4,0,-0.6999999999999993
Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-009,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23,1,0.1999999999999993
Nick Gillekens,be BEL,GK,Westerlo,29,1995,1,1,90,3,11,8,0,0,0,0,0,4.3,8,19,34,7,9,22,0,1,0,1.2999999999999998
Nick Olij,nl NED,GK,Sparta R'dam,28,1995,34,34,3060,43,150,108,6,5,4,1,0,44.8,243,539,1341,143,154,568,46,24,1,1.7999999999999972
Nick Shinton,be BEL,GK,Beerschot,23,2001,21,21,1845,37,119,83,3,4,4,0,0,40.2,84,322,662,78,106,361,11,27,0,3.200000000000003
Nico Mantl,de GER,GK,Arouca,24,2000,29,29,2610,43,120,79,7,8,8,0,0,40.6,115,284,746,127,202,445,22,42,0,-2.3999999999999986
Nicola Ravaglia,it ITA,GK,Carrarese,35,1988,2,1,158,3,8,5,0,1,1,0,0,3.9,12,35,36,3,15,23,1,1,0,0.8999999999999999
Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,35,35,3090,48,144,100,8,1,1,0,0,46.9,276,920,1055,60,203,454,12,98,0,-1.1000000000000014
Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,64,178,118,7,0,0,0,0,55.0,257,838,998,128,252,545,44,67,0,-9.0
Nordin Jackers,be BEL,GK,Club Brugge,26,1997,1,0,31,1,3,2,0,0,0,0,0,0.8,3,4,28,4,0,2,2,0,0,-0.19999999999999996
Novak Mićović,rs SRB,GK,LA Galaxy,23-267,2001,12,12,1080,19,48,29,2,0,0,0,0,18.8,29,141,315,45,73,146,13,4,0,-0.1999999999999993
Nícolas Andrade,br BRA,GK,Pisa,36,1988,1,1,90,1,4,3,0,0,0,0,0,0.8,5,16,22,0,4,7,0,2,0,-0.19999999999999996
Oliver Christensen,dk DEN,GK,Salernitana,25,1999,16,16,1440,15,51,36,6,0,0,0,0,16.5,90,258,400,64,108,252,20,19,0,1.5
Oliver Dovin,se SWE,GK,Coventry City,22,2002,28,28,2467,30,95,68,8,1,1,0,0,31.1,101,318,797,80,150,353,11,37,0,1.1000000000000014
Orlando Gil,py PAR,GK,San Lorenzo,25-038,2000,17,17,1530,11,52,42,9,0,0,0,0,12.1,89,272,296,41,145,244,9,1,0,1.0999999999999996
Ortwin De Wolf,be BEL,GK,Mechelen,27,1997,30,30,2700,40,142,106,9,5,5,0,0,45.3,130,372,937,150,225,473,32,23,0,5.299999999999997
Oscar Jiménez,mx MEX,GK,León,35,1988,8,8,720,11,41,30,1,0,0,0,0,10.6,43,101,196,37,69,95,8,5,0,-0.40000000000000036
Pablo Lara,mx MEX,GK,UNAM,19,2005,7,7,630,9,32,24,2,0,0,0,0,7.5,35,97,173,24,57,70,5,19,0,-1.5
Pablo Sisniega,mx MEX,GK,San Diego FC,30-012,1995,2,2,180,2,6,4,0,1,1,0,0,2.8,1,6,79,15,3,15,2,2,0,0.7999999999999998
Paolo Vismara,it ITA,GK,Sampdoria,21,2003,10,7,753,15,48,32,4,1,0,1,0,13.8,26,116,202,34,59,128,10,3,1,-1.1999999999999993
Patrick Schulte,us USA,GK,Columbus Crew,24-128,2001,15,15,1350,19,54,36,2,1,1,0,0,18.2,36,121,499,71,85,129,3,25,0,-0.8000000000000007
Patrick Sequeira,cr CRC,GK,Casa Pia,25,1999,32,32,2880,41,157,117,7,7,6,0,1,42.5,118,442,919,160,190,472,37,24,1,1.5
Patrik Gunnarsson,is ISL,GK,Kortrijk,23,2000,11,11,922,16,36,21,1,0,0,0,0,14.9,65,176,243,56,77,179,11,7,0,-1.0999999999999996
Pau López,es ESP,GK,Toluca,29,1994,10,10,900,13,37,25,4,0,0,0,0,8.9,29,88,354,39,78,106,4,13,0,-4.1
Paul Nardi,fr FRA,GK,QPR,30,1994,45,45,4050,63,174,114,9,3,3,0,0,59.5,200,640,1366,184,250,658,10,39,0,-3.5
Pedro Gallese,pe PER,GK,Orlando City,35-146,1990,21,21,1890,29,86,58,8,2,2,0,0,29.3,91,225,411,49,126,295,12,26,0,0.3000000000000007
Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,8,720,10,30,19,0,1,0,1,0,12.7,50,110,298,37,39,107,11,5,1,2.6999999999999993
Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1,1,90,2,4,2,0,1,1,0,0,1.4,5,11,36,3,2,6,1,6,0,-0.6000000000000001
Przemysław Tytoń,pl POL,GK,Twente,37,1987,3,3,270,10,19,9,0,0,0,0,0,7.8,16,34,100,15,18,34,1,6,0,-2.2
Rafael Cabral,br BRA,GK,Real Salt Lake,35-060,1990,22,22,1980,28,92,62,6,5,3,2,0,31.6,81,219,777,69,165,249,4,35,2,3.6000000000000014
Rafael Pires,br BRA,GK,São Paulo,36-026,1989,20,20,1800,22,77,56,6,4,3,0,1,23.5,52,196,334,45,140,313,5,17,1,1.4999999999999982
Randall Rodríguez,uy URU,GK,Vélez Sarsfield,21-232,2003,1,1,90,4,8,4,0,1,1,0,0,3.1,4,16,23,5,7,10,1,0,0,-0.8999999999999999
Remko Pasveer,nl NED,GK,Ajax,40,1983,24,24,2160,23,89,67,11,0,0,0,0,27.3,148,327,943,109,107,277,25,27,0,4.300000000000001
Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1,1,90,1,2,1,0,1,1,0,0,0.8,1,2,31,3,3,10,0,2,0,-0.19999999999999996
Ricardo Gutiérrez,mx MEX,GK,Mazatlán,27,1997,1,0,45,0,5,5,0,0,0,0,0,0.7,2,5,12,1,3,4,0,0,0,0.7
Ricardo Velho,pt POR,GK,Farense,25,1998,28,28,2520,40,126,88,6,7,6,0,1,40.1,155,463,636,109,254,453,31,24,1,0.10000000000000142
Riccardo Gagno,it ITA,GK,Modena,27,1997,37,37,3330,47,134,87,7,4,3,1,0,42.2,202,600,906,123,281,654,63,12,1,-4.799999999999997
Robin Roefs,nl NED,GK,NEC Nijmegen,21,2003,32,32,2880,42,151,113,10,1,1,0,0,47.7,169,562,1072,137,202,465,52,45,0,5.700000000000003
Rocco Ríos Novo,ar ARG,GK,Inter Miami,23-045,2002,4,1,250,4,8,4,1,0,0,0,0,3.6,13,24,81,9,15,47,0,2,0,-0.3999999999999999
Rodolfo Cota,mx MEX,GK,América,37,1987,6,5,495,4,17,13,3,0,0,0,0,3.5,14,37,171,18,30,37,2,6,0,-0.5
Rodrigo Morínigo,py PAR,GK,py Libertad,26-285,1998,5,5,450,3,18,15,3,0,0,0,0,3.9,41,97,104,10,45,87,1,3,0,0.8999999999999999
Rodrigo Rey,ar ARG,GK,Independiente,34-133,1991,17,17,1530,14,49,38,7,3,3,0,0,15.7,87,205,412,73,106,213,10,4,0,1.6999999999999993
Rodrigo Saracho,ar ARG,GK,bo San Antonio Bulo Bulo,31-194,1994,6,6,540,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5,0,-0.5999999999999996
Roman Bürki,ch SUI,GK,St. Louis,34-247,1990,13,13,1170,21,71,51,3,0,0,0,0,21.9,69,178,413,63,84,164,7,16,0,0.8999999999999986
Roman Celentano,us USA,GK,FC Cincinnati,24-308,2000,23,23,2070,31,92,62,7,5,3,1,1,30.8,76,229,536,113,159,344,20,8,2,-0.1999999999999993
Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,20,2004,28,28,2520,34,85,51,9,3,1,1,1,28.9,120,358,716,87,118,317,26,14,2,-5.100000000000001
Ronaldo,br BRA,GK,Bahia,28-331,1996,6,6,468,5,24,18,1,1,0,1,0,6.4,21,64,151,20,34,76,7,11,1,1.4
Roy Kortsmit,nl NED,GK,NAC Breda,31,1992,1,1,90,3,4,1,0,1,1,0,0,2.9,12,25,27,1,3,12,2,2,0,-0.10000000000000009
Rubén Cordano,bo BOL,GK,bo Bolívar,26-276,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0,0,-1.4
Rui Encarnação,pt POR,GK,Nacional,26,1998,2,1,135,4,7,3,0,2,2,0,0,2.8,5,14,30,2,7,19,0,2,0,-1.2000000000000002
Rui Silva,pt POR,GK,Sporting CP,30,1994,17,17,1530,13,32,21,6,4,4,0,0,13.5,44,121,294,51,91,185,12,28,0,0.5
Salvatore Sirigu,it ITA,GK,Palermo,37,1987,3,3,270,2,7,5,2,0,0,0,0,1.0,12,30,81,6,13,39,1,1,0,-1.0
Samuel Soares,pt POR,GK,Benfica,22,2002,2,2,180,0,5,4,2,1,0,1,0,1.0,2,6,28,11,10,13,2,1,1,1.0
Samuele Perisan,it ITA,GK,Sampdoria,26,1997,1,1,57,0,1,1,0,0,0,0,0,0.2,2,7,9,3,6,14,1,0,0,0.2
Sean Johnson,us USA,GK,Toronto FC,36-049,1989,22,22,1980,29,104,75,6,4,4,0,0,37.0,78,251,501,86,165,284,12,16,0,8.0
Sebastian Breza,ca CAN,GK,CF Montréal,27-126,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2,0,-0.9000000000000004
Sebastiano Desplanches,it ITA,GK,Palermo,21,2003,21,20,1854,21,75,55,6,1,1,0,0,17.2,77,205,601,109,111,300,14,24,0,-3.8000000000000007
Sebastián Britos,uy URU,GK,pe Universitario,37-198,1988,6,6,540,4,27,23,2,0,0,0,0,6.6,42,108,93,18,61,105,3,11,0,2.5999999999999996
Sebastián Jurado,mx MEX,GK,FC Juárez,26,1997,21,21,1890,30,87,58,5,2,2,0,0,27.2,69,258,578,64,120,263,11,13,0,-2.8000000000000007
Sebastián Meza,ar ARG,GK,Huracán,25-127,2000,1,1,90,3,3,0,0,1,1,0,0,1.7,1,7,15,3,2,2,0,0,0,-1.3
Senne Lammens,be BEL,GK,Antwerp,22,2002,30,30,2700,32,161,127,7,6,2,4,0,44.5,137,369,983,167,142,394,44,21,4,12.5
Seny Dieng,sn SEN,GK,Middlesbrough,29,1994,17,17,1530,21,47,28,5,0,0,0,0,16.4,27,118,469,83,77,242,12,24,0,-4.600000000000001
Sergio Rochet,uy URU,GK,Internacional,32-118,1993,2,2,135,0,6,6,1,0,0,0,0,0.9,5,14,39,5,4,21,0,0,0,0.9
Simon Mignolet,be BEL,GK,Club Brugge,36,1988,30,30,2669,35,103,69,8,4,3,1,0,36.0,144,301,920,112,143,374,17,27,1,1.0
Simon Moore,eng ENG,GK,Sunderland,34,1990,4,4,360,2,10,8,3,0,0,0,0,1.8,14,49,94,23,25,61,4,5,0,-0.19999999999999996
Simone Ghidotti,it ITA,GK,Sampdoria,24,2000,9,9,720,8,48,40,1,0,0,0,0,11.5,32,112,225,31,48,138,14,5,0,3.5
Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11,11,990,15,57,41,2,3,2,1,0,21.1,60,154,295,45,82,150,8,8,1,6.100000000000001
Sinan Bolat,tr TUR,GK,Westerlo,35,1988,11,11,990,20,62,42,1,2,2,0,0,19.5,59,168,323,47,79,165,7,12,0,-0.5
Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,6,6,509,9,25,16,1,0,0,0,0,9.4,10,38,140,30,29,77,10,5,0,0.40000000000000036
Stefan Frei,ch SUI,GK,Seattle Sounders,39-090,1986,18,18,1620,20,64,46,6,3,3,0,0,18.5,55,175,399,70,119,200,10,10,0,-1.5
Stefano Gori,it ITA,GK,Spezia,28,1996,23,23,2070,19,78,61,12,1,1,0,0,19.7,135,316,515,93,121,293,14,18,0,0.6999999999999993
Stijn van Gassel,nl NED,GK,NEC Nijmegen,27,1996,2,2,180,4,15,11,0,1,1,0,0,4.5,4,36,60,17,22,51,2,3,0,0.5
Thiago Cardozo,uy URU,GK,Unión,28-353,1996,15,15,1346,16,52,36,4,3,2,0,1,16.6,52,159,262,68,108,205,9,7,1,0.6
Thomas Didillon,fr FRA,GK,Willem II,28,1995,34,34,3060,56,181,128,5,6,6,0,0,60.7,239,621,905,128,278,620,36,11,0,4.700000000000003
Thomas Hasal,ca CAN,GK,LAFC,26-010,1999,1,1,90,5,9,4,0,0,0,0,0,2.9,1,7,26,8,6,11,2,0,0,-2.1
Thomas Kaminski,be BEL,GK,Luton Town,31,1992,45,45,3990,68,193,125,10,3,2,1,0,60.3,374,1023,1203,120,348,610,25,72,1,-7.700000000000003
Thomas Vettorel,it ITA,GK,Cosenza,23,2000,2,1,124,3,6,3,0,1,1,0,0,2.5,6,17,33,4,11,10,0,3,0,-0.5
Théo Defourny,be BEL,GK,Charleroi,32,1992,1,1,90,2,4,2,0,0,0,0,0,1.5,1,10,24,3,5,9,0,1,0,-0.5
Tiago Volpi,br BRA,GK,Grêmio,34-212,1990,32,32,2880,38,147,109,9,5,5,0,0,46.900000000000006,201,457,942,102,219,476,27,31,0,8.900000000000002
Timon Wellenreuther,de GER,GK,Feyenoord,28,1995,29,29,2610,28,99,70,10,2,1,1,0,32.0,129,321,1128,129,96,286,17,77,1,4.0
Tobe Leysen,be BEL,GK,OH Leuven,22,2002,29,29,2610,32,126,95,9,5,4,1,0,40.9,171,511,1023,158,210,462,29,28,1,8.899999999999999
Tom Glover,au AUS,GK,Middlesbrough,26,1997,7,6,571,6,13,7,3,0,0,0,0,3.9,25,96,199,35,36,75,8,7,0,-2.1
Tom Vandenberghe,be BEL,GK,Gent,31,1992,12,12,1080,23,61,39,2,1,1,0,0,21.700000000000003,65,161,291,67,59,165,14,7,0,-1.299999999999999
Tomas Romero,sv SLV,GK,NYCFC,24-212,2000,3,3,270,2,11,10,1,0,0,0,0,3.3,5,14,76,12,19,42,2,1,0,1.2999999999999998
Tomás Durso,ar ARG,GK,Atlé Tucumán,26-143,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16,2,0.1999999999999993
Tomás Marchiori,ar ARG,GK,ar Vélez Sarsfield,30-029,1995,22,22,1980,23,73,53,8,2,1,0,1,20.9,66,207,380,73,175,266,12,7,1,-2.1000000000000005
