Team,League,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Pass Length,Goal Kick Length,Distance of Defensive Actions,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
KV,Europa Conference League,8,7198.0,0.48,0.14,0.34,0.17,0.03,0.03,0.51,1.46,3.58,0.36,0.49,1.56,0.09,0.23,0.11,0.05,0.83,0.33,0.12,0.1,0.01,0.03,1.48,0.18,0.63,2.18,0.54,0.05,1.25,0.05,0.08,29.32,38.22,3.08,0.14,0.25,0.8,0.05,34.48,3.69,0.99,13.39,15.98,12.63,15.24,2.63,5.0,25.62,1.3,0.93,0.26,1.61,0.8,0.75,1.84,1.19,0.83,0.76,0.25,0.88,1.61,0.74,0.93,1.25,0.33,3.24,0.08,3.96,1.65,0.61,2.26,29.63,3.06,50.36,4.08,17.37,22.53,11.03,1.68,50.34,0.25,0.03,1.54,0.91,0.05,0.01,0.01,0.0,1.6,1.05,2.65,3.26,40.3,18.27,13.41,5.44,0.33,0.46
LASK,Europa Conference League,6,5318.0,0.51,0.24,0.29,0.21,-0.03,0.02,0.24,0.68,2.5,0.44,0.51,1.54,0.14,0.12,0.07,0.03,1.05,0.34,0.08,0.08,0.0,0.0,1.86,0.14,0.76,2.59,0.71,0.15,1.74,0.08,0.06,38.4,48.22,4.26,0.15,0.2,0.83,0.19,44.09,3.94,1.2,19.56,22.75,15.6,18.41,2.56,4.86,31.95,1.57,1.1,0.32,1.29,0.64,0.64,1.51,0.78,0.8,0.54,0.17,0.69,1.57,0.88,0.95,1.07,0.34,2.61,0.02,3.99,1.12,0.83,1.95,39.09,4.25,59.01,4.38,18.19,29.09,12.08,1.9,59.01,0.2,0.0,1.12,1.2,0.19,0.03,0.0,0.02,1.18,1.15,2.34,4.49,32.91,19.19,13.04,5.3,0.34,0.54
Larne FC,Europa Conference League,6,5388.0,0.57,0.2,0.38,0.19,-0.02,0.02,0.89,2.39,2.92,0.37,0.92,2.32,0.1,0.1,0.03,0.03,0.53,0.17,0.04,0.04,0.0,0.0,0.94,0.07,0.4,1.65,0.3,0.13,0.75,0.03,0.04,20.58,28.56,1.97,0.08,0.12,0.8,0.15,25.26,3.16,0.87,9.19,11.09,8.54,10.72,2.04,4.46,19.26,0.85,0.42,0.18,1.15,0.53,0.5,2.02,1.09,1.24,0.6,0.18,1.12,1.95,0.84,0.77,1.22,0.47,3.52,0.05,3.36,1.35,0.63,1.99,21.1,1.95,39.87,4.26,15.8,17.2,7.4,0.8,39.87,0.22,0.07,1.19,1.32,0.15,0.02,0.0,0.02,1.29,1.84,3.12,4.76,47.61,14.8,12.57,5.15,0.33,0.45
Las Palmas,La Liga,38,34062.0,0.48,0.16,0.32,0.17,0.01,0.01,0.51,1.54,3.38,0.52,0.6,1.48,0.06,0.1,0.1,0.07,1.08,0.35,0.09,0.08,0.01,0.01,1.95,0.18,0.8,2.73,0.65,0.21,1.78,0.06,0.07,35.07,44.08,3.19,0.13,0.3,0.85,0.14,39.8,4.14,1.15,16.32,18.59,14.95,17.71,2.89,5.41,27.52,1.32,0.91,0.3,1.51,0.63,0.76,1.63,0.98,0.81,0.67,0.15,0.81,1.55,0.75,0.85,1.15,0.37,2.51,0.07,3.75,1.43,0.73,2.16,35.29,3.16,55.11,3.59,16.4,27.26,11.92,1.77,55.1,0.28,0.02,1.19,1.2,0.16,0.02,0.0,0.01,1.39,1.48,2.87,5.08,43.11,20.18,13.51,5.03,0.32,0.49
Lazio,Europa League,12,11076.0,0.39,0.08,0.31,0.12,0.04,0.02,0.57,1.41,3.18,0.39,0.4,1.02,0.08,0.11,0.19,0.16,1.42,0.51,0.16,0.15,0.01,0.01,2.54,0.33,1.15,3.55,0.99,0.25,2.08,0.13,0.13,41.55,49.37,4.37,0.18,0.38,0.76,0.2,45.41,3.76,0.97,18.73,20.98,17.92,20.35,3.49,5.35,43.42,2.23,2.36,0.75,1.71,0.64,0.96,1.68,0.99,0.79,0.65,0.24,0.89,1.58,0.69,1.03,1.11,0.27,2.27,0.03,4.2,1.36,0.93,2.29,41.58,4.36,60.72,3.13,14.26,28.4,18.66,2.96,60.71,0.23,0.02,1.25,1.07,0.24,0.0,0.01,0.0,1.1,1.28,2.37,4.16,47.83,20.98,14.42,5.8,0.28,0.48
Lazio,Serie A,38,34039.0,0.31,0.13,0.19,0.1,-0.03,0.02,0.5,1.32,3.48,0.35,0.35,1.31,0.13,0.14,0.16,0.11,1.4,0.49,0.15,0.14,0.02,0.02,2.48,0.27,1.06,3.54,0.85,0.27,2.28,0.08,0.1,40.44,47.77,4.18,0.19,0.3,0.76,0.11,43.58,4.08,1.16,17.98,19.79,18.29,20.53,3.32,5.24,33.18,2.05,1.55,0.5,1.66,0.78,0.7,1.37,0.84,0.62,0.59,0.16,0.66,1.32,0.66,0.78,0.82,0.24,1.86,0.05,3.64,1.24,0.82,2.06,40.51,4.18,57.33,3.01,13.98,29.05,14.95,2.45,57.31,0.25,0.03,1.12,1.26,0.12,0.01,0.01,0.01,1.22,1.29,2.51,3.43,45.31,21.09,14.66,5.72,0.28,0.51
Le Havre,Ligue 1,34,30449.0,0.52,0.21,0.31,0.22,0.01,0.01,0.4,0.99,2.48,0.43,0.64,1.61,0.1,0.04,0.11,0.06,1.0,0.29,0.13,0.1,0.03,0.03,1.72,0.18,0.68,2.29,0.59,0.25,2.05,0.07,0.07,30.44,38.59,3.11,0.07,0.23,0.81,0.14,34.96,3.5,1.04,12.67,14.59,14.34,16.78,2.74,5.12,26.27,1.59,1.03,0.27,1.51,0.69,0.7,1.83,1.14,0.96,0.63,0.25,0.89,1.65,0.76,0.96,1.07,0.39,2.87,0.06,4.05,1.32,0.92,2.23,30.98,3.05,49.77,3.77,16.58,23.09,10.75,1.72,49.74,0.15,0.01,1.12,1.17,0.15,0.01,0.02,0.0,1.31,1.28,2.59,5.42,31.93,17.77,14.06,5.52,0.32,0.5
Lecce,Serie A,38,33952.0,0.48,0.15,0.33,0.14,-0.01,0.02,0.58,1.74,2.7,0.32,0.47,1.56,0.08,0.05,0.07,0.06,1.19,0.32,0.09,0.08,0.01,0.01,2.03,0.12,0.85,2.2,0.59,0.25,1.66,0.04,0.06,28.52,36.81,2.84,0.1,0.22,0.8,0.12,32.63,4.06,1.01,12.31,14.28,12.45,14.93,3.14,5.64,23.8,1.38,0.93,0.32,1.45,0.63,0.66,1.66,0.99,0.84,0.66,0.16,0.8,1.55,0.75,0.76,1.08,0.38,2.69,0.06,3.85,1.51,0.77,2.28,28.54,2.82,48.04,3.76,15.63,22.2,10.83,1.6,48.03,0.15,0.02,1.23,1.11,0.14,0.02,0.01,0.01,1.76,1.73,3.48,4.37,50.16,16.86,13.88,5.42,0.33,0.48
Leganés,La Liga,38,34034.0,0.46,0.15,0.32,0.16,0.01,0.03,0.63,2.34,2.31,0.35,0.94,1.87,0.15,0.14,0.1,0.07,0.91,0.29,0.09,0.08,0.01,0.02,1.59,0.19,0.63,2.03,0.49,0.12,1.31,0.05,0.06,28.13,35.97,2.72,0.13,0.24,0.67,0.21,32.54,3.22,0.94,13.13,14.97,11.93,14.26,2.32,4.72,24.2,1.1,0.96,0.28,1.66,0.8,0.7,1.67,1.01,0.79,0.66,0.22,0.77,1.58,0.8,0.88,1.15,0.42,3.1,0.04,3.86,1.52,0.83,2.35,28.38,2.71,47.51,3.54,15.07,23.02,9.95,1.27,47.5,0.21,0.01,1.33,1.22,0.22,0.02,0.02,0.01,1.21,1.62,2.84,6.75,65.67,17.11,13.28,4.82,0.32,0.5
Legia Warsaw,Europa Conference League,10,9299.0,0.53,0.12,0.41,0.16,0.04,0.05,0.28,0.78,1.96,0.34,0.53,1.25,0.09,0.05,0.18,0.12,1.28,0.38,0.18,0.16,0.02,0.02,2.19,0.33,0.87,2.01,0.82,0.19,1.69,0.09,0.12,26.77,35.16,3.17,0.1,0.08,0.97,0.19,31.6,3.37,0.87,12.63,15.04,11.13,13.31,1.9,3.9,25.06,1.58,0.94,0.48,1.61,0.69,0.83,1.85,1.11,0.8,0.67,0.38,0.65,1.31,0.66,0.91,1.05,0.45,2.61,0.05,4.27,1.27,1.04,2.3,27.25,3.15,46.53,3.85,14.63,19.65,12.79,2.38,46.51,0.24,0.04,1.16,1.05,0.19,0.01,0.01,0.0,1.28,0.94,2.22,5.35,33.71,14.14,12.43,5.3,0.38,0.51
