Team,League,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Pass Length,Goal Kick Length,Distance of Defensive Actions,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
Leicester City,Premier League,38,34200.0,0.55,0.21,0.34,0.2,-0.01,0.01,0.48,1.81,3.42,0.47,0.55,1.58,0.09,0.09,0.09,0.07,0.87,0.28,0.08,0.08,0.01,0.01,1.53,0.15,0.66,2.44,0.57,0.18,1.63,0.05,0.06,34.24,42.04,2.84,0.14,0.12,0.83,0.16,38.31,3.58,0.84,17.04,19.08,14.14,16.37,2.08,4.05,29.68,1.52,0.96,0.38,1.67,0.69,0.8,1.91,1.13,0.94,0.73,0.23,0.88,1.82,0.94,0.86,1.33,0.52,2.54,0.07,3.82,1.31,0.88,2.19,34.06,2.82,52.99,4.48,17.1,25.78,10.65,1.66,52.98,0.22,0.0,1.11,1.03,0.17,0.01,0.01,0.01,1.3,1.52,2.82,4.62,51.14,19.53,13.12,5.05,0.32,0.49
Lens,Ligue 1,34,30448.0,0.42,0.12,0.3,0.14,0.03,0.04,0.42,1.0,2.64,0.48,0.48,1.13,0.12,0.1,0.12,0.08,1.43,0.44,0.16,0.14,0.01,0.01,2.52,0.19,1.08,3.24,1.04,0.3,2.09,0.11,0.11,41.44,50.6,4.29,0.17,0.22,1.02,0.24,46.66,3.69,0.95,21.1,23.69,16.12,18.7,2.81,4.93,34.36,1.68,1.42,0.36,1.72,0.73,0.88,1.79,1.08,0.77,0.69,0.32,0.88,1.7,0.82,0.94,1.14,0.3,2.05,0.04,4.55,1.7,1.0,2.71,41.88,4.26,62.16,3.06,15.44,30.06,17.24,2.51,62.14,0.25,0.03,1.47,1.06,0.25,0.03,0.01,0.0,1.32,1.22,2.54,5.62,35.77,18.39,13.04,4.95,0.33,0.49
Leverkusen,Bundesliga,34,30570.0,0.39,0.13,0.28,0.11,-0.01,0.03,0.4,1.0,2.66,0.37,0.44,1.02,0.04,0.13,0.21,0.16,1.47,0.53,0.17,0.16,0.01,0.02,2.67,0.36,1.14,4.72,0.94,0.24,2.16,0.15,0.12,51.49,60.44,4.98,0.2,0.34,0.94,0.18,56.35,3.92,1.01,27.15,29.59,19.65,22.35,3.35,5.54,38.94,2.05,1.46,0.53,1.72,0.75,0.86,1.16,0.76,0.45,0.48,0.23,0.54,1.05,0.51,0.69,0.89,0.23,1.97,0.07,4.08,1.35,0.74,2.09,51.67,4.94,70.6,2.86,14.04,35.8,21.16,2.7,70.58,0.18,0.01,0.96,1.03,0.19,0.01,0.01,0.01,1.36,1.23,2.58,4.15,39.51,21.32,13.55,4.83,0.3,0.53
Leverkusen,Champions League,10,8956.0,0.34,0.12,0.22,0.12,0.0,0.05,0.4,0.97,2.78,0.36,0.5,1.0,0.06,0.1,0.14,0.09,1.52,0.55,0.16,0.15,0.01,0.01,2.59,0.22,1.17,4.71,0.87,0.22,1.79,0.12,0.11,51.45,59.1,4.32,0.23,0.32,0.95,0.14,55.69,3.27,0.73,27.96,30.24,19.68,21.8,3.13,4.9,39.64,1.87,1.41,0.57,1.39,0.6,0.69,1.49,0.97,0.72,0.56,0.2,0.66,1.48,0.81,0.81,0.91,0.34,1.75,0.07,4.04,1.19,0.74,1.93,51.66,4.3,69.12,3.43,15.09,33.21,21.1,2.61,69.11,0.22,0.04,1.19,0.83,0.14,0.01,0.0,0.0,1.15,1.09,2.23,3.62,41.22,17.29,13.72,4.44,0.28,0.51
Lille,Champions League,10,8917.0,0.45,0.13,0.32,0.16,0.02,0.01,0.44,1.26,3.06,0.34,0.36,1.13,0.05,0.03,0.17,0.12,0.94,0.36,0.12,0.1,0.02,0.02,1.69,0.3,0.67,2.52,0.77,0.09,0.96,0.07,0.07,39.18,46.86,3.49,0.13,0.12,1.05,0.16,42.56,4.14,1.09,17.03,19.35,18.33,20.36,2.75,4.39,39.7,1.66,1.62,0.49,2.21,1.16,0.9,1.45,0.86,0.67,0.49,0.29,0.68,1.31,0.64,0.85,0.99,0.22,1.95,0.08,4.34,1.68,1.1,2.78,39.22,3.48,57.58,3.62,16.95,27.31,14.08,2.07,57.56,0.22,0.04,1.02,1.08,0.16,0.02,0.01,0.0,1.03,0.96,1.99,3.71,49.96,13.17,14.24,5.37,0.29,0.45
Lille,Ligue 1,34,30576.0,0.37,0.11,0.27,0.12,0.02,0.03,0.33,0.85,2.85,0.42,0.33,1.1,0.06,0.07,0.15,0.09,1.25,0.45,0.16,0.14,0.02,0.03,2.25,0.24,0.93,4.06,1.02,0.21,1.57,0.11,0.1,46.81,54.88,4.75,0.12,0.3,0.91,0.13,50.96,3.79,1.04,20.72,23.02,21.55,23.91,3.44,5.24,37.99,1.97,1.51,0.47,1.76,0.83,0.85,1.83,1.04,0.7,0.8,0.33,0.91,1.62,0.71,0.8,0.89,0.22,1.84,0.05,4.31,1.51,0.88,2.39,47.0,4.72,65.13,3.0,14.58,33.39,17.63,2.51,65.1,0.23,0.01,1.21,1.09,0.14,0.01,0.02,0.0,1.14,1.03,2.17,4.21,35.72,17.72,14.61,5.22,0.29,0.52
Liverpool,Champions League,10,9296.0,0.43,0.06,0.36,0.12,0.06,0.06,0.44,1.16,3.45,0.36,0.38,1.01,0.06,0.14,0.17,0.13,1.38,0.55,0.2,0.18,0.02,0.03,2.39,0.31,1.01,3.54,1.0,0.08,1.61,0.12,0.14,41.51,49.07,4.54,0.25,0.36,0.76,0.14,45.41,3.52,0.9,20.05,22.11,17.23,19.49,3.16,5.14,35.1,1.91,1.35,0.74,1.98,0.76,1.01,1.42,0.86,0.51,0.64,0.27,0.71,1.63,0.92,0.94,1.22,0.42,1.48,0.09,4.23,1.15,0.78,1.94,41.59,4.53,59.06,3.49,15.04,28.34,16.34,2.9,59.03,0.18,0.01,1.04,0.79,0.14,0.01,0.03,0.0,0.67,0.87,1.54,3.32,37.56,19.25,14.18,5.19,0.32,0.5
Liverpool,Premier League,38,34101.0,0.36,0.11,0.26,0.11,0.0,0.04,0.27,0.86,3.29,0.47,0.26,0.98,0.04,0.15,0.22,0.17,1.69,0.57,0.22,0.2,0.02,0.02,3.01,0.38,1.34,4.13,1.13,0.22,1.92,0.13,0.16,45.43,53.87,5.08,0.18,0.34,0.87,0.15,49.65,4.06,1.02,21.87,23.89,19.32,21.97,3.24,5.59,36.89,2.18,1.47,0.85,1.78,0.79,0.82,1.69,1.03,0.71,0.7,0.27,0.9,1.73,0.83,0.79,0.97,0.26,1.87,0.07,4.11,1.4,0.92,2.32,45.43,5.04,64.63,3.67,15.55,30.49,19.2,3.47,64.61,0.18,0.01,1.13,0.93,0.16,0.01,0.02,0.01,1.05,0.97,2.02,3.92,35.38,18.69,14.12,5.18,0.31,0.54
Ludogorets,Europa League,8,7139.0,0.64,0.14,0.5,0.2,0.06,0.03,0.61,1.89,3.66,0.4,0.84,1.88,0.11,0.09,0.05,0.04,1.02,0.26,0.1,0.09,0.0,0.01,1.71,0.1,0.77,1.83,0.55,0.33,1.53,0.08,0.07,31.11,39.38,2.14,0.08,0.29,0.74,0.16,35.36,3.86,1.42,13.5,15.66,13.96,16.41,2.79,5.12,29.12,1.41,0.9,0.15,2.05,0.93,1.05,1.73,0.97,1.11,0.47,0.15,0.82,1.93,1.11,0.96,1.16,0.28,3.09,0.06,4.03,1.41,0.97,2.38,31.26,2.14,51.55,5.13,20.56,21.78,9.81,1.41,51.54,0.25,0.01,1.16,1.47,0.16,0.0,0.0,0.0,1.65,1.59,3.24,3.81,45.99,15.07,13.68,5.16,0.31,0.45
Lugano,Europa Conference League,8,7466.0,0.46,0.14,0.31,0.15,0.01,0.04,0.64,1.46,4.41,0.36,0.54,1.28,0.06,0.01,0.19,0.1,1.36,0.54,0.19,0.19,0.0,0.0,2.46,0.3,1.15,2.84,1.07,0.19,1.27,0.14,0.17,39.32,46.86,4.0,0.16,0.31,0.87,0.16,43.06,3.64,1.22,17.6,19.5,17.71,19.84,3.18,5.34,32.57,1.48,1.19,0.37,1.47,0.78,0.6,1.72,1.05,0.92,0.63,0.18,0.84,1.66,0.82,0.93,1.07,0.29,2.09,0.07,3.87,1.29,0.84,2.13,39.67,3.98,57.36,3.32,17.96,27.03,13.07,2.19,57.36,0.28,0.04,1.39,1.41,0.16,0.02,0.0,0.0,1.16,1.39,2.54,2.41,41.46,13.8,14.49,5.36,0.29,0.48
Lyon,Europa League,12,11068.0,0.48,0.13,0.35,0.16,0.03,0.02,0.33,1.16,3.06,0.39,0.51,1.23,0.09,0.06,0.24,0.18,1.67,0.64,0.19,0.18,0.01,0.01,2.96,0.38,1.24,3.03,1.01,0.12,1.51,0.14,0.13,45.32,53.32,4.25,0.22,0.24,0.91,0.17,49.5,3.64,1.16,24.93,27.61,16.62,18.79,2.41,3.9,41.29,2.2,1.68,0.72,2.19,1.07,0.97,1.71,1.02,0.89,0.6,0.22,0.89,1.86,0.97,0.8,1.02,0.32,1.89,0.05,4.35,1.34,0.89,2.23,45.3,4.21,64.34,3.59,18.43,29.08,17.48,3.33,64.33,0.21,0.02,1.12,1.21,0.18,0.02,0.01,0.0,1.02,1.19,2.2,4.06,34.59,17.39,13.0,4.73,0.32,0.5
Lyon,Ligue 1,34,30600.0,0.49,0.14,0.35,0.14,0.01,0.03,0.3,0.92,2.68,0.54,0.45,1.24,0.08,0.09,0.18,0.14,1.28,0.51,0.18,0.15,0.02,0.03,2.35,0.34,1.03,3.51,1.09,0.17,1.76,0.15,0.13,44.81,52.92,4.75,0.18,0.32,1.03,0.2,48.91,3.81,1.06,22.84,25.17,18.06,20.29,2.71,4.61,37.38,2.09,1.42,0.59,1.61,0.7,0.81,1.69,1.0,0.75,0.68,0.26,0.91,1.74,0.83,0.83,1.01,0.33,1.98,0.07,4.1,1.34,0.82,2.16,45.02,4.71,63.17,3.5,16.17,30.49,17.09,2.94,63.14,0.17,0.0,1.19,1.04,0.21,0.01,0.02,0.0,0.86,0.98,1.84,6.11,37.29,19.64,13.52,5.09,0.31,0.54
Maccabi Tel Aviv,Europa League,8,7198.0,0.56,0.21,0.33,0.24,0.03,0.0,0.43,1.23,3.45,0.51,0.45,1.33,0.04,0.05,0.1,0.08,1.18,0.38,0.13,0.12,0.01,0.01,2.04,0.19,0.9,2.23,0.7,0.16,1.1,0.07,0.09,33.68,41.02,3.21,0.11,0.26,0.68,0.19,37.09,3.75,1.06,14.88,17.04,15.24,17.32,2.59,4.31,28.45,1.39,1.15,0.41,1.54,0.69,0.79,1.73,1.08,0.74,0.78,0.21,0.8,1.7,0.9,0.88,1.05,0.35,2.31,0.09,4.41,1.59,1.14,2.73,33.65,3.18,51.79,3.91,17.79,23.23,11.38,1.86,51.78,0.24,0.05,1.01,1.09,0.19,0.04,0.01,0.0,1.14,1.23,2.36,4.43,35.56,16.8,14.05,5.24,0.31,0.51
Mainz 05,Bundesliga,34,30363.0,0.44,0.13,0.31,0.14,0.01,0.03,0.56,1.81,3.11,0.41,0.57,1.62,0.14,0.2,0.16,0.11,1.23,0.42,0.15,0.14,0.01,0.01,2.15,0.27,0.94,2.9,0.9,0.28,1.95,0.12,0.11,34.66,45.01,3.81,0.13,0.21,1.12,0.21,40.93,3.87,0.86,16.4,19.0,14.44,17.42,2.94,5.73,28.9,1.38,0.99,0.35,1.47,0.63,0.75,1.67,0.96,0.69,0.73,0.25,0.7,1.32,0.63,1.04,1.24,0.38,2.7,0.05,4.4,1.75,0.87,2.63,34.61,3.77,57.2,3.51,15.89,26.95,14.86,2.31,57.19,0.2,0.02,1.21,0.97,0.23,0.01,0.01,0.0,1.81,2.07,3.87,5.03,51.72,17.97,13.07,4.58,0.34,0.45
Mallorca,La Liga,38,34017.0,0.44,0.12,0.32,0.12,0.01,0.02,0.63,1.62,2.74,0.38,0.65,1.69,0.06,0.07,0.09,0.06,1.01,0.28,0.1,0.09,0.01,0.01,1.8,0.16,0.75,2.52,0.63,0.3,1.94,0.07,0.07,31.06,39.52,3.13,0.12,0.24,0.77,0.19,35.52,3.81,0.92,14.29,16.28,13.08,15.61,3.01,5.48,26.99,1.27,1.08,0.22,1.53,0.67,0.69,1.55,0.96,0.81,0.56,0.18,0.68,1.32,0.64,0.86,1.03,0.4,3.02,0.04,3.9,1.5,1.0,2.49,31.31,3.09,50.96,3.87,15.33,24.57,11.62,1.68,50.95,0.21,0.02,1.23,1.13,0.21,0.01,0.01,0.0,1.76,1.61,3.37,5.17,50.29,16.46,13.73,5.18,0.33,0.47
Malmö,Europa League,8,7199.0,0.46,0.21,0.25,0.16,-0.06,0.01,0.16,0.99,2.0,0.38,0.7,1.4,0.08,0.05,0.13,0.08,1.29,0.39,0.15,0.13,0.01,0.03,2.26,0.2,0.94,2.93,1.06,0.28,1.73,0.1,0.1,38.16,47.68,3.83,0.15,0.06,1.45,0.15,43.32,4.21,1.06,21.64,24.02,12.48,15.3,2.38,4.4,33.79,1.36,1.03,0.43,1.79,0.8,0.93,1.56,0.89,0.69,0.55,0.33,0.69,1.34,0.65,0.56,1.05,0.25,2.1,0.09,3.96,1.54,1.05,2.59,38.58,3.8,57.92,3.48,16.65,25.27,16.46,2.4,57.9,0.26,0.03,1.13,1.13,0.15,0.03,0.01,0.0,1.14,1.31,2.45,5.84,40.6,23.45,12.02,4.51,0.35,0.49
Manchester City,Champions League,10,9000.0,0.48,0.2,0.28,0.17,-0.03,0.03,0.18,0.45,2.59,0.36,0.34,0.64,0.05,0.19,0.2,0.11,1.67,0.62,0.21,0.18,0.03,0.04,2.99,0.33,1.3,4.9,1.44,0.15,1.94,0.17,0.14,57.42,63.89,6.07,0.17,0.13,1.07,0.1,60.47,3.32,0.73,30.45,32.45,24.3,26.22,2.18,3.42,48.24,3.15,2.65,0.92,1.81,0.79,0.77,1.22,0.72,0.35,0.49,0.38,0.7,1.28,0.58,0.51,0.85,0.3,1.01,0.07,3.7,1.03,0.94,1.97,57.23,6.01,72.41,2.23,10.04,34.21,28.61,3.78,72.37,0.11,0.0,0.79,0.71,0.1,0.02,0.03,0.0,0.64,0.5,1.14,3.47,32.76,22.76,14.08,5.8,0.24,0.54
Manchester City,Premier League,38,34169.0,0.34,0.12,0.23,0.12,0.01,0.04,0.3,0.71,3.31,0.43,0.33,0.94,0.05,0.16,0.19,0.12,1.59,0.55,0.18,0.17,0.01,0.01,2.87,0.32,1.23,4.37,1.16,0.16,1.74,0.13,0.14,53.59,60.74,5.12,0.22,0.23,0.89,0.12,56.94,3.69,1.05,28.52,30.75,21.66,23.8,2.66,4.19,45.04,3.02,2.27,1.06,2.1,0.99,0.79,1.31,0.79,0.48,0.57,0.26,0.56,1.17,0.61,0.6,0.87,0.23,1.57,0.08,3.65,1.25,1.04,2.29,53.51,5.06,70.16,2.69,13.31,31.77,25.69,3.55,70.15,0.14,0.01,0.75,1.0,0.12,0.01,0.01,0.01,0.8,0.88,1.68,3.49,30.45,20.54,13.95,5.8,0.25,0.54
Manchester Utd,Europa League,15,13790.0,0.38,0.12,0.25,0.12,-0.0,0.02,0.37,1.05,2.85,0.33,0.37,1.06,0.05,0.1,0.22,0.17,1.69,0.58,0.21,0.19,0.03,0.03,3.03,0.38,1.34,3.36,1.01,0.17,1.63,0.13,0.16,45.0,53.2,4.65,0.26,0.29,0.81,0.13,49.64,3.43,0.99,22.31,24.9,18.28,20.49,2.89,4.76,39.2,2.2,1.47,0.84,1.76,0.89,0.77,1.75,1.13,0.74,0.72,0.29,0.81,1.38,0.57,0.77,1.18,0.29,2.04,0.1,4.39,1.38,0.84,2.22,44.94,4.63,64.44,3.09,16.75,30.03,18.21,3.39,64.42,0.2,0.01,0.99,1.19,0.14,0.02,0.03,0.0,1.5,1.17,2.68,3.56,46.27,24.48,13.64,5.22,0.29,0.55
Manchester Utd,Premier League,38,34059.0,0.39,0.14,0.25,0.14,0.0,0.03,0.35,1.33,3.38,0.39,0.46,1.2,0.07,0.08,0.11,0.08,1.38,0.44,0.14,0.13,0.01,0.01,2.47,0.18,1.07,2.94,0.89,0.19,1.66,0.08,0.1,41.74,50.09,3.82,0.25,0.28,0.93,0.17,46.41,3.51,0.85,21.14,23.49,16.59,18.98,2.73,4.79,37.11,1.84,1.26,0.61,1.64,0.66,0.85,2.15,1.3,1.04,0.81,0.31,1.05,1.9,0.85,0.95,1.02,0.28,1.95,0.06,4.49,1.37,0.93,2.31,41.58,3.79,61.29,3.6,18.7,27.58,15.61,2.56,61.28,0.23,0.01,1.06,0.97,0.18,0.01,0.01,0.01,1.27,1.29,2.55,3.53,48.11,16.45,13.34,4.96,0.29,0.5
Marseille,Ligue 1,34,30336.0,0.4,0.14,0.26,0.14,0.0,0.01,0.27,0.6,3.25,0.39,0.31,0.92,0.08,0.18,0.21,0.15,1.43,0.55,0.19,0.17,0.02,0.03,2.58,0.38,1.12,4.47,0.96,0.2,1.81,0.12,0.13,57.46,65.38,5.08,0.17,0.21,0.97,0.15,61.43,3.8,1.1,29.42,31.65,23.76,26.13,2.57,4.34,45.9,1.97,1.48,0.58,1.8,0.82,0.89,1.63,1.05,0.71,0.68,0.23,0.8,1.38,0.58,0.83,0.8,0.21,1.48,0.08,4.3,1.39,0.93,2.32,57.75,5.05,75.07,2.73,16.75,40.24,18.6,2.52,75.04,0.18,0.03,1.16,1.07,0.16,0.01,0.01,0.01,0.9,0.74,1.64,2.97,32.68,21.54,13.65,4.67,0.29,0.52
Midtjylland,Europa League,10,8978.0,0.54,0.16,0.38,0.16,-0.0,0.04,0.62,1.76,3.0,0.45,0.79,1.18,0.08,0.17,0.11,0.09,1.09,0.42,0.14,0.14,0.01,0.01,1.76,0.19,0.84,2.28,0.76,0.25,1.76,0.1,0.11,29.48,39.07,3.42,0.19,0.22,1.02,0.08,34.85,4.14,1.21,12.24,14.59,14.16,16.96,2.65,5.44,24.42,1.55,1.22,0.38,2.6,0.99,1.43,1.7,0.98,0.77,0.67,0.26,0.85,1.78,0.93,1.11,1.04,0.29,2.11,0.09,4.59,1.42,0.93,2.36,29.78,3.38,50.76,3.0,15.31,22.09,14.15,2.27,50.75,0.12,0.01,1.18,1.34,0.1,0.03,0.01,0.0,1.72,1.75,3.48,5.75,45.99,21.54,13.51,5.92,0.34,0.47
Milan,Champions League,10,8908.0,0.54,0.13,0.4,0.12,-0.01,0.01,0.26,0.74,3.24,0.38,0.47,1.01,0.07,0.17,0.15,0.11,1.51,0.6,0.14,0.14,0.0,0.0,2.68,0.25,1.12,3.86,0.87,0.18,1.32,0.1,0.11,42.09,48.76,4.74,0.3,0.23,0.71,0.13,44.86,3.77,1.16,19.13,21.28,19.45,21.53,2.78,4.19,39.19,2.47,1.87,0.89,2.58,1.17,1.15,1.51,0.93,0.68,0.59,0.24,0.69,1.48,0.79,0.8,0.86,0.19,1.75,0.06,3.78,1.14,0.77,1.91,42.49,4.72,59.04,2.83,13.54,30.14,16.17,2.7,59.03,0.26,0.04,1.08,1.09,0.14,0.01,0.0,0.0,1.1,0.8,1.9,3.09,39.24,25.41,14.63,5.97,0.27,0.56
Milan,Serie A,38,33996.0,0.38,0.11,0.27,0.1,-0.01,0.03,0.33,0.84,3.71,0.48,0.55,1.22,0.07,0.19,0.16,0.11,1.47,0.49,0.17,0.15,0.01,0.02,2.66,0.28,1.16,3.12,0.91,0.2,1.68,0.09,0.12,39.57,46.29,4.2,0.23,0.22,0.65,0.15,42.56,3.59,1.19,17.76,19.66,18.31,20.38,2.78,4.47,34.25,2.42,1.72,0.71,1.91,0.91,0.82,1.46,0.92,0.66,0.59,0.21,0.65,1.27,0.62,0.62,0.77,0.25,1.78,0.05,3.52,1.36,0.76,2.12,40.12,4.16,55.99,2.68,14.91,27.09,14.61,2.56,55.97,0.18,0.02,1.1,1.11,0.16,0.0,0.02,0.01,1.14,1.04,2.17,3.55,38.11,22.72,14.63,5.8,0.29,0.54
Mladá Boleslav,Europa Conference League,6,5400.0,0.65,0.17,0.5,0.18,0.01,0.02,0.32,1.38,3.27,0.55,0.73,1.47,0.12,0.1,0.12,0.05,1.33,0.57,0.14,0.13,0.0,0.02,2.18,0.17,0.97,2.13,0.55,0.1,1.2,0.06,0.08,28.87,37.5,3.17,0.03,0.23,0.87,0.15,33.97,3.38,0.77,11.93,14.32,13.65,16.15,2.58,4.83,23.72,1.23,1.08,0.27,1.75,0.72,0.98,1.28,0.87,0.65,0.47,0.17,0.6,1.35,0.75,0.97,1.58,0.48,2.33,0.02,4.28,1.35,0.98,2.33,29.18,3.13,48.82,4.27,16.68,21.08,11.65,1.6,48.8,0.18,0.0,1.1,0.87,0.17,0.02,0.02,0.02,1.28,1.38,2.67,5.19,50.75,16.62,13.75,5.3,0.35,0.52
Molde,Europa Conference League,10,9516.0,0.33,0.15,0.18,0.14,-0.01,0.02,0.3,0.94,3.59,0.39,0.44,1.32,0.09,0.19,0.12,0.03,1.13,0.38,0.12,0.12,0.0,0.0,2.02,0.17,0.88,3.82,1.15,0.16,1.51,0.11,0.09,46.83,56.39,4.89,0.14,0.3,1.03,0.08,52.52,3.79,1.06,21.85,24.46,20.81,23.68,3.1,5.49,38.23,1.61,1.24,0.48,1.74,0.71,0.88,1.7,1.02,0.8,0.64,0.26,0.81,1.56,0.75,0.82,1.24,0.35,2.17,0.02,4.68,1.49,0.93,2.42,47.01,4.85,67.8,2.85,16.34,33.66,18.35,2.82,67.8,0.21,0.05,1.21,1.06,0.09,0.0,0.0,0.0,1.45,1.07,2.52,3.12,34.04,18.02,13.91,4.49,0.31,0.51
Monaco,Champions League,10,8849.0,0.5,0.17,0.33,0.19,0.02,0.02,0.18,0.88,2.29,0.63,0.7,1.07,0.07,0.03,0.16,0.11,1.2,0.44,0.13,0.12,0.01,0.01,2.13,0.27,0.93,3.47,0.57,0.13,1.36,0.08,0.1,36.76,46.04,3.66,0.14,0.31,0.96,0.25,41.71,4.08,1.22,18.21,20.67,15.4,18.17,2.78,5.18,26.12,1.73,1.15,0.49,1.74,0.82,0.71,1.72,1.09,0.83,0.74,0.14,0.72,1.51,0.78,1.29,1.18,0.23,2.14,0.1,4.65,1.68,1.02,2.7,37.32,3.63,57.45,2.81,15.19,28.02,14.8,2.05,57.44,0.23,0.05,1.2,1.23,0.28,0.03,0.01,0.0,1.17,1.38,2.55,8.47,44.94,18.1,13.51,5.75,0.34,0.53
Monaco,Ligue 1,34,30484.0,0.38,0.12,0.26,0.11,-0.01,0.03,0.23,0.79,2.26,0.43,0.55,1.12,0.09,0.11,0.19,0.14,1.46,0.53,0.22,0.2,0.02,0.02,2.55,0.31,1.15,3.63,1.15,0.17,1.66,0.15,0.16,40.87,50.08,4.83,0.26,0.26,0.85,0.2,45.92,3.96,1.27,19.88,22.56,17.12,19.81,2.85,5.1,35.13,1.98,1.58,0.55,1.81,0.79,0.89,1.98,1.27,0.83,0.85,0.3,1.0,1.83,0.83,1.05,1.03,0.21,1.91,0.04,5.04,1.77,1.01,2.78,41.29,4.81,61.61,2.67,13.68,32.18,16.41,2.86,61.59,0.17,0.02,1.36,1.3,0.2,0.01,0.01,0.0,1.23,1.24,2.48,5.38,35.65,18.76,13.43,5.28,0.34,0.52
Montpellier,Ligue 1,33,29618.0,0.57,0.23,0.34,0.2,-0.03,0.0,0.6,1.51,2.73,0.41,0.64,1.41,0.09,0.09,0.07,0.04,1.09,0.33,0.1,0.09,0.01,0.01,1.84,0.12,0.77,2.57,0.51,0.23,1.91,0.06,0.07,32.47,40.43,3.15,0.14,0.33,0.84,0.19,36.39,3.85,1.12,14.35,16.44,13.95,16.29,3.21,5.34,27.22,1.61,1.1,0.42,1.85,0.8,0.92,1.92,1.15,0.92,0.8,0.2,0.94,1.85,0.91,0.81,1.12,0.37,2.17,0.07,3.99,1.45,0.9,2.35,32.71,3.13,51.42,3.38,14.71,25.06,12.25,1.64,51.41,0.26,0.03,1.29,1.3,0.2,0.03,0.01,0.01,1.12,1.34,2.47,5.33,42.58,18.57,14.13,5.64,0.31,0.49
Monza,Serie A,38,34124.0,0.48,0.18,0.3,0.16,-0.02,0.01,0.57,1.47,3.22,0.41,0.48,1.41,0.07,0.09,0.07,0.05,0.88,0.26,0.08,0.07,0.01,0.01,1.54,0.11,0.65,2.33,0.52,0.19,1.73,0.04,0.05,34.92,42.49,2.89,0.08,0.2,0.78,0.13,38.45,3.91,1.23,15.19,17.07,16.05,18.31,2.92,4.93,31.7,1.41,1.09,0.23,1.34,0.58,0.6,1.48,0.83,0.8,0.53,0.15,0.72,1.32,0.6,0.8,1.01,0.41,2.23,0.09,3.32,1.35,0.88,2.23,35.09,2.85,52.29,4.06,17.85,24.19,10.69,1.27,52.28,0.23,0.01,1.35,1.36,0.14,0.01,0.0,0.01,1.47,1.59,3.07,4.0,44.53,20.61,14.28,5.06,0.29,0.48
NK Celje,Europa Conference League,12,11100.0,0.48,0.19,0.28,0.16,-0.04,0.02,0.5,1.16,2.59,0.51,0.71,1.36,0.09,0.07,0.19,0.1,1.21,0.44,0.18,0.15,0.02,0.03,2.23,0.33,0.91,2.89,0.79,0.19,1.35,0.13,0.12,36.97,44.29,3.5,0.21,0.24,0.89,0.13,40.83,3.32,1.18,15.12,16.96,17.18,19.22,3.91,5.84,32.24,1.81,1.37,0.49,1.52,0.74,0.71,1.45,0.78,0.71,0.6,0.14,0.63,1.52,0.88,0.91,0.9,0.24,2.06,0.02,3.65,1.35,0.75,2.11,37.48,3.45,54.11,3.08,15.54,25.04,14.07,2.25,54.08,0.17,0.0,1.31,1.25,0.13,0.02,0.03,0.0,1.07,1.02,2.09,6.45,39.37,18.53,15.14,5.62,0.29,0.52
