Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Michael Bresser,nl NED,DF,17,2007,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Michael Brouwer,nl NED,GK,31,1993,3,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,20.33,35.67,3.0,3.0,8.33,8.67,9.0,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,39.67,35.33,39.67,0.0,0.0,0.0,39.67,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,56.99,100.0,96.08,38.02,0.0,0.0
Michael Collodi,us USA,GK,24-055,2001,2,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,33.5,5.0,5.0,15.0,15.0,6.5,13.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,35.5,22.5,35.0,0.5,0.0,0.0,35.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,100.0,100.0,50.0,0.0,0.0
Michael Cooper,eng ENG,GK,24,1999,43,43,3870,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,28.07,38.53,4.44,4.44,14.4,14.51,9.21,19.33,0.0,0.0,0.0,0.02,0.86,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.6,0.02,40.42,30.26,40.16,0.26,0.0,0.0,40.42,0.02,0.02,24.51,0.0,0.0,0.0,0.02,0.0,21.47,0.0,0.07,0.0,0.0,0.02,0.12,0.0,0.0,0.02,0.0,1.07,0.3,0.0,0.3,0.02,0.0,0.14,0.05,0.02,0.0,100.0,72.85,100.0,99.24,47.65,50.0,100.0
Michael Edwards,us USA,DF,24-234,2000,1,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.67,13.33,16.67,16.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,16.67,0.0,56.67,16.67,30.0,23.33,3.33,0.0,56.67,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.33,0.0,3.33,0.0,3.33,0.0,0.0,0.0,0.0,100.0,81.81,79.96,83.35,0.0,0.0,0.0
Michael Estrada,ec ECU,MO,29-103,1996,6,0,122,0.0,0.44,3.69,0.0,0.0,0.0,2.95,0.0,16.97,25.82,8.85,11.8,5.16,5.16,2.21,3.69,0.0,0.0,0.15,0.74,2.95,0.0,0.0,2.95,0.74,2.95,3.69,0.74,0.0,0.0,0.0,0.74,0.0,0.0,0.0,2.21,0.0,1.48,0.0,52.38,1.48,7.38,21.39,25.08,5.9,52.38,7.38,2.21,30.25,0.74,2.95,0.74,8.11,5.16,30.98,3.69,0.74,0.0,0.0,2.95,1.48,1.48,0.0,0.0,0.0,10.33,2.21,3.69,5.9,13.28,11.07,2.95,6.64,0.0,-1.0,37.46,65.72,75.0,100.0,59.89,0.0,29.95
Michael Frey,ch SUI,FW,30,1994,29,21,1781,0.4,0.28,2.12,0.71,0.05,0.05,2.12,0.1,13.24,20.77,7.88,11.42,3.34,4.55,0.76,1.36,0.05,0.06,0.06,0.71,1.06,0.2,0.0,1.47,0.56,1.47,3.49,1.11,0.81,0.1,0.61,0.4,0.3,0.61,0.3,0.66,0.2,1.16,0.05,31.99,1.31,3.84,16.73,12.08,3.44,31.94,1.01,0.45,17.64,0.56,0.61,0.25,3.59,1.31,23.09,3.49,0.3,0.0,0.0,2.32,1.21,1.01,0.0,0.0,0.0,2.73,3.74,5.41,9.15,4.9,8.99,2.22,3.89,1.11,0.43,40.87,63.75,69.0,73.41,55.88,64.53,44.55
Michael Hoyos,ar ARG,FW,33-351,1991,3,2,124,0.73,0.15,0.73,0.73,0.0,0.0,2.18,0.0,18.15,23.95,9.44,10.89,5.08,5.08,0.73,1.45,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.73,0.73,0.73,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,29.03,0.73,1.45,13.79,13.79,2.18,29.03,2.18,1.45,13.79,0.73,1.45,0.0,0.73,0.0,21.05,6.53,0.0,0.0,0.0,1.45,1.45,0.73,0.0,0.0,0.0,1.45,1.45,0.73,2.18,0.73,14.52,2.18,2.18,0.0,3.87,66.51,75.78,86.69,100.0,50.34,0.0,66.51
Michael Ihiekwe,eng ENG,DF,31,1992,22,20,1821,0.1,0.08,1.09,0.4,0.0,0.0,0.69,0.05,39.74,46.9,15.77,17.64,20.61,23.03,2.47,4.3,0.0,0.01,0.01,0.3,1.09,0.05,0.0,1.53,0.25,1.53,0.35,0.84,0.54,0.64,0.2,0.0,0.64,1.19,0.54,0.89,0.94,6.67,0.0,59.06,8.25,33.21,22.39,3.76,2.17,59.06,0.05,0.0,30.1,0.25,0.1,0.0,0.49,0.15,35.09,0.35,0.1,0.0,0.0,0.74,0.74,0.2,0.0,0.0,0.0,2.22,4.84,1.78,6.62,0.64,2.47,0.74,2.22,1.19,0.25,73.11,84.73,89.4,89.49,57.44,58.13,0.0
Michael Johnston,ie IRL,MO,25,1999,40,25,2069,0.13,0.17,2.7,0.74,0.0,0.0,4.96,0.52,32.75,42.15,17.18,19.1,11.66,13.96,3.0,5.22,0.22,0.19,0.22,1.91,2.57,1.7,0.39,5.18,5.83,5.18,7.87,1.13,0.74,0.43,0.57,0.13,0.48,1.26,0.78,0.61,0.48,0.57,0.0,55.29,0.65,5.57,21.79,29.01,4.31,55.29,6.7,3.31,35.71,5.83,3.0,2.48,2.04,1.44,40.93,7.87,0.13,0.0,0.0,0.65,0.83,0.43,0.0,0.0,0.0,3.91,0.26,0.57,0.83,3.48,26.75,5.48,8.87,1.22,-0.24,31.33,77.7,89.95,83.52,57.47,51.05,49.4
Michael Obafemi,ie IRL,MO,24,2000,29,14,1196,0.15,0.15,1.13,0.38,0.0,0.0,1.35,0.08,11.21,15.43,5.94,7.75,3.91,5.04,0.75,1.05,0.0,0.08,0.07,0.83,0.45,0.75,0.15,0.98,1.05,0.98,5.04,0.75,0.3,0.15,0.45,0.15,0.3,0.83,0.53,0.83,0.08,0.23,0.0,25.36,0.3,2.63,11.44,11.74,2.41,25.36,1.35,0.3,15.65,1.05,0.9,0.9,3.39,1.35,16.71,5.04,0.0,0.0,0.0,0.83,0.98,0.3,0.0,0.0,0.0,3.01,0.23,2.26,2.48,4.74,12.12,1.43,4.21,0.6,0.0,9.27,72.65,76.65,77.58,71.43,37.97,22.22
Michael Reindorf,eng ENG,FW,19,2005,2,0,52,0.0,0.0,1.73,0.0,0.0,0.0,3.46,0.0,13.85,19.04,5.19,6.92,6.92,8.65,0.0,0.0,0.0,0.17,0.17,1.73,0.0,1.73,1.73,0.0,3.46,0.0,6.92,1.73,0.0,0.0,0.0,1.73,1.73,1.73,0.0,0.0,0.0,0.0,0.0,31.15,0.0,0.0,12.12,20.77,3.46,31.15,1.73,0.0,19.04,3.46,5.19,1.73,3.46,3.46,22.5,6.92,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,3.46,0.0,12.12,12.12,6.92,17.31,3.46,8.65,1.73,0.0,0.0,72.74,75.0,80.0,0.0,50.0,0.0
Michael Rose,sct SCO,DF,28,1995,22,13,1296,0.0,0.03,0.21,0.0,0.0,0.0,0.49,0.0,46.81,53.06,15.69,17.29,26.53,28.61,4.38,6.6,0.0,0.0,0.01,0.07,1.25,0.14,0.07,0.62,0.07,0.62,0.0,0.9,0.62,0.76,0.14,0.0,0.56,1.04,0.49,0.76,0.83,5.56,0.21,61.88,8.89,38.89,22.15,0.9,0.42,61.88,0.07,0.07,35.62,0.07,0.07,0.0,0.35,0.0,40.76,0.0,0.21,0.0,0.0,0.49,0.28,0.14,0.0,0.0,0.0,3.26,2.78,1.39,4.17,0.35,0.69,0.49,0.62,1.18,-1.0,66.67,88.22,90.75,92.73,66.36,60.82,100.0
Michael Santos,uy URU,FW,32-128,1993,16,6,617,0.15,0.38,3.21,1.02,0.0,0.15,1.46,0.15,9.77,19.4,5.98,10.06,3.06,5.83,0.29,1.46,0.0,0.03,0.04,0.29,0.88,0.58,0.15,1.17,1.02,1.17,9.34,0.44,0.29,0.15,0.15,0.15,0.0,1.17,1.17,0.58,0.15,0.58,0.0,30.34,1.17,1.9,11.23,17.36,7.15,30.19,1.46,0.73,15.02,1.02,0.88,0.58,3.35,1.31,21.73,9.34,0.0,0.0,0.0,0.58,1.31,1.75,0.15,0.0,0.15,1.6,2.63,4.52,7.15,4.67,20.86,1.6,8.46,0.29,-0.61,36.78,50.36,59.44,52.49,19.86,18.01,50.0
Michael Smith,eng ENG,FW,32,1991,41,16,1844,0.39,0.39,2.88,1.17,0.05,0.05,2.78,0.49,14.01,23.52,8.3,12.4,4.15,6.59,0.59,1.42,0.2,0.18,0.16,1.51,0.68,0.59,0.1,1.51,0.39,1.51,4.15,0.68,0.49,0.05,0.34,0.29,0.1,0.34,0.24,0.73,0.29,2.39,0.0,34.65,2.59,4.05,16.35,14.4,5.17,34.6,0.88,0.34,15.13,0.39,0.24,0.15,1.85,1.07,23.52,4.15,0.15,0.0,0.0,2.2,0.54,0.54,0.0,0.0,0.0,1.85,6.15,3.47,9.61,2.93,10.2,3.27,6.0,0.59,0.0,64.0,59.57,66.94,62.97,41.55,57.84,38.64
Michael Sullivan,us USA,MF,22-138,2003,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Venturi,it ITA,DF,25,1999,28,22,1962,0.05,0.05,0.41,0.23,0.0,0.0,0.87,0.09,36.47,45.23,13.07,14.91,18.62,21.24,4.22,7.71,0.05,0.01,0.02,0.23,2.94,0.23,0.14,2.89,0.6,2.89,0.41,2.02,1.33,1.38,0.64,0.0,0.73,1.24,0.5,1.61,1.28,5.69,0.09,58.26,6.47,25.14,29.82,3.67,0.5,58.26,0.5,0.28,24.86,0.6,0.73,0.0,0.69,0.41,30.0,0.41,0.28,0.05,0.0,1.65,0.55,0.0,0.0,0.0,0.0,3.07,1.93,1.7,3.62,1.1,4.31,0.96,0.87,2.06,0.0,53.31,80.63,87.66,87.66,54.73,63.19,56.0
Michael Verrips,nl NED,GK,27,1996,27,27,2336,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,17.07,27.86,1.7,1.7,7.55,7.74,7.71,18.22,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.04,0.27,0.08,30.21,26.31,30.17,0.04,0.0,0.0,30.21,0.04,0.04,19.3,0.0,0.0,0.0,0.0,0.0,12.29,0.0,0.04,0.0,0.0,0.08,0.19,0.0,0.0,0.04,0.0,0.81,0.12,0.04,0.15,0.0,0.0,0.12,0.0,0.0,0.0,80.0,61.27,100.0,97.55,42.32,0.0,100.0
Michael Wentzel,de GER,DF,23-100,2002,2,1,97,0.0,0.09,0.93,0.93,0.0,0.0,0.0,0.0,64.02,69.59,22.27,23.2,36.19,37.11,5.57,8.35,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.93,0.0,0.0,0.93,0.0,0.93,0.0,0.0,0.93,0.93,0.0,1.86,0.0,4.64,0.0,77.94,8.35,45.46,31.55,0.93,0.93,77.94,0.0,0.0,41.75,0.93,0.0,0.0,0.0,0.0,55.67,0.0,0.93,0.0,0.0,1.86,1.86,0.0,0.0,0.0,0.0,6.49,1.86,2.78,4.64,0.0,0.93,0.0,0.93,0.93,-1.0,40.09,92.0,95.99,97.52,66.71,50.0,0.0
Michal Sadílek,cz CZE,MF,25,1999,21,18,1599,0.11,0.03,0.39,0.17,0.0,0.0,2.31,0.34,42.55,54.48,20.66,23.53,16.55,19.76,3.94,8.16,0.23,0.12,0.14,1.29,4.11,0.79,0.34,4.17,1.35,4.17,1.91,2.42,1.46,0.79,1.35,0.28,1.46,2.65,1.18,1.58,1.13,2.59,0.0,65.35,3.32,17.05,34.67,14.13,0.73,65.35,0.39,0.06,31.91,1.35,0.68,0.11,0.79,0.45,37.65,1.91,0.17,0.0,0.0,1.13,1.52,0.06,0.0,0.0,0.0,4.78,0.96,1.52,2.48,1.24,9.34,2.65,1.97,2.93,2.67,38.71,78.1,87.8,83.76,48.28,57.59,15.38
Michał Helik,pl POL,DF,28,1995,20,20,1800,0.25,0.16,0.95,0.35,0.0,0.0,0.95,0.1,32.25,40.5,10.7,12.15,17.95,20.4,3.15,6.65,0.0,0.02,0.05,0.25,0.85,0.15,0.0,1.2,0.15,1.2,0.4,1.1,0.55,0.85,0.2,0.05,0.45,0.65,0.2,1.2,0.9,8.3,0.0,54.55,9.4,31.9,19.8,3.0,2.0,54.55,0.2,0.1,25.9,0.15,0.15,0.0,0.45,0.05,29.2,0.4,0.2,0.0,0.0,0.75,0.7,0.1,0.0,0.0,0.05,1.85,3.9,2.9,6.8,0.5,2.15,1.05,2.15,1.0,0.56,57.35,79.63,88.07,87.99,47.37,57.14,50.0
