Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won
Simion Michez,be BEL,MO,22,2002,7,5,368,0,0.7,14,5,0,0,12,0,80,119,48,57,15,29,8,16,0,0.1,0.2,4,3,3,3,7,10,7,28,9,6,1,7,1,5,7,2,9,4,7,0,196,10,31,69,99,19,196,8,2,85,10,5,1,13,5,104,28,0,0,0,4,7,0,0,0,0,27,5,9,14,18,73,12,26,11
Simon Adingra,ci CIV,MO,22,2002,29,12,1097,2,2.5,33,8,0,0,47,7,290,382,187,217,81,109,16,29,2,2.5,2.8,16,5,17,6,18,50,18,136,23,14,10,8,5,10,26,16,12,8,6,2,548,10,66,174,315,76,548,50,21,366,50,21,27,39,12,388,136,0,0,0,13,4,4,0,0,0,47,7,4,11,51,340,54,126,24
Simon Cara,fr FRA,MO,19,2005,2,0,9,0,0.0,0,0,0,0,0,0,4,6,2,3,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,1,7,1,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Simon Hedlund,se SWE,MF,31,1993,8,8,720,1,0.1,4,2,0,0,10,3,141,199,72,91,54,63,8,25,2,0.8,0.8,5,8,3,0,14,6,14,24,15,8,8,5,2,9,29,20,9,13,18,0,288,35,123,106,66,8,288,14,5,117,6,8,1,8,5,119,24,2,0,0,7,7,1,0,0,0,36,3,7,10,13,68,13,12,17
Simon Mignolet,be BEL,GK,36,1988,12,12,1080,0,0.0,0,0,0,0,2,0,367,456,46,46,220,222,101,188,0,0.0,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,489,412,487,2,0,0,489,1,1,295,0,0,0,1,0,296,0,1,0,0,0,3,0,0,0,0,15,0,0,0,1,0,2,0,0
Simon Sluga,hr CRO,GK,31,1993,1,1,90,0,0.0,0,0,0,0,0,0,40,47,10,10,24,25,6,12,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,34,45,2,0,0,47,0,0,27,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Simon Sohm,ch SUI,MF,23,2001,37,36,2989,4,3.1,34,13,0,0,78,3,1050,1233,513,575,435,499,67,100,0,2.1,2.1,20,122,24,3,140,69,140,67,28,17,11,13,4,16,35,19,11,26,36,0,1467,45,262,900,326,45,1467,35,15,876,69,55,12,33,23,1042,67,6,0,0,19,30,1,0,0,0,127,29,29,58,56,343,81,84,33
Simone Pafundi,it ITA,MF,18,2006,9,0,116,0,0.1,2,1,0,0,6,0,57,77,25,29,23,28,6,16,0,0.7,0.3,3,4,0,0,0,3,0,7,3,3,2,0,1,1,4,3,0,0,1,0,95,1,8,47,41,1,95,7,1,56,3,9,0,2,1,57,7,0,0,0,1,6,0,0,0,0,3,0,2,2,3,17,6,1,4
Simone Perilli,it ITA,GK,29,1995,2,2,180,0,0.0,0,0,0,0,0,0,13,49,0,0,3,4,10,44,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,42,55,1,0,0,56,0,0,22,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Simone Scuffet,it ITA,GK,28,1996,14,14,1260,0,0.0,0,0,0,0,2,0,321,451,56,57,147,148,118,243,0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,488,427,484,4,0,0,488,0,0,228,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,17,4,1,5,0,0,2,0,0
