Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,13,44,15,11,18,21,38,45,66,21,11,99,52,26,2,29,80,35,8,6,74,77
Kaique,br BRA,GK,Farense,21,2003,6,6,540,70,27,25,32,68,21,97,45,39,65,80,65,89,84,93,60,14,96,77,36,27,38
Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,7,630,92,2,4,91,18,21,38,45,4,32,34,64,47,17,11,73,49,35,40,90,43,91
Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,84,14,24,87,82,87,38,45,18,21,63,19,15,32,23,73,98,35,77,76,7,83
Kevin Mier,co COL,GK,Cruz Azul,24,2000,33,33,2970,82,9,11,79,58,59,81,45,11,30,17,93,18,52,21,24,73,74,44,53,75,30
Kewin,br BRA,GK,Moreirense,28,1995,29,29,2610,38,40,35,41,53,62,38,45,56,68,68,59,64,73,78,86,35,35,36,24,51,77
Keylor Navas,cr CRC,GK,Newell's OB,38-216,1986,14,14,1260,83,64,86,80,46,21,38,98,40,92,72,10,33,89,94,49,15,89,90,93,92,29
Kim Joonhong,kr KOR,GK,D.C. United,22-046,2003,7,7,630,7,88,66,28,86,90,38,45,93,90,78,47,41,61,15,49,87,35,22,12,85,68
Koen Van Langendonck,be BEL,GK,Westerlo,35,1989,10,10,900,29,48,29,39,87,84,93,45,74,68,42,62,45,75,58,48,86,91,59,15,89,47
Kostas Lamprou,gr GRE,GK,NAC Breda,32,1991,1,1,90,3,76,15,11,18,21,38,45,94,94,91,99,52,4,75,5,59,35,4,1,74,5
Kristijan Kahlina,hr CRO,GK,Charlotte,32-360,1992,21,21,1890,25,82,78,48,86,90,38,45,72,17,11,53,90,23,47,35,40,35,36,47,67,36
Lars Unnerstall,de GER,GK,Twente,34,1990,31,31,2790,50,19,15,70,43,52,38,45,37,31,34,67,74,33,40,53,67,35,33,19,40,56
Laurent Henkinet,be BEL,GK,Standard Liège,31,1992,4,4,315,94,33,74,91,18,21,38,45,10,72,91,28,33,70,99,98,29,35,91,95,15,88
Lautaro Morales,ar ARG,GK,Lanús,25-215,1999,1,1,90,70,4,3,11,18,21,38,45,24,21,5,5,7,39,3,5,6,35,51,6,95,5
Lawrence Vigouroux,cl CHI,GK,Swansea City,30,1993,46,46,4140,52,30,33,59,51,59,38,45,39,87,92,94,56,20,41,64,47,35,46,47,38,70
Lazar Carević,me MNE,GK,Famalicão,25,1999,18,18,1620,58,47,53,75,78,77,89,45,52,39,29,40,49,29,49,18,59,86,75,59,68,18
Leandro Brey,ar ARG,GK,Boca Juniors,22-301,2002,2,2,180,91,4,6,87,18,21,38,45,5,21,27,30,81,75,95,5,59,35,51,76,29,5
Leandro Chichizola,ar ARG,GK,Spezia,34,1990,11,11,990,78,20,32,54,18,21,38,45,11,89,87,74,52,15,18,87,95,35,27,75,65,93
Leo Kokubo,jp JPN,GK,Sint-Truiden,23,2001,27,27,2430,25,59,52,29,91,91,84,45,76,46,43,62,45,48,89,57,75,79,51,25,53,38
Leonardo Loria,it ITA,GK,Pisa,25,1999,1,1,90,3,76,15,11,98,98,38,45,83,21,19,12,21,1,52,5,99,35,1,1,43,5
Liam Roberts,eng ENG,GK,Millwall,29,1994,2,1,91,97,12,56,99,18,21,38,45,3,39,99,28,5,98,100,98,89,35,86,98,3,81
Lorenzo Andrenacci,it ITA,GK,Brescia,29,1995,1,1,90,97,4,15,97,18,21,38,45,2,62,27,18,52,39,6,99,6,35,68,98,95,99
Luca Lezzerini,it ITA,GK,Brescia,29,1995,37,37,3330,47,61,68,54,81,71,81,99,48,66,49,40,47,37,77,80,35,93,47,61,81,69
Luca Maniero,it ITA,GK,Cittadella,29,1995,10,9,855,38,86,92,79,87,90,38,45,69,64,62,19,72,70,56,62,54,35,63,77,53,60
Luca Plogmann,de GER,GK,Go Ahead Eag,24,2000,18,18,1620,21,60,44,44,68,77,38,45,60,23,37,90,49,20,85,45,41,35,13,18,20,32
Lucas Acosta,ar ARG,GK,Sarmiento,30-129,1995,17,17,1530,52,81,89,48,58,52,38,97,72,71,69,25,9,69,88,59,59,86,88,84,54,43
Lucas Arcanjo,br BRA,GK,Vitória,26-345,1998,13,13,1170,70,79,91,46,18,21,38,45,47,37,44,36,71,80,89,80,23,35,84,89,35,61
Lucas Bruera,ar ARG,GK,ve Carabobo,27-273,1997,6,6,540,10,95,93,11,94,94,38,45,85,8,19,0,21,94,74,29,37,35,15,37,6,24
Lucas França,br BRA,GK,Nacional,28,1996,33,33,2925,40,65,66,50,85,86,38,97,66,65,66,20,30,90,70,78,42,86,66,52,50,67
Lucas Pirard,be BEL,GK,Kortrijk,29,1995,7,5,543,26,67,57,32,68,77,38,45,96,81,65,36,85,42,60,43,89,35,97,28,78,41
Lucas Verza,py PAR,GK,py Olimpia,24-096,2001,1,1,90,97,14,15,97,98,21,100,45,50,42,54,23,96,85,18,73,6,100,98,39,32,86
Lucão,br BRA,GK,RB Bragantino,24-143,2001,2,2,180,91,76,95,87,18,21,38,45,83,3,7,37,89,82,97,29,6,35,98,94,3,17
Luigi Sepe,it ITA,GK,Salernitana,33,1991,18,18,1575,50,39,41,46,68,77,38,45,51,29,41,52,47,55,20,47,27,35,61,45,23,63
Luis Barraza,us USA,GK,D.C. United,28-253,1996,16,16,1440,28,76,75,36,43,52,38,45,70,57,79,55,75,63,30,64,66,35,41,50,19,74
Luis Cárdenas,mx MEX,GK,Monterrey,30,1993,10,10,900,47,48,49,24,53,62,38,45,41,37,11,54,95,63,31,29,80,35,33,48,96,34
Luis Ingolotti,ar ARG,GK,Gimnasia–LP,25-186,2000,3,3,270,8,67,25,11,96,96,38,45,95,34,31,12,52,59,89,18,6,35,57,5,53,14
Luis Manuel García,mx MEX,GK,Toluca,31,1992,5,5,450,55,14,9,39,18,21,38,45,18,29,33,57,32,29,37,39,22,35,17,17,38,43
Luis Mejía,pa PAN,GK,uy Nacional,34-125,1991,6,6,540,25,81,77,32,68,77,38,45,81,12,19,2,7,36,55,73,26,35,70,46,13,73
Luis Ángel Malagón,mx MEX,GK,América,27,1997,29,29,2565,76,24,33,70,46,55,38,45,14,42,29,46,16,72,17,24,46,35,29,67,72,32
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,23,2001,1,1,90,97,4,15,97,18,21,38,45,3,98,96,81,96,39,82,99,91,35,86,98,90,97
Lukas Jensen,dk DEN,GK,Millwall,25,1999,41,41,3689,70,19,24,62,46,42,78,91,26,56,88,26,10,49,45,41,53,82,57,59,10,42
Lukáš Horníček,cz CZE,GK,Braga,22,2002,17,17,1530,88,24,46,83,43,52,38,45,12,33,47,80,87,30,26,67,91,35,73,89,26,79
Luuk Koopmans,nl NED,GK,Fortuna Sittard,30,1993,6,6,540,6,91,66,11,89,77,97,45,92,94,95,27,7,85,84,45,6,96,15,10,47,32
Léo Jardim,br BRA,GK,Vasco da Gama,30-121,1995,13,13,1170,43,28,28,29,18,21,38,45,37,11,12,32,52,69,81,83,33,35,19,42,20,72
Maarten Paes,id IDN,GK,FC Dallas,27-066,1998,20,20,1800,16,73,56,24,90,92,38,45,86,69,46,47,50,50,85,58,71,35,44,18,86,42
Mads Kikkenborg,dk DEN,GK,Anderlecht,24,1999,2,2,180,70,76,89,11,18,21,38,45,90,53,67,89,81,4,91,29,80,35,98,87,29,21
