Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ARG,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,20,518,0.17,0.17,0.52,0.35,0.07,0.07,0.0,0.0,0.52,0.17,0.17,6.78,0.17,0.0,0.35,0.02,0.05,54.21,61.51,5.39,0.0,0.52,1.39,0.17,59.59,1.74,1.04,20.33,22.41,30.93,33.71,2.78,3.82,968.28,312.05,36.83,1.56,182.08,121.8,1.04,0.0,0.35,0.17,0.17,2.26,2.26,1.39,0.35,0.52,1.22,2.78,1.56,1.39,1.22,0.35,3.47,0.17,5.04,0.52,0.35,0.87,51.25,0.69,73.67,3.3,21.72,45.0,6.95,1.22,73.67,0.0,0.0,0.0,1.39,0.52,0.0,0.0,0.0,0.0,2.43,1.74,4.17,7.64,0.69,1.39,3.47,0.1,1,0.17,58.27,0.0,90.72,91.75,72.77,69.05,48.57
Aaron Bouwman,NED,Ajax,UEFA Champions League,CB,Defender,18,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,13.0,13.0,34.0,36.0,4.0,5.0,1007.0,291.0,45.0,0.0,233.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,70.0,12.0,43.0,26.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1,0.0,50.0,0.0,100.0,94.44,80.0,100.0,0.0
Aaron Greene,IRL,Shamrock Rovers,UEFA Europa Conference League,AM,Forward,35,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.88,31.76,0.0,0.0,0.0,10.59,0.0,31.76,0.0,0.0,10.59,10.59,0.0,5.29,0.0,0.0,74.12,0.0,26.47,0.0,137.65,10.59,5.29,0.0,10.59,0.0,10.59,5.29,5.29,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,5.29,10.59,15.88,31.76,10.59,63.53,0.0,0.0,10.59,52.94,5.29,63.53,0.0,0.0,0.0,5.29,0.0,10.59,0.0,0.0,0.0,0.0,5.29,5.29,10.59,0.0,5.29,5.29,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
Aaron Hickey,SCO,Brentford,English Premier League,LB,Defender,23,505,0.0,0.0,0.71,0.18,0.05,0.05,0.0,0.0,1.07,0.0,0.0,2.14,0.53,0.0,0.71,0.0,0.0,35.64,44.2,2.5,0.0,0.0,1.07,0.0,36.89,7.31,0.89,17.47,18.89,15.15,18.53,2.14,4.46,571.01,168.06,22.1,0.53,105.15,40.46,0.36,0.0,1.07,0.0,1.07,1.6,0.89,1.07,0.36,0.18,0.89,1.78,0.89,1.25,1.25,0.36,3.03,0.0,4.63,1.43,0.71,2.14,30.3,1.96,56.32,2.67,19.07,27.98,9.62,1.43,56.32,0.18,0.0,0.0,0.89,0.71,0.0,0.0,0.0,0.0,1.6,1.25,2.85,4.99,1.07,1.96,1.78,-0.05,1,0.0,56.14,0.0,92.48,81.76,47.98,52.66,0.0
Aaron McEneff,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,30,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,19.48,22.84,2.01,0.0,0.0,0.67,0.0,19.48,3.36,0.0,7.39,7.39,9.4,10.07,2.69,4.7,366.72,73.21,7.39,0.0,37.61,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.34,1.34,0.0,0.67,0.0,2.69,0.67,0.0,0.67,14.78,1.34,28.88,1.34,10.75,12.09,6.04,0.0,28.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.67,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0,93.35,57.23,0.0,0.0
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,28,1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.89,2.31,1.07,0.62,1.78,0.05,0.05,34.63,45.13,3.29,0.09,0.09,1.16,0.09,35.25,9.79,0.27,21.54,24.39,10.15,13.89,1.78,3.38,485.61,186.68,24.48,2.14,143.95,72.91,1.34,0.09,1.96,0.89,0.89,1.25,0.8,0.53,0.62,0.09,0.53,0.98,0.45,1.87,1.16,0.18,5.16,0.09,2.67,1.16,0.71,1.87,29.91,4.45,57.69,4.18,18.34,22.7,17.09,0.8,57.69,0.18,0.0,0.0,0.98,0.62,0.09,0.0,0.0,0.0,0.98,0.8,1.78,9.88,1.78,2.58,1.34,0.0,1,0.0,55.06,0.0,88.31,73.07,52.66,59.64,45.41
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,21,988,0.18,0.0,0.73,0.27,0.05,0.05,0.0,0.0,2.0,0.09,1.18,1.64,1.0,0.73,1.64,0.1,0.07,36.44,45.36,1.64,0.09,0.0,1.37,0.18,36.8,8.38,0.36,14.94,16.58,16.49,19.31,4.46,7.47,679.55,228.46,26.51,1.28,96.92,53.11,1.0,0.18,0.36,0.27,0.09,0.91,0.64,0.36,0.46,0.09,0.55,1.0,0.46,1.46,1.09,0.55,3.37,0.0,4.19,0.64,0.0,0.64,29.24,2.1,54.38,3.83,23.78,20.5,10.38,0.82,54.38,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.64,1.18,1.82,5.01,2.1,2.73,1.18,0.14,1,0.18,35.16,0.0,90.11,85.4,59.71,62.3,75.0
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,28,1215,0.07,0.22,0.37,0.22,0.01,0.01,0.0,0.0,4.67,0.3,3.33,2.89,1.19,0.81,8.0,0.25,0.38,36.96,52.74,3.78,0.15,0.15,0.96,0.37,35.7,16.67,3.78,14.96,17.11,16.67,21.19,4.96,12.37,695.7,310.15,28.07,0.89,138.37,54.15,0.74,0.0,1.33,0.59,0.74,1.85,1.26,0.74,1.04,0.07,0.67,0.81,0.15,0.59,1.04,0.52,2.07,0.0,3.41,0.81,0.67,1.48,32.22,3.56,60.67,2.22,16.15,26.52,18.44,0.37,60.67,0.15,0.0,0.0,0.89,0.96,0.0,0.0,0.0,0.0,0.3,1.11,1.41,8.22,4.96,2.37,1.93,0.06,1,0.07,21.28,0.0,87.43,78.67,40.1,72.56,44.36
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,1125.0,0.0,45.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,157,0.57,0.0,2.29,1.72,0.17,0.17,0.0,0.0,2.87,0.0,1.15,1.15,1.15,0.57,1.15,0.06,0.06,18.92,26.94,1.72,0.57,0.0,1.72,0.0,26.94,0.0,0.0,12.04,15.48,5.73,7.45,0.57,1.15,257.96,33.25,17.2,1.72,125.54,41.27,2.29,0.57,1.15,0.0,1.15,2.29,1.72,1.15,0.0,1.15,0.57,1.72,1.15,0.0,1.15,0.0,3.44,0.0,2.87,5.73,0.57,6.31,30.38,8.6,47.58,0.57,7.45,19.49,22.36,4.01,47.58,1.15,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,2.29,1.72,4.01,12.04,2.87,6.31,2.29,0.4,1,0.57,57.11,0.0,77.78,76.91,49.57,57.11,0.0
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,23,1135,0.4,0.24,3.01,1.11,0.36,0.36,0.0,0.0,3.65,0.56,1.67,1.51,1.03,0.16,2.06,0.17,0.32,27.36,36.48,2.62,0.08,0.16,2.06,0.32,35.21,0.95,0.32,18.87,21.33,5.07,7.69,0.87,1.35,324.79,90.56,32.99,4.92,240.34,129.17,2.93,2.54,4.04,1.82,1.82,2.3,1.27,0.71,0.48,1.11,0.95,1.98,1.03,0.56,1.43,0.08,0.63,0.0,4.52,3.09,2.38,5.47,38.7,9.75,52.02,0.79,4.76,20.62,27.44,6.11,52.02,0.08,0.0,0.0,1.11,3.01,0.16,0.0,0.08,0.0,1.67,1.67,3.33,17.29,4.2,9.83,2.22,0.03,1,0.4,50.15,0.0,88.47,65.93,64.44,51.87,45.05
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,706,0.0,0.0,2.29,0.64,0.14,0.14,0.0,0.0,3.31,0.13,1.53,1.78,0.64,0.13,6.37,0.17,0.14,23.33,34.8,2.8,0.0,0.0,1.78,0.64,28.68,5.48,1.66,13.0,15.42,7.78,10.2,2.04,5.74,375.68,91.53,26.26,3.7,195.68,113.07,2.55,2.04,3.57,0.89,2.55,2.29,0.89,0.89,1.02,0.38,1.02,2.42,1.4,0.64,0.89,0.0,1.02,0.0,4.72,1.66,1.15,2.8,29.7,6.76,49.08,0.76,6.76,18.74,24.48,3.57,49.08,0.51,0.0,0.0,3.06,1.91,0.38,0.0,0.0,0.0,0.64,0.76,1.4,13.26,3.44,6.37,1.91,-0.14,1,0.0,45.71,0.0,84.31,76.27,35.54,40.55,24.93
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,690,0.0,0.13,0.78,0.13,0.03,0.03,0.0,0.0,0.52,0.13,0.39,2.22,0.13,0.0,0.13,0.04,0.04,23.22,32.48,1.43,0.0,1.04,0.13,0.0,30.78,1.7,1.43,5.22,6.91,12.39,14.48,5.22,10.17,554.74,193.17,17.48,0.39,76.43,37.7,0.13,0.0,0.78,0.26,0.52,3.0,1.7,2.09,0.91,0.0,1.83,2.22,0.39,1.17,1.43,0.52,4.43,0.0,3.65,0.91,0.13,1.04,20.35,0.13,46.7,3.78,22.7,21.78,2.22,1.04,46.7,0.65,0.0,0.0,1.17,2.35,0.13,0.0,0.0,0.0,1.7,0.78,2.48,1.96,0.65,1.17,3.52,-0.03,1,0.0,68.55,0.0,75.54,85.57,51.33,67.62,33.33
Abdelhamid Ait Boudlal,MAR,Rennes,French Ligue 1,CB,Defender,19,648,0.28,0.14,0.42,0.28,0.17,0.17,0.0,0.0,0.56,0.14,0.14,2.22,0.69,0.0,0.28,0.03,0.04,41.53,49.03,3.47,0.0,0.97,0.69,0.0,46.25,2.78,2.22,19.44,21.81,18.61,20.28,2.64,5.42,700.97,256.53,33.75,1.11,180.42,106.25,1.11,0.28,0.56,0.14,0.28,1.81,0.83,1.25,0.42,0.14,1.25,2.08,0.83,0.83,1.25,0.69,4.58,0.14,3.33,1.94,0.28,2.22,41.39,0.97,61.67,7.36,34.03,23.89,4.17,0.83,61.67,0.28,0.14,0.0,0.83,0.28,0.0,0.0,0.0,0.0,2.22,1.25,3.47,5.56,0.69,1.81,2.08,0.11,1,0.28,63.98,0.0,89.13,91.77,48.71,53.47,25.0
Abdelhamid Sabiri,MAR,Fiorentina,Italian Serie A,CM,Midfielder,28,27,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,13.33,0.0,10.0,3.33,0.0,0.0,13.33,0.67,0.33,50.0,76.67,6.67,0.0,3.33,0.0,0.0,63.33,13.33,10.0,16.67,16.67,26.67,36.67,6.67,20.0,993.33,426.67,20.0,0.0,76.67,23.33,0.0,0.0,0.0,0.0,0.0,6.67,6.67,3.33,3.33,0.0,3.33,6.67,3.33,0.0,0.0,0.0,0.0,0.0,6.67,0.0,3.33,3.33,16.67,0.0,83.33,3.33,16.67,30.0,36.67,0.0,83.33,0.0,0.0,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,13.33,0.0,10.0,0.0,1,0.0,0.0,0.0,100.0,72.73,33.35,74.96,0.0
Abdellah Zoubir,FRA,Qarabağ,UEFA Champions League,AM,Forward,34,523,0.17,0.17,1.03,0.34,0.19,0.19,0.0,0.0,2.41,0.34,1.03,2.75,2.07,0.0,0.69,0.1,0.05,39.92,44.57,4.65,0.34,0.0,0.69,0.0,42.5,2.07,0.69,26.85,28.74,11.87,12.56,1.03,2.07,570.46,108.24,32.52,3.61,202.2,111.34,2.75,1.55,2.58,1.2,1.38,1.03,0.69,0.69,0.17,0.17,0.52,0.52,0.0,0.17,0.34,0.17,0.17,0.0,4.65,1.89,1.55,3.44,40.1,4.47,52.49,0.52,6.37,22.03,24.95,3.96,52.49,0.0,0.0,0.0,0.34,1.2,0.34,0.0,0.0,0.0,0.17,1.2,1.38,12.73,2.75,7.57,1.2,-0.02,1,0.17,12.32,0.0,93.42,94.51,49.76,78.06,46.51
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,CM,Midfielder,27,47,0.0,0.0,5.74,3.83,0.19,0.19,0.0,0.0,11.49,1.91,1.91,7.66,1.91,1.91,5.74,0.0,0.0,44.04,63.19,9.57,0.0,0.0,1.91,0.0,55.53,7.66,1.91,22.98,24.89,11.49,19.15,3.83,9.57,702.77,283.4,44.04,7.66,285.32,166.6,1.91,1.91,5.74,1.91,1.91,3.83,0.0,3.83,0.0,0.0,1.91,1.91,0.0,3.83,1.91,0.0,0.0,0.0,7.66,5.74,3.83,9.57,59.36,19.15,86.17,0.0,11.49,40.21,36.38,1.91,86.17,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,1.91,1.91,36.38,13.4,7.66,1.91,-0.19,1,0.0,0.0,0.0,92.33,60.0,40.02,33.28,33.28
Abdou Harroui,NED,Hellas Verona,Italian Serie A,CM,Midfielder,27,176,0.0,0.0,2.05,0.51,0.05,0.05,0.0,0.0,2.05,0.0,0.51,2.05,0.51,0.0,3.07,0.0,0.0,30.68,40.91,1.02,0.0,0.51,2.05,0.51,33.75,6.65,3.07,16.36,18.92,9.2,9.72,1.02,5.62,419.83,68.01,24.55,2.05,113.52,54.72,3.58,0.0,2.56,0.51,1.53,2.56,1.53,1.53,1.02,0.0,1.53,1.53,0.0,0.0,0.51,0.0,1.53,0.0,4.09,4.09,1.02,5.11,32.73,3.58,56.76,0.51,7.67,27.1,22.5,1.02,56.76,0.0,0.0,0.0,2.05,0.51,0.0,0.0,0.0,0.0,0.0,3.07,3.07,6.65,2.05,1.53,3.07,-0.05,1,0.0,0.0,0.0,86.47,94.65,18.15,74.82,19.92
Abdoul Coulibaly,GER,Werder Bremen,German Bundesliga,CB,Defender,18,1130,0.08,0.0,0.24,0.08,0.04,0.04,0.0,0.0,0.72,0.08,0.32,2.95,0.16,0.0,0.08,0.0,0.02,54.88,64.04,2.31,0.0,0.56,0.56,0.16,59.02,4.86,0.96,13.94,14.73,34.73,37.27,5.5,10.43,1110.11,335.15,45.0,0.64,205.96,108.4,0.32,0.0,0.32,0.32,0.0,1.27,0.64,0.88,0.4,0.0,0.48,1.19,0.72,1.19,1.43,0.96,5.58,0.16,2.39,0.64,0.16,0.8,52.41,0.0,75.11,11.79,41.1,32.89,1.12,0.32,75.11,0.4,0.08,0.08,0.96,0.32,0.08,0.0,0.0,0.08,1.99,2.07,4.06,2.95,0.8,0.48,1.12,0.04,1,0.08,49.01,0.0,94.64,93.18,52.73,45.53,100.0
Abdoul Ouattara,FRA,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CM,Midfielder,20,922,0.29,0.0,1.07,0.49,0.15,0.15,0.0,0.0,2.25,0.29,0.49,1.85,0.78,0.2,0.68,0.05,0.07,37.19,42.75,3.32,0.1,0.0,0.49,0.1,39.24,3.42,0.29,19.72,21.67,14.93,17.47,1.66,1.85,571.53,109.62,29.38,1.76,121.43,56.71,0.78,0.2,1.66,0.49,1.17,1.56,0.98,0.88,0.49,0.2,0.59,0.88,0.29,0.68,0.39,0.0,1.76,0.0,4.98,1.76,0.39,2.15,34.07,4.59,52.32,3.12,15.03,26.45,11.42,1.85,52.32,0.0,0.0,0.0,0.68,0.49,0.0,0.0,0.1,0.0,0.2,0.29,0.49,9.66,2.54,3.03,1.56,0.15,1,0.29,40.82,0.0,91.0,85.46,89.73,64.34,29.52
Abdoulaye Bamba,CIV,Angers,French Ligue 1,CB,Defender,35,100,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,21.6,29.7,0.0,0.0,0.0,0.0,0.0,25.2,4.5,1.8,7.2,9.0,14.4,16.2,0.0,3.6,375.3,120.6,19.8,0.0,86.4,45.0,0.9,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.9,0.9,0.0,1.8,1.8,1.8,3.6,0.0,1.8,1.8,0.0,1.8,18.9,1.8,40.5,7.2,16.2,18.0,6.3,0.0,40.5,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,2.7,0.0,2.7,1.8,0.0,0.0,1.8,0.0,1,0.0,100.0,0.0,80.0,88.89,0.0,100.0,0.0
Abdoulaye Faye,SEN,Lorient,French Ligue 1,CB,Defender,21,573,0.0,0.0,0.94,0.16,0.05,0.05,0.0,0.0,0.63,0.16,0.0,3.3,0.0,0.0,0.0,0.0,0.0,49.32,56.07,2.98,0.0,0.16,0.16,0.0,50.89,5.18,1.26,21.68,22.93,23.56,25.29,3.77,7.54,877.23,358.74,40.84,0.16,202.93,102.09,0.31,0.0,0.47,0.31,0.16,1.88,1.26,1.41,0.47,0.0,0.94,1.26,0.31,2.04,1.1,0.63,5.18,0.16,2.51,0.0,0.47,0.47,46.18,0.16,68.8,11.47,39.11,26.23,3.61,1.57,68.8,0.79,0.0,0.0,2.04,1.1,0.0,0.16,0.0,0.0,2.51,1.26,3.77,3.3,0.79,1.57,2.2,-0.05,1,0.0,66.58,0.0,94.55,93.16,50.0,70.06,65.96
Abdoulaye Niakhate Ndiaye,SEN,Parma,Italian Serie A,CB,Defender,23,496,0.0,0.0,0.73,0.0,0.05,0.05,0.0,0.0,0.54,0.0,0.18,1.81,0.0,0.0,0.0,0.0,0.0,43.55,52.98,2.54,0.0,0.36,0.36,0.0,51.17,1.81,1.45,15.24,17.24,24.68,27.76,3.27,6.9,813.63,189.44,35.93,0.36,149.33,68.59,0.54,0.0,0.36,0.0,0.0,2.36,1.45,1.27,1.09,0.0,1.09,2.18,1.09,1.81,1.63,0.18,5.44,0.18,3.27,0.73,0.18,0.91,38.65,0.18,67.68,7.26,27.94,37.02,3.27,0.36,67.68,0.73,0.18,0.18,1.81,1.27,0.0,0.18,0.0,0.0,3.45,2.18,5.62,3.08,0.54,0.36,2.54,-0.05,1,0.0,61.39,0.0,88.4,88.9,47.39,55.95,0.0
Abdoulaye Sylla,GUI,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,25,540,0.17,0.0,1.0,0.33,0.07,0.07,0.0,0.0,1.0,0.0,0.17,2.33,0.0,0.0,0.17,0.0,0.0,34.0,43.5,2.67,0.0,0.83,0.0,0.0,39.67,3.83,3.83,9.17,10.0,16.83,19.33,7.67,13.67,776.0,285.83,25.5,0.17,144.83,73.83,0.33,0.0,0.17,0.0,0.0,1.5,1.17,1.0,0.33,0.17,0.5,0.67,0.17,1.33,1.17,1.0,7.5,0.17,6.5,0.67,0.0,0.67,26.83,0.17,57.5,10.5,33.0,23.67,1.33,0.83,57.5,0.33,0.0,0.0,2.0,1.17,0.0,0.33,0.0,0.0,2.67,1.5,4.17,3.0,1.0,0.83,1.67,0.1,1,0.17,64.03,0.0,91.7,87.07,56.11,76.96,0.0
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,31,741,0.24,0.0,1.46,0.49,0.19,0.1,0.0,0.12,1.34,0.12,0.36,3.28,0.36,0.0,1.58,0.09,0.02,31.7,37.77,3.77,0.12,0.12,0.49,0.12,37.29,0.36,0.0,16.03,17.73,10.69,13.0,3.77,4.86,533.08,135.79,31.09,0.97,151.7,49.55,0.73,0.36,1.09,0.24,0.61,1.46,0.85,0.49,0.73,0.24,0.73,0.73,0.0,1.09,1.34,0.49,2.19,0.12,3.4,2.43,0.85,3.28,34.62,3.16,50.16,2.31,9.6,27.33,13.72,1.58,50.04,0.24,0.0,0.0,1.58,2.06,0.0,0.0,0.0,0.0,0.97,0.61,1.58,7.89,1.46,2.31,1.58,0.05,1,0.24,61.39,0.0,90.41,82.23,77.57,72.15,22.02
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,192,0.0,0.0,1.41,0.0,0.14,0.14,0.0,0.0,2.34,0.47,0.0,0.47,0.47,0.0,0.0,0.05,0.0,12.19,17.81,0.94,0.0,0.0,0.47,0.47,16.41,0.94,0.0,8.91,11.72,3.28,4.22,0.0,0.0,150.0,27.19,11.72,0.47,52.5,12.19,0.47,0.0,0.94,0.94,0.0,0.47,0.0,0.0,0.47,0.0,0.0,0.47,0.47,0.0,0.0,0.0,0.94,0.0,1.41,4.22,0.94,5.16,21.56,9.38,29.06,0.47,1.88,11.72,15.47,3.28,29.06,0.94,0.0,0.0,4.22,1.88,0.47,0.0,0.47,0.0,3.75,7.5,11.25,10.78,2.81,3.75,0.0,-0.14,1,0.0,33.33,0.0,76.02,77.73,0.0,0.0,100.0
Abdukodir Khusanov,UZB,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,21,446,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,5.04,0.0,0.0,0.81,0.02,0.0,65.38,73.65,2.83,0.0,0.61,1.01,0.2,66.79,6.66,1.21,36.12,36.73,24.42,27.44,3.83,6.66,1023.9,291.59,51.05,1.21,213.5,96.05,2.02,0.2,0.81,0.4,0.4,2.83,1.41,1.82,0.4,0.61,1.01,1.61,0.61,2.62,1.21,0.2,3.23,0.0,3.23,0.2,0.2,0.4,59.13,2.22,84.55,6.05,27.65,39.75,17.76,0.0,84.55,0.2,0.0,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.61,1.01,1.61,6.26,0.4,0.2,2.42,0.0,1,0.0,37.89,0.0,98.34,88.99,57.51,54.5,49.38
Abdulai Juma Bah,SLE,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,19,1170,0.0,0.0,0.62,0.15,0.06,0.06,0.0,0.0,0.62,0.0,0.23,0.77,0.0,0.0,0.0,0.03,0.02,48.85,52.23,1.54,0.0,0.08,0.31,0.0,50.08,2.15,1.77,18.38,19.69,26.31,27.15,3.54,4.31,874.0,288.31,39.23,0.15,174.23,81.62,0.15,0.08,0.46,0.46,0.0,1.0,0.62,0.46,0.46,0.08,0.54,1.23,0.69,1.08,1.69,1.15,7.0,0.0,4.92,0.31,0.38,0.69,41.77,0.15,64.69,10.69,34.92,27.69,2.23,1.23,64.69,0.31,0.0,0.0,0.92,0.54,0.08,0.08,0.0,0.0,2.08,1.77,3.85,1.85,0.62,1.31,1.15,-0.06,1,0.0,54.03,0.0,93.35,96.91,82.13,52.02,100.0
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,33,75,0.0,0.0,2.4,1.2,0.84,0.84,0.0,0.0,3.6,0.0,2.4,1.2,0.0,0.0,1.2,0.12,0.12,12.0,18.0,1.2,0.0,0.0,0.0,0.0,16.8,1.2,0.0,4.8,6.0,6.0,9.6,0.0,0.0,157.2,28.8,12.0,1.2,45.6,27.6,2.4,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,1.2,0.0,0.0,1.2,2.4,3.6,20.4,6.0,24.0,1.2,2.4,8.4,13.2,4.8,24.0,0.0,0.0,0.0,2.4,1.2,0.0,0.0,0.0,0.0,1.2,2.4,3.6,8.4,3.6,4.8,0.0,-0.84,1,0.0,33.33,0.0,80.0,62.5,0.0,0.0,100.0
Abdülkerim Bardakcı,TUR,Galatasaray,UEFA Champions League,CB,Defender,31,450,0.0,0.0,0.6,0.0,0.06,0.06,0.0,0.0,1.0,0.0,0.4,2.2,0.6,0.4,0.4,0.04,0.02,46.8,55.2,3.2,0.0,0.4,0.2,0.2,50.4,4.6,2.4,14.2,15.6,28.0,29.8,4.2,8.6,910.4,337.0,32.0,0.4,151.8,95.4,0.4,0.0,0.2,0.0,0.2,2.0,0.6,1.2,0.8,0.0,1.0,1.4,0.4,0.8,0.8,0.6,4.8,0.0,2.6,0.8,0.6,1.4,43.0,0.4,65.2,9.2,31.4,30.4,3.8,1.2,65.2,0.2,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,2.2,1.2,3.4,4.0,1.0,2.2,1.6,-0.06,1,0.0,64.71,0.0,91.03,93.96,48.84,47.06,0.0
