Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Ermal Krasniqi,KVX,Legia Warsaw,UEFA Europa Conference League,RW,Forward,27,346,0.0,0.0,2.34,0.52,0.23,0.23,0.0,0.0,6.24,0.26,1.56,1.82,2.6,0.78,2.08,0.1,0.18,26.53,37.98,3.38,0.0,0.0,2.6,0.0,36.94,1.04,0.26,13.27,17.17,11.45,14.83,0.78,1.56,415.66,120.17,31.21,4.94,258.03,141.24,3.9,2.6,7.02,3.9,2.86,3.38,2.08,1.56,0.78,1.04,2.08,3.12,1.04,0.78,2.86,0.52,1.04,0.0,8.32,2.6,1.56,4.16,32.77,8.58,53.06,1.04,9.1,21.33,25.23,4.42,53.06,0.26,0.0,0.0,1.3,1.04,0.26,0.0,0.0,0.0,0.26,0.52,0.78,16.91,6.5,10.4,4.16,-0.23,1,0.0,33.33,0.0,77.29,77.21,50.0,64.0,55.56
Ermedin Demirović,BIH,Stuttgart,"German Bundesliga, UEFA Europa League",AM,Forward,27,672,0.4,0.13,1.61,0.4,0.46,0.24,0.13,0.27,2.68,0.4,1.07,0.67,0.54,0.0,0.0,0.16,0.08,10.98,14.33,1.47,0.13,0.0,0.4,0.0,13.79,0.54,0.0,7.1,8.84,2.95,4.02,0.13,0.13,135.94,21.96,11.38,0.8,40.71,11.92,0.13,0.54,0.67,0.27,0.4,0.4,0.27,0.0,0.13,0.27,0.13,0.4,0.27,0.13,0.54,0.13,0.94,0.13,1.88,2.28,1.61,3.88,17.68,5.22,22.1,0.8,1.88,8.44,11.92,4.96,21.83,0.27,0.0,0.0,2.54,1.07,0.8,0.0,0.13,0.0,1.07,3.48,4.55,7.5,3.08,6.03,0.4,-0.05,1,0.4,23.52,0.0,80.32,73.38,100.0,50.0,40.3
Ernest Poku,NED,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,21,1205,0.3,0.15,1.79,0.67,0.19,0.19,0.0,0.0,3.06,0.3,1.34,0.6,1.05,0.07,0.67,0.16,0.1,26.66,32.27,1.94,0.0,0.07,0.97,0.15,31.0,1.12,0.07,15.31,17.85,9.26,10.38,0.6,0.97,369.49,56.39,28.83,5.68,225.86,148.18,3.59,2.76,3.36,1.42,1.64,1.05,0.6,0.37,0.67,0.0,0.45,1.34,0.9,0.45,0.6,0.07,0.52,0.0,3.14,2.69,1.79,4.48,33.09,8.07,42.95,1.05,5.53,14.27,23.98,4.71,42.95,0.07,0.0,0.0,0.45,0.82,0.22,0.0,0.0,0.0,0.22,0.9,1.12,15.68,3.36,8.59,1.05,0.1,1,0.3,19.64,0.0,85.77,89.21,61.86,43.93,42.26
Esmir Bajraktarevic,BIH,PSV Eindhoven,UEFA Champions League,RW,Forward,20,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,4.19,2.09,2.09,6.28,0.0,0.0,48.14,56.51,2.09,0.0,0.0,0.0,0.0,56.51,0.0,0.0,25.12,25.12,18.84,23.02,0.0,4.19,661.4,119.3,54.42,6.28,301.4,163.26,4.19,0.0,6.28,0.0,4.19,8.37,4.19,0.0,6.28,2.09,4.19,4.19,0.0,0.0,0.0,0.0,0.0,0.0,8.37,2.09,0.0,2.09,52.33,10.47,69.07,0.0,6.28,27.21,39.77,0.0,69.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,4.19,4.19,8.37,0.0,1,0.0,0.0,0.0,100.0,81.84,0.0,66.72,0.0
Esteban Lepaul,FRA,"Angers, Rennes",French Ligue 1,AM,Forward,25,1319,0.61,0.2,2.59,1.02,0.48,0.48,0.0,0.0,1.5,0.2,0.75,0.89,0.34,0.07,0.48,0.02,0.12,12.69,17.4,1.43,0.07,0.27,0.27,0.0,15.83,1.57,0.07,7.85,9.83,3.55,4.78,0.75,1.43,183.28,33.5,11.12,0.55,47.83,16.99,0.55,0.2,0.75,0.2,0.55,0.14,0.14,0.0,0.0,0.14,0.0,0.34,0.34,0.07,0.14,0.0,0.61,0.0,1.84,1.77,0.48,2.25,17.33,4.03,24.43,0.48,1.98,12.62,10.1,3.34,24.43,0.0,0.0,0.0,0.89,0.41,0.2,0.0,0.0,0.0,1.3,1.77,3.07,6.0,1.71,3.96,0.14,0.14,1,0.61,42.35,0.0,79.86,74.27,52.45,29.17,26.67
Estêvão Willian,BRA,Chelsea,"English Premier League, UEFA Champions League",RW,Forward,18,919,0.39,0.1,3.23,0.98,0.45,0.37,0.1,0.1,4.31,0.69,2.06,1.57,1.18,0.39,2.84,0.27,0.27,26.93,34.57,2.84,0.29,0.1,1.18,0.2,31.44,2.94,0.2,14.79,17.53,10.58,11.95,1.27,2.84,415.72,93.13,33.49,4.9,245.03,138.28,2.45,3.53,7.15,3.23,3.82,1.37,0.78,0.59,0.59,0.2,0.59,2.06,1.47,0.39,0.78,0.0,0.29,0.0,3.92,2.35,2.06,4.41,35.55,11.16,49.65,0.39,3.23,17.73,30.07,7.74,49.55,0.39,0.0,0.0,1.76,0.78,0.39,0.0,0.2,0.0,0.29,0.98,1.27,18.9,4.99,12.83,1.37,-0.06,1,0.39,22.83,0.0,84.37,88.54,44.72,39.94,45.17
Ethan Ampadu,WAL,Leeds United,English Premier League,CM,Midfielder,25,1499,0.06,0.0,0.78,0.18,0.1,0.1,0.0,0.0,2.16,0.18,0.3,3.78,0.48,0.18,0.84,0.04,0.0,44.91,55.96,3.84,0.18,0.12,0.6,0.12,49.95,5.88,1.92,18.19,20.59,21.43,24.74,4.26,8.23,810.42,220.77,31.28,1.26,157.48,75.89,0.78,0.12,0.66,0.42,0.18,2.4,1.44,0.9,1.08,0.42,1.08,1.62,0.54,1.38,1.38,0.54,2.82,0.12,5.4,1.08,0.42,1.5,38.37,1.08,67.36,3.0,17.53,39.45,11.23,0.78,67.36,0.3,0.0,0.0,1.2,0.9,0.0,0.0,0.0,0.0,1.32,0.72,2.04,6.18,2.34,1.56,2.52,-0.04,1,0.06,64.71,0.0,88.34,86.62,51.76,62.69,63.64
Ethan Mbappé,FRA,Lille,"French Ligue 1, UEFA Europa League",RW,Forward,18,269,1.0,0.33,3.01,2.01,0.33,0.33,0.0,0.0,3.68,1.0,2.01,3.35,1.0,0.0,4.68,0.43,0.54,36.13,46.51,4.35,0.67,0.67,0.67,0.67,40.82,5.02,1.67,21.75,23.42,11.71,15.72,2.34,5.69,550.37,160.93,38.48,3.35,178.66,95.02,1.34,0.67,3.01,0.33,2.34,2.68,1.34,1.34,1.0,0.33,0.67,1.67,1.0,0.0,1.34,0.0,0.67,0.0,5.69,1.67,0.67,2.34,44.83,8.7,59.22,0.33,7.36,25.76,27.43,5.02,59.22,0.0,0.0,0.0,0.67,1.34,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.39,4.68,6.69,2.01,0.67,1,1.0,0.0,0.0,92.87,74.49,41.12,46.21,10.96
Ethan Nwaneri,ENG,Arsenal,"English Premier League, UEFA Champions League",RM,Midfielder,18,273,0.0,0.0,3.3,0.99,0.1,0.1,0.0,0.0,3.63,0.33,1.32,3.3,1.32,0.0,1.32,0.0,0.07,36.59,41.21,5.6,0.33,0.33,0.33,0.0,39.23,1.98,0.99,17.14,18.46,16.15,17.14,2.64,4.62,621.43,154.62,33.63,3.3,242.64,125.6,3.3,0.0,3.63,1.65,1.98,0.99,0.33,0.33,0.66,0.0,0.33,1.32,0.99,0.0,1.65,0.0,0.99,0.0,4.95,1.32,1.65,2.97,39.56,3.96,55.71,0.99,6.26,30.33,20.77,3.63,55.71,0.33,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.65,12.86,3.96,4.95,0.66,-0.1,1,0.0,20.0,0.0,92.85,94.22,57.14,28.57,45.45
Ethan Pinnock,JAM,Brentford,English Premier League,CB,Defender,32,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.39,0.0,0.0,0.0,0.0,31.58,39.87,1.58,0.0,0.0,0.39,0.0,38.68,1.18,0.0,10.26,12.24,17.76,19.34,2.37,5.92,593.68,251.45,29.21,0.0,113.29,39.87,0.0,0.0,0.39,0.39,0.0,1.58,1.18,0.79,0.79,0.0,0.39,1.18,0.79,1.58,2.76,1.97,6.32,0.0,3.55,0.39,0.39,0.79,33.55,1.18,54.87,9.87,33.16,18.16,3.55,2.37,54.87,0.39,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.39,1.97,2.76,4.74,2.76,0.0,2.76,1.58,0.0,1,0.0,41.56,0.0,83.82,91.83,40.03,56.88,100.0
