Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,27,1440,78,10,64,87,30,28,49,69,85,75,85,57,76,97,68,47,38,1,21,20,40,80
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,39,36,39,20,8,14,80,89,81,89,93,48,70,81,76,34,27,1,40,29,63,12
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,95,17,97,90,89,87,92,81,99,90,98,45,67,58,76,96,92,1,73,85,71,74
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,4,98,19,3,86,97,23,27,64,5,43,3,8,43,76,96,93,1,98,31,77,8
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,540,8,93,13,12,87,94,57,48,6,82,17,81,77,69,62,9,9,1,88,65,55,97
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,39,540,79,25,79,62,22,14,44,48,86,20,76,84,66,60,19,58,62,1,56,42,16,31
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,540,90,3,59,96,6,14,23,66,84,72,89,35,33,36,85,47,71,1,5,4,88,33
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,540,47,25,24,79,58,66,29,50,86,72,76,90,64,69,48,47,58,1,13,9,42,77
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,360,4,89,6,8,46,87,19,4,91,34,48,10,5,11,33,98,99,1,28,97,51,71
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,540,65,8,28,86,14,36,23,34,5,12,14,71,67,80,76,28,19,1,6,22,63,40
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,23,450,48,7,10,74,3,42,64,92,13,57,78,42,72,19,99,94,92,1,3,8,99,9
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,85,1,15,89,0,14,42,53,20,87,13,83,89,65,5,4,4,1,3,31,5,5
Lasse Rieß,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,24,359,92,3,76,92,5,52,36,54,35,13,49,55,42,4,14,70,75,1,12,14,28,24
Laurit Behluli,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,25,90,72,4,19,26,0,14,9,21,1,20,1,100,99,58,5,4,4,1,3,6,5,2
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,1260,45,42,42,62,58,29,77,66,36,18,52,57,63,64,44,29,24,1,33,70,41,80
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,1710,44,34,38,39,15,34,80,90,12,24,47,86,92,71,66,20,21,1,30,29,60,22
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,450,55,50,59,46,37,76,95,92,32,70,71,85,92,97,41,94,90,1,53,85,22,39
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,24,1800,13,71,11,18,37,76,4,2,23,34,4,15,16,2,17,34,42,1,25,51,39,44
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,28,1440,44,28,27,64,25,39,71,94,73,61,92,57,80,59,40,15,18,1,15,10,36,47
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1800,21,69,25,29,60,71,11,11,7,84,4,34,23,39,92,80,73,1,42,21,92,68
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,540,47,86,66,25,81,94,29,44,82,60,75,12,12,47,33,77,77,1,83,17,33,30
Lukáš Hrádecký,FIN,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,36,809,44,55,55,59,70,46,27,28,18,17,19,49,41,44,40,62,65,1,62,38,38,87
Lukáš Zima,CZE,FCSB,UEFA Europa League,GK,Goalkeeper,31,165,94,12,92,95,95,14,31,39,9,98,10,65,62,61,5,4,4,1,58,24,5,94
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,72,5,26,89,13,52,60,81,78,75,84,26,53,92,89,11,10,1,4,14,69,41
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,996,46,46,41,47,33,57,90,82,54,13,73,36,58,73,66,72,68,1,30,78,60,34
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,1710,12,76,10,13,32,62,53,37,82,65,77,33,18,10,39,96,97,1,39,80,56,42
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,675,77,62,86,57,80,91,44,40,89,69,66,38,38,76,67,91,91,1,89,57,61,59
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,2340,43,82,63,22,69,74,80,65,64,64,68,50,68,35,51,79,79,1,80,79,57,29
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,82,29,81,79,69,14,64,80,42,58,57,97,94,90,33,30,32,1,53,23,21,73
Marin Ljubić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,28,180,72,3,8,93,3,14,5,14,14,20,11,81,70,26,33,70,69,1,2,4,40,10
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1980,68,33,72,61,33,57,32,29,60,70,40,56,52,42,33,47,49,1,52,49,33,43
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,1710,49,71,65,24,57,73,70,78,22,37,55,65,75,63,83,32,35,1,79,41,79,26
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,1890,80,21,77,80,39,32,90,94,33,60,43,98,100,92,48,25,17,1,44,48,32,77
