Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Barcelona,29.0,50.5,6,6,6.6,71,18,2,2,126,9,2150,2670,927,1056,955,1118,221,376,49,174,45,15,210,80,207,102,61,42,48,12,46,99,53,65,51,96,1,3326,331,1038,1623,702,120,3324,108,56,1846,61,18,101,77,2138,16,0,0,77,62,5,1,1,0,278,56,101,9,19,10,1,1,1,0,0,5.0,27,61,136,18,57,81,2,0
Bolívar,29.2,56.5,8,12,11.1,125,46,1,2,233,22,2998,3692,1233,1398,1417,1621,291,493,93,238,65,20,337,109,334,112,66,55,43,14,57,126,69,86,54,152,8,4591,549,1543,1956,1130,133,4589,170,81,2477,89,19,133,63,2974,12,2,0,90,73,14,2,1,0,302,100,101,11,49,38,2,1,1,0,0,13.2,19,57,228,40,83,99,7,15
Botafogo (RJ),27.7,50.2,13,21,18.3,156,47,1,1,276,36,4364,5513,1917,2142,1848,2162,477,932,126,347,88,15,441,170,438,190,117,96,71,23,92,172,80,131,119,347,2,6977,827,2274,3342,1424,214,6976,212,90,3754,119,50,210,113,4327,39,4,1,166,136,20,1,2,0,496,220,211,14,38,24,4,2,1,0,1,11.8,51,182,292,42,138,239,8,7
Caracas,23.8,34.8,6,3,2.7,43,12,0,0,70,5,1410,1985,644,770,565,730,168,380,31,98,10,1,127,60,123,103,65,64,29,10,46,98,52,70,50,141,0,2682,388,1100,1157,453,48,2682,111,41,1226,50,14,93,53,1400,7,2,0,77,64,14,0,0,0,251,71,73,19,40,21,0,0,0,0,0,12.7,24,81,90,23,75,123,1,2
Cerro Porteño,28.8,38.8,6,4,3.4,62,18,0,0,96,8,1382,1993,533,672,573,733,222,452,37,136,38,16,147,68,146,109,74,61,36,12,45,104,59,79,42,128,3,2620,286,942,1155,556,79,2620,75,36,1128,41,9,87,48,1375,20,2,1,89,71,11,0,1,0,258,81,83,5,22,17,2,1,1,0,0,6.3,41,103,113,14,48,77,4,3
Cobresal,29.3,40.8,6,3,4.3,54,10,1,1,94,5,1661,2191,674,795,735,880,222,407,46,161,21,12,171,71,170,97,62,58,32,7,57,116,59,67,42,118,2,2769,326,928,1286,575,63,2768,74,35,1349,57,10,87,53,1650,11,0,0,51,61,10,0,1,0,217,69,76,11,34,23,0,1,1,0,0,11.4,39,101,111,22,61,87,4,1
Colo-Colo,28.4,58.4,10,8,8.8,115,31,1,1,201,13,4244,5314,2085,2355,1702,2016,367,674,84,358,59,15,371,150,368,162,99,73,62,27,73,154,81,114,83,183,6,6375,517,1821,3157,1439,155,6374,173,83,3536,129,20,166,107,4211,37,4,3,125,87,12,1,0,0,452,146,147,8,27,19,3,0,0,0,0,8.3,43,118,282,42,83,101,9,11
Dep Táchira,27.6,41.3,6,2,2.9,31,9,0,0,53,4,1758,2347,804,937,734,889,189,411,23,122,18,4,171,51,167,110,68,72,35,3,52,112,60,58,60,168,0,3023,410,1200,1455,408,38,3023,111,57,1565,42,9,101,51,1743,12,2,0,71,67,16,0,1,0,239,96,111,11,35,23,0,1,0,1,0,15.8,38,107,116,30,75,123,9,2
Estudiantes–LP,29.0,61.7,6,7,6.9,94,28,0,0,172,11,2641,3265,1115,1269,1240,1422,253,473,74,234,65,21,340,101,336,149,94,61,62,26,79,139,60,47,38,78,1,3894,243,922,2003,1004,148,3894,114,65,2195,89,21,111,45,2632,18,0,0,74,75,4,0,0,1,285,85,81,9,20,12,0,0,0,0,0,7.2,6,32,106,22,36,56,1,3
Flamengo,28.1,56.7,10,12,15.8,157,45,1,1,276,21,4131,5174,1868,2140,1768,2060,396,715,114,391,123,27,502,212,497,159,102,70,64,25,70,155,85,102,69,145,1,6222,535,1617,2981,1681,279,6221,213,111,3379,141,46,165,91,4083,16,1,0,101,116,15,1,0,0,457,148,124,6,35,29,5,0,0,0,0,7.1,44,136,292,55,89,112,2,7
Fluminense,30.4,57.7,10,13,7.6,102,29,1,1,176,22,4736,5488,2350,2519,1920,2092,300,569,72,357,55,19,372,135,370,159,107,64,73,22,65,148,83,94,66,211,4,6525,562,1942,3273,1368,141,6524,213,108,3693,118,28,146,108,4708,33,0,0,97,118,15,0,2,0,395,99,100,10,38,27,3,2,1,1,0,12.8,15,67,164,38,68,130,4,12
Grêmio,28.7,46.3,8,10,10.5,98,33,1,1,180,17,2484,3218,1101,1254,1008,1218,274,534,66,202,58,12,261,138,256,134,83,69,54,11,66,123,57,96,64,177,1,4195,447,1294,1869,1086,190,4194,207,100,2159,107,42,174,100,2445,20,2,1,87,95,5,0,1,0,343,109,115,8,31,23,3,1,1,0,0,8.3,35,104,139,23,71,134,4,2
Huachipato,25.4,49.5,6,6,5.7,77,28,0,0,128,10,1875,2610,781,967,791,1008,264,507,55,185,49,19,244,76,242,109,64,61,33,15,55,132,77,66,49,163,2,3303,399,1141,1428,766,119,3303,111,49,1444,53,13,89,47,1858,20,1,1,73,47,9,0,1,0,286,109,109,9,24,15,2,1,1,0,0,9.3,29,86,137,22,53,100,0,8
Independiente,26.6,65.2,6,8,7.6,85,28,1,1,149,16,2822,3364,1205,1336,1238,1393,307,472,67,229,47,15,259,102,255,92,60,51,24,17,43,86,43,43,40,77,0,3916,275,1011,2092,843,116,3915,106,52,2175,69,28,97,34,2796,13,0,0,69,73,8,1,1,0,238,72,83,9,13,4,1,1,1,0,0,6.6,17,41,132,14,40,61,1,8
Junior,28.8,51.4,8,8,11.7,77,17,2,3,136,13,2764,3493,1189,1325,1189,1367,314,610,53,228,44,14,252,104,250,138,78,81,44,13,69,134,65,82,72,193,2,4350,515,1579,2037,778,117,4347,140,77,2427,92,25,131,43,2740,18,1,0,72,82,15,1,1,0,327,110,125,7,33,26,2,1,1,0,0,9.1,37,116,180,31,84,132,9,2
LDU de Quito,29.0,52.2,6,6,7.9,97,25,1,1,168,7,1938,2536,821,925,788,959,289,507,75,180,57,25,213,93,213,74,47,22,40,12,34,78,44,68,44,71,3,3123,244,802,1499,854,133,3122,103,46,1491,78,13,102,45,1920,13,0,0,65,52,13,1,2,0,251,87,80,6,18,12,2,2,1,0,1,6.4,27,53,81,22,54,43,3,2
Libertad,30.3,52.2,6,7,6.9,69,15,0,1,120,13,2462,3107,1155,1319,962,1139,267,465,53,195,50,20,225,81,221,104,55,53,41,10,48,102,54,58,57,127,0,3785,368,1176,1831,810,112,3784,89,45,1920,75,9,100,60,2439,15,0,0,69,57,11,0,0,0,290,115,106,8,28,20,1,0,0,0,0,9.3,38,80,148,17,58,76,1,4
Liverpool,24.9,39.3,6,6,3.5,64,16,0,0,99,7,1371,1969,591,696,574,742,188,440,32,131,14,2,148,56,148,106,77,57,44,5,68,114,46,63,38,129,4,2642,353,960,1215,502,50,2642,118,60,1217,44,12,90,52,1363,16,2,0,77,74,8,0,1,0,259,66,90,14,41,27,1,1,1,0,0,12.1,17,77,113,21,61,103,3,5
Millonarios,27.2,48.5,6,6,8.8,103,31,1,1,180,9,1932,2540,909,1051,742,920,216,402,78,195,46,21,204,77,203,120,71,51,58,11,63,124,61,63,62,75,2,3217,258,859,1622,768,115,3216,119,73,1721,71,16,111,47,1918,10,2,0,60,51,14,0,1,1,281,88,76,12,29,18,0,1,1,0,0,11.8,24,73,98,16,49,48,4,1
Nacional,27.8,46.4,8,8,12.4,114,28,1,1,189,13,2545,3405,1121,1302,1052,1293,299,604,81,252,63,21,329,109,324,136,80,41,66,29,62,117,55,83,64,111,2,4220,308,1093,2053,1136,177,4219,126,58,2356,85,16,141,61,2524,26,0,0,107,86,12,0,0,0,366,144,139,9,26,17,3,0,0,0,0,8.7,21,56,113,32,45,72,5,2
Palestino,29.2,39.7,6,6,6.6,73,28,0,0,115,7,1466,2080,624,749,592,743,223,465,44,115,26,12,127,60,127,99,62,34,52,13,48,128,80,89,52,123,3,2742,383,1003,1217,557,101,2742,91,51,1309,46,15,95,53,1450,19,1,1,67,46,14,0,2,2,286,57,92,11,36,26,1,2,1,1,0,11.1,42,114,117,8,69,89,7,5
Palmeiras,26.5,54.8,8,17,11.2,114,41,2,2,200,28,2751,3544,1143,1327,1129,1317,413,717,89,261,70,22,328,114,324,138,86,78,51,9,72,140,68,65,58,133,1,4416,370,1325,2096,1036,153,4414,173,68,2292,95,16,127,60,2727,15,0,0,100,108,19,1,0,0,328,155,124,9,28,19,2,0,0,0,0,6.9,25,90,164,33,68,76,3,10
Peñarol,27.2,41.2,12,20,13.6,152,49,0,0,268,35,2934,4198,1308,1582,1121,1476,371,826,92,268,91,35,413,114,405,209,133,97,89,23,103,194,91,135,118,269,3,5620,588,1814,2495,1376,201,5620,178,71,2518,101,18,214,107,2902,28,1,0,132,168,18,0,1,0,553,179,171,12,46,34,6,1,1,0,0,13.1,42,170,194,39,103,182,15,11
River Plate,28.6,52.9,12,17,17.4,203,66,0,0,351,31,4505,5845,2030,2365,1916,2300,431,813,147,461,101,23,562,191,554,228,151,95,102,31,109,210,101,137,113,215,1,7287,522,1829,3549,1984,266,7287,249,102,3796,152,40,212,135,4461,24,1,1,154,158,16,0,1,0,602,212,213,8,28,20,7,1,1,0,0,8.7,39,93,197,58,75,139,7,4
Rosario Central,28.7,48.3,6,8,7.9,86,24,0,0,146,12,1852,2489,840,976,719,889,232,460,64,153,35,15,196,91,194,158,85,80,61,17,83,142,59,61,59,96,2,3177,247,900,1551,755,103,3177,110,53,1504,64,18,93,61,1837,13,0,0,75,83,4,0,0,0,297,82,108,7,21,14,1,0,0,0,0,6.5,23,88,92,9,48,68,6,2
San Lorenzo,25.0,39.6,8,7,7.6,92,24,0,0,156,11,1795,2623,846,1020,679,914,207,507,56,136,33,11,197,102,195,139,84,57,66,16,76,154,78,92,57,156,4,3501,347,1150,1586,816,109,3501,148,66,1577,74,21,129,72,1771,28,1,0,116,102,12,0,1,0,345,122,120,8,28,20,2,1,1,0,0,7.4,24,103,108,13,69,96,3,1
São Paulo,29.0,60.3,10,13,13.5,125,38,1,2,233,22,4634,5473,1901,2094,2163,2411,483,732,98,324,76,27,403,157,401,164,96,69,70,25,67,144,77,91,66,202,7,6549,573,2016,3292,1301,198,6547,207,94,3667,126,32,167,79,4589,22,1,1,112,112,18,1,0,0,433,158,118,4,27,23,7,0,0,0,0,5.9,53,101,216,47,79,133,3,6
Talleres,27.1,45.9,8,11,7.3,110,28,0,0,195,19,2528,3259,1171,1344,1026,1232,276,520,86,203,54,16,256,93,254,173,100,83,75,15,85,164,79,89,78,152,3,4196,401,1289,2029,932,115,4196,164,78,2154,90,15,130,70,2509,22,2,0,102,86,9,0,2,0,385,115,96,9,24,15,2,2,2,0,0,8.2,53,118,159,14,54,110,5,3
The Strongest,31.0,45.9,8,9,8.8,90,25,2,2,154,15,2401,3169,1077,1230,973,1189,248,518,68,173,43,20,246,109,244,135,96,67,57,11,62,135,73,77,53,225,2,4099,518,1402,1910,832,109,4097,120,50,2091,88,13,139,62,2379,16,1,0,76,66,9,0,0,0,335,90,108,10,48,38,5,0,0,0,0,10.9,37,116,138,41,95,165,5,5
Universitario,30.2,41.3,6,5,3.6,65,14,0,0,112,6,1572,2162,720,831,604,783,206,418,51,138,31,16,158,58,155,112,70,50,51,11,65,119,54,53,38,96,1,2745,239,742,1411,611,77,2745,70,35,1364,40,11,104,53,1557,15,1,1,73,67,7,0,0,0,260,90,103,9,17,8,0,0,0,0,0,8.6,35,82,85,14,47,76,8,3
Anderlecht,25.7,56.8,30,46,44.3,396,136,4,4,705,85,13448,16377,5500,6245,6150,7015,1347,2298,306,1079,310,78,1328,517,1312,492,309,226,190,76,234,468,234,289,217,671,14,19706,1977,5859,8848,5168,747,19702,565,243,13923,469,138,473,283,13259,51,2,1,295,374,54,3,2,0,1257,364,361,27,138,109,14,2,0,2,0,43.2,170,426,1168,115,229,420,22,38
Antwerp,26.4,53.3,30,43,37.5,409,145,2,4,684,66,12254,15132,4507,5196,5992,6873,1461,2437,291,884,230,42,1196,439,1192,514,352,247,195,72,231,452,221,340,249,692,28,18570,2268,6228,8674,3875,600,18566,538,271,13172,405,114,499,342,12172,66,2,1,357,321,55,3,6,2,1239,339,374,32,161,127,7,6,2,4,0,44.5,137,369,896,167,229,394,44,21
Beerschot,24.6,48.3,30,25,32.4,337,105,1,5,598,44,10501,13329,4450,5120,4610,5371,1033,2076,248,821,180,48,998,523,990,601,361,324,216,61,280,526,246,365,273,782,11,16920,2158,6202,7266,3678,499,16915,581,262,11390,386,132,480,299,10407,65,6,0,324,308,43,2,11,1,1294,335,409,59,164,105,5,11,10,1,0,60.4,109,415,858,115,250,486,15,42
Cercle Brugge,23.2,45.7,30,29,40.4,408,130,2,3,685,51,7402,11614,2804,3880,3449,4794,926,2299,280,871,224,60,1174,389,1161,610,397,248,258,104,326,620,294,472,307,831,8,15730,1333,3776,7513,4652,742,15727,579,276,8245,419,113,564,324,7296,52,5,0,326,332,59,3,3,0,1496,752,826,44,134,89,7,3,2,1,0,50.4,176,612,625,55,179,351,11,62
Charleroi,24.4,52.9,30,36,47.7,421,137,4,5,771,61,12050,15364,4734,5615,5343,6403,1527,2519,323,1128,283,83,1397,555,1379,531,343,254,219,58,241,478,237,295,239,709,10,18728,1737,5322,8735,4841,726,18723,497,239,12627,511,141,435,240,11921,62,3,2,315,257,50,4,4,1,1393,561,502,36,125,89,7,4,3,1,0,39.7,169,415,851,146,189,351,33,45
Club Brugge,25.6,58.8,30,65,66.1,515,194,4,5,940,114,15167,17997,5582,6388,7349,8132,1822,2677,418,1264,377,91,1601,638,1593,475,292,217,188,70,205,412,207,297,217,638,14,21184,1957,6041,9967,5355,1020,21179,441,217,15716,511,198,383,249,15038,40,2,1,280,312,37,5,4,2,1270,400,370,36,106,71,8,4,3,1,0,36.7,147,305,878,116,213,376,20,27
Dender,26.0,43.0,30,31,31.7,311,93,2,2,548,50,9429,12885,3696,4551,4242,5256,1144,2356,226,832,215,64,1081,343,1076,542,327,263,203,76,268,547,279,400,326,1009,10,16802,2063,5657,7520,3828,601,16800,450,207,10136,347,93,525,288,9345,62,5,2,318,287,39,0,8,2,1364,578,565,51,157,108,7,8,8,0,0,53.0,160,455,566,89,253,486,21,11
Genk,24.0,59.0,30,54,60.9,480,163,8,10,879,92,15138,17861,5759,6479,7236,8065,1736,2590,381,1161,345,83,1521,554,1504,533,330,252,208,73,227,437,210,318,277,642,12,21356,2090,6486,10420,4655,795,21347,586,265,15852,551,153,496,335,15017,43,3,1,292,323,51,6,3,0,1436,370,352,33,104,71,12,3,2,0,1,34.3,163,366,987,100,201,374,19,12
Gent,25.2,52.2,30,40,40.8,374,124,3,4,648,67,11717,15008,4394,5306,5551,6473,1464,2508,282,933,244,55,1339,587,1325,549,340,227,231,91,249,489,240,354,262,747,20,18572,2159,5845,8577,4365,673,18568,505,224,12515,482,153,475,249,11584,60,3,2,337,277,33,3,1,1,1392,478,452,33,159,127,13,1,1,0,0,52.2,126,325,815,191,249,479,31,15
Kortrijk,25.0,43.0,30,27,33.7,339,102,1,1,591,47,8826,12184,3397,4262,3887,4912,1206,2328,242,939,213,62,1129,445,1108,544,321,256,204,84,254,503,249,397,252,824,12,15818,1685,4596,7224,4188,598,15817,547,260,9454,364,121,487,329,8726,69,4,3,313,299,38,0,2,3,1184,575,572,55,141,89,3,2,2,0,0,57.0,174,440,608,158,230,453,32,29
Mechelen,26.2,53.1,30,43,44.6,386,148,2,3,691,72,12697,15701,4296,4998,6403,7228,1686,2800,288,1042,251,61,1257,491,1250,517,314,267,189,61,255,494,239,327,256,733,13,19030,2118,6402,8726,4070,670,19027,465,220,13377,412,155,451,253,12597,63,1,1,310,287,61,3,5,4,1306,400,449,40,142,106,9,5,5,0,0,45.3,130,372,902,150,260,473,32,23
OH Leuven,25.3,48.4,30,27,31.2,360,92,3,3,611,47,10171,12983,3470,4121,5020,5825,1442,2468,268,779,184,46,959,512,949,548,329,267,221,60,244,462,218,345,254,808,2,16604,2332,6248,7012,3545,579,16601,573,242,10960,402,158,509,313,10064,72,6,1,399,377,53,3,5,2,1138,416,415,33,131,99,9,5,4,1,0,43.3,185,537,1001,163,276,491,31,29
Sint-Truiden,25.3,47.3,30,38,40.6,386,125,3,4,673,64,11558,14603,4560,5304,5327,6231,1296,2310,289,879,240,81,1124,484,1119,556,334,304,190,62,277,580,303,354,295,893,14,18396,2298,6706,8135,3806,577,18392,533,265,12379,404,107,480,300,11470,62,5,2,294,260,44,2,11,2,1426,441,434,56,139,84,4,11,10,1,0,53.9,125,365,773,112,254,535,22,36
Standard Liège,23.7,40.9,30,22,35.7,311,89,8,9,537,41,8723,11926,3415,4191,3934,4877,1115,2220,226,695,202,49,938,409,929,531,314,267,217,47,248,477,229,333,344,1027,10,15739,1915,5634,6936,3353,561,15730,452,203,9504,337,118,502,288,8628,51,2,1,331,318,62,8,1,1,1250,536,551,35,137,102,12,1,0,1,0,42.9,176,561,660,99,254,489,35,43
Union SG,25.4,50.3,30,46,55.4,427,154,6,7,732,74,10842,14002,4292,5177,4800,5741,1343,2265,336,997,261,54,1328,551,1313,626,393,298,243,85,311,628,317,385,302,768,7,18041,1609,5182,8454,4625,867,18034,657,273,11568,463,205,545,291,10732,71,3,2,389,318,72,6,2,0,1468,480,431,25,99,74,13,2,1,0,1,33.7,194,444,796,99,178,411,19,25
Westerlo,23.3,47.2,30,50,48.9,471,168,5,6,835,82,9617,12834,3351,4209,4467,5405,1477,2547,345,973,263,81,1348,568,1334,567,351,260,230,77,250,493,243,339,297,834,10,16685,1966,5255,7246,4443,776,16679,617,299,10403,438,158,552,253,9518,83,3,2,301,297,42,6,7,1,1345,519,481,49,141,91,5,7,5,2,0,49.3,168,445,869,132,251,461,22,40
