Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Cittadella,26.9,45.2,38,30,31.2,423,114,1,1,727,53,10647,14945,4727,5657,4407,5624,1240,2751,299,1018,249,101,1302,505,1291,632,408,302,250,80,319,641,322,439,303,1175,14,19548,2169,6498,8160,5090,660,19547,525,227,9258,363,91,631,292,10546,111,2,2,692,518,83,0,8,5,1541,780,851,54,171,121,12,8,7,1,0,53.3,138,443,707,148,306,574,29,26
Cosenza,25.8,48.9,38,32,45.7,532,148,3,4,939,53,11313,15166,4833,5700,4972,6016,1276,2724,363,1056,233,87,1245,546,1228,538,330,280,200,58,245,498,253,425,276,1056,13,19612,2056,6060,8908,4848,703,19608,582,250,9560,397,111,590,257,11199,115,10,4,575,532,32,2,4,4,1350,664,699,56,162,110,7,4,3,0,1,48.8,266,690,1175,135,255,561,55,88
Cremonese,28.1,59.2,38,62,59.2,595,188,2,2,1071,111,16226,19798,7021,7814,7201,8212,1595,2725,446,1302,363,127,1663,751,1647,535,338,243,213,79,214,416,202,335,285,904,22,23920,2148,7548,10251,6324,944,23918,530,234,13562,563,155,561,275,16066,102,4,4,651,513,57,1,6,2,1523,681,627,44,116,74,8,6,5,0,1,40.6,160,400,1359,139,226,463,34,42
Frosinone,23.8,46.9,38,35,43.2,490,135,3,5,851,57,12569,15819,4973,5656,5947,6838,1472,2743,351,1134,267,90,1228,588,1212,535,339,240,219,76,270,480,210,331,234,960,14,19954,2268,6664,8904,4611,737,19949,571,249,9848,453,168,604,293,12437,85,6,1,534,625,42,4,7,0,1375,565,590,50,160,108,8,7,5,2,0,51.5,163,566,989,141,329,605,28,20
Juve Stabia,24.4,52.5,38,40,40.5,392,128,2,2,674,70,11710,15734,4735,5588,5315,6387,1318,2838,300,910,246,89,1114,479,1100,592,361,309,218,65,278,507,229,408,270,1170,12,20239,2445,7356,8712,4374,670,20237,587,248,10332,372,98,619,307,11478,96,5,1,692,606,71,1,7,0,1309,723,892,41,148,106,12,7,5,1,1,46.7,218,723,1171,143,266,571,63,27
Mantova,27.4,61.5,38,46,41.5,509,156,2,4,897,82,17447,20683,8086,8846,7712,8616,1297,2369,372,1100,269,81,1314,528,1306,451,256,239,161,51,222,453,231,380,220,940,14,24596,3110,9690,10469,4628,665,24592,527,216,14082,419,108,546,358,17217,88,4,1,519,783,52,3,2,1,1365,480,488,56,173,118,8,2,2,0,0,56.4,113,312,1349,110,279,580,21,36
Modena,26.4,48.7,38,46,42.8,448,138,6,6,811,80,12811,16520,5716,6657,5404,6378,1371,2639,323,1025,289,64,1374,556,1360,600,367,316,211,73,268,469,201,369,295,1128,5,20815,2355,7453,8720,4860,725,20809,512,252,10244,422,132,522,317,12689,94,8,0,480,558,58,5,4,2,1419,647,594,50,139,90,7,4,3,1,0,43.3,208,614,915,127,308,670,63,14
Palermo,26.5,49.4,38,49,56.7,559,172,5,7,982,83,12733,16227,5078,5827,5758,6706,1519,2775,394,1019,322,119,1330,634,1318,486,294,261,153,72,206,400,194,369,227,984,21,20390,2481,6873,8795,4904,862,20383,535,215,10648,425,131,588,263,12620,85,1,0,553,539,31,5,2,1,1366,655,589,43,148,106,11,2,2,0,0,39.9,176,479,1029,184,322,605,40,36
Pisa,25.8,46.2,38,58,55.7,487,134,4,5,829,93,10903,15159,4268,5272,4980,6275,1375,2751,338,1029,321,130,1265,487,1244,632,363,325,234,73,282,514,232,387,292,1170,15,19658,1971,6324,8478,5071,884,19653,463,203,9276,373,107,587,287,10769,76,3,0,625,424,39,4,2,1,1399,990,781,37,130,94,11,2,2,0,0,40.0,272,647,993,88,244,528,38,29
Reggiana,26.3,44.8,38,41,40.8,436,145,2,2,750,63,11362,15040,4910,5779,4893,5938,1234,2440,290,811,232,70,1066,598,1059,652,397,315,250,87,295,559,264,417,303,1166,11,19576,2257,7134,8491,4198,691,19574,560,247,10068,409,139,601,287,11265,110,4,0,595,574,86,2,2,4,1381,654,761,52,146,98,8,2,2,0,0,47.5,156,460,668,120,308,656,26,4
Salernitana,26.6,51.3,38,36,41.9,479,143,4,6,858,63,13723,17385,6165,6987,5901,6922,1390,2695,355,1079,313,85,1379,640,1359,596,347,256,259,81,284,530,246,387,267,904,12,21361,2112,6476,9885,5219,772,21355,486,240,10998,484,125,566,310,13581,86,5,2,558,571,62,4,4,0,1375,589,669,47,136,89,10,4,4,0,0,48.7,167,516,956,145,273,486,33,30
Sampdoria,27.1,48.2,38,37,44.9,471,139,2,3,817,57,11392,15282,5153,6061,4890,5954,1141,2438,326,932,277,88,1231,495,1213,602,363,273,234,95,301,550,249,412,272,1032,18,19605,2311,6313,8535,4962,762,19602,557,254,9533,375,118,565,312,11272,107,8,5,619,520,72,2,3,0,1374,669,756,49,168,118,12,3,2,1,0,48.9,174,536,906,146,292,572,52,26
Sassuolo,25.4,52.2,38,77,54.5,510,200,7,8,922,129,15742,19165,7730,8578,6204,7139,1256,2403,389,1170,341,72,1471,653,1453,501,320,245,182,74,213,419,206,379,291,986,11,23376,2177,6660,11092,5850,860,23368,550,280,12826,512,170,598,336,15655,71,2,0,475,467,53,6,2,1,1481,571,600,38,150,113,15,2,2,0,0,40.7,144,427,741,150,290,573,41,11
Spezia,26.1,50.9,38,56,65.4,596,174,5,8,1049,92,11369,15394,4815,5687,4578,5757,1382,2680,415,1040,396,164,1449,611,1435,560,357,262,218,80,270,527,257,435,287,920,7,19802,1817,5518,8522,5987,1096,19794,534,245,9266,452,126,608,332,11227,99,5,3,645,633,40,4,1,3,1456,900,788,33,129,99,16,1,1,0,0,31.9,237,591,882,147,245,461,34,50
Südtirol,28.0,43.9,38,48,43.3,455,133,6,6,786,83,10195,14309,4247,5149,4267,5457,1387,2861,314,953,309,108,1227,452,1212,491,314,232,185,74,224,447,223,399,296,1193,11,18542,2096,6062,7663,4980,836,18536,413,184,7828,279,109,546,238,10094,93,3,2,655,467,60,3,5,1,1344,879,826,57,160,103,8,5,3,1,1,53.7,270,654,748,146,313,643,31,36
