Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,180,1,31,22
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,450,1,45,40
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,810,1,83,56
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,263,1,38,58
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1350,1,34,61
Florian Wiegele,AUT,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,24,180,1,87,74
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,360,1,87,32
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,810,1,17,63
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,1350,1,52,56
Gabriel Kobylak,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,90,1,15,4
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1800,1,67,60
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,1980,1,55,29
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,755,1,17,50
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,360,1,60,62
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,1890,1,58,36
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,662,1,63,61
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,2340,1,65,57
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1530,1,52,51
Günay Güvenç,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,34,23,1,8,21
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,270,1,78,68
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,540,1,79,64
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,540,1,60,60
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1350,1,79,41
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1980,1,48,28
Ivan Filipović,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,31,180,1,24,34
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,1,15,57
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1620,1,69,57
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,180,1,31,19
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,1080,1,76,49
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,540,1,52,82
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,1,90,69
James Trafford,ENG,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,360,1,79,23
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,540,1,46,30
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,2070,1,57,73
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,540,1,73,39
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,25,450,1,21,56
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,1530,1,64,76
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,1,55,14
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,360,1,85,73
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,360,1,72,25
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1440,1,83,52
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,540,1,88,84
John,BRA,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,707,1,24,42
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,270,1,42,85
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1454,1,53,59
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,1800,1,67,73
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,1,68,31
José Luis García Vayá,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,27,1,1,24,0
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,720,1,16,64
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,1,29,19
Juan Musso,ARG,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,180,1,37,25
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,25,1619,1,32,43
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,450,1,11,60
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,1,16,60
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,1350,1,66,49
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,1,18,65
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,1,77,91
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,1,50,30
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,540,1,84,56
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,39,540,1,30,46
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,450,1,22,32
