Player,Game Week,Position,Team,League,Minutes,Rate
David de Gea,J16,GK,Fiorentina,Europa Conference League,90,6.1
Fran Vieites,J16,GK,Betis,Europa Conference League,90,5.08
Adrián,J17,GK,Betis,Europa Conference League,90,4.18
Filip Jørgensen,J17,GK,Chelsea,Europa Conference League,90,6.28
David de Gea,J14,GK,Fiorentina,Serie A,90,7.71
Yann Sommer,J14,GK,Inter,Serie A,90,4.12
Wladimiro Falcone,J3,GK,Lecce,Serie A,90,8.32
Simone Scuffet,J3,GK,Cagliari,Serie A,90,6.15
Jean Butez,J24,GK,Como,Serie A,90,5.06
Michele Di Gregorio,J24,GK,Juventus,Serie A,90,7.3
Lorenzo Montipò,J24,GK,Hellas Verona,Serie A,90,4.07
Rui Patrício,J24,GK,Atalanta,Serie A,90,8.35
Devis Vásquez,J24,GK,Empoli,Serie A,90,4.92
Mike Maignan,J24,GK,Milan,Serie A,90,7.51
Vanja Milinković-Savić,J24,GK,Torino,Serie A,90,5.82
