Player,Game Week,Position,Team,League,Minutes,Rate
Ivica Ivušić,J1,GK,Pafos FC,Europa Conference League,90,5.92
Josip Condric,J1,GK,Astana FK,Europa Conference League,90,7.92
Veljko Ilic,J1,GK,TSC Bačka Top,Europa Conference League,90,5.4
Ingvar Jónsson,J2,GK,KV,Europa Conference League,90,6.91
Maxime Delanghe,J2,GK,Cercle Brugge,Europa Conference League,90,4.93
Rohan Ferguson,J2,GK,Larne FC,Europa Conference League,90,4.2
Léon-Maurice Pöhls,J2,GK,Shamrock Rov,Europa Conference League,90,5.85
Craig Gordon,J2,GK,Hearts,Europa Conference League,90,7.4
Fabiano,J2,GK,AC Omonia,Europa Conference League,90,4.84
Wladimiro Falcone,J22,GK,Lecce,Serie A,90,4.08
Yann Sommer,J22,GK,Inter,Serie A,90,8.39
Davy Roef,J2,GK,Gent,Europa Conference League,90,6.0
Albert Posiadala,J2,GK,Molde,Europa Conference League,90,5.19
Niklas Hedl,J2,GK,Rapid Wien,Europa Conference League,90,7.79
Ognjen Čančarević,J2,GK,FC Noah,Europa Conference League,90,7.02
Jacob Rinne,J2,GK,Djurgården,Europa Conference League,90,4.9
Bruno Varela,J2,GK,Vitória,Europa Conference League,90,6.09
Matjaž Rozman,J2,GK,NK Celje,Europa Conference League,90,6.72
Deniz Dilmen,J2,GK,Başakşehir,Europa Conference League,90,4.14
Lawrence Ati-Zigi,J2,GK,St. Gallen,Europa Conference League,90,4.89
Pietro Terracciano,J2,GK,Fiorentina,Europa Conference League,90,4.62
Sławomir Abramowicz,J2,GK,Jagiellonia,Europa Conference League,90,6.94
Silviu Șmalenea,J2,GK,Petrocub,Europa Conference League,90,5.41
Bartłomiej Drągowski,J2,GK,Panathinaikos,Europa Conference League,90,4.67
Filip Jørgensen,J2,GK,Chelsea,Europa Conference League,90,6.46
Vid Belec,J2,GK,APOEL,Europa Conference League,90,5.13
Filip Manojlović,J2,GK,Borac Banja Luka,Europa Conference League,90,8.11
Connor Roberts,J2,GK,The New Saints,Europa Conference League,90,8.94
Aleksandr Zarutskiy,J2,GK,Astana FK,Europa Conference League,90,5.97
Matouš Trmal,J2,GK,Mladá Boleslav,Europa Conference League,90,7.37
Amir Saipi,J2,GK,Lugano,Europa Conference League,90,8.44
Ivan Provedel,J22,GK,Lazio,Serie A,90,4.67
David de Gea,J22,GK,Fiorentina,Serie A,90,6.14
Veljko Ilic,J2,GK,TSC Bačka Top,Europa Conference League,90,4.95
Kacper Tobiasz,J2,GK,Legia Warsaw,Europa Conference League,90,8.55
Matevž Vidovšek,J2,GK,Olimpija,Europa Conference League,90,8.71
Jörg Siebenhandl,J2,GK,LASK,Europa Conference League,90,5.56
Adrián,J2,GK,Betis,Europa Conference League,90,5.93
Nathan Trott,J2,GK,FC Copenhagen,Europa Conference League,90,5.33
Thijmen Nijhuis,J2,GK,HJK,Europa Conference League,90,8.12
Fyodor Lapoukhov,J2,GK,Dinamo Minsk,Europa Conference League,90,6.72
Ivica Ivušić,J2,GK,Pafos FC,Europa Conference League,90,6.18
Kevin Müller,J2,GK,Heidenheim,Europa Conference League,90,8.21
Ingvar Jónsson,J3,GK,KV,Europa Conference League,90,8.22
Filip Manojlović,J3,GK,Borac Banja Luka,Europa Conference League,90,6.4
Léon-Maurice Pöhls,J3,GK,Shamrock Rov,Europa Conference League,90,5.42
Connor Roberts,J3,GK,The New Saints,Europa Conference League,90,5.86
Davy Roef,J3,GK,Gent,Europa Conference League,90,7.9
Fabiano,J3,GK,AC Omonia,Europa Conference League,90,6.48
Veljko Ilic,J3,GK,TSC Bačka Top,Europa Conference League,90,5.82
Amir Saipi,J3,GK,Lugano,Europa Conference League,90,4.25
Gabriel Kobylak,J3,GK,Legia Warsaw,Europa Conference League,90,8.27
Fyodor Lapoukhov,J3,GK,Dinamo Minsk,Europa Conference League,90,4.24
Filip Stankovic,J22,GK,Venezia,Serie A,90,6.94
Lorenzo Montipò,J22,GK,Hellas Verona,Serie A,90,5.73
Thijmen Nijhuis,J3,GK,HJK,Europa Conference League,90,4.39
Matevž Vidovšek,J3,GK,Olimpija,Europa Conference League,90,8.31
Silviu Șmalenea,J3,GK,Petrocub,Europa Conference League,90,4.69
Niklas Hedl,J3,GK,Rapid Wien,Europa Conference League,90,7.67
Ivica Ivušić,J3,GK,Pafos FC,Europa Conference League,90,6.67
Mukhammedzhan Seysen,J3,GK,Astana FK,Europa Conference League,90,7.92
Rohan Ferguson,J3,GK,Larne FC,Europa Conference League,90,5.76
Lawrence Ati-Zigi,J3,GK,St. Gallen,Europa Conference League,90,5.35
Filip Jørgensen,J3,GK,Chelsea,Europa Conference League,90,7.94
Ognjen Čančarević,J3,GK,FC Noah,Europa Conference League,90,4.03
Bruno Varela,J3,GK,Vitória,Europa Conference League,90,5.37
Matouš Trmal,J3,GK,Mladá Boleslav,Europa Conference League,90,6.45
Craig Gordon,J3,GK,Hearts,Europa Conference League,90,4.79
Kevin Müller,J3,GK,Heidenheim,Europa Conference League,90,8.02
Jörg Siebenhandl,J3,GK,LASK,Europa Conference League,90,7.48
Maxime Delanghe,J3,GK,Cercle Brugge,Europa Conference League,90,8.36
Oscar Jansson,J3,GK,Djurgården,Europa Conference League,90,5.05
Bartłomiej Drągowski,J3,GK,Panathinaikos,Europa Conference League,90,5.52
Sławomir Abramowicz,J3,GK,Jagiellonia,Europa Conference League,90,7.24
Albert Posiadala,J3,GK,Molde,Europa Conference League,90,4.27
Nicola Leali,J22,GK,Genoa,Serie A,90,7.37
Stefano Turati,J22,GK,Monza,Serie A,90,6.37
Nathan Trott,J3,GK,FC Copenhagen,Europa Conference League,90,5.34
Muhammed Şengezer,J3,GK,Başakşehir,Europa Conference League,90,6.69
Adrián,J3,GK,Betis,Europa Conference League,90,5.97
Lovro Štubljar,J3,GK,NK Celje,Europa Conference League,90,5.6
Vid Belec,J3,GK,APOEL,Europa Conference League,90,7.17
Pietro Terracciano,J3,GK,Fiorentina,Europa Conference League,90,4.57
Muhammed Şengezer,J4,GK,Başakşehir,Europa Conference League,90,6.66
Silviu Șmalenea,J4,GK,Petrocub,Europa Conference League,90,6.8
Connor Roberts,J4,GK,The New Saints,Europa Conference League,90,7.03
Jacob Rinne,J4,GK,Djurgården,Europa Conference League,90,6.77
Filip Manojlović,J4,GK,Borac Banja Luka,Europa Conference League,90,5.26
Lukas Jungwirth,J4,GK,LASK,Europa Conference League,82,5.03
Albert Posiadala,J4,GK,Molde,Europa Conference League,90,6.52
Vid Belec,J4,GK,APOEL,Europa Conference League,90,8.39
Maxime Delanghe,J4,GK,Cercle Brugge,Europa Conference League,90,8.25
Craig Gordon,J4,GK,Hearts,Europa Conference League,90,5.23
Lovro Štubljar,J4,GK,NK Celje,Europa Conference League,90,4.88
Sławomir Abramowicz,J4,GK,Jagiellonia,Europa Conference League,90,4.53
Kevin Müller,J4,GK,Heidenheim,Europa Conference League,90,6.71
Filip Jørgensen,J4,GK,Chelsea,Europa Conference League,90,8.47
Zion Suzuki,J23,GK,Parma,Serie A,90,4.45
Wladimiro Falcone,J23,GK,Lecce,Serie A,90,7.11
Lawrence Ati-Zigi,J4,GK,St. Gallen,Europa Conference League,90,5.19
Veljko Ilic,J4,GK,TSC Bačka Top,Europa Conference League,90,5.66
Yuri Lodygin,J4,GK,Panathinaikos,Europa Conference League,90,8.5
Thijmen Nijhuis,J4,GK,HJK,Europa Conference League,90,6.82
Fyodor Lapoukhov,J4,GK,Dinamo Minsk,Europa Conference League,90,5.46
Theo Sander,J4,GK,FC Copenhagen,Europa Conference League,90,6.68
Amir Saipi,J4,GK,Lugano,Europa Conference League,90,9.15
Daniel Schmidt,J4,GK,Gent,Europa Conference League,90,5.39
Matouš Trmal,J4,GK,Mladá Boleslav,Europa Conference League,90,5.7
Adrián,J4,GK,Betis,Europa Conference League,90,6.23
Matevž Vidovšek,J4,GK,Olimpija,Europa Conference League,90,6.98
Rohan Ferguson,J4,GK,Larne FC,Europa Conference League,90,7.47
Niklas Hedl,J4,GK,Rapid Wien,Europa Conference League,90,6.47
Léon-Maurice Pöhls,J4,GK,Shamrock Rov,Europa Conference League,90,6.71
Pietro Terracciano,J4,GK,Fiorentina,Europa Conference League,90,5.71
Ivica Ivušić,J4,GK,Pafos FC,Europa Conference League,90,4.12
Josip Condric,J4,GK,Astana FK,Europa Conference League,90,7.32
Bruno Varela,J4,GK,Vitória,Europa Conference League,90,5.72
Aleksei Ploshchadnyi,J4,GK,FC Noah,Europa Conference League,90,8.32
Ingvar Jónsson,J4,GK,KV,Europa Conference League,90,8.55
Yann Sommer,J3,GK,Inter,Serie A,90,7.41
Marco Carnesecchi,J3,GK,Atalanta,Serie A,90,3.75
Stefano Turati,J23,GK,Monza,Serie A,66,4.69
Lorenzo Montipò,J23,GK,Hellas Verona,Serie A,90,7.64
Fabiano,J4,GK,AC Omonia,Europa Conference League,90,4.01
Gabriel Kobylak,J4,GK,Legia Warsaw,Europa Conference League,90,8.48
Ingvar Jónsson,J5,GK,KV,Europa Conference League,90,4.86
Jacob Rinne,J5,GK,Djurgården,Europa Conference League,90,5.11
Tommaso Martinelli,J5,GK,Fiorentina,Europa Conference League,90,8.2
Lukas Jungwirth,J5,GK,LASK,Europa Conference League,90,4.43
Matevž Vidovšek,J5,GK,Olimpija,Europa Conference League,90,5.1
Maxime Delanghe,J5,GK,Cercle Brugge,Europa Conference League,90,6.13
Nathan Trott,J5,GK,FC Copenhagen,Europa Conference League,90,6.79
Craig Gordon,J5,GK,Hearts,Europa Conference League,90,5.93
Gabriel Kobylak,J5,GK,Legia Warsaw,Europa Conference League,90,6.01
Amir Saipi,J5,GK,Lugano,Europa Conference League,90,5.75
Thijmen Nijhuis,J5,GK,HJK,Europa Conference League,90,4.64
Albert Posiadala,J5,GK,Molde,Europa Conference League,90,4.98
Silviu Șmalenea,J5,GK,Petrocub,Europa Conference League,90,6.27
Adrián,J5,GK,Betis,Europa Conference League,90,7.57
Connor Roberts,J5,GK,The New Saints,Europa Conference League,90,5.55
Bartłomiej Drągowski,J5,GK,Panathinaikos,Europa Conference League,90,8.06
Léon-Maurice Pöhls,J5,GK,Shamrock Rov,Europa Conference League,90,8.11
Filip Manojlović,J5,GK,Borac Banja Luka,Europa Conference League,90,5.63
Razvan Sava,J23,GK,Udinese,Serie A,90,4.59
Jesse Joronen,J23,GK,Venezia,Serie A,73,4.14
Muhammed Şengezer,J5,GK,Başakşehir,Europa Conference League,90,6.67
Vitus Eicher,J5,GK,Heidenheim,Europa Conference League,90,4.59
Fyodor Lapoukhov,J5,GK,Dinamo Minsk,Europa Conference League,90,8.24
Rohan Ferguson,J5,GK,Larne FC,Europa Conference League,90,5.3
Lawrence Ati-Zigi,J5,GK,St. Gallen,Europa Conference League,90,5.01
Bruno Varela,J5,GK,Vitória,Europa Conference League,90,7.34
Matouš Trmal,J5,GK,Mladá Boleslav,Europa Conference League,90,7.88
Sławomir Abramowicz,J5,GK,Jagiellonia,Europa Conference League,90,6.18
Davy Roef,J5,GK,Gent,Europa Conference League,90,8.17
Veljko Ilic,J5,GK,TSC Bačka Top,Europa Conference League,90,5.4
Mukhammedzhan Seysen,J5,GK,Astana FK,Europa Conference League,90,4.78
Filip Jørgensen,J5,GK,Chelsea,Europa Conference League,90,5.6
Aleksei Ploshchadnyi,J5,GK,FC Noah,Europa Conference League,90,4.27
Vid Belec,J5,GK,APOEL,Europa Conference League,90,7.32
Ivica Ivušić,J5,GK,Pafos FC,Europa Conference League,90,8.12
Matjaž Rozman,J5,GK,NK Celje,Europa Conference League,90,4.45
Francis Uzoho,J5,GK,AC Omonia,Europa Conference League,90,7.2
Niklas Hedl,J5,GK,Rapid Wien,Europa Conference League,90,5.13
Craig Gordon,J6,GK,Hearts,Europa Conference League,90,4.98
Silviu Șmalenea,J6,GK,Petrocub,Europa Conference League,90,6.27
Rui Patrício,J23,GK,Atalanta,Serie A,90,6.24
Vanja Milinković-Savić,J23,GK,Torino,Serie A,90,7.18
Rohan Ferguson,J6,GK,Larne FC,Europa Conference League,90,9.01
Davy Roef,J6,GK,Gent,Europa Conference League,90,5.26
Bruno Varela,J6,GK,Vitória,Europa Conference League,90,6.0
Pietro Terracciano,J6,GK,Fiorentina,Europa Conference League,90,6.54
Filip Jørgensen,J6,GK,Chelsea,Europa Conference League,90,6.11
Léon-Maurice Pöhls,J6,GK,Shamrock Rov,Europa Conference League,90,3.83
Veljko Ilic,J6,GK,TSC Bačka Top,Europa Conference League,90,6.11
Aleksei Ploshchadnyi,J6,GK,FC Noah,Europa Conference League,90,5.45
Adrián,J6,GK,Betis,Europa Conference League,90,7.65
Thijmen Nijhuis,J6,GK,HJK,Europa Conference League,90,6.71
Niklas Hedl,J6,GK,Rapid Wien,Europa Conference League,90,7.8
Nathan Trott,J6,GK,FC Copenhagen,Europa Conference League,90,5.92
Amir Saipi,J6,GK,Lugano,Europa Conference League,90,4.78
Neofytos Michael,J6,GK,Pafos FC,Europa Conference League,90,5.04
Maxime Delanghe,J6,GK,Cercle Brugge,Europa Conference League,90,7.41
Muhammed Şengezer,J6,GK,Başakşehir,Europa Conference League,90,7.19
Kevin Müller,J6,GK,Heidenheim,Europa Conference League,90,5.74
Lawrence Ati-Zigi,J6,GK,St. Gallen,Europa Conference League,90,6.86
Albert Posiadala,J6,GK,Molde,Europa Conference League,90,4.56
Matouš Trmal,J6,GK,Mladá Boleslav,Europa Conference League,90,4.54
Łukasz Skorupski,J23,GK,Bologna,Serie A,90,7.31
Jean Butez,J23,GK,Como,Serie A,90,5.65
Sławomir Abramowicz,J6,GK,Jagiellonia,Europa Conference League,90,8.35
Matevž Vidovšek,J6,GK,Olimpija,Europa Conference League,90,8.2
Jacob Rinne,J6,GK,Djurgården,Europa Conference League,90,6.58
Gabriel Kobylak,J6,GK,Legia Warsaw,Europa Conference League,90,3.9
Filip Manojlović,J6,GK,Borac Banja Luka,Europa Conference League,90,7.32
Fabiano,J6,GK,AC Omonia,Europa Conference League,90,8.04
Lukas Jungwirth,J6,GK,LASK,Europa Conference League,90,5.96
Ingvar Jónsson,J6,GK,KV,Europa Conference League,90,6.85
Matjaž Rozman,J6,GK,NK Celje,Europa Conference League,90,4.26
Connor Roberts,J6,GK,The New Saints,Europa Conference League,90,5.86
Yuri Lodygin,J6,GK,Panathinaikos,Europa Conference League,90,6.75
Fyodor Lapoukhov,J6,GK,Dinamo Minsk,Europa Conference League,90,5.04
Vid Belec,J6,GK,APOEL,Europa Conference League,90,6.34
Josip Condric,J6,GK,Astana FK,Europa Conference League,90,5.86
Ingvar Jónsson,J9,GK,KV,Europa Conference League,90,7.03
Yuri Lodygin,J9,GK,Panathinaikos,Europa Conference League,90,5.22
Ricardo Manuel Silva,J9,GK,NK Celje,Europa Conference League,90,5.05
Vid Belec,J9,GK,APOEL,Europa Conference League,90,4.96
Jacob Karlstrom,J9,GK,Molde,Europa Conference League,90,5.91
Ed McGinty,J9,GK,Shamrock Rov,Europa Conference League,90,7.68
Michele Di Gregorio,J23,GK,Juventus,Serie A,90,5.68
Devis Vásquez,J23,GK,Empoli,Serie A,90,4.19
Veljko Ilic,J9,GK,TSC Bačka Top,Europa Conference League,90,5.06
Sławomir Abramowicz,J9,GK,Jagiellonia,Europa Conference League,90,5.29
Davy Roef,J9,GK,Gent,Europa Conference League,90,4.63
Fran Vieites,J9,GK,Betis,Europa Conference League,90,7.28
Diant Ramaj,J9,GK,FC Copenhagen,Europa Conference League,90,6.95
Frank Feller,J9,GK,Heidenheim,Europa Conference League,90,6.89
Filip Manojlović,J9,GK,Borac Banja Luka,Europa Conference League,90,8.16
Matevž Vidovšek,J9,GK,Olimpija,Europa Conference League,90,7.05
Fabiano,J9,GK,AC Omonia,Europa Conference League,90,7.34
Ivica Ivušić,J9,GK,Pafos FC,Europa Conference League,90,5.5
Frank Feller,J10,GK,Heidenheim,Europa Conference League,90,5.37
