Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Cheick Souaré,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,FRA,23,28.8,436,6,4.8
Cheikh Niasse,Hellas Verona,Italian Serie A,CM,Midfielder,SEN,25,31.6,389,10,3.16
Cheikh Tidiane Niasse,Hellas Verona,Italian Serie A,CM,Midfielder,SEN,25,2.2,65,1,2.2
Cheikh Tidiane Sabaly,Metz,French Ligue 1,RW,Forward,SEN,26,53.7,967,14,3.84
Chema,Stuttgart,"German Bundesliga, UEFA Europa League",DM,Midfielder,ESP,20,64.7,917,14,4.62
Chemsdine Talbi,Sunderland,English Premier League,RW,Forward,BEL,20,53.4,887,16,3.34
Cher Ndour,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CM,Midfielder,ITA,21,68.3,994,19,3.59
Cheveyo Muy,Milan,Italian Serie A,AM,Forward,NAN,0,5.4,5,2,2.7
Chidera Ejuke,Sevilla,Spanish La Liga,LW,Forward,NGA,27,59.7,390,12,4.98
Chidozie Awaziem,Nantes,French Ligue 1,CB,Defender,NGA,28,77.5,1425,16,4.84
Chiquinho,Olympiacos,UEFA Champions League,AM,Forward,POR,30,36.0,366,6,6.0
Cho Gue-sung,Midtjylland,UEFA Europa League,AM,Forward,KOR,27,19.7,350,5,3.94
Chris Bedia,Young Boys,UEFA Europa League,AM,Forward,CIV,29,15.7,331,6,2.62
Chris Führich,Stuttgart,"German Bundesliga, UEFA Europa League",AM,Forward,GER,27,107.3,591,20,5.36
Chris Richards,Crystal Palace,"English Premier League, UEFA Europa Conference League",CB,Defender,USA,25,92.7,1837,21,4.41
Chris Rigg,Sunderland,English Premier League,RW,Forward,ENG,18,19.2,327,9,2.13
Chris Wood,Nott'ham Forest,"English Premier League, UEFA Europa League",AM,Forward,NZL,33,25.6,556,9,2.84
Chrislain Matsima,Augsburg,German Bundesliga,CB,Defender,FRA,23,65.3,1260,14,4.66
Chriso,Qarabağ,UEFA Champions League,AM,Forward,CIV,25,0.8,1,1,0.8
Christ-Owen Kouassi,Lecce,Italian Serie A,RB,Defender,FRA,22,16.3,228,4,4.08
Christantus Uche,"Crystal Palace, Getafe","English Premier League, Spanish La Liga, UEFA Europa Conference League",AM,Forward,NGA,22,59.9,562,17,3.52
Christian Burgess,Union SG,UEFA Champions League,CB,Defender,ENG,34,22.4,540,6,3.73
Christian Eriksen,Wolfsburg,German Bundesliga,AM,Forward,DEN,33,63.2,771,12,5.27
Christian Fassnacht,Young Boys,UEFA Europa League,AM,Forward,SUI,32,11.7,296,5,2.34
Christian Günter,Freiburg,"German Bundesliga, UEFA Europa League",LB,Defender,GER,32,52.0,885,15,3.47
Christian Kabasele,Udinese,Italian Serie A,CB,Defender,BEL,34,41.9,1008,13,3.22
Christian Kofane,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,CMR,19,68.8,866,20,3.44
Christian Kouamé,Fiorentina,"Italian Serie A, UEFA Europa Conference League",WB,Midfielder,CIV,28,15.0,106,4,3.75
Christian Mawissa,Monaco,"French Ligue 1, UEFA Champions League",CB,Defender,FRA,20,42.3,651,9,4.7
Christian Nørgaard,Arsenal,"English Premier League, UEFA Champions League",CM,Midfielder,DEN,31,17.9,232,7,2.56
Christian Ordoñez,Parma,Italian Serie A,CM,Midfielder,ARG,21,24.1,384,10,2.41
Christian Pulisic,Milan,Italian Serie A,AM,Forward,USA,27,83.1,606,12,6.92
Christoph Baumgartner,RB Leipzig,German Bundesliga,LM,Midfielder,AUT,26,77.3,1202,15,5.15
Christopher Nkunku,Milan,Italian Serie A,AM,Forward,FRA,28,44.5,618,12,3.71
Christopher Trimmel,Union Berlin,German Bundesliga,WB,Midfielder,AUT,38,62.4,955,14,4.46
Christopher Wooh,Rennes,French Ligue 1,CB,Defender,CMR,23,4.4,64,2,2.2
Christos Mouzakitis,Olympiacos,UEFA Champions League,DM,Midfielder,GRE,18,24.1,365,6,4.02
Christos Tzolis,Club Brugge,UEFA Champions League,LW,Forward,GRE,23,38.6,529,6,6.43
Christos Zafeiris,Slavia Prague,UEFA Champions League,CM,Midfielder,GRE,22,18.1,448,6,3.02
Cian Barrett,Shamrock Rovers,UEFA Europa Conference League,CM,Midfielder,IRL,20,3.7,45,1,3.7
Ciro Immobile,Bologna,Italian Serie A,AM,Forward,ITA,35,2.8,50,2,1.4
Cisse Sandra,Club Brugge,UEFA Champions League,CM,Midfielder,BEL,21,5.5,112,2,2.75
Claude Gonçalves,Legia Warsaw,UEFA Europa Conference League,DM,Midfielder,POR,31,5.6,91,2,2.8
Claudio Echeverri,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,ARG,19,37.8,276,11,3.44
Claudy M'Buyi,Rapid Wien,UEFA Europa Conference League,AM,Forward,FRA,26,10.4,109,3,3.47
Clemens Riedel,Espanyol,Spanish La Liga,CB,Defender,GER,22,28.7,518,8,3.59
Clement Bischoff,RB Salzburg,UEFA Europa League,LW,Forward,DEN,19,17.2,209,4,4.3
Clinton Antwi,KuPS,UEFA Europa Conference League,LB,Defender,GHA,26,29.5,405,6,4.92
Clinton Mata,Lyon,"French Ligue 1, UEFA Europa League",CB,Defender,ANG,33,92.7,1760,21,4.41
Clément Akpa,Auxerre,French Ligue 1,CB,Defender,CIV,24,61.2,1230,15,4.08
Clément Lenglet,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,FRA,30,49.8,910,11,4.53
Cléo Melieres,Metz,French Ligue 1,RB,Defender,FRA,20,3.6,31,2,1.8
Coba da Costa,Getafe,Spanish La Liga,LM,Midfielder,ESP,23,49.0,341,13,3.77
Cody Gakpo,Liverpool,"English Premier League, UEFA Champions League",LW,Forward,NED,26,136.4,1548,23,5.93
Colby Donovan,Celtic,UEFA Europa League,RB,Defender,SCO,19,26.4,328,5,5.28
Cole Campbell,Dortmund,German Bundesliga,RW,Forward,USA,19,5.6,17,1,5.6
Cole Palmer,Chelsea,"English Premier League, UEFA Champions League",AM,Forward,ENG,23,62.3,680,11,5.66
Colin Rosler,Malmö,UEFA Europa League,CB,Defender,NOR,25,19.1,450,5,3.82
Connor Barron,Rangers,UEFA Europa League,DM,Midfielder,SCO,23,26.6,362,6,4.43
Connor Malley,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,ENG,25,17.4,195,6,2.9
Connor Metcalfe,St. Pauli,German Bundesliga,AM,Forward,AUS,26,45.3,273,14,3.24
Conor Bradley,Liverpool,"English Premier League, UEFA Champions League",RB,Defender,NIR,22,102.3,1087,19,5.38
Conor Gallagher,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,ENG,25,95.0,965,25,3.8
Conrad Harder,RB Leipzig,German Bundesliga,AM,Forward,DEN,20,46.7,489,13,3.59
Copete,Valencia,Spanish La Liga,CB,Defender,ESP,26,63.7,1229,15,4.25
Corentin Tolisso,Lyon,"French Ligue 1, UEFA Europa League",AM,Forward,FRA,31,111.8,1706,21,5.32
Corrie Ndaba,Lecce,Italian Serie A,CB,Defender,IRL,26,16.3,166,6,2.72
Cory O'Sullivan,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CB,Defender,IRL,19,18.2,540,6,3.03
Costinha,Olympiacos,UEFA Champions League,RB,Defender,POR,25,24.9,236,5,4.98
Couhaib Driouech,PSV Eindhoven,UEFA Champions League,LW,Forward,MAR,23,24.4,159,5,4.88
Cristhian Mosquera,Arsenal,"English Premier League, UEFA Champions League",CB,Defender,ESP,21,51.3,648,14,3.66
Cristhian Stuani,Girona,Spanish La Liga,AM,Forward,URU,39,14.0,202,9,1.56
Cristian Cásseres Jr.,Toulouse,French Ligue 1,CM,Midfielder,VEN,25,78.8,1347,16,4.92
Cristian Romero,Tottenham,"English Premier League, UEFA Champions League",CB,Defender,ARG,27,92.8,1709,20,4.64
Cristian Volpato,Sassuolo,Italian Serie A,RW,Forward,ITA,22,63.6,621,12,5.3
Cristiano Biraghi,Torino,Italian Serie A,LB,Defender,ITA,33,39.0,462,10,3.9
Crysencio Summerville,West Ham,English Premier League,AM,Forward,NED,24,73.2,1050,15,4.88
Cucho,Betis,"Spanish La Liga, UEFA Europa League",AM,Forward,COL,26,121.1,1680,21,5.77
Curtis Jones,Liverpool,"English Premier League, UEFA Champions League",DM,Midfielder,ENG,24,111.7,1343,23,4.86
Cyle Larin,Feyenoord,UEFA Europa League,AM,Forward,CAN,30,14.7,169,5,2.94
Cyriaque Irié,Freiburg,German Bundesliga,RW,Forward,BFA,20,4.4,31,1,4.4
Cyriel Dessers,Panathinaikos,UEFA Europa League,AM,Forward,NGA,30,2.0,21,1,2.0
Cyril Ngonge,Torino,Italian Serie A,AM,Forward,BEL,25,72.7,770,16,4.54
Cédric Bakambu,Betis,"Spanish La Liga, UEFA Europa League",AM,Forward,COD,34,36.0,475,12,3.0
César Azpilicueta,Sevilla,Spanish La Liga,CB,Defender,ESP,36,41.2,677,9,4.58
César Blackman,Slovan Bratislava,UEFA Europa Conference League,RB,Defender,PAN,27,35.7,518,6,5.95
César Tárrega,Valencia,Spanish La Liga,CB,Defender,ESP,23,75.1,1465,17,4.42
Daan Heymans,Genk,UEFA Europa League,AM,Forward,BEL,26,20.6,245,4,5.15
Dachi Lordkipanidze,Cremonese,Italian Serie A,CM,Midfielder,GEO,20,1.6,29,1,1.6
Daichi Kamada,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,JPN,29,89.2,1333,19,4.69
Daiki Hashioka,Slavia Prague,UEFA Champions League,RB,Defender,JPN,26,11.8,113,3,3.93
Daizen Maeda,Celtic,UEFA Europa League,AM,Forward,JPN,28,11.6,301,5,2.32
Daley Blind,Girona,Spanish La Liga,CB,Defender,NED,35,84.0,1312,16,5.25
Damian Szymański,Legia Warsaw,UEFA Europa Conference League,CM,Midfielder,POL,30,11.5,180,2,5.75
Damir Kasabulat,Qaırat Almaty,UEFA Champions League,DM,Midfielder,KAZ,23,18.0,327,6,3.0
Damir Muminovic,Breiðablik,UEFA Europa Conference League,CB,Defender,ISL,35,21.3,450,5,4.26
Damián Pizarro,Le Havre,French Ligue 1,AM,Forward,CHI,20,1.2,28,2,0.6
Damián Rodríguez,Celta Vigo,"Spanish La Liga, UEFA Europa League",CM,Midfielder,ESP,22,15.1,300,5,3.02
Damjan Vuklišević,NK Celje,UEFA Europa Conference League,CB,Defender,SVN,30,14.0,163,3,4.67
Dan Burn,Newcastle Utd,"English Premier League, UEFA Champions League",CB,Defender,ENG,33,102.6,1769,21,4.89
Dan Glazer,Qaırat Almaty,UEFA Champions League,DM,Midfielder,ISR,29,11.8,213,3,3.93
Dan Ndoye,Nott'ham Forest,"English Premier League, UEFA Europa League",RW,Forward,SUI,25,84.6,1345,21,4.03
Dan Neil,Sunderland,English Premier League,CM,Midfielder,ENG,23,1.1,2,2,0.55
Dan-Axel Zagadou,Stuttgart,"German Bundesliga, UEFA Europa League",CB,Defender,FRA,26,20.0,175,3,6.67
Dane Murray,Celtic,UEFA Europa League,CB,Defender,SCO,22,5.4,31,2,2.7
Dane Scarlett,Tottenham,"English Premier League, UEFA Champions League",LM,Forward,ENG,21,2.0,14,2,1.0
Danel Sinani,St. Pauli,German Bundesliga,AM,Forward,LUX,28,72.4,875,14,5.17
Dango Ouattara,Brentford,English Premier League,RW,Forward,BFA,23,63.1,1063,15,4.21
Dani Bolt,Qarabağ,UEFA Champions League,RB,Defender,BRA,26,12.4,47,4,3.1
Dani Calvo,Oviedo,Spanish La Liga,CB,Defender,ESP,31,38.7,705,9,4.3
Dani Carvajal,Real Madrid,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,33,38.4,444,8,4.8
Dani Ceballos,Real Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,ESP,29,64.5,568,14,4.61
Dani García,Olympiacos,UEFA Champions League,DM,Midfielder,ESP,35,19.0,323,6,3.17
Dani Olmo,Barcelona,"Spanish La Liga, UEFA Champions League",AM,Forward,ESP,27,110.4,985,18,6.13
Dani Raba,Valencia,Spanish La Liga,AM,Forward,ESP,30,35.0,252,11,3.18
Dani Rodríguez,Mallorca,Spanish La Liga,CM,Midfielder,ESP,37,6.3,68,2,3.15
Dani de Wit,Utrecht,UEFA Europa League,RM,Midfielder,NED,27,9.8,266,4,2.45
Daniel Adu-Adjei,Rijeka,UEFA Europa Conference League,AM,Forward,ENG,20,11.1,304,5,2.22
Daniel Ballard,Sunderland,English Premier League,CB,Defender,NIR,26,65.1,1146,16,4.07
Daniel Bassi,Bodø/Glimt,UEFA Champions League,LM,Forward,NOR,0,10.2,67,2,5.1
Daniel Birligea,FCSB,UEFA Europa League,AM,Forward,ROU,25,22.0,315,5,4.4
Daniel Boloca,Sassuolo,Italian Serie A,LM,Midfielder,ROU,26,8.9,135,2,4.45
Daniel Cleary,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CB,Defender,IRL,29,22.2,509,6,3.7
Daniel Denoon,Pisa,Italian Serie A,CB,Defender,SUI,21,4.4,122,2,2.2
Daniel Elfadli,Hamburger SV,German Bundesliga,CB,Defender,LBY,28,42.3,830,11,3.85
Daniel Gleiber,Mainz 05,UEFA Europa Conference League,CM,Midfielder,GER,20,4.9,25,1,4.9
Daniel Graovac,FCSB,UEFA Europa League,CB,Defender,BIH,32,20.2,315,4,5.05
Daniel Guerrero,Betis,Spanish La Liga,AM,Forward,ESP,20,2.3,1,1,2.3
Daniel James,Leeds United,English Premier League,RW,Forward,WAL,28,38.6,354,10,3.86
Daniel Kelly,Shelbourne FC,UEFA Europa Conference League,LB,Defender,IRL,29,22.5,236,7,3.21
Daniel Maldini,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,ITA,24,43.2,310,10,4.32
Daniel Mandroiu,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,AM,Forward,IRL,27,8.1,111,3,2.7
Daniel Mosquera,Hellas Verona,Italian Serie A,AM,Forward,COL,26,39.1,449,12,3.26
Daniel Muñoz,Crystal Palace,"English Premier League, UEFA Europa Conference League",WB,Midfielder,COL,29,80.8,1611,18,4.49
Daniel Oyegoke,Hellas Verona,Italian Serie A,WB,Midfielder,ENG,23,12.8,141,5,2.56
Daniel Parejo,Villarreal,"Spanish La Liga, UEFA Champions League",CM,Midfielder,ESP,36,68.5,744,19,3.61
Daniel Podence,Olympiacos,UEFA Champions League,LW,Forward,POR,30,37.9,472,6,6.32
Daniel Svensson,Dortmund,"German Bundesliga, UEFA Champions League",WB,Midfielder,SWE,23,74.7,1642,21,3.56
Daniel Vašulín,Sigma Olomouc,UEFA Europa Conference League,AM,Forward,CZE,27,26.9,418,5,5.38
Daniel Vivian,Athletic Club,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,26,91.1,1873,22,4.14
Daniele Ghilardi,Roma,"Italian Serie A, UEFA Europa League",CB,Defender,ITA,22,19.6,132,5,3.92
Daniele Rugani,Juventus,"Italian Serie A, UEFA Champions League",CB,Defender,ITA,31,20.9,352,8,2.61
Danijel Šturm,NK Celje,UEFA Europa Conference League,LW,Forward,SVN,26,22.5,530,6,3.75
Danilho Doekhi,Union Berlin,German Bundesliga,CB,Defender,NED,27,57.7,1350,15,3.85
Danilo,Rangers,UEFA Europa League,AM,Forward,BRA,26,19.2,188,5,3.84
Danilo Al Saed,Häcken,UEFA Europa Conference League,LM,Midfielder,IRQ,26,2.8,45,1,2.8
Danilo Cataldi,Lazio,Italian Serie A,CM,Midfielder,ITA,31,65.8,1221,16,4.11
Danilo Veiga,Lecce,Italian Serie A,RB,Defender,POR,23,85.6,1271,16,5.35
Danny Grant,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,WB,Midfielder,IRL,25,18.1,382,5,3.62
Danny Loader,Auxerre,French Ligue 1,LM,Forward,CMR,25,65.7,1183,14,4.69
Danny Welbeck,Brighton,English Premier League,AM,Forward,ENG,35,67.6,1106,19,3.56
Danny da Costa,Mainz 05,"German Bundesliga, UEFA Europa Conference League",CB,Defender,GER,32,73.2,1589,19,3.85
Dante,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,BRA,42,19.4,307,4,4.85
Dante Polvara,Aberdeen,UEFA Europa Conference League,CM,Midfielder,USA,25,20.3,274,5,4.06
Danylo Ihnatenko,Slovan Bratislava,UEFA Europa Conference League,CM,Midfielder,UKR,28,23.6,387,5,4.72
Daníel Gudjohnsen,Malmö,UEFA Europa League,AM,Forward,ISL,19,8.4,224,4,2.1
Daouda Guindo,Brest,French Ligue 1,LB,Defender,MLI,23,35.4,614,11,3.22
Daren Mosengo,Le Havre,French Ligue 1,DM,Midfielder,FRA,19,6.3,46,2,3.15
Darian Males,Young Boys,UEFA Europa League,RM,Midfielder,SUI,24,20.4,325,5,4.08
Darius Olaru,FCSB,UEFA Europa League,AM,Forward,ROU,27,26.0,353,5,5.2
Darko Hrka,NK Celje,UEFA Europa Conference League,CM,Midfielder,SVN,26,17.9,268,5,3.58
Darlin Yongwa,Lorient,French Ligue 1,CB,Defender,CMR,25,51.9,794,14,3.71
Darragh Nugent,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,IRL,24,5.9,217,3,1.97
Darryl Bakola,Marseille,"French Ligue 1, UEFA Champions League",AM,Forward,FRA,18,23.2,119,8,2.9
Darío Osorio,Midtjylland,UEFA Europa League,RW,Forward,CHI,21,31.1,290,5,6.22
Dastan Satpayev,Qaırat Almaty,UEFA Champions League,AM,Forward,KAZ,17,23.0,439,5,4.6
Dave Kwakman,AZ Alkmaar,UEFA Europa Conference League,LM,Midfielder,NED,21,11.0,136,3,3.67
Dave Van Den Berg,Utrecht,UEFA Europa League,CM,Forward,NED,25,4.0,53,2,2.0
David Affengruber,Elche,Spanish La Liga,CB,Defender,AUT,24,85.2,1439,17,5.01
David Alaba,Real Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,AUT,33,13.2,147,4,3.3
David Brooks,Bournemouth,English Premier League,RW,Forward,WAL,28,96.0,909,18,5.33
David Carmo,Oviedo,Spanish La Liga,CB,Defender,ANG,26,67.6,1002,13,5.2
David Castro,NK Celje,UEFA Europa Conference League,DM,Midfielder,ESP,30,1.5,3,1,1.5
David Costas,Oviedo,Spanish La Liga,CB,Defender,ESP,30,53.5,1070,13,4.12
David Daiber,Bayern Munich,German Bundesliga,DM,Midfielder,POR,18,3.2,19,1,3.2
David Doudera,Slavia Prague,UEFA Champions League,RW,Forward,CZE,27,21.6,303,5,4.32
David Gerasimou,AÉK Lárnaka,UEFA Europa Conference League,AM,Forward,CYP,15,2.2,7,1,2.2
David Goldar,Pafos FC,UEFA Champions League,CB,Defender,ESP,31,20.0,417,6,3.33
David Jiménez,Real Madrid,Spanish La Liga,RB,Defender,ESP,21,0.1,1,1,0.1
David Kiki,FCSB,UEFA Europa League,LB,Defender,BEN,31,3.3,45,1,3.3
David Luiz,Pafos FC,UEFA Champions League,CB,Defender,BRA,38,27.1,450,6,4.52
David López,Mallorca,Spanish La Liga,CB,Defender,ESP,22,3.5,61,1,3.5
David López,Girona,Spanish La Liga,CB,Defender,ESP,35,15.4,202,3,5.13
David Miculescu,FCSB,UEFA Europa League,RW,Forward,ROU,24,21.2,392,5,4.24
David Min,Utrecht,UEFA Europa League,AM,Forward,NED,26,14.8,205,5,2.96
David Moses,Slavia Prague,UEFA Champions League,CM,Midfielder,NGA,21,18.1,320,4,4.53
David Møller Wolfe,Wolves,English Premier League,LM,Midfielder,NOR,23,41.6,708,14,2.97
David Neres,Napoli,"Italian Serie A, UEFA Champions League",RW,Forward,BRA,28,107.2,1153,21,5.1
David Odogu,Milan,Italian Serie A,CB,Defender,GER,19,2.6,5,1,2.6
David Okereke,Cremonese,Italian Serie A,AM,Forward,NGA,28,2.4,81,2,1.2
David Raum,RB Leipzig,German Bundesliga,LB,Defender,GER,27,89.7,1326,15,5.98
David Sualehe,FC Noah,UEFA Europa Conference League,LB,Defender,POR,28,29.0,540,6,4.83
David Tkac,Sigma Olomouc,UEFA Europa Conference League,AM,Forward,CZE,23,2.5,45,1,2.5
David Zima,Slavia Prague,UEFA Champions League,CB,Defender,CZE,25,22.6,509,6,3.77
Davide Bartesaghi,Milan,Italian Serie A,CB,Defender,ITA,20,54.1,1001,13,4.16
Davide Calabria,Panathinaikos,UEFA Europa League,RB,Defender,ITA,29,23.1,285,5,4.62
Davide Frattesi,Inter,"Italian Serie A, UEFA Champions League",CM,Midfielder,ITA,26,34.4,405,13,2.65
Davide Zappacosta,Atalanta,"Italian Serie A, UEFA Champions League",WB,Midfielder,ITA,33,90.0,1467,20,4.5
Davinchi,Getafe,Spanish La Liga,LB,Defender,ESP,17,33.9,429,7,4.84
Davinson Sánchez,Galatasaray,UEFA Champions League,CB,Defender,COL,29,30.2,540,6,5.03
Davy Klaassen,Ajax,UEFA Champions League,CM,Midfielder,NED,32,20.6,404,6,3.43
Davíð Ingvarsson,Breiðablik,UEFA Europa Conference League,LB,Defender,ISL,26,17.1,403,5,3.42
Dawda Camara,Girona,Spanish La Liga,AM,Forward,MTN,22,6.6,72,2,3.3
Dawid Drachal,Jagiellonia,UEFA Europa Conference League,AM,Forward,POL,20,13.9,145,5,2.78
Dayann Methalie,Toulouse,French Ligue 1,WB,Midfielder,FRA,19,68.1,1159,16,4.26
Dayot Upamecano,Bayern Munich,"German Bundesliga, UEFA Champions League",CB,Defender,FRA,27,88.4,1402,18,4.91
Dean Benamar,Crystal Palace,UEFA Europa Conference League,LM,Midfielder,ENG,17,5.6,62,1,5.6
Dean Huijsen,Real Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,20,79.7,1235,16,4.98
Dean James,Go Ahead Eag,UEFA Europa League,LB,Defender,IDN,25,22.0,540,6,3.67
Declan Rice,Arsenal,"English Premier League, UEFA Champions League",LM,Midfielder,ENG,26,134.3,1989,24,5.6
Dehmaine Assoumani,Nantes,French Ligue 1,CM,Midfielder,FRA,20,57.5,700,15,3.83
Deiver Machado,"Lens, Nantes",French Ligue 1,WB,Midfielder,COL,32,28.8,444,7,4.11
Dejan Ljubicic,Dinamo Zagreb,UEFA Europa League,AM,Forward,AUT,28,24.7,439,6,4.12
Dejan Petrovič,Rijeka,UEFA Europa Conference League,DM,Midfielder,SVN,27,5.7,262,3,1.9
Dele,Ferencváros,UEFA Europa League,AM,Forward,NGA,24,25.9,292,5,5.18
Denil Castillo,Midtjylland,UEFA Europa League,CM,Midfielder,ECU,21,22.0,299,6,3.67
Denis Alibec,FCSB,UEFA Europa League,AM,Forward,ROU,34,9.5,90,2,4.75
Denis Huseinbasic,Köln,German Bundesliga,CM,Midfielder,BIH,24,44.6,607,12,3.72
Denis Suárez,Alavés,Spanish La Liga,CM,Midfielder,ESP,31,75.1,864,16,4.69
Denis Vavro,Wolfsburg,German Bundesliga,CB,Defender,SVK,29,6.8,104,4,1.7
Denis Višinský,Viktoria Plzeň,UEFA Europa League,AM,Forward,CZE,22,15.4,179,6,2.57
Denis Zakaria,Monaco,"French Ligue 1, UEFA Champions League",DM,Midfielder,SUI,29,36.3,707,9,4.03
Deniz Gül,Porto,UEFA Europa League,AM,Forward,TUR,21,22.7,265,5,4.54
Deniz Undav,Stuttgart,"German Bundesliga, UEFA Europa League",AM,Forward,GER,29,77.0,1047,15,5.13
Dennis Cirkin,Sunderland,English Premier League,LB,Defender,ENG,23,13.8,238,3,4.6
Dennis Johnsen,Cremonese,Italian Serie A,CM,Midfielder,NOR,27,24.3,241,7,3.47
Dennis Man,PSV Eindhoven,UEFA Champions League,RW,Forward,ROU,27,27.5,350,6,4.58
Dennis Politic,FCSB,UEFA Europa League,AM,Forward,ROU,25,7.8,50,4,1.95
Denso Kasius,AZ Alkmaar,UEFA Europa Conference League,RB,Defender,NED,23,7.9,161,2,3.95
Denys Popov,Dynamo Kyiv,UEFA Europa Conference League,CB,Defender,UKR,26,14.2,225,3,4.73
Denzel De Roeve,Brann,UEFA Europa League,RB,Defender,BEL,21,34.9,372,6,5.82
Denzel Dumfries,Inter,"Italian Serie A, UEFA Champions League",WB,Midfielder,NED,29,58.1,1050,15,3.87
Dereck Kutesa,AEK Athens,UEFA Europa Conference League,LW,Forward,SUI,28,18.7,176,4,4.68
Derek Cornelius,"Marseille, Rangers","French Ligue 1, UEFA Europa League",CB,Defender,CAN,27,14.5,230,5,2.9
Dermane Karim,Lorient,French Ligue 1,AM,Forward,TOG,22,61.0,762,14,4.36
Deroy Duarte,Ludogorets,UEFA Europa League,CM,Midfielder,CPV,26,24.2,418,5,4.84
Derrick Köhn,Union Berlin,German Bundesliga,WB,Midfielder,GER,26,48.4,861,15,3.23
Derrick Luckassen,Pafos FC,UEFA Champions League,CB,Defender,NED,30,27.6,540,6,4.6
Derry Murkin,Utrecht,UEFA Europa League,LB,Defender,ENG,26,12.4,194,5,2.48
Derry Scherhant,Freiburg,"German Bundesliga, UEFA Europa League",LW,Forward,GER,23,77.6,609,18,4.31
Destiny Udogie,Tottenham,"English Premier League, UEFA Champions League",LB,Defender,ITA,23,66.8,720,14,4.77
Devyne Rensch,Roma,"Italian Serie A, UEFA Europa League",WB,Midfielder,NED,22,51.1,649,15,3.41
Diego Carlos,Como,Italian Serie A,CB,Defender,BRA,32,52.8,1016,12,4.4
Diego Coppola,Brighton,English Premier League,CB,Defender,ITA,21,17.4,194,5,3.48
Diego Gómez,Brighton,English Premier League,DM,Forward,PAR,22,79.1,1196,18,4.39
Diego Llorente,Betis,"Spanish La Liga, UEFA Europa League",CB,Defender,ESP,32,23.2,352,6,3.87
Diego López,Valencia,Spanish La Liga,AM,Forward,ESP,23,67.7,1141,18,3.76
Diego Morcillo,Alavés,Spanish La Liga,AM,Forward,ESP,22,4.4,10,1,4.4
Diego Moreira,Strasbourg,"French Ligue 1, UEFA Europa Conference League",WB,Midfielder,BEL,21,120.6,1441,22,5.48
Diego Pampín,Levante,Spanish La Liga,LB,Defender,ESP,25,19.9,188,4,4.97
Diego Rico,Getafe,Spanish La Liga,LB,Defender,ESP,32,77.0,1351,17,4.53
Diego Rodrigues,Braga,UEFA Europa League,AM,Forward,POR,20,15.0,60,4,3.75
Dilane Bakwa,"Nott'ham Forest, Strasbourg","English Premier League, French Ligue 1, UEFA Europa League",AM,Defender,FRA,23,52.1,412,11,4.74
Dimitri Foulquier,Valencia,Spanish La Liga,RB,Defender,FRA,32,46.7,806,11,4.25
Dimitri Lavalée,Sturm Graz,UEFA Europa League,CB,Defender,BEL,28,16.8,304,4,4.2
Dimitris Giannoulis,Augsburg,German Bundesliga,WB,Midfielder,GRE,30,66.5,895,13,5.12
Dimitris Pelkas,PAOK,UEFA Europa League,AM,Forward,GRE,32,6.1,22,2,3.05
Dimitris Rallis,Jagiellonia,UEFA Europa Conference League,AM,Forward,GRE,20,10.0,91,5,2.0
Dinis Almeida,Ludogorets,UEFA Europa League,CB,Defender,POR,30,31.3,537,6,5.22
Diogo Dalot,Manchester Utd,English Premier League,WB,Midfielder,POR,26,82.4,1317,18,4.58
Diogo Leite,Union Berlin,German Bundesliga,CB,Defender,POR,26,42.7,958,11,3.88
Diogo Nascimento,Olympiacos,UEFA Champions League,AM,Forward,POR,23,4.9,88,2,2.45
Dion Drena Beljo,Dinamo Zagreb,UEFA Europa League,AM,Forward,CRO,23,19.4,291,5,3.88
Divine Mukasa,Manchester City,English Premier League,RM,Midfielder,ENG,18,5.6,16,1,5.6
Djaoui Cissé,Rennes,French Ligue 1,CM,Midfielder,FRA,21,65.1,711,14,4.65
Djed Spence,Tottenham,"English Premier League, UEFA Champions League",LB,Defender,ENG,25,110.3,1609,23,4.8
Djeidi Gassama,Rangers,UEFA Europa League,LW,Forward,FRA,22,27.6,478,6,4.6
