Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Andrei Ratiu,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",RB,Defender,ROU,27,116.0,1815,22,5.27
Andrej Bačanin,Basel,UEFA Europa League,AM,Midfielder,SRB,18,15.9,177,4,3.97
Andrej Ilic,Union Berlin,German Bundesliga,AM,Forward,SRB,25,48.5,915,14,3.46
Andrej Kotnik,NK Celje,UEFA Europa Conference League,AM,Forward,SVN,30,9.8,84,5,1.96
Andrej Kramarić,Hoffenheim,German Bundesliga,AM,Forward,CRO,34,81.7,810,15,5.45
Andrej Đurić,Malmö,UEFA Europa League,CB,Defender,MNE,22,16.2,256,4,4.05
Andres Dumitrescu,Sigma Olomouc,UEFA Europa Conference League,LB,Defender,ROU,24,1.3,9,1,1.3
Andrew Omobamidele,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CB,Defender,IRL,23,68.0,890,18,3.78
Andrew Robertson,Liverpool,"English Premier League, UEFA Champions League",LB,Defender,SCO,31,71.9,840,16,4.49
Andrey Santos,Chelsea,"English Premier League, UEFA Champions League",DM,Midfielder,BRA,21,63.5,652,18,3.53
Andri Rafn Yeoman,Breiðablik,UEFA Europa Conference League,RB,Defender,ISL,33,13.3,166,3,4.43
Andrija Bulatović,Lens,French Ligue 1,CM,Midfielder,MNE,19,19.4,245,7,2.77
Andrija Maksimović,RB Leipzig,German Bundesliga,RW,Forward,SRB,18,10.2,78,6,1.7
Andrija Radulović,Rapid Wien,UEFA Europa Conference League,LW,Forward,MNE,23,3.7,135,2,1.85
Andrija Živković,PAOK,UEFA Europa League,RW,Forward,SRB,29,35.4,344,6,5.9
Andriy Yarmolenko,Dynamo Kyiv,UEFA Europa Conference League,AM,Forward,UKR,36,11.2,126,4,2.8
András Schäfer,Union Berlin,German Bundesliga,CM,Midfielder,HUN,26,30.3,493,11,2.75
André,Wolves,English Premier League,CM,Midfielder,BRA,24,82.9,1380,19,4.36
André Gomes,Lille,French Ligue 1,AM,Forward,POR,32,4.2,8,2,2.1
André Silva,Elche,Spanish La Liga,AM,Forward,POR,30,62.6,771,14,4.47
Andréa Le Borgne,Como,Italian Serie A,AM,Forward,FRA,19,0.3,1,1,0.3
Andrés García,Aston Villa,English Premier League,RB,Defender,ESP,22,4.9,31,2,2.45
Andy Diouf,"Inter, Lens","French Ligue 1, Italian Serie A",AM,Midfielder,FRA,22,22.5,168,8,2.81
Andy Irving,West Ham,English Premier League,DM,Midfielder,SCO,25,21.9,157,6,3.65
Anel Ahmedhodžić,Feyenoord,UEFA Europa League,CB,Defender,BIH,26,27.8,540,6,4.63
Anel Husic,Rijeka,UEFA Europa Conference League,CB,Defender,SUI,24,19.4,360,4,4.85
Anes Meliqi,Shkëndija 79,UEFA Europa Conference League,RM,Midfielder,MKD,19,0.2,1,1,0.2
Anestis Mythou,PAOK,UEFA Europa League,AM,Forward,GRE,18,6.7,23,1,6.7
Ange Ahoussou,Rapid Wien,UEFA Europa Conference League,CB,Defender,CIV,21,24.8,540,6,4.13
