Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Yehvann Diouf,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SEN,26,110.96,1890,21,5.28
Yvon Mvogo,Lorient,French Ligue 1,GK,Goalkeeper,SUI,31,65.47,1260,14,4.68
Zion Suzuki,Parma,Italian Serie A,GK,Goalkeeper,JPN,23,68.08,990,11,6.19
Zlatan Alomerović,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,GER,34,35.72,540,6,5.95
Álex Remiro,Real Sociedad,Spanish La Liga,GK,Goalkeeper,ESP,30,97.08,1710,19,5.11
Álvaro Vallés,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,28,92.07,1530,17,5.42
Ørjan Nyland,Sevilla,Spanish La Liga,GK,Goalkeeper,NOR,35,18.25,360,4,4.56
Đorđe Petrović,Bournemouth,English Premier League,GK,Goalkeeper,SRB,26,110.24,1890,21,5.25
Łukasz Skorupski,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,POL,34,74.65,1177,14,5.33
Žan Leban,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,SVN,23,39.96,540,6,6.66
