Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Aaron Anselmino,ar ARG,DF,Boca Juniors,18,2005,12,10,874,40,60,39,77
Aaron Boupendza,ga GAB,MO,FC Cincinnati,27,1996,14,5,553,48,30,36,38
Aaron Connolly,ie IRL,FW,Hull City,23,2000,28,13,1215,62,34,41,38
Aaron Drewe,eng ENG,DF,QPR,22,2001,2,0,88,28,18,47,53
Aaron Herrera,gt GUA,DF,D.C. United,26,1997,30,29,2594,72,87,90,62
Aaron Long,us USA,DF,LAFC,31,1992,29,28,2374,50,29,29,49
Aaron Meijers,nl NED,DF,RKC Waalwijk,35,1987,28,27,2306,48,83,74,54
Aaron Mejía Montoya,mx MEX,DF,Tijuana,22,2001,11,7,708,36,54,63,62
Aaron Nicolás Molinas,ar ARG,MO,Defensa y Just,23,2000,24,18,1569,69,84,54,50
Aaron Quirós,ar ARG,DF,Banfield,22,2001,15,7,741,26,24,32,38
Aaron Ramsey,wls WAL,MO,Cardiff City,32,1990,13,7,716,72,69,45,53
Abass Issah,gh GHA,MO,Chaves,24,1998,7,3,308,35,64,56,14
Abdelkahar Kadri,dz ALG,MO,Kortrijk,23,2000,27,26,2283,50,74,66,66
Abdenego Nankishi,de GER,FW,Heracles Almelo,21,2002,10,2,347,73,52,58,72
Abdiel Ayarza,pa PAN,MF,bo The Strongest,31,1992,2,2,154,33,32,47,64
Abdoul Guiebre,bf BFA,DF,Bari,26,1997,14,6,481,56,65,88,54
Abdoul Kader Yaméogo,ci CIV,DF,Club Brugge,18,2004,1,0,6,28,15,8,3
Abdoul Rachid Ayinde,bf BFA,MF,Gent,18,2005,1,0,7,41,52,73,11
Abdoulaye Sissako,fr FRA,MF,Kortrijk,25,1998,25,22,1893,27,44,56,65
Abdoullah Ba,fr FRA,MO,Sunderland,20,2003,39,21,1927,55,47,74,44
Abdul Awudu,gh GHA,MO,Vizela,22,2001,6,2,185,22,30,57,64
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,19,2004,40,33,2814,73,90,90,83
Abdul-Aziz Yakubu,gh GHA,FW,Rio Ave,24,1998,16,13,1119,63,51,30,34
Abdülkadir Ömür,tr TUR,MO,Hull City,24,1999,16,11,991,28,64,33,77
Abel Ruiz,es ESP,MO,Braga,23,2000,30,19,1895,53,34,28,27
Abiel Osorio,ar ARG,FW,Defensa y Just,21,2002,20,9,961,67,57,65,56
Abner,br BRA,DF,Juventude,19,2004,28,21,1958,35,44,72,31
Aboubakary Koita,mr MTN,MO,Sint-Truiden,24,1998,28,25,2274,84,64,80,63
Abraham Bass,mx MEX,MO,Atlas,21,2001,11,4,396,15,48,15,84
Abraham Flores,mx MEX,DF,Tijuana,21,2002,1,0,23,28,11,37,13
Abraham Romero,mx MEX,GK,Columbus Crew,25,1998,2,2,134,39,39,43,32
Abraham Villegas,0,DF,Toluca,20,2002,6,4,329,82,49,65,60
Achraf Dari,ma MAR,DF,Charleroi,24,1999,5,4,317,67,21,20,67
Achraf Douiri,nl NED,MF,Volendam,23,1999,11,2,344,44,62,89,68
