Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
fi FIN,DF,fi HJK,25,1998,3,3,265,28,29,16,51
eng ENG,MF,West Ham,33,1989,17,9,852,52,49,37,44
sct SCO,DF,Brentford,21,2002,9,9,713,40,33,50,38
fr FRA,FW,fr Lille,17,2005,2,0,27,45,50,76,13
eng ENG,GK,eng Arsenal,25,1998,7,7,630,41,56,55,38
eng ENG,MO,Burnley,20,2003,14,5,527,16,27,19,76
de GER,FW,Darmstadt 98,27,1996,16,5,619,40,46,32,57
eng ENG,DF,eng Manchester Utd,25,1997,25,22,1992,48,71,66,67
es ESP,GK,Las Palmas,27,1995,2,1,153,41,46,46,39
es ESP,DF,Genoa,26,1997,22,17,1376,48,64,66,19
ci CIV,DF,Strasbourg,20,2002,22,19,1792,61,42,46,65
kz KAZ,FW,kz Astana FK,27,1995,6,0,99,22,31,34,28
sn SEN,FW,sct Rangers,22,2001,6,6,520,71,51,71,87
ma MAR,FW,es Betis,21,2001,36,13,1465,52,47,84,75
ma MAR,DF,Alavés,24,1999,27,27,2312,31,26,26,44
ma MAR,MF,Clermont Foot,18,2004,1,0,4,21,13,16,31
ma MAR,FW,Atlético Madrid,19,2004,1,0,10,32,14,27,13
fr FRA,MO,az Qarabağ,31,1991,10,10,913,68,65,71,49
dz ALG,MO,Alavés,24,1998,23,6,722,54,47,66,51
nl NED,MO,Frosinone,25,1998,18,13,1019,58,65,56,65
fr FRA,MO,Nantes,29,1994,23,1,611,75,71,81,60
fr FRA,DF,Reims,18,2005,3,3,193,47,39,57,58
ml MLI,MO,Everton,30,1993,32,32,2629,48,43,38,58
sn SEN,DF,il Maccabi Haifa,31,1992,9,9,791,61,29,22,54
gn GUI,MF,Le Havre,29,1994,30,27,2284,49,44,54,57
uz UZB,DF,fr Lens,19,2004,15,10,961,31,40,37,60
gh GHA,DF,Rayo Vallecano,25,1998,20,19,1694,46,30,28,48
ng NGA,DF,se Häcken,21,2002,5,1,221,66,80,89,49
es ESP,MO,Mallorca,30,1992,34,11,1270,52,33,19,44
tr TUR,DF,tr Galatasaray,28,1994,8,7,666,62,49,59,66
es ESP,MO,pt Braga,23,2000,8,3,423,34,30,29,16
gm GAM,MO,Metz,24,1998,17,10,918,52,57,53,44
br BRA,DF,Betis,23,2000,28,19,1798,47,62,64,52
sn SEN,MF,Metz,23,2000,6,2,197,27,35,34,49
km COM,MO,Strasbourg,17,2006,9,1,130,34,47,46,33
kz KAZ,MF,kz Astana FK,30,1992,5,4,324,52,32,10,42
ma MAR,MF,Brest,24,1999,4,1,121,30,32,20,57
ma MAR,DF,fr Paris S-G,24,1998,36,31,2913,88,94,89,38
si SVN,MF,gr Panathinaikos,24,1999,6,5,358,46,74,47,49
cz CZE,MO,Leverkusen,21,2002,32,10,904,69,68,52,44
cz CZE,MO,cz Sparta Prague,20,2003,6,2,207,50,51,41,37
eng ENG,MO,Brighton,35,1988,27,14,919,36,73,37,28
me MNE,DF,it Lazio,30,1992,44,43,3614,55,50,57,41
ma MAR,DF,Udinese,29,1994,20,11,1088,38,47,44,47
sk SVK,DF,Cagliari,20,2002,17,10,941,50,58,52,49
dz ALG,FW,fr Lille,26,1996,20,5,571,66,74,87,68
eng ENG,DF,Bournemouth,32,1991,28,25,2150,46,66,46,39
dk DEN,MO,no Bodø/Glimt,22,2000,3,1,76,25,47,46,40
cz CZE,MO,cz Viktoria Plzeň,28,1994,4,2,149,84,36,65,31
eng ENG,DF,Brighton,28,1995,16,13,1150,40,59,46,54
eng ENG,MF,Crystal Palace,19,2004,16,15,1297,38,73,33,71
gm GAM,FW,Reims,19,2004,9,0,83,51,36,69,68
ml MLI,MO,hu Ferencváros,28,1995,19,3,503,79,66,85,61
fr FRA,FW,fr Lille,18,2005,1,0,8,17,21,16,22
bf BFA,DF,dk Nordsjælland,20,2002,6,5,445,39,74,44,30
km COM,FW,Nantes,20,2003,1,0,10,17,35,62,13
ng NGA,MO,Atalanta,25,1997,42,31,2611,87,76,81,51
ba BIH,FW,si Olimpija,20,2003,5,3,312,32,42,51,46
be BEL,MO,Sevilla,28,1995,8,0,193,30,44,51,66
ba BIH,DF,pl Raków,29,1993,5,4,417,26,18,18,79
es ESP,DF,Granada,22,2001,1,0,26,21,32,47,53
es ESP,MO,Almería,31,1992,36,29,2476,49,50,55,70
de GER,MO,Heidenheim,26,1997,23,11,974,35,42,38,70
at AUT,FW,Lorient,26,1996,1,0,31,30,14,32,27
si SVN,MF,sk Spartak Trnava,20,2002,6,6,521,32,27,36,56
fr FRA,MO,Brest,24,1999,7,0,54,42,68,50,25
fr FRA,MF,Juventus,28,1995,31,30,2651,73,64,68,62
cm CMR,MF,Torino,29,1994,29,25,2146,29,53,46,45
fr FRA,MF,fr Lens,29,1993,34,15,1417,84,75,77,36
fr FRA,DF,Rennes,21,2001,38,30,2707,80,72,83,36
es ESP,MF,Villarreal,22,2001,15,13,1058,29,42,56,45
es ESP,MF,es Sevilla,25,1998,35,19,2080,57,56,64,59
es ESP,DF,pt Braga,26,1997,2,0,23,21,31,35,20
br BRA,MF,Lyon,25,1998,2,0,6,21,19,16,30
br BRA,MO,Nantes,22,2000,8,2,238,35,59,85,74
es ESP,FW,Athletic Club,21,2001,12,2,265,20,35,86,61
ar ARG,MF,si Olimpija,28,1995,5,5,434,26,39,36,71
ar ARG,MF,Salernitana,23,2000,18,6,731,64,42,61,33
dz ALG,DF,Lecce,25,1998,6,3,277,24,19,21,73
at AUT,DF,si Olimpija,24,1998,6,6,540,31,60,45,45
tr TUR,DF,nl Ajax,20,2003,2,2,128,21,29,20,41
sy SYR,DF,Cádiz,23,2000,11,10,865,42,41,54,55
es ESP,DF,es Real Sociedad,25,1997,27,16,1601,48,72,66,63
es ESP,MF,Osasuna,21,2001,33,26,2339,64,55,68,35
es ESP,FW,Athletic Club,17,2005,1,0,9,35,14,34,13
eng ENG,MF,Lyon,25,1997,23,16,1432,65,69,70,56
es ESP,FW,gr Panathinaikos,27,1996,5,2,230,55,71,74,42
es ESP,GK,Osasuna,32,1991,7,6,551,62,55,52,41
es ESP,DF,Athletic Club,23,2000,34,31,2704,46,37,32,36
es ESP,MF,es Betis,27,1996,25,17,1540,73,64,71,65
dz ALG,DF,fr Lille,28,1995,1,1,90,53,63,95,77
ng NGA,FW,Montpellier,23,2000,32,27,2252,51,38,40,43
ma MAR,GK,Strasbourg,21,2002,15,15,1350,57,60,58,58
uy URU,DF,Genoa,18,2004,6,1,106,49,24,39,69
ar ARG,MF,pt Porto,22,2001,8,8,705,32,45,31,34
fr FRA,MO,fr Lille,20,2003,19,14,1090,35,50,49,37
fr FRA,MO,Gladbach,30,1993,27,24,1913,72,72,60,31
