Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
fr FRA,GK,Brest,24,1999,3,2,181,51,63
it ITA,GK,Tottenham,26,1996,38,38,3420,49,31
fr FRA,GK,Metz,22,2001,1,0,73,36,63
fr FRA,GK,Toulouse,18,2005,42,42,3780,43,24
mx MEX,GK,Salernitana,38,1985,21,21,1890,43,41
at AUT,GK,be Union SG,33,1990,2,2,180,48,19
be BEL,GK,be Genk,30,1993,2,2,180,80,33
ro ROU,GK,Bournemouth,26,1997,2,2,180,26,33
il ISR,GK,il Maccabi Haifa,36,1987,1,1,90,47,56
hr CRO,GK,hr Dinamo Zagreb,25,1998,7,7,630,40,63
it ITA,GK,it Lazio,29,1994,38,38,3419,53,35
hr CRO,GK,Sheffield Utd,27,1996,9,9,771,47,60
es ESP,GK,Mallorca,39,1984,1,1,90,63,32
es ESP,GK,Celta Vigo,26,1997,12,12,1014,42,37
es ESP,GK,Barcelona,24,1999,12,12,1080,30,35
eng ENG,GK,sct Rangers,30,1993,8,8,720,59,46
no NOR,GK,no Molde,26,1997,2,2,130,51,72
eng ENG,GK,Luton Town,32,1991,1,0,15,67,94
eng ENG,GK,Burnley,20,2002,28,28,2520,51,67
si SVN,GK,Atlético Madrid,30,1993,48,48,4350,54,32
de GER,GK,de RB Leipzig,32,1991,26,26,2340,39,49
eng ENG,GK,Brighton,32,1990,22,22,1980,34,33
es ESP,GK,Valencia,32,1990,2,1,79,48,49
nl NED,GK,nl Ajax,23,2000,2,2,180,55,66
fr FRA,GK,be Antwerp,28,1995,5,5,450,37,72
fr FRA,GK,Lens,37,1985,1,1,90,13,18
de GER,GK,Eint Frankfurt,34,1988,4,3,315,65,35
ar ARG,GK,Cádiz,30,1993,34,34,3048,56,70
fi FIN,GK,fi HJK,32,1990,3,2,258,46,50
gq EQG,GK,Alavés,22,2001,4,4,360,53,64
cz CZE,GK,cz Viktoria Plzeň,27,1996,5,5,450,38,60
cz CZE,GK,Werder Bremen,31,1992,7,7,630,43,55
eng ENG,GK,sct Celtic,36,1987,6,6,540,45,44
ch SUI,GK,Gladbach,29,1994,7,7,630,49,55
eng ENG,GK,Everton,29,1994,38,38,3420,58,75
es ESP,GK,Genoa,25,1998,36,36,3239,52,60
hr CRO,GK,kz Astana FK,29,1993,6,6,540,52,43
pt POR,GK,Wolves,30,1993,35,35,3037,60,38
ar ARG,GK,it Atalanta,29,1994,23,23,2070,56,55
es ESP,GK,Athletic Club,22,2000,4,2,238,48,75
no NOR,GK,no Bodø/Glimt,24,1999,2,2,180,25,32
nl NED,GK,nl Feyenoord,25,1998,4,4,360,40,24
ch SUI,GK,ch Servette FC,30,1993,10,10,930,48,71
pl POL,GK,pl Legia Warsaw,20,2002,6,6,540,32,28
pl POL,GK,dk FC Copenhagen,24,1999,8,8,720,53,64
nl NED,GK,sct Aberdeen,31,1992,6,6,540,50,60
es ESP,GK,Real Madrid,28,1994,18,17,1558,52,35
de GER,GK,Heidenheim,32,1991,34,34,3060,61,80
de GER,GK,Eint Frankfurt,33,1990,39,39,3464,51,34
cr CRC,GK,Paris S-G,36,1986,4,4,360,33,20
nl NED,GK,at Sturm Graz,23,2000,6,6,540,58,47
no NOR,GK,no Bodø/Glimt,25,1998,2,2,210,34,27
be BEL,GK,Wolfsburg,31,1992,25,25,2250,53,69
gr GRE,GK,gr Olympiacos,20,2002,6,6,630,75,53
it ITA,GK,Milan,19,2004,1,0,3,38,67
it ITA,GK,Hellas Verona,27,1996,37,37,3330,46,68
de GER,GK,Newcastle Utd,30,1993,1,1,90,42,48
it ITA,GK,Torino,23,2000,2,2,180,34,60
fr FRA,GK,Lille,21,2001,40,40,3629,65,31
ge GEO,GK,az Qarabağ,24,1999,1,0,6,31,43
fi FIN,GK,Leverkusen,33,1989,33,33,2970,54,24
pt POR,GK,Almería,24,1999,33,33,2970,55,57
be BEL,GK,be Genk,21,2002,4,4,360,63,56
ng NGA,GK,Udinese,23,1999,21,21,1890,51,42
ua UKR,GK,md Sheriff Tiraspol,30,1992,6,6,540,46,71
de GER,GK,de Bayern Munich,37,1986,32,32,2863,52,45
de GER,GK,Bochum,34,1988,33,33,2970,59,77
es ESP,GK,Granada,33,1990,3,3,270,48,56
de GER,GK,Barcelona,31,1992,36,36,3240,54,44
de GER,GK,Darmstadt 98,30,1993,31,31,2790,54,85
pl POL,GK,Nice,23,1999,34,34,3060,62,35
nl NED,GK,Brest,32,1991,32,32,2876,63,66
it ITA,GK,it Atalanta,23,2000,28,28,2508,63,52
it ITA,GK,Udinese,32,1991,17,17,1530,39,31
it ITA,GK,it Milan,31,1992,9,7,710,50,40
nl NED,GK,Brentford,30,1993,37,37,3285,47,69
ie IRL,GK,Bournemouth,24,1999,4,4,360,61,47
rs SRB,GK,Sevilla,31,1992,17,17,1530,46,49
hr CRO,GK,ba Zrinjski Mostar,27,1996,6,6,540,50,44
sk SVK,GK,Newcastle Utd,34,1989,24,23,2075,62,35
cz CZE,GK,cz Viktoria Plzeň,25,1998,4,4,420,74,80
sk SVK,GK,sk Slovan Bratislava,23,2000,2,1,124,43,68
de GER,GK,Köln,28,1995,34,34,3060,44,41
sn SEN,GK,Clermont Foot,21,2001,4,4,360,64,65
cz CZE,GK,Leverkusen,23,2000,13,13,1170,69,37
si SVN,GK,si Olimpija,23,1999,2,2,180,73,33
br BRA,GK,pt Braga,31,1992,8,8,750,40,40
au AUS,GK,nl AZ Alkmaar,31,1992,5,5,450,30,59
fr FRA,GK,Le Havre,32,1990,1,1,90,43,15
us USA,GK,Nott'ham Forest,29,1994,17,17,1530,47,74
it ITA,GK,Juventus,30,1992,3,3,225,51,17
be BEL,GK,Nott'ham Forest,31,1992,35,35,3150,31,42
tr TUR,GK,tr Beşiktaş,34,1989,3,3,270,51,61
de GER,GK,Werder Bremen,28,1995,27,27,2430,60,67
it ITA,GK,Frosinone,24,1999,8,7,675,42,24
it ITA,GK,Monza,26,1997,33,33,2872,72,72
fr FRA,GK,it Milan,28,1995,41,41,3609,57,54
