Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Steven Shpendi,al ALB,MO,Empoli,20,2003,12,4,411,26,34,23,18
Steven Zuber,ch SUI,MO,gr AEK Athens,31,1991,5,3,302,41,19,28,33
Stijn Spierings,nl NED,MF,Toulouse,27,1996,28,19,1800,36,64,50,82
Stipe Radić,hr CRO,DF,ba Zrinjski Mostar,23,2000,6,6,540,25,24,11,62
Stjepan Lončar,ba BIH,MF,kz Astana FK,26,1996,5,2,235,40,65,57,27
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,55,55,53,68
Strahinja Pavlović,rs SRB,DF,at RB Salzburg,22,2001,6,6,493,49,47,50,62
Stredair Appuah,fr FRA,MO,Nantes,19,2004,4,0,84,20,11,42,36
Suat Serdar,de GER,MF,Hellas Verona,26,1997,25,19,1659,35,51,45,77
Suf Podgoreanu,il ISR,MO,il Maccabi Haifa,21,2002,8,3,304,16,36,36,46
Sunday Adetunji,ng NGA,FW,rs Čukarički,25,1997,6,4,276,19,25,28,73
Suso,es ESP,MF,es Sevilla,29,1993,31,16,1599,70,86,86,31
Sven Botman,nl NED,DF,eng Newcastle Utd,23,2000,18,16,1467,69,50,18,42
Sven Kums,be BEL,MF,be Gent,35,1988,6,5,366,52,95,52,62
Sven Michel,de GER,MO,Augsburg,33,1990,22,5,583,58,51,35,48
Sven Mijnans,nl NED,MF,nl AZ Alkmaar,23,2000,4,4,295,67,36,41,72
Sven Ulreich,de GER,GK,de Bayern Munich,34,1988,14,14,1260,50,56,43,57
Sydie Peck,eng ENG,MF,Sheffield Utd,18,2004,1,0,10,28,15,7,7
Sydney van Hooijdonk,nl NED,FW,Bologna,23,2000,9,2,212,17,31,23,44
Szymon Włodarczyk,pl POL,FW,at Sturm Graz,20,2003,10,4,421,34,29,30,64
Szymon Żurkowski,pl POL,MF,Empoli,25,1997,13,10,868,72,26,52,28
Sávio,br BRA,MO,Girona,19,2004,37,35,2976,76,66,89,48
Séamus Coleman,ie IRL,DF,Everton,34,1988,12,7,665,42,50,56,65
