Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,7,7,630,52,36
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,28,73
Aitor Fernández,es ESP,GK,Osasuna,32,1991,7,6,551,25,65
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,39,38
Alban Lafont,fr FRA,GK,Nantes,24,1999,28,28,2496,57,54
Alberto Brignoli,it ITA,GK,gr Panathinaikos,31,1991,5,5,450,73,36
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,26,33
Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,29,56
Alex Meret,it ITA,GK,it Napoli,26,1997,39,39,3493,42,28
Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3,3,270,22,86
Alexander Meyer,de GER,GK,de Dortmund,32,1991,9,8,785,55,52
Alexander Nübel,de GER,GK,Stuttgart,26,1996,30,30,2700,52,64
Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6,6,540,71,61
Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1,1,90,20,50
Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,2987,52,46
Alexandros Paschalakis,gr GRE,GK,gr Olympiacos,34,1989,9,9,810,33,21
Aleš Mandous,cz CZE,GK,cz Slavia Prague,31,1992,6,6,540,69,68
Alisson,br BRA,GK,Liverpool,30,1992,30,30,2700,57,47
Alphonse Areola,fr FRA,GK,West Ham,30,1993,32,32,2789,53,54
Amir Saipi,xk KVX,GK,ch Lugano,23,2000,6,6,540,35,47
Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,12,12,1110,67,39
Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,28,49
Andreas Hansen,dk DEN,GK,dk Nordsjælland,27,1995,5,5,450,60,41
Andreas Luthe,de GER,GK,Bochum,36,1987,1,1,90,6,78
Andrey Lunyov,ru RUS,GK,az Qarabağ,31,1991,10,10,924,50,52
Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,29,29,2640,78,34
André Ferreira,pt POR,GK,Granada,27,1996,15,14,1340,39,62
André Onana,cm CMR,GK,Manchester Utd,27,1996,44,44,3960,61,49
Anthony Lopes,pt POR,GK,Lyon,32,1990,31,31,2790,54,54
Anthony Moris,lu LUX,GK,be Union SG,33,1990,8,8,720,60,56
Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5,5,450,64,76
Anton Ari Einarsson,is ISL,GK,is Breiðablik,28,1994,6,6,540,17,67
Anton Zhylkin,ua UKR,GK,ua Zorya Luhansk,20,2003,1,0,1,47,1
Antonio Adán,es ESP,GK,pt Sporting CP,36,1987,6,6,540,36,41
Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,48,22
Antonio Sivera,es ESP,GK,Alavés,26,1996,34,34,3060,58,60
Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,82,81
Arnau Tenas,es ESP,GK,Paris S-G,22,2001,6,5,529,42,25
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,67,42
Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,45,72
Bart Verbruggen,nl NED,GK,Brighton,20,2002,24,24,2160,57,55
Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30,30,2700,63,53
Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,25,44
Bernd Leno,de GER,GK,Fulham,31,1992,38,38,3420,47,50
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7,7,630,41,61
Brice Samba,fr FRA,GK,fr Lens,29,1994,41,41,3720,75,65
Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,18,18,1620,52,53
Carljohan Eriksson,fi FIN,GK,dk Nordsjælland,28,1995,1,1,90,45,27
Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1,0,45,77,52
Christos Mandas,gr GRE,GK,Lazio,21,2001,9,8,721,69,48
Cican Stankovic,at AUT,GK,gr AEK Athens,30,1992,4,4,326,65,68
Claudio Bravo,cl CHI,GK,Betis,40,1983,9,9,810,66,60
Cristian,es ESP,GK,Valencia,25,1998,1,0,57,20,48
Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,35,35
Daniel Batz,de GER,GK,Mainz 05,32,1991,4,4,360,57,46
Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,27,20
Daniel Fuzato,br BRA,GK,Getafe,26,1997,1,0,7,19,83
Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1,0,17,47,40
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1,0,5,62,17
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,36,1987,3,3,270,84,64
David Gil,es ESP,GK,Cádiz,29,1994,5,4,372,39,61
David Raya,es ESP,GK,Arsenal,27,1995,41,41,3720,59,58
David Soria,es ESP,GK,Getafe,30,1993,38,38,3413,61,60
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,3,3,270,57,85
Davy Roef,be BEL,GK,be Gent,29,1994,7,6,561,67,63
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,40,18
Denis Petrić,rs SRB,GK,Nantes,35,1988,1,0,24,5,61
Denis Pintol,si SVN,GK,si Olimpija,23,2000,4,4,360,38,22
Diant Ramaj,de GER,GK,nl Ajax,21,2001,8,8,750,41,47
Diego Mariño,es ESP,GK,Almería,33,1990,1,1,90,42,26
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4,4,360,47,55
Diogo Costa,pt POR,GK,pt Porto,23,1999,8,8,750,44,58
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,1999,8,8,720,45,47
Dominik Greif,sk SVK,GK,Mallorca,26,1997,1,1,90,76,64
Dominik Hładun,pl POL,GK,pl Legia Warsaw,27,1995,2,2,180,71,39
Dominik Kotarski,hr CRO,GK,gr PAOK,23,2000,10,10,900,44,27
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,28,1995,6,6,570,37,26
Dominik Takáč,sk SVK,GK,sk Spartak Trnava,24,1999,6,6,540,58,24
Dénes Dibusz,hu HUN,GK,hu Ferencváros,32,1990,8,8,720,54,61
Ederson,br BRA,GK,Manchester City,29,1993,40,40,3445,57,58
Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,68,61
Emil Audero,id IDN,GK,it Inter,26,1997,5,5,427,51,44
Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,43,43,3855,67,59
Enea Koliçi,al ALB,GK,xk KF Ballkani Therandë,37,1986,6,6,540,59,37
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,22,2001,3,3,270,35,61
Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,43,38
Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4,4,360,75,65
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6,6,535,69,27
Fernando,es ESP,GK,Almería,33,1990,4,4,360,33,68
