Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
uy URU,MF,uy Liverpool,27,1997,5,1,123,81,57,51,55
ar ARG,DF,Barracas Central,24,1999,1,0,6,21,12,8,17
ar ARG,MO,Newell's OB,18,2005,4,0,51,59,9,20,29
ar ARG,DF,Atlé Tucumán,22,2001,12,6,554,83,64,68,74
ar ARG,GK,Grêmio,35,1988,36,36,3225,44,45,60,58
ar ARG,MF,Boca Juniors,23,2000,8,4,342,39,41,61,71
ar ARG,MO,Cen. Córdoba–SdE,24,1999,6,0,81,32,29,87,6
ar ARG,MF,Ind. Rivadavia,23,2000,11,3,315,25,27,7,84
ar ARG,FW,Rosario Central,21,2003,14,10,832,62,35,33,56
ar ARG,MO,Banfield,23,2000,6,2,257,37,52,37,88
uy URU,DF,Necaxa,24,1998,23,21,1866,40,52,32,40
ar ARG,MF,River Plate,27,1996,3,0,34,63,81,69,50
ar ARG,MO,Lanús,19,2004,7,3,193,61,40,46,56
uy URU,DF,Internacional,26,1997,15,13,1055,44,45,31,36
ar ARG,GK,Flamengo,28,1995,45,45,4050,61,62,65,65
ar ARG,MO,River Plate,18,2006,9,0,178,38,16,21,48
uy URU,DF,River Plate,26,1997,7,6,524,67,90,89,64
py PAR,DF,Rosario Central,23,2001,23,22,1932,67,52,63,65
ar ARG,MF,Huracán,23,2000,6,2,184,25,22,17,68
ar ARG,MO,FC Juárez,23,2000,24,9,953,54,51,58,52
ar ARG,MF,Godoy Cruz,20,2003,2,0,26,27,29,25,44
uy URU,MO,Sampdoria,22,2001,14,9,772,38,32,29,35
ly LBY,MF,Bari,31,1992,31,24,2185,49,51,47,72
ng NGA,FW,Gent,19,2004,1,0,29,28,52,34,20
tr TUR,DF,Ajax,20,2003,11,10,944,38,70,57,64
eng ENG,MO,Coventry City,17,2006,2,0,6,21,15,31,6
us USA,MF,Columbus Crew,22,2001,16,15,1274,73,72,69,73
us USA,DF,NY Red Bulls,22,2001,2,0,19,39,12,25,41
au AUS,MF,Standard Liège,25,1998,23,16,1503,49,41,60,66
ie IRL,MO,Millwall,19,2003,21,6,663,53,29,53,61
ec ECU,MO,Swansea City,17,2006,5,0,73,36,41,85,12
zm ZAM,DF,Toronto FC,25,1998,12,3,464,39,31,37,50
es ESP,MO,FC Juárez,29,1994,32,30,2353,59,39,68,43
tt TRI,MO,Atlanta Utd,21,2002,27,13,1307,28,56,36,74
eng ENG,FW,Middlesbrough,17,2006,2,0,13,16,20,7,20
au AUS,MO,Heracles Almelo,27,1996,14,14,1165,30,58,28,44
eng ENG,DF,Sunderland,22,2001,8,5,462,51,59,62,66
us USA,MF,St. Louis,23,2000,17,9,966,39,47,60,74
it ITA,MF,Cittadella,17,2006,1,0,18,38,15,21,19
eng ENG,DF,Sheffield Weds,24,1998,35,30,2630,29,35,53,67
be BEL,MO,Bari,18,2005,2,0,31,57,8,10,19
br BRA,MF,Moreirense,23,2000,33,29,2454,73,76,67,30
ar ARG,GK,Lanús,33,1990,10,10,900,46,49,50,55
ar ARG,DF,Deportivo Riestra,27,1997,25,24,2156,68,41,34,56
py PAR,DF,py Cerro Porteño,30,1994,5,5,449,46,65,50,48
ie IRL,MF,Preston,28,1995,41,36,3165,69,65,57,65
ar ARG,MF,Barracas Central,25,1998,16,10,850,63,38,53,33
mx MEX,MF,Santos,25,1998,34,32,2655,33,48,47,35
br BRA,DF,Cuiabá,29,1994,30,30,2548,38,54,50,35
ec ECU,MF,Atlético Mineiro,25,1998,69,62,5512,29,45,35,44
br BRA,FW,Atlético Mineiro,35,1989,20,3,450,37,48,19,73
ar ARG,MO,Arg Juniors,22,2001,25,22,1880,52,68,40,55
mx MEX,MO,Mazatlán,25,1997,38,23,1994,43,62,63,61
ec ECU,MO,Cercle Brugge,20,2003,28,18,1509,74,55,58,31
mx MEX,DF,Guadalajara,26,1997,31,29,2663,58,74,80,45
br BRA,MO,Internacional,32,1991,23,20,1777,76,86,56,41
mx MEX,MO,Sporting KC,32,1991,31,22,1953,60,51,33,23
py PAR,MF,Rosario Central,23,2000,26,23,2005,62,49,64,50
br BRA,DF,Juventude,34,1989,28,25,2243,65,73,65,51
uy URU,DF,cl Colo-Colo,21,2002,8,8,675,32,49,63,34
ar ARG,GK,Tigre,27,1996,3,2,236,40,46,45,43
us USA,MO,Huracán,25,1998,7,4,313,58,65,48,48
mx MEX,MF,Guadalajara,23,2000,8,1,228,40,58,35,39
ar ARG,MF,Porto,22,2001,30,28,2225,62,79,52,41
ar ARG,MO,FC Dallas,21,2002,8,5,370,65,36,54,47
mx MEX,DF,Cruz Azul,22,2001,1,1,90,21,20,23,66
gh GHA,MF,QPR,35,1987,16,2,370,36,40,52,56
eng ENG,DF,Watford,17,2005,1,0,1,21,20,8,49
sk SVK,MF,Seattle Sounders,29,1994,32,28,2530,91,87,62,20
it ITA,FW,Como,27,1996,5,2,176,70,60,51,60
mx MEX,MO,Querétaro,29,1993,6,0,20,67,61,89,31
mx MEX,MF,Puebla,22,2001,10,9,741,74,57,41,68
mx MEX,FW,Santos,25,1998,12,4,456,31,56,40,61
