Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
mx MEX,GK,Santos,29,1993,9,9,810,41,37
ar ARG,GK,Ind. Rivadavia,34,1989,5,5,450,55,47
pt POR,GK,Chaves,23,2000,1,1,90,43,66
ar ARG,GK,ar Talleres,31,1992,34,34,3060,49,60
ar ARG,GK,ec Independiente,25,1998,1,1,90,20,21
be BEL,GK,RWDM,29,1994,1,0,17,15,82
mx MEX,GK,Querétaro,32,1990,20,20,1784,70,67
bo BOL,GK,bo The Strongest,30,1993,8,8,720,64,53
uy URU,GK,uy Peñarol,29,1994,5,4,405,43,25
br BRA,GK,Criciúma,30,1993,34,34,2997,59,50
at AUT,GK,Union SG,33,1990,1,1,90,25,27
sk SVK,GK,NE Revolution,26,1997,8,8,720,53,33
ec ECU,GK,Huracán,36,1987,24,24,2160,54,49
bf BFA,GK,Charleroi,26,1996,26,26,2339,62,66
nl NED,GK,AZ Alkmaar,30,1993,1,1,90,40,84
mx MEX,GK,Mazatlán,32,1990,29,29,2548,57,76
fr FRA,GK,LAFC,37,1986,33,33,2970,56,54
br BRA,GK,Corinthians,25,1999,48,48,4320,58,57
mx MEX,GK,Santos,22,2001,4,2,245,50,57
ar ARG,GK,Deportivo Riestra,31,1992,25,25,2250,72,69
ar ARG,GK,Belgrano,27,1996,8,7,656,43,45
uy URU,GK,Arouca,26,1997,31,31,2790,61,50
fr FRA,GK,Leeds United,23,2000,44,44,3922,42,31
us USA,GK,Vancouver W'caps,22,2001,1,1,90,43,54
ru RUS,GK,Famalicão,26,1997,1,1,90,23,28
hr CRO,GK,Fortuna Sittard,23,2000,16,16,1440,51,62
ie IRL,GK,Stoke City,29,1993,14,14,1260,56,67
au AUS,GK,Huddersfield,22,2000,2,1,139,40,51
us USA,GK,SJ Earthquakes,23,2000,3,3,270,31,43
eng ENG,GK,Cardiff City,30,1993,24,24,2160,41,65
pl POL,GK,Leicester City,22,2000,2,2,180,53,27
eng ENG,GK,Sheffield Weds,19,2004,19,19,1710,50,57
ca CAN,GK,Portland Timbers,26,1997,15,14,1301,56,56
br BRA,GK,São Paulo,30,1993,13,13,1170,52,68
nl NED,GK,NEC Nijmegen,34,1989,30,30,2640,57,68
nl NED,GK,Zwolle,22,2000,32,32,2880,60,81
ec ECU,GK,ec Barcelona,33,1990,6,6,540,26,50
ve VEN,GK,Orlando City,21,2002,1,0,62,24,53
nl NED,GK,Ajax,23,2000,8,7,665,36,57
br BRA,GK,py Cerro Porteño,28,1995,6,6,540,59,59
fr FRA,GK,Antwerp,28,1995,30,30,2700,58,67
nl NED,GK,Go Ahead Eag,25,1998,34,34,3060,59,66
ar ARG,GK,River Plate,30,1993,4,4,360,65,43
nl NED,GK,RKC Waalwijk,27,1996,4,3,322,55,78
nl NED,GK,Spezia,32,1991,25,25,2250,58,51
ar ARG,GK,Sarmiento,24,2000,3,3,270,27,37
fi FIN,GK,Venezia,30,1993,29,29,2610,47,43
ve VEN,GK,ve Dep Táchira,26,1997,4,4,360,64,77
mx MEX,GK,Puebla,30,1993,34,34,3060,53,69
br BRA,GK,Rio Ave,32,1991,26,26,2340,70,52
us USA,GK,FC Dallas,35,1988,4,4,360,66,58
be BEL,GK,Sint-Truiden,32,1990,4,4,360,21,33
se SWE,GK,Union SG,21,2001,1,0,21,56,18
eng ENG,GK,QPR,21,2002,1,1,90,64,52
us USA,GK,Nashville SC,35,1988,30,29,2626,50,60
nl NED,GK,PSV Eindhoven,26,1996,1,1,90,58,55
br BRA,GK,br Botafogo (RJ),27,1996,44,44,3990,63,39
us USA,GK,LA Galaxy,31,1992,32,32,2880,61,30
us USA,GK,Sporting KC,22,2001,6,6,540,18,21
eng ENG,GK,Birmingham City,36,1986,44,44,3960,54,76
ca CAN,GK,CF Montréal,22,2001,33,33,2970,50,39
ar ARG,GK,ar Rosario Central,37,1986,30,30,2700,48,46
us USA,GK,Atlanta Utd,31,1992,3,2,209,23,66
ar ARG,GK,Newell's OB,20,2003,3,3,270,38,53
mx MEX,GK,Tijuana,31,1992,28,28,2475,54,54
mx MEX,GK,Tijuana,42,1981,7,6,585,49,61
mx MEX,GK,Pachuca,19,2004,2,2,180,21,28
mx MEX,GK,Guadalajara,23,2000,19,19,1635,64,39
pt POR,GK,Boavista,22,2000,34,34,3060,47,45
br BRA,GK,Fortaleza,35,1988,38,38,3420,70,51
pt POR,GK,Arouca,23,2000,1,1,90,51,55
ar ARG,GK,Platense,25,1998,26,26,2339,62,56
py PAR,GK,Belgrano,29,1994,15,15,1324,61,54
mx MEX,GK,UNAM,32,1991,34,34,3060,65,66
nl NED,GK,Feyenoord,25,1998,17,17,1462,46,44
wls WAL,GK,Leeds United,32,1990,2,1,126,14,48
dk DEN,GK,Anderlecht,36,1986,23,23,2070,68,60
nl NED,GK,Volendam,19,2003,1,1,89,57,64
co COL,GK,Cruz Azul,23,2000,17,17,1530,52,45
